Exp,Site,Hole,Core,Type,Sect,Top(cm),Depth CSF-A (m),Porosity (vol%)
194,1192,A,1,H,1,80,0.8,58.9
194,1192,A,1,H,2,80,2.3,66.1
194,1192,A,1,H,3,70,3.7,65.8
194,1192,A,1,H,4,80,5.3,63.1
194,1192,A,1,H,5,80,6.8,66.8
194,1192,A,1,H,6,80,8.3,65.6
194,1192,A,1,H,7,20,9.2,65.1
194,1192,A,2,H,1,70,10.2,70.5
194,1192,A,2,H,2,80,11.8,66.4
194,1192,A,2,H,3,80,13.3,60.9
194,1192,A,2,H,4,10,14.1,67.2
194,1192,A,3,H,1,80,19.8,73.5
194,1192,A,3,H,2,80,21.3,68.9
194,1192,A,3,H,3,80,22.8,65.4
194,1192,A,3,H,4,80,24.3,58.4
194,1192,A,3,H,5,80,25.8,66.5
194,1192,A,3,H,6,80,27.3,71.3
194,1192,A,3,H,7,20,28.2,66.3
194,1192,A,5,H,1,80,30.3,48
194,1192,A,5,H,2,80,31.8,68.7
194,1192,A,5,H,3,80,33.3,70.8
194,1192,A,5,H,4,80,34.8,68
194,1192,A,5,H,5,80,36.3,68.5
194,1192,A,5,H,6,80,37.8,66.2
194,1192,A,6,H,1,80,39.8,65.4
194,1192,A,6,H,2,80,41.3,63.3
194,1192,A,6,H,3,80,42.8,64.4
194,1192,A,6,H,4,80,44.3,65
194,1192,A,6,H,5,80,45.8,63.5
194,1192,A,6,H,6,80,47.3,64.7
194,1192,A,6,H,7,20,48.2,63.6
194,1192,A,7,H,1,80,49.3,61.5
194,1192,A,7,H,2,80,50.8,61.6
194,1192,A,7,H,3,80,52.3,65
194,1192,A,7,H,4,80,53.8,66.8
194,1192,A,7,H,5,80,55.3,60.7
194,1192,A,7,H,6,80,56.8,62.3
194,1192,A,7,H,7,20,57.7,63
194,1192,A,8,H,1,80,58.8,59.6
194,1192,A,8,H,2,80,60.3,58.6
194,1192,A,8,H,3,80,61.8,56.3
194,1192,A,8,H,4,80,63.3,57.9
194,1192,A,8,H,5,80,64.8,57.9
194,1192,A,8,H,6,80,66.3,61.6
194,1192,A,8,H,7,20,67.2,61.1
194,1192,A,9,H,1,80,68.3,58.6
194,1192,A,9,H,2,80,69.8,64.2
194,1192,A,9,H,3,80,71.3,54.8
194,1192,A,9,H,4,80,72.8,58.1
194,1192,A,9,H,5,80,74.3,57.3
194,1192,A,9,H,6,80,75.8,
194,1192,A,9,H,7,20,76.7,66.4
194,1192,A,10,H,1,80,77.8,57.7
194,1192,A,10,H,2,80,79.3,63.1
194,1192,A,10,H,3,80,80.8,67.3
194,1192,A,10,H,4,80,82.3,47.3
194,1192,A,10,H,5,80,83.8,55.2
194,1192,A,10,H,6,80,85.3,57.4
194,1192,A,10,H,7,20,86.2,59
194,1192,A,12,H,1,80,88.3,59.3
194,1192,A,12,H,5,80,94.3,57.7
194,1192,A,13,H,1,80,97.8,59.5
194,1192,A,13,H,4,80,102.3,63.9
194,1192,A,13,H,5,80,103.8,61
194,1192,A,13,H,6,80,105.3,59.1
194,1192,A,13,H,7,20,106.2,61.6
194,1192,A,14,H,1,80,107.3,59.1
194,1192,A,14,H,2,80,108.8,60.9
194,1192,A,14,H,3,80,110.3,60.9
194,1192,A,14,H,4,80,111.8,60.5
194,1192,A,14,H,5,80,113.3,60.3
194,1192,A,14,H,6,80,114.8,57.1
194,1192,A,14,H,7,20,115.7,57.6
194,1192,A,15,H,1,80,116.8,56.1
194,1192,A,15,H,2,80,118.3,58.5
194,1192,A,15,H,3,80,119.8,59.4
194,1192,A,15,H,4,80,121.3,61.3
194,1192,A,15,H,5,80,122.8,62.2
194,1192,A,15,H,6,80,124.3,58
194,1192,A,15,H,7,20,125.2,59
194,1192,A,16,H,1,131,126.81,64.8
194,1192,A,16,H,2,80,127.8,62.8
194,1192,A,16,H,3,80,129.3,68
194,1192,A,16,H,4,80,130.8,56.3
194,1192,A,16,H,5,80,132.3,66.7
194,1192,A,16,H,6,80,133.8,59
194,1192,A,17,H,1,80,135.8,60.4
194,1192,A,17,H,2,80,137.3,
194,1192,A,17,H,3,80,138.8,68.5
194,1192,A,17,H,4,80,140.3,59
194,1192,A,17,H,5,80,141.8,62.3
194,1192,A,17,H,6,80,143.3,60
194,1192,A,17,H,7,19,144.19,59.4
194,1192,A,18,H,1,80,145.3,60.2
194,1192,A,18,H,2,80,146.8,58.3
194,1192,A,18,H,3,80,148.3,55.9
194,1192,A,18,H,4,80,149.8,56.2
194,1192,A,18,H,5,80,151.3,57.8
194,1192,A,18,H,6,80,152.8,57.9
194,1192,A,18,H,7,20,153.7,58.3
194,1192,A,19,H,1,80,154.8,59
194,1192,A,19,H,2,80,156.3,57.1
194,1192,A,19,H,3,80,157.8,59.6
194,1192,A,19,H,4,80,159.3,58.7
194,1192,A,19,H,5,80,160.8,59.2
194,1192,A,19,H,6,80,162.3,57.5
194,1192,A,19,H,7,20,163.2,57.1
194,1192,A,20,H,1,80,164.3,62.4
194,1192,A,20,H,2,80,165.8,53.5
194,1192,A,20,H,3,80,167.3,55.6
194,1192,A,20,H,4,80,168.8,58.1
194,1192,A,20,H,5,80,170.3,60.4
194,1192,A,20,H,7,20,172.7,57.5
194,1192,A,21,H,1,80,173.8,51.9
194,1192,A,21,H,2,80,175.3,48.1
194,1192,A,21,H,3,80,176.8,51.1
194,1192,A,21,H,5,80,179.8,55.7
194,1192,A,21,H,6,80,181.3,50.5
194,1192,A,21,H,7,20,182.2,59
194,1192,A,22,H,1,80,183.3,57.1
194,1192,A,22,H,2,80,184.8,53.1
194,1192,A,22,H,3,80,186.3,54.3
194,1192,A,22,H,4,80,187.8,54.6
194,1192,A,22,H,5,80,189.3,49.6
194,1192,A,22,H,6,80,190.8,52.9
194,1192,A,22,H,7,20,191.7,55.4
194,1192,A,23,M,1,42,192.42,47.9
194,1192,A,24,H,1,80,193.8,67.4
194,1192,A,24,H,2,80,195.3,56.2
194,1192,A,24,H,3,80,196.8,54.7
194,1192,A,24,H,4,80,198.3,51.3
194,1192,A,24,H,5,80,199.8,56.3
194,1192,A,24,H,6,80,201.3,55.2
194,1192,A,24,H,7,20,202.2,59.5
194,1192,A,25,H,1,80,203.3,55.1
194,1192,A,25,H,2,80,204.8,52.8
194,1192,A,25,H,3,80,206.3,61.2
194,1192,A,25,H,4,80,207.8,58.4
194,1192,A,25,H,5,80,209.3,59.5
194,1192,A,25,H,6,80,210.8,57.8
194,1192,A,25,H,7,20,211.7,61.4
194,1192,A,26,H,1,80,212.8,58.2
194,1192,A,26,H,2,20,213.7,53
194,1192,A,26,H,3,120,216.2,59
194,1192,A,26,H,5,80,218.8,60.6
194,1192,A,26,H,6,80,220.3,58.1
194,1192,A,26,H,7,20,221.2,58
194,1192,A,27,H,1,80,222.3,58.9
194,1192,A,27,H,2,90,223.9,55.1
194,1192,A,27,H,3,80,225.3,52.7
194,1192,A,27,H,4,80,226.8,51.4
194,1192,A,27,H,5,80,228.3,59.5
194,1192,A,27,H,6,60,229.6,60.1
194,1192,A,27,H,7,20,230.7,61.3
194,1192,A,29,H,1,80,232.8,52.8
194,1192,A,29,H,2,80,234.3,56.9
194,1192,A,29,H,3,80,235.8,49.7
194,1192,A,29,H,4,80,237.3,50.7
194,1192,A,29,H,5,80,238.8,53.8
194,1192,A,29,H,6,80,240.3,56.2
194,1192,A,29,H,7,46,241.46,57.9
194,1192,B,1,H,1,120,1.2,60.8
194,1192,B,1,H,2,50,2,60.7
194,1192,B,2,M,1,40,180.3,57.6
194,1192,B,4,H,1,80,182.7,
194,1192,B,4,H,2,80,184.2,54.2
194,1192,B,4,H,3,80,185.7,50.6
194,1192,B,4,H,4,80,187.2,51.4
194,1192,B,4,H,5,80,188.7,49.1
194,1192,B,4,H,6,80,190.2,47.5
194,1192,B,4,H,7,20,191.1,53
194,1192,B,9,X,1,60,230,66.6
194,1192,B,9,X,2,70,231.6,55.2
194,1192,B,9,X,3,80,233.2,52.9
194,1192,B,9,X,4,80,234.7,60.1
194,1192,B,9,X,5,80,236.2,56.4
194,1192,B,10,X,2,90,241.4,55.6
194,1192,B,10,X,4,80,244.3,57.8
194,1192,B,12,X,3,40,261.6,54.7
194,1192,B,15,X,1,105,288.15,45.7
194,1192,B,15,X,3,88,290.98,43.7
194,1192,B,16,X,1,80,297.6,49.3
194,1192,B,16,X,2,80,299.1,48.6
194,1192,B,16,X,3,80,300.6,48.9
194,1192,B,17,X,1,80,307.2,52.6
194,1192,B,17,X,2,80,308.7,45.8
194,1192,B,17,X,3,80,310.2,46.3
194,1192,B,17,X,4,80,311.7,43.9
194,1192,B,17,X,5,40,312.8,37.7
194,1192,B,18,X,1,80,316.8,44.2
194,1192,B,18,X,2,80,318.3,45.7
194,1192,B,18,X,3,80,319.8,48.8
194,1192,B,18,X,4,80,321.3,48.6
194,1192,B,18,X,5,40,321.9,52.4
194,1192,B,19,X,1,80,326.4,44.5
194,1192,B,19,X,2,80,327.9,45.9
194,1192,B,19,X,3,80,329.4,43.8
194,1192,B,19,X,4,80,330.9,43
194,1192,B,19,X,5,80,332.4,46
194,1192,B,21,X,1,80,337,48.6
194,1192,B,21,X,2,80,338.5,50.6
194,1192,B,21,X,3,80,340,50.1
194,1192,B,21,X,4,80,341.5,44.5
194,1192,B,21,X,5,80,343,41.4
194,1192,B,21,X,6,20,343.4,46.7
194,1192,B,22,X,1,71,346.61,45.6
194,1193,A,1,H,2,80,2.3,62.9
194,1193,A,1,H,3,80,3.8,65.3
194,1193,A,1,H,4,80,5.3,63.4
194,1193,A,1,H,5,20,6.2,58.5
194,1193,A,2,H,1,70,7.3,59.3
194,1193,A,2,H,2,80,8.9,64.6
194,1193,A,2,H,3,80,10.4,57.4
194,1193,A,2,H,4,80,11.9,64.5
194,1193,A,2,H,5,80,13.4,53.6
194,1193,A,2,H,6,80,14.9,53.2
194,1193,A,2,H,7,20,15.31,56.8
194,1193,A,3,H,1,80,16.9,67.6
194,1193,A,3,H,2,80,18.4,62.2
194,1193,A,3,H,3,80,19.9,65.3
194,1193,A,3,H,4,80,21.4,59.1
194,1193,A,3,H,5,80,22.9,61.7
194,1193,A,3,H,6,80,24.4,59.1
194,1193,A,3,H,7,20,25.3,63.5
194,1193,A,4,H,1,80,26.4,62.7
194,1193,A,4,H,2,80,27.9,70.8
194,1193,A,4,H,3,80,29.4,70.4
194,1193,A,4,H,4,80,30.9,64.2
194,1193,A,4,H,5,80,32.4,65.3
194,1193,A,4,H,6,80,33.9,67.2
194,1193,A,4,H,7,20,34.8,57.5
194,1193,A,31,X,1,32,166.92,26.4
194,1193,A,31,X,2,86,168.96,53.6
194,1193,A,32,X,1,109,172.59,48.5
194,1193,A,32,X,2,35,173.35,42.2
194,1193,A,33,X,1,10,176.4,53.3
194,1193,A,35,X,1,4,190.84,34.6
194,1193,A,38,X,1,3,205.23,44.7
194,1193,A,39,X,1,68,210.68,51.7
194,1193,A,41,X,1,80,220.4,42.2
194,1193,A,41,X,2,40,221.5,44.2
194,1193,A,43,X,1,80,230,39.5
194,1193,A,43,X,2,80,231.5,55.7
194,1193,A,43,X,3,80,233,44.8
194,1193,A,44,X,1,80,234.8,44.4
194,1193,A,44,X,2,80,236.3,51.5
194,1193,A,44,X,3,80,237.8,46.5
194,1193,A,44,X,4,40,238.9,51.5
194,1193,A,45,X,1,80,239.6,50.2
194,1193,A,45,X,2,80,241.1,49.6
194,1193,A,45,X,3,80,242.6,44.4
194,1193,A,45,X,4,80,244.1,48.1
194,1193,A,45,X,5,30,245.1,48.5
194,1193,A,46,X,1,80,244.4,46.2
194,1193,A,46,X,2,106,246.16,42.6
194,1193,A,46,X,3,68,247.28,44.3
194,1193,A,46,X,4,90,249,42.2
194,1193,A,47,X,1,75,253.85,51.7
194,1193,A,47,X,2,80,255.4,44.5
194,1193,A,47,X,3,80,256.9,48
194,1193,A,47,X,4,80,258.4,45.3
194,1193,A,47,X,5,83,259.93,43.4
194,1193,A,47,X,6,73,261.33,41.9
194,1193,A,48,X,1,93,263.63,45.8
194,1193,A,48,X,2,68,264.88,44.1
194,1193,A,48,X,3,66,265.86,46.5
194,1193,A,49,X,1,80,273.1,41.1
194,1193,A,49,X,2,80,274.6,48.7
194,1193,A,49,X,3,20,275,46.4
194,1193,A,50,X,1,80,282.7,49.9
194,1193,A,50,X,2,80,284.2,43.8
194,1193,A,50,X,3,20,284.6,38
194,1193,A,51,X,1,94,292.44,42.3
194,1193,A,51,X,2,60,293.6,44.8
194,1193,A,51,X,3,40,294.9,44.4
194,1193,A,51,X,4,52,296.02,37.3
194,1193,A,52,X,1,80,301.9,
194,1193,A,52,X,2,34,302.94,40.7
194,1193,A,53,X,1,38,311.08,44.1
194,1193,A,53,X,2,38,312.08,50.2
194,1193,A,54,X,1,54,316.04,44.6
194,1193,A,55,X,CC,10,320.5,45.9
194,1193,A,57,X,1,71,330.81,46
194,1193,A,57,X,2,31,331.91,42
194,1193,A,58,X,1,84,340.54,37.5
194,1193,A,58,X,2,12,341.32,39.3
194,1193,A,58,X,3,100,343.7,35.5
194,1193,A,58,X,4,88,345.08,39.4
194,1193,A,58,X,5,29,345.85,39.8
194,1193,A,58,X,6,32,347.35,39.2
194,1193,A,58,X,7,72,348.87,43.8
194,1193,A,59,X,1,9,349.49,44.1
194,1193,A,59,X,2,33,351.25,45.6
194,1193,A,59,X,3,91,353.13,41
194,1193,A,59,X,4,96,354.68,39.6
194,1193,A,59,X,5,20,355.45,41.2
194,1193,A,59,X,6,20,356.91,35.4
194,1193,A,60,X,1,134,360.34,36.5
194,1193,A,60,X,2,98,361.45,39.1
194,1193,A,60,X,3,118,363.1,43.1
194,1193,A,60,X,4,91,364.33,50.2
194,1193,A,60,X,5,32,365.24,39.1
194,1193,A,60,X,6,7,366.49,35.5
194,1193,A,61,X,1,45,369.15,39.8
194,1193,A,61,X,2,32,370.37,37.3
194,1193,A,61,X,3,42,371.86,38.8
194,1193,A,61,X,4,25,373.19,36.1
194,1193,A,61,X,5,74,375.14,40.2
194,1193,A,61,X,6,62,376.42,39.3
194,1193,A,62,X,1,80,379.1,68.2
194,1193,A,62,X,2,80,380.63,36.3
194,1193,A,62,X,3,85,382.18,36.8
194,1193,A,62,X,4,84,383.67,34.4
194,1193,A,62,X,5,47,384.8,41.3
194,1193,A,63,X,1,45,388.35,47.9
194,1193,A,63,X,2,71,389.94,44.2
194,1193,A,64,X,1,22,397.82,44.9
194,1193,A,65,X,CC,15,407.35,43.4
194,1193,A,66,X,1,40,412.4,39
194,1193,A,77,X,CC,8,464.98,34
194,1193,A,78,X,1,6,469.76,41.9
194,1193,A,79,X,1,52,475.02,39.6
194,1193,A,79,X,2,41,476.41,35.6
194,1193,A,79,X,3,41,477.41,36.7
194,1193,A,80,X,1,35,479.65,40.3
194,1193,A,81,X,2,105,486.65,37.9
194,1193,A,82,X,1,52,494.22,28
194,1193,A,83,X,CC,16,503.46,2.1
194,1193,B,1,R,1,85,35.85,10.1
194,1193,B,1,R,1,85,35.85,21.2
194,1193,B,1,R,1,138,36.38,20
194,1193,B,1,R,2,48,36.98,22
194,1193,B,1,R,2,61,37.11,25
194,1193,B,2,R,1,48,44.88,18.4
194,1193,B,2,R,1,61,45.01,25.8
194,1193,B,2,R,1,100,45.4,35.5
194,1193,B,2,R,2,28,46.1,21.5
194,1193,B,2,R,2,28,46.1,38
194,1193,B,5,Z,1,40,63.6,24.6
194,1193,B,5,Z,1,92,64.12,32.4
194,1193,B,6,Z,1,22,68.12,37.1
194,1193,B,6,Z,1,104,68.94,16.3
194,1193,B,8,Z,1,86,74.06,45.3
194,1193,B,9,Z,1,74,77.64,24
194,1193,B,11,Z,1,42,86.72,28.4
194,1193,B,11,Z,1,104,87.34,19.3
194,1193,B,12,Z,1,50,91.5,31.8
194,1193,B,14,Z,1,18,100.58,28.3
194,1193,B,17,Z,1,85,115.35,35.2
194,1193,B,19,Z,1,21,124.11,27.3
194,1193,B,20,Z,1,30,128.9,42.6
194,1193,C,1,R,1,39,35.39,18.7
194,1193,C,1,R,2,65,37,11.9
194,1193,C,2,R,1,44,44.84,22.2
194,1193,C,3,R,1,44,51.84,22.2
194,1193,C,4,R,1,122,61.82,22.2
194,1193,C,4,R,2,52,62.59,29.4
194,1193,C,5,R,1,57,510.57,32.6
194,1193,C,5,R,2,85,512.17,36.3
194,1193,C,5,R,3,82,513.5,32.5
194,1193,C,5,R,4,25,514.29,39.7
194,1193,C,6,R,1,109,520.69,20.1
194,1193,C,6,R,2,30,521.4,50.5
194,1193,C,8,R,1,4,538.94,44.1
194,1193,C,8,R,2,86,541.02,51.3
194,1193,C,8,R,3,74,542.32,45.8
194,1193,C,8,R,4,56,543.63,44
194,1194,A,1,H,1,80,0.8,64
194,1194,A,1,H,2,80,2.3,73
194,1194,A,1,H,3,80,3.8,63.7
194,1194,A,2,H,1,80,5.5,66.3
194,1194,A,2,H,2,80,7,67
194,1194,A,2,H,3,80,8.5,61.5
194,1194,A,2,H,4,80,10,62.2
194,1194,A,2,H,5,80,11.5,60.4
194,1194,A,2,H,6,80,13,61.5
194,1194,A,2,H,7,20,13.9,63.1
194,1194,A,3,H,1,80,15,63.9
194,1194,A,3,H,2,80,16.5,64.4
194,1194,A,3,H,3,80,18,65.3
194,1194,A,3,H,4,80,19.5,61.2
194,1194,A,3,H,5,80,21,63.5
194,1194,A,3,H,6,80,22.5,63.9
194,1194,A,3,H,7,20,23.4,62.4
194,1194,A,4,H,1,80,24.5,56.3
194,1194,A,4,H,2,80,26,
194,1194,A,4,H,3,80,27.5,51.8
194,1194,A,4,H,4,80,29,55.9
194,1194,A,4,H,5,80,30.5,56
194,1194,A,4,H,6,80,32,56.5
194,1194,A,4,H,7,20,32.9,59.3
194,1194,A,5,H,1,80,34,57.8
194,1194,A,5,H,2,80,35.5,57.1
194,1194,A,5,H,3,80,37,62.9
194,1194,A,5,H,4,80,38.5,58.5
194,1194,A,5,H,5,80,40,60.9
194,1194,A,5,H,6,80,41.5,53.1
194,1194,A,5,H,7,20,42.4,58.1
194,1194,A,6,H,1,80,43.5,54.8
194,1194,A,6,H,2,80,45,56.4
194,1194,A,6,H,3,80,46.5,64.8
194,1194,A,6,H,4,80,48,53.5
194,1194,A,6,H,5,80,49.5,63.3
194,1194,A,6,H,6,80,51,53.7
194,1194,A,6,H,7,20,51.9,54.1
194,1194,A,7,H,1,80,53,59.7
194,1194,A,7,H,2,80,54.5,59.5
194,1194,A,7,H,3,80,56,54.6
194,1194,A,7,H,4,80,57.5,51.6
194,1194,A,7,H,5,80,59,54.7
194,1194,A,7,H,6,80,60.5,53.6
194,1194,A,7,H,7,20,61.4,61.5
194,1194,A,8,H,1,80,62.5,59.3
194,1194,A,8,H,2,80,64,58.4
194,1194,A,8,H,3,80,65.5,62.5
194,1194,A,8,H,4,80,67,60.1
194,1194,A,8,H,5,80,68.5,57.9
194,1194,A,8,H,6,80,70,54
194,1194,A,8,H,7,20,70.9,60
194,1194,A,9,H,1,80,72,50.5
194,1194,A,9,H,2,80,73.5,58.4
194,1194,A,9,H,3,80,75,60.1
194,1194,A,9,H,4,80,76.5,56.5
194,1194,A,9,H,5,80,78,57.3
194,1194,A,9,H,6,80,79.5,54.7
194,1194,A,9,H,7,20,80.4,54.4
194,1194,A,10,H,1,80,81.5,56
194,1194,A,10,H,2,80,83,56
194,1194,A,10,H,3,80,84.5,57.7
194,1194,A,10,H,4,80,86,53.6
194,1194,A,10,H,5,80,87.5,53.2
194,1194,A,10,H,6,80,89,58.5
194,1194,A,10,H,7,20,89.9,57.6
194,1194,A,11,H,1,80,91,56.5
194,1194,A,11,H,2,80,92.5,54.1
194,1194,A,11,H,3,80,94,56.5
194,1194,A,11,H,4,80,95.5,57.4
194,1194,A,11,H,5,80,97,56.6
194,1194,A,11,H,6,80,98.5,55.7
194,1194,A,11,H,7,20,99.4,57.7
194,1194,A,12,H,1,80,100.5,54.6
194,1194,A,12,H,2,80,102,55.4
194,1194,A,12,H,3,80,103.5,52.7
194,1194,A,12,H,4,80,105,56.6
194,1194,A,12,H,5,80,106.5,56
194,1194,A,12,H,6,80,108,59.3
194,1194,A,12,H,7,20,108.9,56.2
194,1194,A,13,H,1,80,110,59.6
194,1194,A,13,H,2,80,111.5,54.1
194,1194,A,13,H,3,80,113,53.5
194,1194,A,13,H,4,80,114.5,57.1
194,1194,A,13,H,5,80,116,59.6
194,1194,A,13,H,6,20,116.75,55.6
194,1194,A,14,X,1,8,117.48,8.5
194,1194,A,14,X,1,48,117.88,30.5
194,1194,A,14,X,1,85,118.25,8
194,1194,A,14,X,2,20,118.86,46.6
194,1194,B,4,R,1,46,129.76,50.9
194,1194,B,5,R,1,48,139.28,46.3
194,1194,B,6,R,1,43,148.83,50.5
194,1194,B,6,R,2,4,149.69,53.8
194,1194,B,6,R,2,14,149.79,58.2
194,1194,B,7,R,1,37,158.37,52.1
194,1194,B,7,R,1,43,158.43,54
194,1194,B,8,R,1,44,168.04,49.6
194,1194,B,8,R,1,47,168.07,46.1
194,1194,B,8,R,2,32,169.42,48.8
194,1194,B,8,R,2,35,169.45,47.8
194,1194,B,9,R,1,10,177.3,52.9
194,1194,B,10,R,1,34,187.14,45.8
194,1194,B,10,R,2,56,188.86,49.6
194,1194,B,10,R,3,69,189.94,50.4
194,1194,B,10,R,4,56,191.07,48.9
194,1194,B,11,R,1,74,197.14,47
194,1194,B,12,R,1,52,206.52,46.8
194,1194,B,15,R,1,97,235.87,44.6
194,1194,B,15,R,2,115,237.51,42.2
194,1194,B,15,R,3,7,237.93,41.1
194,1194,B,17,R,1,48,254.68,38.4
194,1194,B,17,R,2,11,255.18,41.1
194,1194,B,17,R,2,131,256.38,44
194,1194,B,18,R,CC,47,264.27,45.4
194,1194,B,19,R,1,62,274.02,42.2
194,1194,B,20,R,1,48,283.48,45.4
194,1194,B,21,R,1,30,292.9,44.5
194,1194,B,22,R,1,48,302.68,41.1
194,1194,B,23,R,1,85,312.75,41.5
194,1194,B,24,R,1,101,322.51,39.1
194,1194,B,24,R,2,80,323.8,36.3
194,1194,B,25,R,1,75,331.85,38.8
194,1194,B,25,R,2,27,332.71,38.8
194,1194,B,25,R,3,65,334.37,36.1
194,1194,B,25,R,4,24,335.41,38
194,1194,B,25,R,5,26,336.93,33.5
194,1194,B,25,R,6,118,338.86,33.7
194,1194,B,25,R,7,107,340.25,38.2
