HOLE:	U1353C
EXPEDITION:	317
TOP:	106.1440
BOTTOM:	208.8616
DEPTH_WMSF	TENS	CS	ETIM	DF
m	lbf	m/h	s	lbf
123.0604	3793.0000	548.3352	5827.3740	3534.0256
123.2128	3693.0000	547.4208	5826.3530	3436.6187
123.3652	3971.0000	545.5920	5825.3662	3735.9497
123.5176	3981.0000	544.6776	5824.3779	3693.6450
123.6700	4090.0000	545.8968	5823.3579	3814.5151
123.8224	3772.0000	551.0784	5822.3540	3459.0151
123.9748	4077.0000	541.6296	5821.3511	3769.3667
124.1272	3600.0000	552.6024	5820.3398	3401.7795
124.2796	4086.0000	536.1432	5819.3442	3913.6997
124.4320	4433.0000	532.7904	5818.3398	4126.6440
124.5844	3843.0000	543.4584	5817.3018	3600.1487
124.7368	4283.0000	540.7152	5816.2988	3943.5615
124.8892	3613.0000	550.4688	5815.2788	3396.8027
125.0416	4117.0000	538.5816	5814.2749	3840.4666
125.1940	3718.0000	551.3832	5813.2549	3435.1965
125.3464	4103.0000	538.8864	5812.2598	3932.8967
125.4988	3994.0000	549.5544	5811.2480	3739.8601
125.6512	3992.0000	582.4728	5810.2441	3766.1672
125.8036	4117.0000	566.0136	5809.2402	3758.7017
125.9560	4067.0000	544.0680	5808.2202	3654.1846
126.1084	4112.0000	546.8112	5807.2319	3815.5815
126.2608	4385.0000	535.5336	5806.2290	4157.2173
126.4132	4116.0000	545.2872	5805.2080	3897.7021
126.5656	4246.0000	538.2768	5804.1880	3921.5208
126.7180	4539.0000	533.4000	5803.1851	4144.0635
126.8704	4151.0000	493.7760	5802.1641	3780.7427
127.0228	4161.0000	454.1520	5801.1270	3848.6431
127.1752	4239.0000	453.5424	5799.9219	3845.0881
127.3276	4149.0000	447.4464	5798.7339	3835.1340
127.4800	4186.0000	331.9272	5797.5122	3854.6865
127.6324	4138.0000	326.1360	5795.9731	3881.3491
127.7848	4255.0000	445.0080	5794.2998	3892.7251
127.9372	3604.0000	129.5400	5792.9619	3274.8662
128.0896	7199.0000	224.6376	5774.7441	6756.6333
128.2420	6645.0000	289.2552	5772.3521	6242.5801
