HOLE:	U1353C
EXPEDITION:	317
TOP:	133.1188
BOTTOM:	211.4524
DEPTH_WMSF	FX	FY	FZ	FNOR	FINC	RB	P1AZ	HAZI	AX	AY	AZ	DEVI
m	oer	oer	oer	oer	deg	deg	deg	deg	m/s2	m/s2	m/s2	deg
139.8244	0.191422	-0.045776	-0.494691	0.532568	-67.9088	243.9462	38.2174	154.2699	0.0495	-0.0775	9.7630	0.5684
139.9768	0.192160	-0.043055	-0.494740	0.532565	-67.9117	243.9827	37.4966	153.5130	0.0484	-0.0809	9.8973	0.5733
140.1292	0.192527	-0.040708	-0.494765	0.532565	-67.9100	243.2500	36.9087	153.6568	0.0513	-0.0966	9.7485	0.5731
140.2816	0.192525	-0.039126	-0.494767	0.532558	-67.9073	242.8273	36.7219	153.8935	0.0511	-0.0871	9.7656	0.5708
140.4340	0.192630	-0.039336	-0.494766	0.532551	-67.9100	243.1856	36.8688	153.6818	0.0542	-0.0992	9.7403	0.5696
140.5864	0.192921	-0.039568	-0.494765	0.532546	-67.9090	243.0036	36.6514	153.6458	0.0284	-0.0576	9.7723	0.5727
140.7388	0.192365	-0.039521	-0.494765	0.532541	-67.9102	242.8061	36.6750	153.8685	0.0395	-0.1668	9.8358	0.5683
140.8912	0.193186	-0.039059	-0.494733	0.532536	-67.9122	243.0388	36.7633	153.7227	0.0358	-0.0624	9.7527	0.5679
141.0436	0.193435	-0.040302	-0.494498	0.532533	-67.9120	244.9628	38.7474	153.7829	0.0756	-0.0496	9.9243	0.5686
141.1960	0.191340	-0.049962	-0.494439	0.532538	-67.9133	246.9944	40.5776	153.5815	0.0437	-0.0649	9.8401	0.5649
141.3484	0.190164	-0.054194	-0.494572	0.532549	-67.9134	247.7899	41.2758	153.4848	0.0001	-0.1151	9.8956	0.5609
141.5008	0.190058	-0.054998	-0.494609	0.532554	-67.9118	248.3676	41.5917	153.2231	0.0289	-0.0698	9.8677	0.5566
141.6532	0.189647	-0.055993	-0.494304	0.532557	-67.9124	249.3956	42.0402	152.6435	0.0303	-0.0852	9.8811	0.5515
141.8056	0.188551	-0.057849	-0.494723	0.532569	-67.9135	249.8910	42.3225	152.4299	0.0355	-0.0863	9.8701	0.5468
141.9580	0.188400	-0.058152	-0.494758	0.532578	-67.9123	249.4992	42.2550	152.7542	0.0316	-0.0807	9.8543	0.5385
142.1104	0.188423	-0.057499	-0.494735	0.532588	-67.9117	249.3080	42.1463	152.8376	0.0377	-0.0792	9.8059	0.5339
142.2628	0.188714	-0.057625	-0.494723	0.532590	-67.9132	250.0150	42.2327	152.2173	0.0402	-0.0835	9.7791	0.5349
142.4152	0.188614	-0.058216	-0.494752	0.532594	-67.9202	250.6035	42.3851	151.7807	0.0399	-0.0908	9.8386	0.5334
142.5676	0.188435	-0.058584	-0.494723	0.532594	-67.9203	250.2890	42.5691	152.2799	0.0156	-0.0816	9.6797	0.5298
142.7200	0.188411	-0.059095	-0.494746	0.532572	-67.9197	250.4568	43.2022	152.7446	0.0410	-0.0868	9.8261	0.5237
142.8724	0.187430	-0.062270	-0.494194	0.532558	-67.9216	251.7466	44.5563	152.8080	0.0228	-0.0967	9.7686	0.5213
143.0248	0.185549	-0.067617	-0.494369	0.532557	-67.9271	253.3241	45.8163	152.4913	0.0199	-0.0805	9.8351	0.5223
143.1772	0.184286	-0.071071	-0.494621	0.532556	-67.9260	254.1864	46.8254	152.6391	0.0179	-0.0814	9.8068	0.5258
143.3296	0.182894	-0.073597	-0.494748	0.532549	-67.9276	254.9207	47.4913	152.5708	0.0384	-0.0930	9.9384	0.5264
143.4820	0.182326	-0.075367	-0.494760	0.532547	-67.9292	255.7894	47.8030	152.0121	0.0355	-0.0752	9.7699	0.5309
143.6344	0.181971	-0.076131	-0.494687	0.532541	-67.9307	256.1414	48.1449	152.0038	0.0209	-0.0893	9.9429	0.5280
143.7868	0.181561	-0.077857	-0.494759	0.532535	-67.9323	257.3235	49.1253	151.8012	0.0228	-0.0917	9.7650	0.5236
143.9392	0.179926	-0.080987	-0.494715	0.532531	-67.9326	258.1163	49.7200	151.6036	0.0111	-0.0742	9.8806	0.5183
144.0916	0.179531	-0.082458	-0.494200	0.532530	-67.9312	258.4773	49.7442	151.2661	0.0195	-0.0869	9.7726	0.5135
144.2440	0.179531	-0.082200	-0.494429	0.532536	-67.9301	258.1668	49.1536	150.9870	0.0032	-0.0786	9.8911	0.5074
144.3964	0.180540	-0.079329	-0.494761	0.532541	-67.9301	257.7489	48.7415	150.9921	0.0337	-0.0825	9.7789	0.5005
144.5488	0.180721	-0.078851	-0.494754	0.532531	-67.9301	257.8817	48.5636	150.6808	0.0301	-0.0955	9.8673	0.4965
144.7012	0.180552	-0.078076	-0.494737	0.532522	-67.9304	258.1681	48.4838	150.3157	0.0286	-0.1016	9.7852	0.4936
144.8536	0.180714	-0.078158	-0.494761	0.532521	-67.9287	258.5114	48.7017	150.1908	0.0105	-0.0961	9.8055	0.4887
145.0060	0.180819	-0.079066	-0.494669	0.532514	-67.9264	258.9747	49.0435	150.0682	0.0257	-0.0875	9.7989	0.4829
145.1584	0.180275	-0.080963	-0.494714	0.532497	-67.9248	259.0108	48.9867	149.9747	0.0185	-0.0904	9.8739	0.4783
145.3108	0.181344	-0.078856	-0.494528	0.532491	-67.9217	258.6547	48.6137	149.9586	-0.0082	-0.0774	9.8342	0.4735
145.4632	0.181930	-0.079765	-0.494338	0.532504	-67.9248	258.3448	48.2911	149.9454	0.0307	-0.0802	9.8486	0.4667
145.6156	0.182946	-0.077844	-0.494172	0.532516	-67.9239	257.4813	47.8169	150.3347	0.0140	-0.0696	9.7771	0.4593
145.7680	0.182688	-0.076431	-0.494282	0.532523	-67.9197	256.4674	47.1556	150.6879	0.0112	-0.0773	9.8946	0.4491
145.9204	0.183629	-0.073838	-0.494217	0.532522	-67.9194	254.9026	45.7825	150.8796	0.0023	-0.0701	9.5559	0.4382
146.0728	0.186031	-0.068474	-0.494223	0.532544	-67.9151	252.5728	44.0113	151.4384	0.0179	-0.0768	9.9857	0.4277
146.2252	0.187822	-0.063121	-0.494162	0.532561	-67.9123	250.4834	42.5765	152.0928	0.0022	-0.0668	9.6479	0.4181
146.3776	0.189290	-0.058613	-0.494087	0.532577	-67.9091	248.5381	41.3153	152.7763	0.0383	-0.0451	10.0631	0.4109
146.5300	0.190356	-0.054771	-0.494259	0.532575	-67.9056	246.4598	40.1217	153.6612	0.0142	-0.0807	9.8431	0.4071
146.6824	0.191353	-0.050470	-0.494240	0.532575	-67.9027	245.0924	39.5784	154.4849	-0.0030	-0.0797	10.0314	0.4037
146.8348	0.191353	-0.049963	-0.494439	0.532576	-67.9032	243.7895	39.2686	155.4775	0.0421	-0.0417	9.8997	0.4013
146.9872	0.191890	-0.049091	-0.494406	0.532588	-67.8989	242.3337	38.8468	156.5129	0.0376	-0.0480	9.8017	0.3987
147.1396	0.192436	-0.047501	-0.494359	0.532599	-67.8942	240.1544	37.7914	157.6358	0.0327	-0.0598	9.7457	0.3950
147.2920	0.193320	-0.042805	-0.494545	0.532602	-67.8921	237.0759	35.6934	158.6176	0.0445	-0.0716	9.8512	0.3898
147.4444	0.194792	-0.035120	-0.494849	0.532601	-67.8900	233.9637	33.5821	159.6176	0.0336	-0.0922	9.7116	0.3863
147.5968	0.196108	-0.028800	-0.494666	0.532609	-67.8880	231.8911	31.8384	159.9464	0.0371	-0.0553	9.8403	0.3862
147.7492	0.196568	-0.022917	-0.494328	0.532628	-67.8864	229.4547	30.6975	161.2409	0.0479	-0.0474	9.9243	0.3824
147.9016	0.197324	-0.019827	-0.494279	0.532651	-67.8808	227.6129	29.9098	162.2961	0.0499	-0.0545	9.8661	0.3820
148.0540	0.197582	-0.016828	-0.494406	0.532676	-67.8759	226.6354	29.1697	162.5344	0.0429	-0.0499	9.8243	0.3810
148.2064	0.197790	-0.014771	-0.494562	0.532695	-67.8726	226.0951	29.2344	163.1395	0.0512	-0.0443	9.7407	0.3810
