HOLE:	U1353C
EXPEDITION:	317
TOP:	0.0744
BOTTOM:	249.8580
DEPTH_WMSF	FX	FY	FZ	FNOR	FINC	RB	P1AZ	HAZI	AX	AY	AZ	DEVI
m	oer	oer	oer	oer	deg	deg	deg	deg	m/s2	m/s2	m/s2	deg
0.0744	-0.550574	0.611034	1.186271	0.525374	47.2858	165.4038	284.4117	119.0083	0.0223	-0.0491	9.7860	0.1679
0.2268	0.114665	0.114999	1.188583	0.551710	49.4970	232.5790	339.8176	107.2413	0.0655	-0.0043	9.7911	0.1637
0.3792	0.041253	0.218230	1.188246	0.578809	51.9078	237.4510	223.1197	99.6934	0.0665	-0.0287	9.8128	0.1586
0.5316	-0.013619	-0.074635	1.188380	0.596031	53.5986	299.0013	35.6695	96.6664	0.0825	0.0562	9.8382	0.1600
0.6840	0.276341	-0.013655	1.115125	0.619681	56.6010	291.6910	20.4623	88.7683	0.0190	-0.0414	9.8738	0.1529
0.8364	0.508075	0.007208	0.186561	0.533823	51.2311	299.6299	21.9271	82.2954	0.0927	0.0079	9.8523	0.1302
0.9888	0.151094	0.056080	0.487209	0.420615	43.6634	299.8212	21.5259	81.7042	0.1070	-0.0561	9.9739	0.1270
1.1412	0.614110	-0.077880	0.413317	0.316244	29.4032	303.4003	29.5996	86.1995	0.0563	-0.1189	9.9020	0.1317
1.2936	0.371120	-0.048568	-0.050093	0.253069	4.1948	263.6290	115.2758	95.4041	0.0280	0.0099	9.9558	0.1380
1.4460	0.046737	0.120581	-0.518468	0.259071	-23.0412	188.4549	286.8501	98.3957	0.0010	-0.0265	9.8645	0.1544
1.5984	-0.054995	0.201754	-0.640506	0.320802	-40.7052	172.7371	261.7601	89.0232	0.0504	-0.0808	9.9141	0.1720
1.7508	-0.202212	0.264948	-0.401489	0.396592	-49.3945	183.8304	266.7154	82.8842	0.0309	-0.0244	9.8520	0.1828
1.9032	-0.048727	0.150652	-0.152202	0.497564	-56.9012	192.3979	271.8008	79.4029	0.0315	-0.0335	9.8477	0.1949
2.0556	-0.099299	0.107249	-0.862533	0.575437	-62.1646	156.0372	227.1775	71.1414	0.0256	-0.0746	9.8283	0.2351
2.2080	-0.116198	0.007703	-0.920134	0.621561	-64.3706	195.8392	259.5988	63.7594	0.0328	-0.0569	9.8216	0.2734
2.3604	-0.025670	0.150688	-1.027749	0.700716	-67.1651	236.4232	296.1486	59.7243	0.0130	-0.0171	9.7675	0.2802
2.5128	-0.000837	0.157938	-1.191427	0.749978	-70.3467	275.6282	326.2613	50.6327	0.0976	0.0127	9.7183	0.2794
2.6652	0.170555	0.180775	-0.923995	0.783316	-70.7324	279.5865	322.9703	43.3836	-0.0714	-0.0114	9.7979	0.2692
2.8176	0.022816	0.246865	-0.771817	0.793374	-70.6267	256.0202	297.5833	41.5629	0.1254	-0.0812	9.7733	0.2431
2.9700	0.033192	0.351130	-0.315377	0.801306	-71.4556	237.5826	281.0237	43.4413	0.0321	-0.0199	9.8456	0.2140
3.1224	-0.092429	0.345832	-0.661347	0.826798	-73.2398	216.2932	259.9664	43.6730	0.0001	-0.1080	9.8509	0.2034
3.2748	-0.280337	0.266456	-0.858425	0.848147	-73.5641	199.7054	249.0151	49.3083	0.1366	-0.0338	9.9269	0.2044
3.4272	-0.236443	0.268416	-0.695904	0.849211	-73.1805	192.4183	250.9718	58.5516	0.0013	-0.0087	9.9070	0.2011
3.5796	-0.296174	0.274651	-0.838067	0.846175	-73.2301	172.9060	239.6735	66.7644	-0.0009	0.0197	9.9204	0.1836
3.7320	-0.210657	0.134615	-0.900030	0.837089	-73.1707	131.3321	203.2041	71.8674	0.0708	-0.0584	9.8912	0.1615
3.8844	-0.298193	-0.078457	-0.723363	0.832309	-73.6182	112.4561	179.3012	66.8468	-0.0344	-0.0325	9.8630	0.1430
4.0368	-0.310934	-0.166734	-0.777161	0.841672	-74.1940	194.0412	121.2816	50.1537	0.0595	-0.0793	9.8775	0.1029
4.1892	-0.005606	-0.015833	-0.755101	0.857119	-74.5660	276.8502	45.6427	128.7807	0.0615	-0.0947	9.8639	0.0508
4.3416	0.063080	-0.033261	-0.789633	0.878146	-75.4547	88.3046	157.9177	305.9536	0.0423	-0.0013	9.8466	0.0371
4.4940	0.005311	0.052824	-0.760612	0.881701	-76.1845	31.5642	306.8099	275.2531	0.0526	-0.0722	9.8615	0.0616
4.6464	0.061555	0.313041	-0.834934	0.881277	-76.9381	83.6249	209.1837	249.9494	0.0795	-0.0755	9.7489	0.1097
4.7988	0.089457	0.054999	-0.895297	0.885218	-77.6346	140.9972	19.3897	238.3946	0.0224	-0.0698	9.7406	0.1428
4.9512	0.084516	-0.011215	-0.938586	0.876708	-78.4560	145.9771	19.2256	233.2498	0.1190	-0.0430	9.7820	0.1394
