HOLE:	U1353C
EXPEDITION:	317
TOP:	106.1444
BOTTOM:	208.8620
DEPTH_WMSF	FX	FY	FZ	FNOR	FINC	RB	P1AZ	HAZI	AX	AY	AZ	DEVI
m	oer	oer	oer	oer	deg	deg	deg	deg	m/s2	m/s2	m/s2	deg
112.8500	-0.201897	0.041226	-0.484864	0.526385	-66.7456	61.8557	217.8121	155.9562	-0.0383	0.0661	9.8676	0.4441
113.0024	-0.202741	0.031666	-0.484824	0.526090	-66.7564	58.0597	214.7005	156.6402	-0.0236	0.0593	9.7538	0.4437
113.1548	-0.205500	0.011986	-0.484259	0.523562	-67.2580	53.7844	210.3612	156.5762	-0.0332	0.0710	9.8132	0.4335
113.3072	-0.204234	-0.004559	-0.484307	0.521295	-67.7280	48.4828	205.3348	156.8511	-0.0299	0.0735	9.9259	0.4202
113.4596	-0.203140	-0.027800	-0.483824	0.519566	-68.0169	44.1925	199.9995	155.8064	-0.0522	0.0561	9.7659	0.4094
113.6120	-0.198228	-0.051037	-0.483594	0.518703	-68.0206	36.9886	192.6940	155.7061	-0.0595	0.0395	9.7593	0.4027
113.7644	-0.190466	-0.072110	-0.483547	0.517850	-68.0287	31.1683	186.7974	155.6293	-0.0349	0.0366	9.8808	0.3916
113.9168	-0.177192	-0.100517	-0.482867	0.517020	-68.0389	23.4162	178.3482	154.9319	-0.0745	0.0164	9.8745	0.3850
114.0692	-0.157812	-0.126960	-0.482756	0.516201	-68.0474	15.6935	169.5339	153.8405	-0.0756	0.0227	9.8971	0.3783
114.2216	-0.138483	-0.146636	-0.482229	0.515398	-68.0530	7.7089	160.9277	153.2176	-0.0648	0.0139	9.7903	0.3754
114.3740	0.029075	0.202251	-0.471142	0.514609	-68.0595	58.3240	210.9823	152.6590	0.0659	0.0306	9.8271	0.3793
114.5264	-0.019501	0.080024	-0.482719	0.513872	-68.0733	186.0135	337.7299	151.7331	0.0029	0.0384	9.8279	0.3728
114.6788	0.013827	-0.200854	-0.471556	0.513159	-68.0768	310.1717	101.8153	151.6272	-0.0525	-0.0376	9.8014	0.3728
114.8312	0.014773	-0.200094	-0.471776	0.512533	-68.0929	320.5205	110.6167	150.0957	-0.0419	-0.0243	9.8128	0.3640
114.9836	0.015642	-0.200111	-0.471987	0.511964	-68.1076	321.1431	110.5193	149.3754	-0.0456	-0.0301	9.8334	0.3609
115.1360	0.015203	-0.199947	-0.472310	0.511492	-68.1175	321.9317	110.5227	148.5930	-0.0546	-0.0297	9.8802	0.3621
115.2884	0.015169	-0.200233	-0.472299	0.511089	-68.1302	323.1072	110.6013	147.4948	-0.0657	0.0052	9.8718	0.3657
115.4408	0.017187	-0.199642	-0.472299	0.510750	-68.1406	323.2487	110.2665	147.0193	-0.0305	0.0251	9.8166	0.3699
115.5932	0.018287	-0.198633	-0.472860	0.510463	-68.1565	323.6969	109.8414	146.1465	-0.0692	-0.0809	9.8475	0.3745
115.7456	0.020317	-0.199326	-0.473245	0.511537	-67.8668	323.2473	109.3851	146.1386	-0.0477	-0.0474	10.2267	0.3880
115.8980	0.021108	-0.199425	-0.472909	0.513227	-67.4383	322.1413	108.9790	146.8382	-0.0682	-0.0024	9.4527	0.4092
116.0504	0.029364	-0.198028	-0.474018	0.514645	-67.1101	319.4935	107.3238	147.8312	-0.0435	-0.0204	9.6756	0.4350
116.2028	0.044419	-0.194966	-0.475165	0.515515	-66.9801	315.5699	104.1994	148.6305	-0.0843	-0.0635	10.4708	0.4569
116.3552	0.046375	-0.194734	-0.475197	0.515903	-67.0127	312.9153	101.7328	148.8189	-0.1488	-0.0849	9.1510	0.4713
116.5076	0.051942	-0.192994	-0.476259	0.516317	-67.0421	311.8071	100.7693	148.9625	-0.0674	-0.0570	9.8778	0.4914
116.6600	0.058111	-0.190671	-0.477302	0.516738	-67.0694	309.6698	98.9635	149.2944	-0.0696	-0.0806	9.7183	0.5122
116.8124	0.064584	-0.187817	-0.478092	0.517167	-67.0957	307.2904	96.9901	149.7002	-0.0467	-0.0681	9.9375	0.5333
116.9648	0.069954	-0.185151	-0.478919	0.517618	-67.1207	305.0313	95.2221	150.1924	-0.0537	-0.0674	9.5120	0.5600
117.1172	0.075082	-0.182494	-0.479669	0.518079	-67.1576	303.3951	93.4614	150.0666	-0.0500	-0.0928	9.9366	0.5724
117.2696	0.078172	-0.181189	-0.479790	0.518544	-67.1836	301.9238	92.3996	150.4778	-0.0595	-0.1175	9.7559	0.6041
117.4220	0.083578	-0.178318	-0.480995	0.519026	-67.2158	300.1473	90.9408	150.7946	-0.0589	-0.1229	9.9814	0.6303
117.5744	0.086841	-0.176898	-0.480826	0.519485	-67.2465	298.7590	89.7117	150.9542	-0.0538	-0.1178	9.6431	0.6559
