HOLE:	U1353C
EXPEDITION:	317
TOP:	0.0742
BOTTOM:	527.9878
DEPTH_WMSF	FX	FY	FZ	FNOR	FINC	RB	P1AZ	HAZI	AX	AY	AZ
m	oer	oer	oer	oer	deg	deg	deg	deg	m/s2	m/s2	m/s2
7.5418	0.225096	-0.114118	1.183258	1.123092	72.2794	258.8316	18.8543	120.0205	-0.1214	0.0073	10.3551
7.6942	0.607396	0.149455	1.183190	1.073607	72.8363	267.7546	13.1593	105.3947	-0.0998	0.0218	10.0326
7.8466	0.428332	0.008327	1.183234	1.011701	73.5394	149.4356	183.4330	99.2652	-0.0725	0.0448	10.1354
7.9990	-0.233257	0.082097	1.182798	0.952404	73.9135	145.9076	232.0376	86.1304	-0.0712	0.0330	9.9320
8.1514	-0.307375	0.205214	1.182628	0.899581	73.8634	164.6847	232.7895	68.0994	-0.0659	0.0186	10.1330
8.3038	0.001108	0.025562	1.182974	0.848557	73.6360	155.8199	201.4835	45.6600	-0.0519	0.0568	9.7677
8.4562	0.005446	-0.005056	1.183010	0.795631	73.3810	99.9562	114.1914	14.2359	-0.0774	0.0793	9.8047
8.6086	0.039161	-0.013392	0.960716	0.750898	74.2504	118.1451	99.1672	341.0280	-0.1086	0.0669	9.8863
8.7610	-0.018103	-0.095915	0.668354	0.719218	75.8634	139.2397	90.9761	311.7358	-0.0929	0.0632	9.8531
8.9134	0.074737	-0.062753	0.371911	0.678516	75.6714	126.9293	49.5448	282.6109	-0.0996	0.0453	10.1860
9.0658	0.107350	-0.037840	0.304576	0.633126	76.3733	93.2600	143.8811	257.6756	-0.0598	0.0106	9.6519
9.2182	-0.012168	0.118209	0.133690	0.586269	75.5382	74.2734	184.8735	245.8181	-0.0468	0.0136	9.9093
9.3706	0.030588	0.001877	0.222165	0.545859	73.6650	95.9198	97.4422	244.0226	-0.0567	0.0185	10.0098
9.5230	0.007228	0.046311	0.293507	0.508254	73.1881	29.5870	273.5208	243.9311	-0.0613	-0.0165	9.9081
9.6754	-0.018684	0.078813	0.304675	0.473962	70.7842	354.3081	235.1836	240.8748	-0.0700	0.0047	9.9343
9.8278	-0.176296	0.041153	0.222766	0.441110	68.3888	351.9047	227.7777	235.8722	-0.0861	-0.0217	9.9629
9.9802	-0.113417	0.092735	0.329611	0.422341	66.6119	340.9005	209.1645	228.2635	-0.0909	-0.0094	9.9132
10.1326	-0.237402	-0.047384	0.388451	0.435299	66.9502	327.0733	194.6587	227.5850	-0.0954	-0.0443	9.9445
10.2850	-0.163104	-0.043811	0.500315	0.463250	68.6124	337.9083	202.1378	224.2295	-0.1076	-0.0478	10.0011
10.4374	-0.231763	0.020637	0.388988	0.501209	70.5195	351.6436	209.6418	217.9986	-0.0920	-0.0263	9.9849
10.5898	-0.478583	0.068436	0.303496	0.547037	71.6108	347.1574	197.3078	210.1508	-0.0534	-0.0218	9.8947
10.7422	-0.287886	-0.101335	0.461786	0.601155	72.4382	333.8149	177.8281	204.0137	-0.0625	-0.0140	10.0691
10.8946	-0.200524	-0.143329	0.526450	0.643227	72.7629	337.1967	176.3493	199.1529	-0.0703	-0.0211	10.2043
11.0470	-0.175061	-0.001400	0.458713	0.663888	73.4527	20.0075	213.3824	193.3742	-0.1275	-0.0187	9.8029
11.1994	-0.155243	0.016880	0.566999	0.688162	74.6225	5.1822	191.4957	186.3134	-0.0943	-0.0085	9.8789
11.3518	-0.130267	-0.034678	0.719725	0.714109	75.2267	326.6472	143.7297	177.0824	-0.0963	-0.0186	9.8970
11.5042	-0.022320	-0.144254	0.841898	0.731743	76.1307	262.8856	74.2416	171.3543	-0.0758	-0.0098	10.0013
11.6566	0.042553	-0.008255	0.991048	0.741866	76.6983	348.8529	154.6363	165.7843	-0.0912	-0.0081	9.8263
11.8090	-0.096038	-0.102307	0.979600	0.749898	77.7136	0.5359	160.5648	160.0300	-0.1074	-0.0268	9.8338
11.9614	-0.151237	-0.169533	1.020286	0.758540	79.1940	332.5528	129.6816	157.1309	-0.1129	-0.0377	10.1610
12.1138	0.061036	-0.171467	1.183237	0.761935	80.1364	223.7461	21.0911	157.3427	-0.0689	-0.0150	9.8001
12.2662	0.112158	0.123213	0.712270	0.763073	80.5640	344.4462	140.2168	155.7649	-0.1636	-0.0222	9.9383
12.4186	-0.051521	-0.058051	0.637189	0.761679	80.8934	353.7284	146.6136	152.8878	-0.0831	-0.0065	9.9009
12.5710	0.007493	-0.099728	0.782193	0.756750	81.0336	334.7019	123.9182	149.2150	-0.1431	-0.0620	10.2871
12.7234	-0.013842	-0.139406	0.793145	0.737560	80.8867	349.5552	144.5783	155.0235	-0.1544	-0.0274	9.8399
12.8758	-0.084914	-0.047977	0.757093	0.714445	80.5505	293.2225	115.0132	181.7929	-0.1508	-0.0539	9.9891
13.0282	0.048869	-0.094472	0.600618	0.682566	79.8015	275.8071	103.9056	188.0969	-0.0911	-0.0271	10.2455
13.1806	0.010296	-0.144882	0.500763	0.644009	78.9510	225.8763	47.3764	181.4990	-0.0428	0.0004	9.8228
13.3330	0.048706	0.035341	0.612092	0.597246	77.9990	141.4214	277.3657	179.0034	-0.0667	0.0076	10.1011
13.4854	0.027848	0.109258	0.566465	0.545278	77.0326	142.8543	316.5865	173.7332	-0.0683	0.0070	9.8365
13.6378	0.084268	0.146090	0.520947	0.507190	75.4164	116.5350	287.3828	170.8477	-0.0905	0.0229	9.9322
13.7902	-0.041386	0.057119	0.502770	0.469106	72.8566	117.2903	287.4677	170.1775	-0.0516	0.0303	9.8570
13.9426	0.005897	0.117747	0.485392	0.419243	70.2160	106.9870	286.9104	179.9241	-0.0756	-0.0371	9.6967
14.0950	-0.028823	0.105325	0.429654	0.367139	66.7226	52.2433	233.8156	181.5715	-0.1719	-0.0686	9.9135
14.2474	-0.107049	0.024360	0.557395	0.316547	60.5258	354.4539	171.7224	177.2679	-0.1488	-0.0234	9.8416
14.3998	-0.098317	-0.139730	0.252189	0.262940	51.7848	311.8899	127.2295	175.3387	-0.1415	-0.0435	9.8951
14.5522	-0.001846	-0.209517	0.280580	0.209079	37.4591	295.4072	107.5553	172.1479	-0.1101	-0.0513	9.8973
14.7046	0.040827	-0.204488	0.275009	0.172846	13.6418	287.8159	96.6771	168.8613	-0.0986	-0.0641	9.9533
14.8570	0.057349	-0.160949	0.044142	0.171569	-13.5858	303.2691	111.8425	168.5739	-0.1563	-0.0799	10.1481
15.0094	-0.025763	-0.259898	0.062378	0.211783	-36.2602	314.5278	122.6022	168.0748	-0.0995	-0.0446	9.9195
15.1618	-0.055644	-0.248251	-0.182018	0.283489	-51.8503	128.3219	189.5931	168.3671	-0.0524	-0.0817	10.0578
15.3142	-0.116553	0.055663	-0.169651	0.358021	-60.3491	170.1608	86.9437	164.3562	-0.0644	-0.0037	10.0393
15.4666	0.202811	-0.015454	-0.216039	0.429699	-65.3191	267.6256	62.0599	154.4330	-0.0741	-0.0168	10.1638
15.6190	0.176996	-0.276403	-0.515758	0.484996	-67.4962	277.4007	65.2337	147.8321	-0.0652	-0.0410	10.0115
