HOLE:	U1353C
EXPEDITION:	317
TOP:	128.5468
BOTTOM:	515.9476
DEPTH_WMSF	LCAL
m	in
128.5468	2.8700
128.6992	2.8659
128.8516	7.8822
129.0040	14.9582
129.1564	14.8723
129.3088	14.7764
129.4612	14.5918
129.6136	14.5709
129.7660	14.5631
129.9184	14.5631
130.0708	14.5084
130.2232	14.3155
130.3756	14.0991
130.5280	14.0730
130.6804	13.9974
130.8328	13.9401
130.9852	13.9036
131.1376	13.9348
131.2900	14.1043
131.4424	14.1512
131.5948	14.1721
131.7472	14.2529
131.8996	14.4719
132.0520	14.5188
132.2044	14.5061
132.3568	14.5084
132.5092	14.5084
132.6616	14.5084
132.8140	14.5058
132.9664	14.5110
133.1188	14.5136
133.2712	14.5058
133.4236	14.5058
133.5760	14.5084
133.7284	14.5359
133.8808	14.6074
134.0332	14.9385
134.1856	15.0350
134.3380	15.0297
134.4904	15.0297
134.6428	15.0219
134.7952	15.0167
134.9476	15.0193
135.1000	15.0689
135.2524	15.0819
135.4048	15.0767
135.5572	15.8319
135.7096	16.4297
135.8620	15.4104
136.0144	15.3660
136.1668	15.3843
136.3192	15.6737
136.4716	16.7347
136.6240	15.7284
136.7764	15.2670
136.9288	15.2670
137.0812	15.2670
137.2336	15.2826
137.3860	15.3608
137.5384	15.5068
137.6908	15.9630
137.8432	17.1205
137.9956	16.2967
138.1480	15.2748
138.3004	15.2957
138.4528	15.1888
138.6052	15.1366
138.7576	15.0219
138.9100	15.0271
139.0624	15.1940
139.2148	14.9594
139.3672	14.9281
139.5196	14.9176
139.6720	14.9255
139.8244	14.9463
139.9768	14.9906
140.1292	15.0067
140.2816	15.0037
140.4340	15.0037
140.5864	15.0011
140.7388	14.9985
140.8912	14.9985
141.0436	14.9463
141.1960	14.6700
141.3484	14.6413
141.5008	14.6205
141.6532	14.6074
141.8056	14.6074
141.9580	14.6104
142.1104	14.6126
142.2628	14.6074
142.4152	14.6387
142.5676	14.6439
142.7200	14.6413
142.8724	14.7273
143.0248	14.7508
143.1772	14.7664
143.3296	14.7847
143.4820	14.7743
143.6344	14.8342
143.7868	14.9646
143.9392	15.0845
144.0916	15.0297
144.2440	14.9620
144.3964	14.9463
144.5488	14.8056
144.7012	14.6778
144.8536	14.6074
145.0060	14.5359
145.1584	14.5344
145.3108	14.5240
145.4632	14.5240
145.6156	14.5292
145.7680	14.5396
145.9204	14.5344
146.0728	14.5344
146.2252	14.5240
146.3776	14.5318
146.5300	14.5318
146.6824	14.5370
146.8348	14.5031
146.9872	14.4614
147.1396	14.3911
147.2920	14.3780
147.4444	14.3728
147.5968	14.3754
