HOLE:	U1353C
EXPEDITION:	317
TOP:	435.1756
BOTTOM:	515.9476
DEPTH_WMSF	LCAL
m	in
435.1756	17.3473
435.3280	17.3473
435.4804	17.3473
435.6328	17.3473
435.7852	17.3473
435.9376	17.3473
436.0900	17.3473
436.2424	17.3473
436.3948	17.3473
436.5472	17.3473
436.6996	17.3473
436.8520	17.3473
437.0044	17.3473
437.1568	17.3473
437.3092	17.3473
437.4616	17.3473
437.6140	17.3473
437.7664	17.3473
437.9188	17.3473
438.0712	17.3473
438.2236	17.3473
438.3760	17.3473
438.5284	17.3473
438.6808	17.3473
438.8332	17.3473
438.9856	17.3473
439.1380	17.3473
439.2904	17.3473
439.4428	17.3473
439.5952	17.3473
439.7476	17.3473
439.9000	17.3473
440.0524	17.3473
440.2048	17.3473
440.3572	17.3473
440.5096	17.3473
440.6620	17.3473
440.8144	17.3473
440.9668	17.3473
441.1192	17.3473
441.2716	17.3473
441.4240	17.3473
441.5764	17.3473
441.7288	17.3473
441.8812	17.3473
442.0336	17.3473
442.1860	17.3473
442.3384	17.3473
442.4908	17.3473
442.6432	17.3473
442.7956	17.3473
442.9480	17.3473
443.1004	17.3473
443.2528	17.3473
443.4052	17.3473
443.5576	17.3473
443.7100	17.3473
443.8624	17.3473
444.0148	17.3473
444.1672	17.3473
444.3196	17.3473
444.4720	17.3473
444.6244	17.3473
444.7768	17.3551
444.9292	17.3577
445.0816	17.3421
445.2340	17.3395
445.3864	17.3421
445.5388	17.3421
445.6912	17.3525
445.8436	17.3499
445.9960	17.3551
446.1484	17.3395
446.3008	17.3395
446.4532	17.3395
446.6056	17.3447
446.7580	17.3525
446.9104	17.3655
447.0628	17.3525
447.2152	17.3395
447.3676	17.3395
447.5200	17.3421
447.6724	17.3447
447.8248	17.3447
447.9772	17.3580
448.1296	17.3551
448.2820	17.3395
448.4344	17.3395
448.5868	17.3395
448.7392	17.3395
448.8916	17.3577
449.0440	17.3577
449.1964	17.3473
449.3488	17.3421
449.5012	17.3395
449.6536	17.3395
449.8060	17.3369
449.9584	17.3421
450.1108	17.3525
450.2632	17.3577
450.4156	17.3473
450.5680	17.3372
450.7204	17.3395
450.8728	17.3447
451.0252	17.3499
451.1776	17.3499
451.3300	17.3603
451.4824	17.3499
451.6348	17.3395
451.7872	17.3421
451.9396	17.3395
452.0920	17.3421
452.2444	17.3525
452.3968	17.3511
452.5492	17.3499
452.7016	17.3421
452.8540	17.3395
453.0064	17.3395
453.1588	17.3395
453.3112	17.3473
453.4636	17.3499
453.6160	17.3629
453.7684	17.3525
453.9208	17.3395
454.0732	17.3421
454.2256	17.3421
454.3780	17.3421
454.5304	17.3418
454.6828	17.3551
454.8352	17.3421
454.9876	17.3499
455.1400	17.3395
455.2924	17.3421
455.4448	17.3395
455.5972	17.3447
455.7496	17.3473
455.9020	17.3577
456.0544	17.3629
456.2068	17.3525
456.3592	17.3421
456.5116	17.3395
456.6640	17.3395
456.8164	17.3447
456.9688	17.3421
457.1212	17.3447
457.2736	17.3534
457.4260	17.3499
457.5784	17.3447
457.7308	17.3395
457.8832	17.3395
458.0356	17.3421
458.1880	17.3395
458.3404	17.3499
458.4928	17.3551
458.6452	17.3577
458.7976	17.3473
458.9500	17.3421
459.1024	17.3395
459.2548	17.3395
459.4072	17.3420
459.5596	17.3444
459.7120	17.3513
459.8644	17.3525
460.0168	17.3506
460.1692	17.3463
460.3216	17.3464
460.4740	17.3414
460.6264	17.3368
460.7788	17.3346
460.9312	17.3366
461.0836	17.3460
461.2360	17.3423
461.3884	17.3112
461.5408	17.2783
461.6932	17.2524
461.8456	17.2374
461.9980	17.2489
462.1504	17.1881
462.3028	17.1782
462.4552	17.1683
462.6076	17.1674
462.7600	17.1547
462.9124	17.1617
463.0648	17.1372
463.2172	16.9378
463.3696	16.7288
463.5220	16.5097
463.6744	16.3723
463.8268	16.3833
463.9792	16.4254
464.1316	16.3530
464.2840	16.0401
464.4364	15.5775
464.5888	15.3169
464.7412	15.2815
464.8936	15.0247
465.0460	14.7706
465.1984	14.6692
465.3508	14.5897
465.5032	14.5817
465.6556	14.5835
465.8080	14.5819
465.9604	14.6663
466.1128	14.6846
466.2652	14.6454
466.4176	14.6420
466.5700	14.5701
466.7224	14.3087
466.8748	14.0764
467.0272	14.0283
467.1796	13.9506
467.3320	13.7607
467.4844	13.4368
467.6368	13.0318
467.7892	12.7852
467.9416	12.7663
468.0940	12.4202
468.2464	12.3329
468.3988	12.2909
468.5512	12.2572
468.7036	12.2486
468.8560	12.2457
469.0084	12.0452
469.1608	11.9815
469.3132	11.9817
469.4656	12.0191
469.6180	12.0422
469.7704	12.0291
469.9228	11.9444
470.0752	11.9279
470.2276	11.9146
470.3800	11.9629
470.5324	11.9200
470.6848	11.8428
470.8372	11.8096
470.9896	11.8629
471.1420	11.8191
471.2944	11.8015
471.4468	11.8062
471.5992	11.7945
471.7516	11.7912
471.9040	11.7920
472.0564	11.8167
472.2088	11.8319
472.3612	11.7944
472.5136	11.7637
472.6660	11.7975
472.8184	12.8632
472.9708	13.5537
473.1232	12.9571
473.2756	12.4212
473.4280	11.9995
473.5804	11.7343
473.7328	11.7334
473.8852	11.7346
474.0376	11.7333
474.1900	11.7584
474.3424	11.8266
474.4948	11.8660
474.6472	11.8448
474.7996	11.8318
474.9520	11.8632
475.1044	11.9128
475.2568	11.9631
475.4092	12.0096
475.5616	12.0245
475.7140	12.0214
475.8664	12.0262
476.0188	12.0605
476.1712	12.1624
476.3236	12.3108
476.4760	12.4052
476.6284	12.4297
476.7808	12.4567
476.9332	12.4627
477.0856	12.5330
477.2380	12.7715
477.3904	13.0232
477.5428	12.9777
477.6952	12.8964
477.8476	12.9335
478.0000	13.1704
478.1524	13.4066
478.3048	13.5513
478.4572	13.7180
478.6096	13.9611
478.7620	14.0421
478.9144	14.0492
479.0668	14.1006
479.2192	14.2713
479.3716	14.5943
479.5240	14.7197
479.6764	14.6571
479.8288	14.6777
479.9812	15.0505
480.1336	15.7220
480.2860	15.6726
480.4384	15.3843
480.5908	15.3947
480.7432	15.7154
480.8956	16.0934
481.0480	16.4056
481.2004	16.4974
481.3528	16.4297
481.5052	16.2498
481.6576	16.3749
481.8100	16.9276
481.9624	17.1361
482.1148	17.1283
482.2672	17.1361
482.4196	17.2120
482.5720	17.2143
482.7244	17.1726
482.8768	17.2430
483.0292	17.3343
483.1816	17.2899
483.3340	17.2847
483.4864	17.2847
483.6388	17.2899
483.7912	17.2952
483.9436	17.2926
484.0960	17.3369
484.2484	17.3395
484.4008	17.3369
484.5532	17.3317
484.7056	17.3577
484.8580	17.3603
485.0104	17.3577
485.1628	17.3551
485.3152	17.3499
485.4676	17.3577
485.6200	17.3708
485.7724	17.3838
485.9248	17.3577
486.0772	17.3511
486.2296	17.3577
486.3820	17.3629
486.5344	17.3708
486.6868	17.3577
486.8392	17.3551
486.9916	17.3473
487.1440	17.3447
487.2964	17.3421
487.4488	17.3395
487.6012	17.3395
487.7536	17.3421
487.9060	17.3441
488.0584	17.3421
488.2108	17.3421
488.3632	17.3447
488.5156	17.3447
488.6680	17.3447
488.8204	17.3421
488.9728	17.3447
489.1252	17.3447
489.2776	17.3421
489.4300	17.3464
489.5824	17.3421
489.7348	17.3473
489.8872	17.3447
490.0396	17.3499
490.1920	17.3473
490.3444	17.3447
490.4968	17.3473
490.6492	17.3577
490.8016	17.3525
490.9540	17.3557
491.1064	17.3551
491.2588	17.3551
491.4112	17.3525
491.5636	17.3499
491.7160	17.3551
491.8684	17.3525
492.0208	17.3551
492.1732	17.3525
492.3256	17.3629
492.4780	17.3625
492.6304	17.3567
492.7828	17.3508
492.9352	17.3516
493.0876	17.3562
493.2400	17.3552
493.3924	17.3554
493.5448	17.3561
493.6972	17.3608
493.8496	17.3650
494.0020	17.3610
494.1544	17.3553
494.3068	17.3556
494.4592	17.3660
494.6116	17.3541
494.7640	17.3671
494.9164	17.3624
495.0688	17.3639
495.2212	17.3578
495.3736	17.3588
495.5260	17.3611
495.6784	17.3589
495.8308	17.3621
495.9832	17.3581
496.1356	17.3525
496.2880	17.3574
496.4404	17.3497
496.5928	17.3448
496.7452	17.3210
496.8976	17.2884
497.0500	17.2713
497.2024	17.2668
497.3548	17.2562
497.5072	17.2452
497.6596	17.2300
497.8120	17.2199
497.9644	17.2132
498.1168	17.2105
498.2692	17.2088
498.4216	17.2097
498.5740	17.2119
498.7264	17.2367
498.8788	17.2464
499.0312	17.2159
499.1836	17.2065
499.3360	17.2240
499.4884	17.2434
499.6408	17.2312
499.7932	17.2275
499.9456	17.2065
500.0980	17.2041
500.2504	17.2130
500.4028	17.2059
500.5552	17.1863
500.7076	17.1735
500.8600	17.2679
501.0124	17.3367
501.1648	17.2730
501.3172	17.2298
501.4696	17.2880
501.6220	17.3181
501.7744	17.3121
501.9268	17.3219
502.0792	17.2818
502.2316	17.3009
502.3840	17.3473
502.5364	17.3552
502.6888	17.3552
502.8412	17.3382
502.9936	17.3343
503.1460	17.3110
503.2984	17.3330
503.4508	17.3672
503.6032	17.3186
503.7556	17.2849
503.9080	17.3274
504.0604	17.3445
504.2128	17.3512
504.3652	17.3544
504.5176	17.3512
504.6700	17.3153
504.8224	16.7607
504.9748	14.9519
505.1272	14.6970
505.2796	14.6778
505.4320	14.7208
505.5844	14.7370
505.7368	14.7329
505.8892	14.7353
506.0416	14.7478
506.1940	14.7560
506.3464	14.7619
506.4988	14.8304
506.6512	15.0390
506.8036	15.4012
506.9560	15.9445
507.1084	16.0155
507.2608	16.2941
507.4132	16.4357
507.5656	16.3950
507.7180	15.6270
507.8704	15.0115
508.0228	14.1564
508.1752	14.1043
508.3276	14.1278
508.4800	14.0965
508.6324	14.0887
508.7848	14.3259
508.9372	14.4588
509.0896	14.3806
509.2420	14.4406
509.3944	14.5866
509.5468	14.3181
509.6992	14.3024
509.8516	14.2737
510.0040	14.2737
510.1564	14.3546
510.3088	14.6908
510.4612	14.6935
510.6136	14.3728
510.7660	14.3546
510.9184	14.3108
511.0708	14.3102
511.2232	14.3155
511.3756	14.3050
511.5280	14.2790
511.6804	14.5579
511.8328	14.6622
511.9852	14.3076
512.1376	13.9870
512.2900	13.9322
512.4424	14.2853
512.5948	14.1199
512.7472	14.1188
512.8996	14.0704
513.0520	13.0549
513.2044	12.8087
513.3568	12.7982
513.5092	12.8530
513.6616	12.5506
513.8140	12.5558
513.9664	12.6340
514.1188	12.5141
514.2712	12.4254
514.4236	12.4359
514.5760	12.4359
514.7284	12.3889
514.8808	12.3921
515.0332	12.3915
515.1856	12.3212
515.3380	11.3566
515.4904	10.8743
515.6428	10.8705
515.7952	10.8622
515.9476	10.8483
