HOLE:	U1513E
EXPEDITION:	369
TOP:	425.0808
BOTTOM:	584.2371
DEPTH_WMSF	HALC	HSIG	HSTO	HNEC	HFEC
m	%	cu	in	1/s	1/s
430.1608	62.65198	30.29336	0.8009164	2433.995	414.0208
430.2116	63.60172	30.51129	0.7690953	2435.996	422.6489
430.2624	64.78904	29.29657	0.6980306	2474.87	441.35
430.3132	63.97257	29.76226	0.7505861	2539.915	446.6597
430.3640	65.98981	31.0264	0.617637	2536.004	461.9856
430.4148	67.06328	31.74238	0.5506204	2477.367	409.3633
430.4656	66.71725	31.58231	0.5521559	2441.34	445.3261
430.5164	66.25259	30.75244	0.5834694	2506.365	413.4811
430.5672	67.84476	31.54502	0.4711723	2396.067	421.9968
430.6180	66.82153	31.13582	0.5485548	2521.393	416.0024
430.6688	66.62744	30.11198	0.5629609	2587.766	418.6573
430.7196	67.16219	30.37291	0.5268703	2479.987	427.964
430.7704	74.46715	31.59571	-0.06036343	2472.022	406.0612
430.8212	75.33875	31.90286	-0.1354873	2582.398	439.9175
430.8720	77.4872	31.63697	-0.3214083	2505.669	449.2347
430.9228	77.21201	32.54927	-0.2893544	2627.794	413.3938
430.9736	77.42946	32.68927	-0.3171667	2629.997	417.9938
431.0244	76.37147	34.14563	-0.2179934	2578.716	386.6964
431.0752	74.27477	33.74475	-0.03159671	2413.429	450.6295
431.1260	71.59991	34.22588	0.1886513	2544.674	430.7665
431.1768	70.11772	33.63316	0.31638	2589.992	436.0038
431.2276	69.14326	30.65428	0.3871817	2538.658	459.9825
431.2784	70.39173	29.85048	0.2870695	2522.729	426.7964
431.3292	69.31897	29.8731	0.3757773	2605.188	422.6532
431.3800	70.25903	29.41287	0.3037181	2490.542	412.0542
431.4308	68.38224	28.83529	0.4410214	2414.214	445.2403
431.4816	68.49904	28.89057	0.4323459	2454.972	418.7296
431.5324	65.17599	28.37781	0.6565534	2583.734	445.2785
431.5832	68.6668	29.62741	0.4171984	2371.029	394.7527
431.6340	69.80227	30.39234	0.3475751	2621.61	427.9492
431.6848	72.14477	31.33236	0.1453326	2509.441	413.3474
431.7356	72.18221	30.78912	0.1307531	2602.612	397.3428
431.7864	72.67335	31.62701	0.1070587	2480.027	429.3262
431.8372	69.31363	31.47671	0.3844282	2464.013	406.0003
431.8880	68.5704	32.1205	0.4458816	2555.607	407.9915
431.9388	61.70811	32.49097	0.8544043	2486.708	414.6961
431.9896	62.41318	32.06139	0.8244321	2533.449	447.9626
432.0404	65.22427	31.36848	0.6675028	2625.706	418.0951
432.0912	66.72121	31.3602	0.5813296	2448.193	416.0396
432.1420	67.27314	30.62196	0.5384609	2545.096	435.9513
432.1928	73.84115	31.86085	0.009190137	2555.978	439.9917
432.2436	75.54382	32.60822	-0.1482587	2615.414	434.0719
432.2944	79.75306	31.29717	-0.5094025	2426.254	457.3022
432.3452	79.88532	31.9381	-0.5197011	2551.877	430.6926
432.3960	79.37606	33.309	-0.4800391	2552	443.992
432.4468	74.44579	32.89984	-0.06419245	2575.994	416.0066
432.4976	75.01722	34.40583	-0.1304693	2504.335	449.8419
432.5484	72.82625	32.23434	0.07870999	2562.594	442.6667
432.5992	71.29495	30.31938	0.2158236	2418.808	442.6562
432.6500	71.26333	29.91588	0.2334552	2580.756	430.7093
432.7008	70.2189	30.07827	0.305076	2531.944	438.0545
432.7516	68.63418	27.48869	0.4184518	2497.431	471.9043
432.8024	68.72383	28.36202	0.4113705	2594.427	440.0787
432.8532	69.16177	26.5261	0.3808917	2551.784	405.3838
432.9040	69.10362	27.787	0.3862369	2472.137	423.968
432.9548	69.29909	27.95743	0.3623804	2464.011	424
433.0056	70.62761	30.35234	-0.07714108	2526.605	447.9764
433.0564	72.22929	29.02125	0.1312055	2424.063	401.362
433.1072	74.1728	31.48411	-0.02306073	2529.974	435.9915
433.1580	73.56728	30.74285	0.02553967	2497.332	406.6655
433.2088	75.97715	31.38726	-0.1845386	2486.679	397.3542
433.2596	73.51875	30.48629	0.0284343	2511.9	439.8324
433.3104	70.4184	30.57084	0.2958305	2478.167	493.9631
433.3612	69.87476	30.91785	0.3347277	2613.212	463.9682
433.4120	74.44701	32.3162	-0.05476866	2537.548	444.0565
433.4628	71.59833	30.88322	0.1889557	2409.581	438.5488
433.5136	70.77654	31.70573	0.2571418	2515.777	388.106
433.5644	67.11514	30.90845	0.5233814	2498.031	475.8475
433.6152	64.79116	31.76541	0.5223885	2419.959	396.1508
433.6660	59.55927	30.543	0.9462785	2408.012	439.9564
433.7168	61.96529	30.6525	0.8400553	2518.597	491.9674
433.7676	63.79079	30.15812	0.7439551	2464.014	446.0118
433.8184	67.58438	32.62588	0.4987383	2385.354	392.0034
433.8692	67.59808	33.32081	0.5047632	2572.524	422.5346
433.9200	70.1685	35.28884	0.3246356	2589.32	455.9881
433.9708	68.62946	34.12122	0.440267	2573.956	441.9749
434.0216	69.39387	36.46742	0.3882648	2537.451	421.3996
434.0724	67.12326	35.50594	0.5267509	2505.463	459.9273
434.1232	66.09386	34.62432	0.6273355	2571.835	422.7589
434.1740	65.59423	33.4581	0.641294	2482.855	427.9887
434.2248	64.44735	30.65544	0.7032291	2468.333	421.435
434.2756	65.92851	29.74563	0.6073309	2577.184	454.621
434.3264	64.50079	30.43336	0.7010652	2583.993	438.6828
434.3772	69.0809	30.22338	0.2955005	2498.721	396.0272
434.4280	68.71981	30.50234	0.07909748	2482.004	449.9855
434.4788	72.11638	30.45643	-0.3497553	2545.037	420.1405
434.5296	72.82994	29.8391	0.07361367	2621.278	443.9881
434.5804	75.95202	31.65178	-0.2851765	2504.105	418.6628
434.6312	76.30352	31.14788	-0.2915923	2629.549	414.0167
434.6820	76.7422	30.90619	-0.5745038	2576.061	479.9247
434.7328	76.42751	31.71207	-0.3674048	2614.557	432.1367
434.7836	71.52875	32.4198	0.1897646	2556.146	450.6201
434.8344	72.41295	31.92978	0.1263257	2531.858	433.9804
434.8852	77.36904	33.11761	-0.2992287	2478.76	426.6795
434.9360	70.35126	31.78218	0.3037831	2510.622	368.0814
434.9868	71.56745	32.98667	0.1957163	2522.655	402.6314
435.0376	74.71152	33.46147	-0.06309039	2681.897	433.9797
435.0884	74.22279	32.75552	-0.01405688	2470.726	381.3481
435.1392	73.36522	33.03904	0.05626076	2686.645	424.0001
435.1900	77.49557	33.7585	-0.3168103	2446.661	425.3346
435.2408	73.67567	33.05855	0.008521901	2433.386	427.9894
435.2916	70.32074	33.43289	0.2024556	2488.081	373.4242
435.3424	65.65762	32.88737	0.4490441	2555.909	449.2835
435.3932	65.2593	33.89221	0.3493998	2497.501	417.4249
435.4440	69.5035	35.05887	-0.1141171	2546.647	457.0919
435.4948	69.70592	32.40307	-0.1752958	2538.018	352.2239
435.5456	74.10697	30.65624	-0.2318101	2378.948	407.901
435.5964	71.3672	30.13395	0.2009193	2606.454	426.6486
435.6472	67.95291	29.0879	0.4699835	2544.064	421.3388
435.6980	65.03645	28.26745	0.6724923	2587.971	398.0154
435.7488	67.6329	27.49872	0.5007336	2438.71	450.6513
435.7996	67.66012	26.83696	0.4975373	2462.668	405.3369
435.8504	70.77068	26.78928	0.2461636	2474.615	451.7975
435.9012	67.77206	26.77569	0.4526228	2570.637	419.9924
435.9520	69.08473	27.52325	0.1837696	2534.05	410.7091
436.0028	71.0517	28.22391	-0.06323979	2575.864	446.55
436.0536	68.76514	27.62172	0.4034671	2554.537	422.6667
436.1044	63.55725	26.38567	0.6645566	2486.837	422.6667
436.1552	63.69003	25.7771	0.7428253	2561.838	406.0358
436.2060	63.5678	27.0296	0.7617293	2510.217	425.1525
436.2568	62.50739	27.241	0.8259957	2361.543	365.4175
436.3076	61.06234	27.03823	0.8990843	2494.528	409.2876
436.3584	60.71397	27.42116	0.9188625	2506.659	425.9888
436.4092	62.42614	28.24992	0.8398386	2444.019	435.997
436.4600	63.56517	28.09273	0.7729162	2490.447	418.7484
436.5108	65.94331	29.42171	0.6227307	2537.344	438.6742
436.5616	66.90569	30.2847	0.5450857	2562.591	455.9744
436.6124	70.56753	31.65269	0.2697423	2468.343	424.1158
436.6632	72.85063	32.08045	0.0840714	2531.867	438.6503
436.7140	69.38262	31.60855	0.3618684	2445.583	428.0308
436.7648	66.59946	29.18204	-0.07360157	2542.421	439.9697
436.8156	68.43056	29.48996	0.3162411	2489.931	434.0193
436.8664	68.33597	31.10247	0.2255203	2464.046	441.3203
436.9172	69.09813	31.13506	0.07123414	2573.178	424.0246
436.9680	69.18407	28.15084	-0.1969076	2492.085	408.0168
437.0188	68.15799	28.62039	0.1102174	2607.921	459.9645
437.0696	66.24094	27.56355	0.4709243	2462.046	433.3417
437.1204	64.58336	30.31137	0.6881818	2533.326	449.3317
437.1712	62.16682	31.59675	0.8407275	2410.687	420.0017
437.2220	61.69635	29.63309	0.8497821	2458.475	423.984
437.2728	64.82001	30.18581	0.6790774	2491.937	422.0132
437.3236	66.88692	32.45583	0.553605	2438.09	433.3597
437.3744	70.71044	32.92182	0.2649895	2497.162	450.6165
437.4252	69.4172	32.90989	0.1339704	2611.828	430.7419
437.4760	74.1658	31.14587	-0.04235416	2536.164	463.928
437.5268	75.60596	30.65152	-0.2865743	2494.741	398.1189
437.5776	76.49261	30.95037	-0.2323112	2435.312	434.5905
437.6284	74.19147	31.63897	-0.2883746	2626.464	412.024
437.6792	74.05871	31.24728	-0.02653371	2546.722	413.9986
437.7300	74.95956	30.65067	-0.1030599	2591.985	400.0045
437.7808	75.1495	31.22475	-0.1219508	2539.996	509.329
437.8316	77.87012	31.49126	-0.3810205	2440.438	408.4433
437.8824	79.82814	31.5761	-0.6158252	2538.621	417.3573
437.9332	73.33326	31.38979	-0.19951	2480.047	447.9817
437.9840	72.28345	31.17101	0.006706472	2521.198	432.0524
438.0348	72.67535	30.78122	-0.03677183	2555.729	399.9825
438.0856	69.75206	30.35847	0.3332261	2412.365	390.6903
438.1364	68.90278	30.30035	0.3136417	2595.599	439.8924
438.1872	71.14375	30.14667	0.228115	2420.29	419.9881
438.2380	68.2997	29.82001	0.4544093	2517.193	416.0057
438.2888	69.47995	32.35656	0.3560851	2522.661	409.3405
438.3396	65.09018	31.92672	0.672118	2498.017	417.3277
438.3904	62.54974	32.33607	0.8142861	2402.699	445.9903
438.4412	60.71413	31.78706	0.8961967	2508.826	430.7395
438.4920	61.34297	31.02258	0.8934405	2467.965	418.6383
438.5428	63.83081	29.62754	0.7387701	2381.423	348.047
438.5936	70.44296	31.37683	0.2828699	2497.574	409.1094
438.6444	75.09018	31.86498	-0.1050299	2478.843	470.5786
438.6952	76.86118	30.63172	-0.2701647	2595.658	412.1711
438.7460	78.69518	29.46956	-0.412401	2577.381	422.6393
438.7968	75.72076	29.05531	-0.1470643	2550.488	418.0468
438.8476	74.3507	29.64056	-0.03675428	2482.125	435.9673
438.8984	66.7976	30.60048	0.5555662	2485.328	443.9884
438.9492	66.41074	29.37037	0.5933064	2473.346	426.6855
439.0000	61.43127	28.39327	0.64973	2590.583	454.6466
439.0508	61.77581	29.17553	0.6099361	2442.052	446.003
439.1016	61.41845	29.32689	0.3917052	2498.665	425.3336
439.1524	64.16774	31.48142	0.1880453	2397.391	436.0129
439.2032	62.51765	31.15114	0.4477216	2544.737	469.199
439.2540	64.34351	29.96486	0.6322786	2513.984	445.9707
439.3048	66.76818	30.81866	0.4577354	2500.175	420.0635
439.3556	69.53778	29.35421	0.3615421	2616.99	462.5417
439.4064	70.83348	29.15571	0.2592695	2510.776	430.7097
439.4572	72.0129	29.30471	0.1676059	2559.892	449.9576
439.5080	68.54626	28.43806	0.4446483	2528.059	416.0624
439.5588	64.72922	26.89525	0.7074504	2575.459	463.9379
439.6096	64.18784	27.5798	0.7431825	2413.511	445.3537
439.6604	61.45795	26.11563	0.8817704	2498.604	447.998
439.7112	58.0431	27.57534	1.014035	2460.014	418.6772
439.7620	62.18854	27.33565	0.8435124	2563.999	372.0008
439.8128	65.35283	28.50971	0.6552646	2429.927	456.9572
439.8636	69.00462	28.63607	0.3948617	2529.31	417.3114
439.9144	71.07124	30.25702	0.2407147	2498.036	388.0933
439.9652	74.29662	29.99838	-0.03718568	2530.559	471.7222
440.0160	71.25335	29.73874	0.2236194	2441.336	454.6445
440.0668	68.67282	28.28191	0.4245868	2442.663	442.6975
440.1176	66.78635	28.96145	0.5575415	2497.212	499.873
440.1684	65.50414	28.88467	0.6419826	2412.157	405.3373
440.2192	63.8322	29.89883	0.7350847	2465.255	406.6647
440.2700	64.48586	31.59583	0.335618	2466.665	386.6888
440.3208	67.71138	32.26699	0.2477263	2542.611	425.3047
440.3716	69.21849	33.58624	0.3650383	2358.069	416.0035
440.4224	70.08224	34.2644	0.2977763	2515.244	449.1738
440.4732	70.2067	36.55699	0.291573	2569.272	421.3407
440.5240	69.85751	36.37526	0.3274669	2401.396	441.325
440.5748	73.7338	35.45366	-0.003403784	2486.352	430.0418
440.6256	67.6756	32.30001	0.4888142	2641.886	408.0176
440.6764	66.33098	34.63292	0.5832058	2564.23	419.9646
440.7272	70.51621	34.69982	0.2345821	2587.938	401.3818
440.7780	72.87443	33.76413	-0.03960233	2354.848	450.6495
440.8288	68.58675	31.8087	0.4202945	2425.203	444.0123
440.8796	68.57439	31.42951	0.420575	2467.937	426.6925
440.9304	67.31224	31.92156	0.5351017	2400.076	413.3483
440.9812	67.0845	33.26125	0.5457345	2457.29	418.6627
441.0320	65.39485	30.91452	0.6365857	2557.295	423.998
441.0828	67.67383	30.52713	0.4907807	2469.334	451.9996
441.1336	72.35926	31.42885	0.1249829	2360.069	463.9844
441.1844	71.97705	30.55692	0.1598392	2553.875	420.1788
441.2352	69.71396	30.65413	0.3471699	2488.076	428.0029
441.2860	71.08751	30.99731	0.2449986	2557.242	430.7355
441.3368	75.27216	29.80203	-0.1007447	2494.852	477.8598
441.3876	72.60468	30.34141	0.1326105	2440.111	417.2867
441.4384	73.37096	30.6302	0.06592926	2490.554	396.0475
441.4892	74.89153	31.04706	-0.06509172	2566.525	429.271
441.5400	80.02778	30.76979	-0.5080567	2438.973	443.9649
441.5908	80.64633	30.9523	-0.5525746	2430.676	433.3454
441.6416	78.31783	30.89433	-0.368184	2502.612	446.6565
441.6924	73.78145	32.76471	0.01269136	2436.026	465.326
441.7432	74.39792	32.59843	-0.04455556	2499.998	405.0015
441.7940	71.40268	32.99857	0.2140482	2446.904	471.7023
441.8448	70.97702	33.46184	0.2452455	2472.039	437.3438
441.8956	72.30033	33.93166	0.1404673	2526.561	451.9684
441.9464	76.51275	32.93662	-0.2161102	2428.33	422.7646
441.9972	72.82951	32.57636	0.1087158	2482.722	422.6691
442.0480	69.20585	31.23053	0.4023935	2513.253	423.9965
442.0988	67.15443	31.42533	0.5351644	2586.502	418.6786
442.1496	67.06508	30.76723	0.5391842	2465.3	404.1864
442.2004	63.16081	28.58244	0.7717466	2454.017	467.9037
