HOLE:	U1513E
EXPEDITION:	369
TOP:	0.0153
BOTTOM:	577.3573
DEPTH_WMSF	HGR	EHGR
m	gAPI	gAPI
0.0153	2.158805	2.449921
0.0661	2.158816	2.449934
0.1169	2.157743	2.448716
0.1677	1.438176	1.632115
0.2185	0.7190894	0.8160591
0.2693	0.7206224	0.8177988
0.3201	2.160393	2.451724
0.3709	2.878688	3.266881
0.4217	2.880727	3.269195
0.4725	4.309811	4.890992
0.5233	5.035056	5.714036
0.5741	5.026729	5.704586
0.6249	2.164268	2.456121
0.6757	2.160978	2.452388
0.7265	2.159909	2.451174
0.7773	2.159907	2.451172
0.8281	2.15775	2.448724
0.8789	2.15882	2.449938
0.9297	3.5964	4.081378
0.9805	3.595912	4.080823
1.0313	2.878364	3.266513
1.0821	3.597199	4.082283
1.1329	2.159898	2.451162
1.1837	2.158344	2.449398
1.2345	1.437371	1.631201
1.2853	1.439886	1.634056
1.3361	2.877573	3.265616
1.3869	2.877652	3.265705
1.4377	2.874761	3.262424
1.4885	2.152689	2.44298
1.5393	1.439	1.633051
1.5901	3.59795	4.083136
1.6409	3.479206	3.948379
1.6917	3.475883	3.944607
1.7425	1.318948	1.496809
1.7933	1.618249	1.836471
1.8441	1.620398	1.83891
1.8949	1.621764	1.84046
1.9457	2.160973	2.452381
1.9965	2.158824	2.449943
2.0473	3.355105	3.807543
2.0981	2.638417	2.99421
2.1489	5.511715	6.254973
2.1997	5.037361	5.716652
2.2505	5.75064	6.526117
2.3013	2.157743	2.448716
2.3521	2.158081	2.449099
2.4029	1.439962	1.634142
2.4537	2.15665	2.447476
2.5045	2.87824	3.266373
2.5553	2.162057	2.453612
2.6061	2.160984	2.452394
2.6569	1.438952	1.632996
2.7077	1.438952	1.632996
2.7585	1.440029	1.634218
2.8093	1.44003	1.634219
2.8601	1.44003	1.634219
2.9109	0.7199572	0.8170438
2.9617	0.001234708	0.00140121
3.0125	1.44003	1.634219
3.0633	1.44003	1.634219
3.1141	2.87761	3.265658
3.1649	2.879136	3.26739
3.2157	3.595824	4.080723
3.2665	2.878682	3.266874
3.3173	2.876536	3.264439
3.3681	2.15753	2.448474
3.4189	1.432187	1.625318
3.4697	0.0009563518	0.001085316
3.5205	0.7200947	0.8171999
3.5713	0.7238039	0.8214093
3.6221	1.440029	1.634218
3.6729	1.439683	1.633826
3.7237	2.159899	2.451162
3.7745	2.157751	2.448725
3.8253	2.158824	2.449943
3.8761	2.160614	2.451974
3.9269	2.874494	3.262122
3.9777	2.157806	2.448787
4.0285	1.43316	1.626422
4.0793	0.7196842	0.8167341
4.1301	1.438613	1.632611
4.1809	2.15883	2.44995
4.2317	2.16117	2.452605
4.2825	2.876543	3.264446
4.3333	2.875818	3.263624
4.3841	2.154612	2.445163
4.4349	1.440067	1.634261
4.4857	1.4368	1.630554
4.5365	1.435028	1.628542
4.5873	0.7204823	0.8176399
4.6381	0.0002942085	0.0003338827
4.6889	0.0002942085	0.0003338827
4.7397	0.0002942085	0.0003338827
4.7905	1.196189	1.357496
4.8413	1.196189	1.357496
4.8921	1.195881	1.357146
4.9429	0.0002942085	0.0003338827
4.9937	0.001007806	0.00114371
5.0445	0.7176959	0.8144776
5.0953	0.7201622	0.8172765
5.1461	0.7186552	0.8155663
5.1969	0.001967108	0.002232373
5.2477	0.7232728	0.8208066
5.2985	1.437818	1.631709
5.3493	1.438959	1.633003
5.4001	1.439647	1.633784
5.4509	2.160629	2.451991
5.5017	2.160982	2.452392
5.5525	1.438564	1.632555
5.6033	0.7216865	0.8190064
5.6541	1.438959	1.633003
5.7049	1.437981	1.631894
5.7557	0.7167776	0.8134356
5.8065	0.002232139	0.002533145
5.8573	0.0002942483	0.0003339278
5.9081	0.0002942483	0.0003339278
5.9589	0.0002942483	0.0003339278
6.0097	0.6041044	0.6855682
6.0605	2.03748	2.312236
6.1113	2.038723	2.313646
6.1621	1.433326	1.626611
6.2129	0.0004670281	0.0005300071
6.2637	0.7201622	0.8172765
6.3145	0.7208664	0.8180757
6.3653	1.439065	1.633124
6.4161	0.7223767	0.8197896
6.4669	0.7186607	0.8155726
6.5177	0.000294288	0.0003339729
6.5685	0.000294288	0.0003339729
6.6193	0.7235274	0.8210955
6.6701	1.439142	1.633212
6.7209	1.440033	1.634223
6.7717	0.716008	0.8125621
6.8225	0.0003928705	0.0004458493
6.8733	1.437875	1.631773
6.9241	1.43874	1.632755
6.9749	2.879772	3.268111
7.0257	2.879772	3.268111
7.0765	3.597331	4.082434
7.1273	2.874642	3.26229
7.1781	1.443412	1.638057
7.2289	1.441105	1.635439
7.2797	1.438956	1.633
7.3305	1.438952	1.632996
7.3813	0.7162784	0.812869
7.4321	0.0006632676	0.0007527097
7.4829	0.7222212	0.8196132
7.5337	0.7223272	0.8197334
7.5845	0.7219001	0.8192487
7.6353	0.001677296	0.00190348
7.6861	1.44003	1.634219
7.7369	1.44003	1.634219
7.7877	1.44003	1.634219
7.8385	1.443941	1.638657
7.8893	2.159908	2.451172
7.9401	2.159908	2.451172
7.9909	0.718014	0.8148386
8.0417	0.7190836	0.8160525
8.0925	1.437498	1.631345
8.1433	2.161081	2.452504
8.1941	2.878535	3.266707
8.2449	2.159898	2.451162
8.2957	2.158528	2.449607
8.3465	0.7229972	0.8204938
8.3973	2.869843	3.256843
8.4481	2.156665	2.447493
8.4989	2.156657	2.447484
8.5497	2.153448	2.443842
8.6005	2.874501	3.262129
8.6513	3.591189	4.075463
8.7021	2.159038	2.450185
8.7529	1.43589	1.629521
8.8037	0.7192024	0.8161873
8.8545	0.7212431	0.8185032
8.9053	0.7216562	0.818972
8.9561	1.441111	1.635446
9.0069	1.441111	1.635446
9.0577	3.593048	4.077573
9.1085	2.874386	3.261999
