HOLE:	U1513E
EXPEDITION:	369
TOP:	117.3370
BOTTOM:	580.0234
DEPTH_WMSF	HROM	HLEF	HBDC	HDEB
m	g/cm3	barns/e-	g/cm3	g/cm3
117.3370	1.832045	25.76419	-0.2941471	1.788995
117.3624	1.545527	25.66572	-0.2969718	1.656769
117.3878	1.383646	25.67344	-0.2639028	1.548371
117.4132	1.316552	27.07461	-0.2155417	1.471299
117.4386	1.342292	28.12331	-0.1593646	1.425962
117.4640	1.400552	29.20733	-0.1023122	1.430372
117.4894	1.478015	27.11523	-0.04568344	1.459832
117.5148	1.552121	27.08718	-0.0003836356	1.497711
117.5402	1.583971	27.22446	0.006917325	1.528654
117.5656	1.589643	30.36356	0.006057031	1.548087
117.5910	1.578839	31.14849	0.008605002	1.555529
117.6164	1.558718	29.89017	0.01017254	1.558744
117.6418	1.538106	26.70159	0.009328076	1.556792
117.6672	1.53004	23.32355	0.0076499	1.557908
117.6926	1.538816	22.37252	0.006818787	1.562493
117.7180	1.563405	22.23015	0.00766285	1.568813
117.7434	1.597776	23.47289	0.01129412	1.575666
117.7688	1.610765	22.50991	0.01346497	1.582229
117.7942	1.603171	22.66418	0.008312561	1.585997
117.8196	1.585541	22.09679	0.002875781	1.584543
117.8450	1.57538	22.65534	0.00348763	1.577896
117.8704	1.565434	24.00786	0.005417662	1.570454
117.8958	1.553382	26.56771	0.00739581	1.566617
117.9212	1.551784	26.85315	0.008241973	1.567981
117.9466	1.558802	26.95563	0.008939316	1.572096
117.9720	1.576244	26.98712	0.008531841	1.578115
117.9974	1.595065	25.99998	0.009240353	1.585343
118.0228	1.604174	24.99533	0.00931153	1.592159
118.0482	1.60757	22.73355	0.01114057	1.597446
118.0736	1.603458	22.7778	0.00947987	1.599921
118.0990	1.599834	24.63677	0.009580955	1.599415
118.1244	1.595496	27.12325	0.009117446	1.596397
118.1498	1.593708	28.54317	0.009282187	1.59165
118.1752	1.591509	29.87715	0.01029005	1.584553
118.2006	1.583264	30.34262	0.01039184	1.575508
118.2260	1.574424	33.35199	0.01048302	1.564989
118.2514	1.553275	33.43012	0.009417171	1.554584
118.2768	1.536817	30.37301	0.009108485	1.544625
118.3022	1.5218	28.85504	0.009341128	1.535311
118.3276	1.520899	27.38055	0.0105967	1.52638
118.3530	1.521801	31.49593	0.01076308	1.523126
118.3784	1.51863	35.5343	0.01003912	1.510727
118.4038	1.514074	37.01103	0.00976255	1.507372
118.4292	1.512914	38.13734	0.009172872	1.49977
118.4546	1.508877	38.55548	0.007825461	1.490187
118.4800	1.50603	39.85094	0.005008706	1.486631
118.5054	1.497382	40	0.001842356	1.47814
118.5308	1.487713	36.90579	-0.0009397426	1.479484
118.5562	1.485858	36.7065	-0.00247603	1.493972
118.5816	1.483909	32.16721	-0.004483549	1.496176
118.6070	1.481737	28.57281	-0.004978952	1.497516
118.6324	1.473228	27.72056	-0.00768819	1.498079
118.6578	1.466595	30.86358	-0.009437248	1.499014
118.6832	1.47111	37.01303	-0.01014447	1.499506
118.7086	1.470846	35.68916	-0.01095386	1.492983
118.7340	1.477506	32.94558	-0.01104088	1.484227
118.7594	1.486004	30.62277	-0.01063677	1.487867
118.7848	1.496196	29.1811	-0.008848056	1.490866
118.8102	1.500435	30.79423	-0.006959658	1.506369
118.8356	1.502515	31.21949	-0.004405885	1.510942
118.8610	1.506041	33.89886	-0.00354635	1.522978
