HOLE:	U1513E
EXPEDITION:	369
TOP:	497.7244
BOTTOM:	582.3572
DEPTH_WMSF	HROM	HLEF	HBDC	HDEB
m	g/cm3	barns/e-	g/cm3	g/cm3
501.1280	1.90135	29.31042	0.07495092	1.902473
501.1534	1.916277	29.24629	0.07105594	1.893464
501.1788	1.903488	26.39766	0.06432302	1.886701
501.2042	1.881779	27.40985	0.05475484	1.882197
501.2296	1.858694	28.53127	0.04423114	1.876667
501.2550	1.856205	29.14664	0.03580987	1.870388
501.2804	1.857649	23.70627	0.03306799	1.866497
501.3058	1.862671	20.7732	0.03387825	1.864915
501.3312	1.872191	20.04777	0.03810895	1.866736
501.3566	1.876252	23.26292	0.03995033	1.870018
501.3820	1.870676	24.95112	0.03221481	1.875227
501.4074	1.87153	26.82292	0.02488612	1.879984
501.4328	1.879056	23.35324	0.02599614	1.882965
501.4582	1.894123	21.0611	0.03138142	1.884702
501.4836	1.896263	19.15848	0.03421181	1.886585
501.5090	1.89283	17.7287	0.0341477	1.889066
501.5344	1.888403	19.72147	0.0337536	1.889836
501.5598	1.884008	22.0302	0.03336356	1.887852
501.5852	1.888737	22.53347	0.03371696	1.885608
501.6106	1.884446	21.9864	0.0337537	1.884886
501.6360	1.88016	21.44596	0.03379342	1.885859
501.6614	1.880558	21.30086	0.03208773	1.887222
501.6868	1.887935	18.34295	0.03725639	1.888206
501.7122	1.895213	16.05605	0.04236989	1.890078
501.7376	1.893539	13.03223	0.04327344	1.893183
501.7630	1.895587	9.944886	0.04051568	1.895178
501.7884	1.897648	7.839711	0.03774728	1.895073
501.8138	1.901892	7.685171	0.0363338	1.894829
501.8392	1.894316	8.813137	0.03014502	1.897093
501.8646	1.887242	10.30089	0.02460824	1.901151
501.8900	1.893524	9.91946	0.02265134	1.903353
501.9154	1.909224	8.652884	0.02318096	1.906208
501.9408	1.924163	7.45448	0.0231806	1.911023
501.9662	1.913047	8.105261	0.01959843	1.924247
501.9916	1.921885	8.730956	0.01801618	1.943367
502.0170	1.928025	9.330359	0.01375075	1.967744
502.0424	1.979843	10.41731	0.01564454	1.992254
502.0678	2.027386	10.00993	0.02207286	2.010815
502.0932	2.081019	9.640951	0.03127841	2.032597
502.1186	2.094081	7.564353	0.03159711	2.076603
502.1440	2.042829	6.51472	0.01727544	2.078084
502.1694	2.000493	5.654224	0.008957417	2.068957
502.1948	1.947858	6.005853	-0.001115341	2.043572
502.2202	1.933051	6.431597	-0.005704409	2.011008
502.2456	1.919652	6.873705	-0.009254803	1.982143
502.2710	1.924696	6.77765	-0.009306698	1.94341
502.2964	1.927739	7.107985	-0.01147192	1.898721
502.3218	1.93527	7.474122	-0.00889209	1.888541
502.3472	1.925055	7.821428	-0.008376891	1.881584
502.3726	1.923368	7.202942	-0.006197884	1.896838
502.3980	1.919015	6.639502	-0.006845709	1.91607
502.4234	1.934034	6.814346	-0.003298751	1.928698
502.4488	1.935857	7.517989	-0.003124206	1.948244
502.4742	1.937688	8.30583	-0.002767609	1.951757
502.4996	1.934303	7.916409	-0.004288338	1.954946
502.5250	1.939621	7.632118	-0.002971654	1.958412
502.5504	1.944671	7.360141	-0.001959599	1.948076
502.5758	1.940022	7.169802	-0.003271479	1.946524
502.6012	1.938702	7.065285	-0.00405233	1.948922
502.6266	1.938609	6.967628	-0.003563583	1.949821
502.6520	1.950122	6.893815	-0.00130803	1.948437
502.6774	1.948087	6.730995	-0.002845104	1.948038
502.7028	1.94744	6.570357	-0.002944458	1.947502
502.7282	1.940086	6.403098	-0.004011709	1.9474
502.7536	1.937245	6.937315	-0.004449594	1.942078
502.7790	1.934937	7.525783	-0.004382248	1.943626
502.8044	1.937932	8.510741	-0.003843131	1.94337
502.8298	1.943448	8.64145	-0.0015657	1.942739
502.8552	1.946667	8.778371	-0.00157741	1.941248
502.8806	1.944439	9.705959	-0.003869693	1.939123
502.9060	1.935643	12.84974	-0.006812131	1.937209
502.9314	1.926785	18.55243	-0.009855577	1.933709
502.9568	1.920191	26.13435	-0.01074695	1.931487
502.9822	1.92455	23.73902	-0.009981318	1.940006
503.0076	1.929397	21.86245	-0.008754883	1.961903
