HOLE:	U1513E
EXPEDITION:	369
TOP:	497.7500
BOTTOM:	617.5871
DEPTH_WMSF	RLA1	RLA2	RLA3	RLA4	RLA5	RM_HRLT	RT_HRLT
m	ohm.m	ohm.m	ohm.m	ohm.m	ohm.m	ohm.m	ohm.m
501.5092	1.746748	1.729379	1.751061	1.757621	1.736419	0.3067708	1.74415
501.5600	1.820212	1.781833	1.806316	1.798684	1.770584	0.3072129	1.787164
501.6108	1.885623	1.840511	1.856591	1.855226	1.827129	0.3082325	1.840415
501.6616	1.948099	1.894652	1.898875	1.877467	1.863053	0.3097741	1.871817
501.7124	1.861716	1.848437	1.871509	1.840689	1.846448	0.3121433	1.85376
501.7632	1.905876	1.869129	1.929379	1.863545	1.885804	0.3149112	1.890997
501.8140	1.890618	1.868608	1.885472	1.832758	1.863443	0.3172716	1.864161
501.8648	1.967342	1.930029	1.945065	1.886228	1.908	0.31964	1.907037
501.9156	2.08549	2.027365	2.056854	1.982936	1.994647	0.321522	1.989254
501.9664	2.079133	2.0235	2.023628	1.986175	2.011324	0.3231821	2.000716
502.0172	2.15332	2.080958	2.068628	2.032583	2.067699	0.323937	2.042651
502.0680	2.159578	2.100899	2.079922	2.041276	2.081412	0.3238879	2.060562
502.1188	2.168055	2.100049	2.0595	2.049701	2.083718	0.3231533	2.055242
502.1696	2.149455	2.080089	2.042521	2.026139	2.06854	0.3222444	2.038309
502.2204	2.146615	2.086209	2.036316	2.038318	2.076136	0.3210642	2.047192
502.2712	2.219342	2.125862	2.084605	2.079292	2.123708	0.3193183	2.074602
502.3220	2.266658	2.165905	2.125206	2.113217	2.172736	0.317327	2.126998
502.3728	2.217471	2.132892	2.097222	2.089815	2.150297	0.3149998	2.12153
502.4236	2.201683	2.15994	2.110426	2.10559	2.160796	0.3128508	2.14281
502.4744	2.224085	2.160128	2.123847	2.118732	2.174764	0.3105874	2.154853
502.5252	2.188477	2.131274	2.100133	2.092508	2.149989	0.308049	2.130099
502.5760	2.153039	2.120195	2.075957	2.070102	2.13306	0.3052196	2.109784
502.6268	2.159331	2.114442	2.082652	2.08532	2.144287	0.3023689	2.116755
502.6776	2.221138	2.169153	2.147923	2.128772	2.198831	0.3008247	2.172449
502.7284	2.280231	2.2426	2.220718	2.217524	2.288563	0.3017974	2.250344
502.7792	2.356771	2.296866	2.287799	2.297124	2.37407	0.3049256	2.324512
502.8300	2.370861	2.302454	2.324357	2.331214	2.423737	0.3086489	2.357836
502.8808	2.333649	2.221623	2.261946	2.28341	2.380888	0.3115627	2.298075
502.9316	2.419808	2.331156	2.367256	2.396993	2.505016	0.313223	2.408991
502.9824	2.893432	2.828159	2.853645	2.869555	2.997306	0.3130689	2.888207
