HOLE:	U1513E
EXPEDITION:	369
TOP:	424.6313
BOTTOM:	580.7651
DEPTH_WMSF	HROM	HLEF	HBDC	HDEB
m	g/cm3	barns/e-	g/cm3	g/cm3
427.8825	1.546158	40	-0.01460463	1.543232
427.9079	1.545758	40	-0.01553812	1.54427
427.9333	1.544729	40	-0.0154048	1.546293
427.9587	1.544277	40	-0.01519942	1.548172
427.9841	1.546955	40	-0.0145567	1.548753
428.0095	1.553462	40	-0.01341374	1.548605
428.0349	1.555903	40	-0.01297541	1.548033
428.0603	1.549858	40	-0.01368107	1.547535
428.0857	1.54436	40	-0.01486469	1.546526
428.1111	1.540797	40	-0.01633024	1.544799
428.1365	1.54085	40	-0.01697043	1.5433
428.1619	1.54045	40	-0.0169547	1.543266
428.1873	1.541975	40	-0.0164129	1.544044
428.2127	1.545557	40	-0.01550346	1.545336
428.2381	1.549355	40	-0.01516124	1.546595
428.2635	1.549404	40	-0.01628646	1.547555
428.2889	1.549829	40	-0.01680976	1.547778
428.3143	1.549263	40	-0.01728968	1.547349
428.3397	1.547063	40	-0.01853361	1.547128
428.3651	1.54332	40	-0.01998169	1.547709
428.3905	1.543243	40	-0.02014722	1.548512
428.4159	1.548081	40	-0.01889459	1.549022
428.4413	1.553744	39.02896	-0.01757655	1.549446
428.4667	1.555253	39.25886	-0.01657351	1.55014
428.4921	1.552498	40	-0.01635951	1.550497
428.5175	1.549747	40	-0.01701735	1.549791
428.5429	1.547663	40	-0.01791832	1.548061
428.5683	1.545882	40	-0.01868693	1.546274
428.5937	1.543286	40	-0.01872345	1.545527
428.6191	1.542229	40	-0.01868466	1.545791
428.6445	1.542854	40	-0.01813721	1.546458
428.6699	1.547533	40	-0.01686105	1.54675
428.6953	1.551604	40	-0.01597836	1.546994
428.7207	1.552144	40	-0.01573192	1.547817
428.7461	1.547466	40	-0.01623025	1.549264
428.7715	1.544729	40	-0.01646111	1.551348
428.7969	1.548168	40	-0.01639673	1.553696
428.8223	1.553149	40	-0.0162982	1.556042
428.8477	1.562779	40	-0.0140154	1.55898
428.8731	1.568326	40	-0.01245065	1.560676
428.8985	1.572669	40	-0.0111703	1.559885
428.9239	1.568176	40	-0.01220634	1.557658
428.9493	1.55564	40	-0.0133444	1.555835
428.9747	1.542197	40	-0.0143764	1.557162
429.0001	1.537826	40	-0.0140486	1.559263
429.0255	1.551592	40	-0.01208115	1.558199
429.0509	1.567076	40	-0.0102511	1.557984
429.0763	1.570479	39.10096	-0.009840035	1.559538
429.1017	1.559242	35.42297	-0.0111958	1.565909
429.1271	1.559286	39.87907	-0.01075253	1.569778
429.1525	1.566691	40	-0.009255057	1.567376
429.1779	1.5741	40	-0.008388281	1.565128
429.2033	1.569964	40	-0.009004816	1.566565
429.2287	1.566214	40	-0.009550513	1.568263
429.2541	1.570224	40	-0.008744138	1.569169
429.2795	1.568666	39.82417	-0.009458624	1.565568
429.3049	1.566508	37.2746	-0.01029318	1.562627
429.3303	1.560027	37.10197	-0.01206597	1.562323
429.3557	1.55829	37.63604	-0.01311454	1.561995
429.3811	1.557446	38.36455	-0.01408651	1.561841
429.4065	1.562296	40	-0.01457976	1.561207
429.4319	1.564693	39.98735	-0.01565517	1.560661
429.4573	1.565705	39.9374	-0.01633626	1.560006
429.4827	1.559662	40	-0.01750615	1.55946
429.5081	1.55605	40	-0.01876823	1.558131
429.5335	1.553683	40	-0.01934525	1.556418
429.5589	1.553904	40	-0.01903931	1.554426
429.5843	1.553361	40	-0.01910659	1.552469
429.6097	1.552966	40	-0.0189214	1.550809
429.6351	1.551344	40	-0.01826423	1.550855
429.6605	1.54583	40	-0.01783747	1.552711
429.6859	1.544748	40	-0.01647953	1.55338
429.7113	1.555016	40	-0.01378867	1.550315
429.7367	1.571073	40	-0.01013977	1.548916
429.7621	1.581308	40	-0.0074922	1.550213
