HOLE:	U1513A
EXPEDITION:	369
TOP:	193.2031
BOTTOM:	254.1630
DEPTH_WMSF	LCAL
m	in
240.9043	11.89749
241.0567	11.88448
241.2091	11.89199
241.3615	11.90973
241.5139	11.89172
241.6663	11.79444
241.8187	11.77336
241.9711	11.76816
242.1235	11.77937
242.2759	11.76597
242.4283	11.77812
242.5807	11.77399
242.7331	11.7707
242.8855	11.80082
243.0379	12.06997
243.1903	12.21316
243.3427	12.12335
243.4951	12.08452
243.6475	12.08147
243.7999	12.09569
243.9523	12.09041
244.1047	12.0879
244.2571	12.08945
244.4095	12.12175
244.5619	12.18143
244.7143	12.26051
244.8667	12.59151
245.0191	12.37631
245.1715	12.07677
245.3239	12.07078
245.4763	12.07995
245.6287	12.09849
245.7811	12.12017
245.9335	12.1526
246.0859	12.21923
246.2383	12.26896
246.3907	12.25631
246.5431	12.19264
246.6955	12.13204
246.8479	12.12677
247.0003	12.12753
247.1527	12.13893
247.3051	12.19028
247.4575	12.27553
247.6099	12.35834
247.7623	12.43678
247.9147	12.45512
248.0671	12.37731
248.2195	12.23033
248.3719	12.18758
248.5243	12.1294
248.6767	12.09998
248.8291	12.10231
248.9815	12.09663
249.1339	12.09065
249.2863	12.09391
249.4387	12.09386
249.5911	12.10902
249.7435	12.09251
249.8959	12.09602
250.0483	12.08074
250.2007	12.08512
250.3531	12.08778
250.5055	12.08988
250.6579	12.0977
250.8103	12.13589
250.9627	12.07817
251.1151	12.04128
251.2675	12.0016
251.4199	11.99633
251.5723	12.01473
251.7247	12.01479
251.8771	12.0383
252.0295	12.02034
252.1819	11.9404
252.3342	11.86884
252.4866	11.75024
252.6390	11.63456
252.7914	11.58147
252.9438	11.58437
253.0962	11.57754
253.2486	11.58805
253.4010	11.57857
253.5534	11.57927
253.7058	11.5882
253.8582	11.57915
254.0106	11.58201
254.1630	11.58154


