HOLE:	U1513A
EXPEDITION:	369
TOP:	88.3041
BOTTOM:	258.0776
DEPTH_WMSF	LCAL
m	in
136.0053	15.35976
136.1577	14.91706
136.3101	14.10506
136.4625	14.33834
136.6149	14.34767
136.7673	14.36165
136.9197	14.34766
137.0721	14.34953
137.2245	14.35234
137.3769	14.37098
137.5293	14.4223
137.6817	14.49229
137.8341	14.33367
137.9865	14.34744
138.1389	14.07716
138.2913	14.00707
138.4437	13.94175
138.5961	13.95106
138.7485	13.9231
138.9009	14.01638
139.0533	14.17505
139.2057	14.25434
139.3581	14.24502
139.5105	14.25435
139.6629	14.27301
139.8153	14.27756
139.9677	14.01198
140.1201	14.3242
140.2725	14.21236
140.4249	14.22169
140.5773	14.21703
140.7297	14.22169
140.8821	14.18903
141.0345	14.35235
141.1869	14.48312
141.3393	14.7534
141.4917	15.1034
141.6441	15.03354
141.7965	15.23888
141.9489	15.37181
142.1013	14.80516
142.2537	14.78624
142.4061	14.96345
142.5585	14.6555
142.7109	14.50638
142.8633	14.45965
143.0157	14.06772
143.1681	14.06772
143.3205	14.07238
143.4729	14.07239
143.6253	14.21236
143.7776	14.24996
143.9300	14.93605
144.0824	15.58845
144.2348	15.58409
144.3872	15.57942
144.5396	15.58876
144.6920	15.6074
144.8444	14.71645
144.9968	14.47827
145.1492	14.23583
145.3016	14.51543
145.4540	14.16582
145.6064	14.1657
145.7588	14.17036
145.9112	14.16569
146.0636	14.15171
146.2160	14.27766
146.3684	14.19375
146.5208	14.38954
146.6732	14.2078
146.8256	14.33364
146.9780	14.17504
147.1304	14.21238
147.2828	14.24965
147.4352	14.28233
147.5876	14.39432
147.7400	14.43164
147.8924	14.40846
148.0448	14.59952
148.1972	14.59961
148.3496	14.62293
148.5020	14.58084
148.6544	14.40376
148.8068	14.34768
148.9592	14.36166
149.1116	14.32896
149.2640	14.25441
149.4164	14.19372
149.5688	14.38032
149.7212	14.21703
149.8736	14.22169
150.0260	14.22635
150.1784	14.21702
150.3308	14.217
150.4832	14.11431
150.6356	13.99781
150.7880	14.17498
150.9404	14.20303
151.0928	14.21703
151.2452	14.22635
151.3976	14.21236
151.5500	14.10971
151.7024	13.8902
151.8548	13.23254
152.0072	13.2139
152.1596	13.21855
152.3120	13.20456
152.4644	13.21388
152.6168	13.20363
152.7692	13.1859
152.9216	13.18124
153.0740	13.27452
153.2264	13.22792
153.3788	13.0973
153.5312	13.13923
153.6836	12.9433
153.8360	13.01327
153.9884	13.01793
154.1408	13.01326
154.2932	13.01793
154.4456	13.02266
154.5980	13.1345
154.7504	12.96665
154.9028	13.07858
155.0552	12.99927
155.2076	13.01325
155.3600	12.99927
155.5124	13.01793
155.6648	13.00396
155.8172	13.11602
155.9696	13.28845
156.1220	13.44248
156.2744	13.1299
156.4268	13.09725
156.5792	13.10191
156.7316	13.10658
156.8840	13.09258
157.0364	13.10191
157.1888	13.10191
157.3412	13.14388
157.4936	13.25587
157.6460	13.32588
157.7984	13.37251
157.9508	13.34921
158.1032	13.35386
158.2556	13.35386
158.4080	13.35382
158.5604	13.26527
158.7128	13.26055
158.8652	13.36785
159.0176	13.23721
159.1700	13.22789
159.3224	13.2139
159.4748	13.22322
159.6272	13.33523
159.7796	13.45183
159.9320	13.42853
160.0844	13.67108
160.2368	13.74579
160.3892	13.77845
160.5416	13.78777
160.6940	13.80643
160.8464	13.70845
160.9988	13.5638
161.1512	13.51254
161.3036	13.24201
161.4560	13.24188
161.6084	13.24189
161.7608	13.25121
161.9132	13.25121
162.0656	12.92003
162.2180	12.75198
162.3704	12.73798
162.5228	12.72866
162.6752	12.72399
162.8276	12.72399
162.9800	12.71932
163.1324	12.72398
163.2848	12.71466
163.4372	12.72398
163.5896	12.73798
163.7420	12.72398
163.8944	12.71466
164.0468	12.71465
164.1992	12.71466
164.3516	12.72398
164.5040	12.71466
164.6564	12.72398
