HOLE:	U1513A
EXPEDITION:	369
TOP:	77.9409
BOTTOM:	294.0439
DEPTH_WMSF	DTCO	DT1	DT2	VCO	VS1	VS2
m	us/ft	us/ft	us/ft	km/s	km/s	km/s
91.5045	173.2677	717.0605	659.5678	1.7591	0.4251	0.4621
91.6569	174.0802	638.5076	641.4298	1.7509	0.4774	0.4752
91.8093	176.9384	673.1694	642.5092	1.7226	0.4528	0.4744
91.9617	175.5233	686.2131	645.536	1.7365	0.4442	0.4722
92.1141	175.3153	683.0287	666.2949	1.7386	0.4462	0.4575
92.2665	176.4486	752.2102	645.9601	1.7274	0.4052	0.4719
92.4189	175.0986	746.5627	633.805	1.7407	0.4083	0.4809
92.5713	175.3265	755.5004	640.6155	1.7385	0.4034	0.4758
92.7237	175.8838	721.8987	680.659	1.7330	0.4222	0.4478
92.8761	174.5738	727.7621	672.7169	1.7460	0.4188	0.4531
93.0285	173.2659	702.342	685.1356	1.7591	0.4340	0.4449
93.1809	172.4055	713.1801	663.5128	1.7679	0.4274	0.4594
93.3333	172.9245	726.299	674.8161	1.7626	0.4197	0.4517
93.4857	172.9422	739.7109	693.4943	1.7624	0.4121	0.4395
93.6381	172.7067	718.7545	738.9023	1.7648	0.4241	0.4125
93.7905	171.5661	679.0717	737.623	1.7766	0.4488	0.4132
93.9429	170.6665	710.8515	744.0176	1.7859	0.4288	0.4097
94.0953	165.8237	737.3607	699.5964	1.8381	0.4134	0.4357
94.2477	165.4225	713.1917	700.4023	1.8426	0.4274	0.4352
94.4001	165.9582	716.5593	665.1578	1.8366	0.4254	0.4582
94.5525	170.6956	742.9266	633.5406	1.7856	0.4103	0.4811
94.7049	173.9034	774.3832	653.8699	1.7527	0.3936	0.4661
94.8573	174.3209	769.4398	671.9006	1.7485	0.3961	0.4536
95.0097	173.0731	776.6223	694.9913	1.7611	0.3925	0.4386
95.1621	174.9251	784.0469	725.4016	1.7425	0.3888	0.4202
95.3145	174.3786	787.2413	714.816	1.7479	0.3872	0.4264
95.4669	173.8318	777.4515	699.2127	1.7534	0.3921	0.4359
95.6193	173.285	780.0727	688.8669	1.7590	0.3907	0.4425
