Exp,Site,Hole,Core,Type,Sect,Top(cm),Depth CSF-A (m),NGR total counts (cps)
359,U1465,A,1,H,1,0,0,2.712
359,U1465,A,1,H,1,10,0.1,2.478
359,U1465,A,1,H,1,20,0.2,4.214
359,U1465,A,1,H,1,30,0.3,6.484
359,U1465,A,1,H,1,40,0.4,8.243
359,U1465,A,1,H,1,50,0.5,8.656
359,U1465,A,1,H,1,60,0.6,9.151
359,U1465,A,1,H,1,70,0.7,9.204
359,U1465,A,1,H,1,80,0.8,9.138
359,U1465,A,1,H,1,90,0.9,9.108
359,U1465,A,1,H,1,100,1,9.274
359,U1465,A,1,H,1,110,1.1,8.63
359,U1465,A,1,H,1,120,1.2,8.051
359,U1465,A,1,H,1,130,1.3,7.513
359,U1465,A,1,H,2,0,1.39,7.522
359,U1465,A,1,H,2,10,1.49,5.454
359,U1465,A,1,H,2,20,1.59,4.487
359,U1465,A,1,H,2,30,1.69,3.054
359,U1465,A,1,H,2,40,1.79,2.516
359,U1465,A,1,H,2,50,1.89,2.676
359,U1465,A,1,H,2,60,1.99,3.637
359,U1465,A,1,H,2,70,2.09,4.037
359,U1465,A,1,H,2,80,2.19,4.508
359,U1465,A,1,H,2,90,2.29,4.642
359,U1465,A,1,H,2,100,2.39,4.59
359,U1465,A,1,H,2,110,2.49,4.293
359,U1465,A,1,H,3,0,2.56,4.485
359,U1465,A,1,H,3,10,2.66,4.272
359,U1465,A,1,H,3,20,2.76,4.604
359,U1465,A,1,H,3,30,2.86,4.414
359,U1465,A,1,H,3,40,2.96,4.406
359,U1465,A,1,H,3,50,3.06,4.159
359,U1465,A,1,H,3,60,3.16,3.824
359,U1465,A,1,H,3,70,3.26,3.804
359,U1465,A,1,H,3,80,3.36,4.098
359,U1465,A,1,H,3,90,3.46,3.635
359,U1465,A,1,H,3,100,3.56,4.117
359,U1465,A,1,H,3,110,3.66,4.394
359,U1465,A,1,H,3,120,3.76,4.592
359,U1465,A,1,H,3,130,3.86,4.675
359,U1465,A,1,H,3,140,3.96,3.765
359,U1465,A,1,H,4,0,3.97,5.306
359,U1465,A,1,H,4,10,4.07,5.484
359,U1465,A,1,H,4,20,4.17,5.374
359,U1465,A,1,H,4,30,4.27,4.934
359,U1465,A,1,H,4,40,4.37,4.453
359,U1465,A,1,H,4,50,4.47,3.653
359,U1465,A,1,H,4,60,4.57,3.731
359,U1465,A,1,H,4,70,4.67,4.094
359,U1465,A,1,H,4,80,4.77,4.655
359,U1465,A,1,H,4,90,4.87,4.622
359,U1465,A,1,H,4,100,4.97,4.137
359,U1465,A,1,H,4,110,5.07,4.307
359,U1465,A,1,H,4,120,5.17,4.408
359,U1465,A,1,H,4,130,5.27,4.513
359,U1465,A,1,H,5,0,5.39,5.073
359,U1465,A,1,H,5,10,5.49,4.846
359,U1465,A,1,H,5,20,5.59,5.117
359,U1465,A,1,H,5,30,5.69,4.857
359,U1465,A,1,H,5,40,5.79,3.659
359,U1465,A,1,H,5,50,5.89,3.743
359,U1465,A,1,H,5,60,5.99,3.897
359,U1465,A,1,H,5,70,6.09,3.787
359,U1465,A,1,H,5,80,6.19,3.61
359,U1465,A,1,H,5,90,6.29,3.383
359,U1465,A,1,H,6,0,6.3,6.054
359,U1465,A,1,H,6,10,6.4,5.522
359,U1465,A,1,H,6,20,6.5,5.681
359,U1465,A,1,H,6,30,6.6,6.144
359,U1465,A,1,H,6,40,6.7,5.776
359,U1465,A,1,H,6,50,6.8,6.019
359,U1465,A,1,H,6,60,6.9,5.498
359,U1465,A,2,H,1,0,7.1,5.793
359,U1465,A,2,H,1,10,7.2,7.103
359,U1465,A,2,H,1,20,7.3,9.067
359,U1465,A,2,H,1,30,7.4,10.224
359,U1465,A,2,H,1,40,7.5,10.119
359,U1465,A,2,H,1,50,7.6,10.436
359,U1465,A,2,H,1,60,7.7,10.701
359,U1465,A,2,H,1,70,7.8,10.467
359,U1465,A,2,H,1,80,7.9,9.975
359,U1465,A,2,H,1,90,8,10.382
359,U1465,A,2,H,1,100,8.1,9.94
359,U1465,A,2,H,1,110,8.2,9.88
359,U1465,A,2,H,1,120,8.3,9.152
359,U1465,A,2,H,1,130,8.4,8.795
359,U1465,A,2,H,1,140,8.5,8.378
359,U1465,A,2,H,1,150,8.6,6.836
