HOLE:	U1513D
EXPEDITION:	369
TOP:	175.1527
BOTTOM:	300.5779
DEPTH_WMSF	LCAL
m	in
223.0063	11.82816
223.1587	11.81883
223.3111	11.81883
223.4635	11.81883
223.6159	11.83002
223.7683	11.81883
223.9207	11.83002
224.0731	11.82257
224.2255	11.82816
224.3779	11.81883
224.5303	11.82256
224.6827	11.81884
224.8351	11.83748
224.9875	11.84123
225.1399	11.87017
225.2923	12.06868
225.4447	12.22556
225.5971	12.22942
225.7495	12.22942
225.9019	12.23687
226.0543	12.22476
226.2067	12.21449
226.3591	12.1921
226.5115	12.19675
226.6639	12.18837
226.8163	12.20701
226.9687	12.1921
227.1211	12.20609
227.2735	12.18838
227.4259	12.17344
227.5783	12.17716
227.7307	12.12491
227.8831	11.85185
228.0355	11.71818
228.1879	11.71432
228.3403	11.70686
228.4927	11.71058
228.6451	11.71059
228.7975	11.71618
228.9499	11.70686
229.1023	11.71432
229.2547	11.70686
229.4071	11.70685
229.5595	11.70685
229.7119	11.71152
229.8643	11.71804
230.0167	11.70687
230.1691	11.71805
230.3215	11.70686
230.4739	11.71804
230.6263	11.72551
230.7787	11.71806
230.9311	11.70686
231.0835	11.71059
231.2359	11.71059
231.3883	11.71059
231.5407	11.70686
231.6931	11.71432
231.8455	11.71152
231.9979	11.7255
232.1503	11.72179
232.3027	11.76283
232.4551	11.7815
232.6075	11.77032
232.7599	11.78616
232.9123	11.77405
233.0647	11.7927
233.2171	11.77686
233.3695	11.77777
233.5219	11.77404
233.6743	11.78617
233.8267	11.77406
233.9791	11.7815
234.1315	11.77218
234.2839	11.78524
234.4363	12.0316
234.5887	12.0754
234.7411	12.08384
234.8935	12.08012
235.0459	12.07545
235.1983	12.07265
235.3507	12.08011
235.5031	12.07079
235.6555	12.08011
235.8079	12.07639
235.9603	12.08943
236.1127	12.08012
236.2651	12.08011
236.4175	12.06144
236.5699	11.97197
236.7223	11.94949
236.8747	11.92615
237.0271	11.93454
237.1795	11.91963
237.3319	11.9308
237.4843	11.80396
237.6367	11.80763
237.7891	11.75825
237.9415	11.75165
238.0939	11.53902
238.2463	11.50904
238.3987	11.49037
238.5511	11.52019
238.7035	11.53141
238.8559	11.54635
239.0083	11.54822
239.1607	11.53144
239.3131	11.53888
239.4655	11.53143
239.6179	11.53422
239.7703	11.55752
239.9227	11.56221
240.0751	11.55756
240.2275	11.56501
240.3799	11.55755
240.5323	11.56874
240.6847	11.56502
240.8371	11.56688
240.9895	11.56502
241.1419	11.56502
241.2943	11.56502
241.4467	11.56222
241.5991	11.56875
241.7515	11.56689
241.9039	11.57248
242.0563	11.57994
242.2087	11.64618
242.3611	11.62102
242.5135	11.74777
242.6659	11.77216
242.8183	11.77404
242.9707	11.70686
243.1231	11.66492
243.2755	11.66953
243.4279	11.66953
243.5803	11.67886
243.7327	11.718
243.8851	11.83271
244.0375	14.95964
244.1899	14.64076
244.3423	12.22942
244.4947	12.23315
244.6471	12.22569
244.7995	12.23315
244.9519	12.24341
245.1043	12.36737
245.2567	13.31102
245.4091	13.48348
245.5615	13.93141
245.7139	14.05355
245.8663	13.67059
246.0187	12.85703
246.1711	12.10273
246.3235	12.06145
246.4759	12.05772
246.6283	12.06145
246.7807	12.05679
246.9331	12.05772
247.0855	13.31772
247.2379	13.84795
247.3903	13.85682
247.5427	13.86056
247.6951	13.81583
247.8475	13.0402
247.9999	12.84916
248.1523	12.35088
248.3047	11.88601
248.4571	11.76765
248.6095	11.79268
248.7619	11.72182
248.9143	11.89348
249.0667	11.62322
249.2191	11.64711
249.3715	11.58745
249.5239	11.61353
249.6763	11.60981
249.8287	11.60981
249.9811	11.67415
250.1335	11.80759
250.2859	12.05408
250.4383	13.63196
250.5907	14.81888
250.7431	14.59971
250.8955	11.7537
251.0479	11.74419
251.2003	11.74418
251.3527	11.8561
251.5051	12.83018
251.6575	12.71482
251.8099	12.52822
251.9623	11.78575
252.1147	11.74792
252.2671	11.75353
252.4195	12.09837
252.5719	14.45959
252.7243	14.87471
252.8767	16.96219
253.0291	17.05927
253.1815	17.06778
253.3339	16.91764
253.4863	14.01418
253.6387	13.84401
253.7911	13.01415
253.9435	15.63172
254.0959	16.93206
254.2483	17.06686
254.4007	17.07245
254.5531	16.39927
254.7055	16.0219
254.8579	15.94802
255.0103	12.76364
255.1627	15.61963
255.3151	15.60742
255.4675	15.68578
255.6199	15.6858
255.7723	15.69698
255.9247	15.67275
256.0771	15.68952
256.2295	15.67833
256.3819	15.66342
256.5343	14.54083
256.6867	12.52895
256.8391	13.25581
256.9915	12.63709
257.1439	13.25995
257.2963	13.63265
257.4487	13.40523
257.6011	13.28405
257.7535	13.28947
257.9059	13.4797
258.0583	13.11603
258.2107	13.8419
258.3631	13.7897
258.5155	13.69454
258.6679	13.68886
258.8203	15.63334
