HOLE:	U1513D
EXPEDITION:	369
TOP:	153.5119
BOTTOM:	299.9683
DEPTH_WMSF	RHOM	DRH	PEFL	NRHB
m	g/cm3	g/cm3	barns/e-	g/cm3
171.6475	1.837922	0.09058797	5.347083	1.837922
171.7999	1.834931	0.08939644	5.500678	1.834931
171.9523	1.831919	0.08842546	5.445704	1.831919
172.1047	1.839985	0.09155421	5.434634	1.839985
172.2571	1.846925	0.09551866	5.357008	1.846925
172.4095	1.842827	0.08968138	5.456753	1.842827
172.5619	1.83089	0.0959873	5.228096	1.83089
172.7143	1.834866	0.08554451	5.552706	1.834866
172.8667	1.815642	0.08578382	5.225138	1.815642
173.0191	1.858826	0.0981834	5.438756	1.858826
173.1715	1.828173	0.09605616	5.037865	1.828173
173.3239	1.838058	0.08626092	5.245918	1.838058
173.4763	1.832023	0.09544043	5.313815	1.832023
173.6287	1.825331	0.09286304	5.507977	1.825331
173.7811	1.804523	0.1061216	5.962066	1.804523
173.9335	1.771222	0.1173479	6.072309	1.771222
174.0859	1.789673	0.136958	5.955818	1.789673
174.2383	1.816287	0.1501079	5.55709	1.816287
174.3907	1.871744	0.1543053	5.365941	1.871744
174.5431	1.85965	0.1280948	5.33938	1.85965
174.6955	1.858726	0.1056595	5.657813	1.858726
174.8479	1.835352	0.07504398	5.869232	1.835352
175.0003	1.814317	0.05400891	6.108688	1.814317
175.1527	1.806652	0.04799438	5.723159	1.806652
175.3051	1.787596	0.03624813	5.384098	1.787596
175.4575	1.783264	0.01477826	5.085552	1.783264
175.6099	1.796004	0.01240043	4.790738	1.796004
175.7623	1.812198	0.01225807	4.740781	1.812198
175.9147	1.823781	0.009726551	4.805895	1.823781
176.0671	1.834875	0.01374821	4.897414	1.834875
176.2195	1.840896	0.01361617	4.997791	1.840896
176.3719	1.836962	0.01190421	4.875371	1.836962
176.5243	1.836597	0.007042537	4.883952	1.836597
176.6767	1.83607	0.005088287	4.778669	1.83607
176.8291	1.831889	0.001833542	4.857307	1.831889
176.9815	1.830062	0.003983142	4.947268	1.830062
177.1339	1.8326	0.006532866	5.207345	1.8326
177.2863	1.831511	0.006724405	5.223784	1.831511
177.4387	1.832795	0.006716636	5.242798	1.832795
177.5911	1.827809	0.006129189	5.173281	1.827809
177.7435	1.824776	0.004134201	5.005711	1.824776
177.8959	1.822079	0.00303632	4.653565	1.822079
178.0483	1.815473	0.001808998	4.413672	1.815473
178.2007	1.811622	0.00233595	4.468129	1.811622
178.3531	1.807056	0.004315259	4.363235	1.807056
178.5055	1.806436	0.0035237	4.486399	1.806436
178.6579	1.798274	0.002141686	4.524577	1.798274
178.8103	1.793042	0.001063716	4.798369	1.793042
178.9627	1.783919	-0.002928575	4.589431	1.785063
179.1151	1.784915	-0.004539832	4.464428	1.783387
179.2675	1.790035	-0.002999066	4.433702	1.794113
179.4199	1.804263	-0.0002045043	4.476703	1.804264
179.5723	1.820511	0.003309134	4.466038	1.820511
179.7247	1.830342	0.005523894	4.582314	1.830342
179.8771	1.81721	0.005010467	4.705497	1.81721
180.0295	1.806263	0.004557699	4.790089	1.806263
180.1819	1.808797	0.007989041	4.628005	1.808797
180.3343	1.83391	0.01641097	4.667425	1.83391
180.4867	1.839812	0.02277643	4.65631	1.839812
180.6391	1.827917	0.01821904	4.754157	1.827917
180.7915	1.811142	0.0147178	4.793234	1.811142
180.9439	1.799682	0.008053401	4.703409	1.799682
181.0963	1.796342	0.004512277	4.792733	1.796342
181.2487	1.800669	0.004371772	4.728115	1.800669
181.4011	1.820508	0.009460963	4.860518	1.820508
181.5535	1.809393	0.009013155	4.78334	1.809393
181.7059	1.793652	0.007171879	4.715401	1.793652
181.8583	1.777575	0.007345386	4.668537	1.777575
182.0107	1.784658	0.00937576	4.620895	1.784658
182.1631	1.788039	0.006356704	4.379357	1.788039
182.3155	1.786112	0.006792345	4.124123	1.786112
182.4679	1.781285	0.006230724	4.047819	1.781285
182.6203	1.772144	0.004888572	4.052512	1.772144
182.7727	1.768065	0.003189388	4.112186	1.768065
182.9251	1.768573	0.003087007	4.15053	1.768573
183.0775	1.7724	0.003197544	4.249941	1.7724
183.2299	1.784457	0.003567297	4.38676	1.784457
183.3823	1.786062	0.004248934	4.427379	1.786062
183.5347	1.786776	0.00217047	4.537445	1.786776
183.6871	1.775845	-0.001553436	4.655666	1.775845
183.8395	1.774182	-0.00243076	4.651368	1.774182
183.9919	1.770006	-0.004087357	4.814324	1.774298
184.1443	1.765379	-0.006369949	4.602483	1.74946
184.2967	1.766913	-0.00490624	4.497882	1.772288
184.4491	1.772328	-0.003061599	4.313278	1.772829
184.6015	1.766054	-0.002018262	4.320414	1.766054
184.7539	1.763597	0.001260205	4.266712	1.763597
184.9063	1.757994	0.003778537	4.170383	1.757994
185.0587	1.764959	0.007496149	4.076675	1.764959
185.2111	1.775749	0.0155434	4.01752	1.775749
185.3635	1.77894	0.01742981	3.944564	1.77894
185.5159	1.780364	0.01645436	3.909935	1.780364
185.6683	1.783951	0.02007487	4.057977	1.783951
185.8207	1.7917	0.02258922	4.186204	1.7917
185.9731	1.796415	0.01674196	4.36432	1.796415
186.1255	1.804104	0.01588605	4.328921	1.804104
186.2779	1.804129	0.01288067	4.393191	1.804129
186.4303	1.793738	0.009151784	4.368774	1.793738
186.5827	1.792613	0.009201344	4.386232	1.792613
186.7351	1.790846	0.01033524	4.405537	1.790846
186.8875	1.789616	0.01105407	4.431785	1.789616
187.0399	1.788436	0.01127363	4.472161	1.788436
187.1923	1.786208	0.01032464	4.36295	1.786208
187.3447	1.792911	0.009688121	4.422464	1.792911
187.4971	1.795907	0.007806782	4.513407	1.795907
187.6495	1.807033	0.006178538	4.700692	1.807033
187.8019	1.812292	0.00390036	4.809252	1.812292
187.9543	1.808926	-0.0003965051	4.836163	1.808926
188.1067	1.801759	-0.003968159	4.918448	1.785274
188.2591	1.796975	0.00372949	4.814744	1.796956
188.4115	1.802855	0.008153044	4.841467	1.802855
188.5639	1.809958	0.01799631	4.8707	1.809958
188.7163	1.822944	0.03010099	4.955475	1.822944
188.8687	1.82747	0.03658345	4.764581	1.82747
189.0211	1.809288	0.01688408	4.620948	1.809288
189.1735	1.804725	0.01103267	4.624415	1.804725
189.3259	1.799964	0.0119411	4.779187	1.799964
189.4783	1.796036	0.008719181	5.007542	1.796036
189.6307	1.799293	0.01000307	5.062496	1.799293
189.7831	1.809072	0.01291161	5.127747	1.809072
189.9355	1.812168	0.0157698	4.914572	1.812168
190.0879	1.808554	0.008635487	4.823428	1.808554
190.2403	1.812516	0.008338806	4.81927	1.812516
190.3927	1.814658	0.009911385	4.818322	1.814658
190.5451	1.802431	0.008502485	4.836051	1.802431
190.6975	1.801872	0.007409676	4.621486	1.801872
190.8499	1.804308	0.005726072	4.437745	1.804308
191.0023	1.808583	0.0132648	4.384595	1.808583
191.1547	1.810334	0.01378592	4.396678	1.810334
191.3071	1.824565	0.02328549	4.628645	1.824565
191.4595	1.860824	0.03640867	4.690653	1.860824
191.6119	1.861536	0.04530569	4.667823	1.861536
191.7643	1.828	0.02045321	4.533942	1.828
191.9167	1.809004	0.007648539	4.583787	1.809004
192.0691	1.815509	0.006770187	4.652578	1.815509
192.2215	1.819013	0.00681429	4.723613	1.819013
192.3739	1.810957	-0.0003365441	4.650282	1.810957
192.5263	1.813677	-0.0008768182	4.494584	1.813019
192.6787	1.819406	0.0002304562	4.428172	1.819406
192.8311	1.827028	0.002271783	4.439199	1.827028
192.9835	1.822699	0.001439371	4.518431	1.822699
193.1359	1.818898	0.001707135	4.59997	1.818898
193.2883	1.820782	0.002571894	4.568194	1.820782
193.4407	1.825005	0.001965952	4.705882	1.825005
193.5931	1.829457	0.0000468	4.689945	1.829457
193.7455	1.834938	0.000873532	4.622963	1.834938
193.8979	1.83805	0.0004505584	4.512993	1.83805
194.0503	1.840591	0.002437463	4.683547	1.840591
194.2027	1.837656	0.004694161	4.91549	1.837656
194.3551	1.834694	0.005674198	5.12907	1.834694
194.5075	1.831879	0.005013965	5.034958	1.831879
194.6599	1.834126	0.005833775	4.902864	1.834126
194.8123	1.83342	0.005900871	4.681209	1.83342
194.9647	1.834135	0.009130582	4.521677	1.834135
195.1171	1.838746	0.01466215	4.582542	1.838746
195.2695	1.840502	0.01835869	4.689994	1.840502
195.4219	1.849091	0.02784826	4.846108	1.849091
195.5743	1.848434	0.02889577	4.745923	1.848434
195.7267	1.854032	0.027457	4.641425	1.854032
195.8791	1.839145	0.03192421	4.495097	1.839145
196.0315	1.813601	0.02388016	4.296948	1.813601
196.1839	1.778565	0.01258609	4.214272	1.778565
196.3363	1.781526	0.01136272	4.15144	1.781526
196.4887	1.777446	0.00827674	4.229275	1.777446
196.6411	1.774427	0.006132544	4.402829	1.774427
196.7935	1.767545	0.003790979	4.632854	1.767545
196.9459	1.76447	0.004103269	4.876225	1.76447
197.0983	1.760651	0.003836239	4.781027	1.760651
197.2507	1.760899	0.0033669	4.704791	1.760899
197.4031	1.761497	0.005142624	4.582157	1.761497
197.5555	1.767321	0.008093514	4.445168	1.767321
197.7079	1.773664	0.007737096	4.432645	1.773664
197.8603	1.782618	0.00898917	4.406339	1.782618
198.0127	1.806462	0.008309835	4.628939	1.806462
198.1651	1.838291	0.00845711	4.692383	1.838291
198.3175	1.867978	0.008745837	4.762267	1.867978
198.4699	1.873603	0.008391506	4.892963	1.873603
198.6223	1.867154	0.008377297	4.909396	1.867154
198.7747	1.865751	0.008014255	5.087468	1.865751
198.9271	1.868605	0.008325852	5.071821	1.868605
199.0795	1.868455	0.01019087	5.128683	1.868455
199.2319	1.871451	0.01285729	5.012197	1.871451
199.3843	1.870159	0.0111647	4.927014	1.870159
199.5367	1.885277	0.01729119	4.735122	1.885277
199.6891	1.886649	0.01191004	4.732432	1.886649
199.8415	1.883122	0.008595837	4.569211	1.883122
199.9939	1.864925	0.00679696	4.394302	1.864925
200.1463	1.845833	0.0003925928	4.354517	1.845089
200.2987	1.827511	-0.004150594	4.426362	1.828732
200.4511	1.822648	-0.001364397	4.50426	1.820326
200.6035	1.824738	-0.001302569	4.375591	1.820944
200.7559	1.834611	0.00111613	4.240225	1.834606
200.9083	1.846076	0.002218608	4.164547	1.846076
201.0607	1.84425	0.0004848052	4.059895	1.84425
201.2131	1.843686	-0.0008606532	4.062313	1.845876
201.3655	1.845027	-0.000485678	4.09991	1.844705
201.5179	1.843921	-0.001161607	4.178699	1.845795
201.6703	1.839134	-0.001628536	4.242755	1.837157
201.8227	1.834959	-0.0007064651	4.382254	1.834958
201.9751	1.827155	0.0003815978	4.144359	1.827155
202.1275	1.826716	0.00141938	3.963358	1.826716
202.2799	1.827373	0.003807327	3.905785	1.827373
202.4323	1.825562	0.005441779	4.116432	1.825562
202.5847	1.820469	0.004086773	4.29433	1.820469
202.7371	1.814868	0.001584191	4.256151	1.814868
202.8895	1.818966	0.003275205	4.14926	1.818966
203.0419	1.817473	0.001529284	4.114302	1.817473
203.1943	1.815306	0.0004005938	4.094453	1.815306
203.3467	1.813352	-0.0005517923	4.231753	1.813352
203.4991	1.809947	-0.0002839713	4.250581	1.809947
203.6515	1.80401	-0.003101969	4.189368	1.805451
203.8039	1.803109	-0.002338621	4.231063	1.801646
203.9563	1.803403	-0.001622025	4.120688	1.803403
204.1087	1.790954	-0.001780925	4.125588	1.790954
204.2611	1.779568	0.003879811	3.976428	1.779568
204.4135	1.767378	0.008037396	4.052589	1.767378
204.5659	1.774663	0.018592	3.960438	1.774663
204.7183	1.784751	0.02857757	3.877826	1.784751
204.8707	1.80864	0.04672923	3.910739	1.80864
205.0231	1.809418	0.0482166	4.053322	1.809418
205.1755	1.810283	0.03660628	4.321989	1.810283
205.3279	1.808362	0.02070367	4.348577	1.808362
205.4803	1.821756	0.01335651	4.437226	1.821756
205.6327	1.82314	0.008388548	4.345406	1.82314
205.7851	1.823083	0.005141045	4.198495	1.823083
205.9375	1.821435	0.002932468	4.122047	1.821435
206.0899	1.820323	0.005577977	4.079622	1.820323
206.2423	1.809836	0.005011237	4.105221	1.809836
206.3947	1.807011	0.006100706	4.111057	1.807011
206.5471	1.807985	0.007400629	4.242302	1.807985
206.6995	1.808339	0.009163762	4.282732	1.808339
206.8519	1.810623	0.008513668	4.433372	1.810623
207.0043	1.81281	0.008495592	4.280104	1.81281
207.1567	1.820516	0.008990118	4.370071	1.820516
207.3091	1.812288	0.006941221	4.171337	1.812288
207.4615	1.803561	0.00392413	4.225597	1.803561
207.6139	1.797457	0.003391507	4.005786	1.797457
207.7663	1.795457	0.002011357	4.104821	1.795457
207.9187	1.794905	0.0009257848	4.146714	1.794905
208.0711	1.800521	0.003430271	4.238383	1.800521
208.2235	1.807367	0.005901101	4.165963	1.807367
208.3759	1.809942	0.004490083	4.043602	1.809942
208.5283	1.806478	0.003125607	4.078209	1.806478
208.6807	1.793272	0.0008742045	4.100511	1.793272
208.8331	1.796009	0.0000272	4.144534	1.796009
208.9855	1.79365	-0.0013713	4.082001	1.79365
209.1379	1.792122	0.001457758	4.005213	1.792122
209.2903	1.788583	0.0005058418	4.147508	1.788583
209.4427	1.799967	0.001575154	4.192536	1.799967
209.5951	1.822299	0.005201541	4.311551	1.822299
209.7475	1.813983	0.001525363	4.190008	1.813983
209.8999	1.798946	-0.004515525	4.275368	1.7958
210.0523	1.798489	-0.006128498	4.224256	1.817335
210.2047	1.807387	-0.00340062	4.202201	1.808773
210.3571	1.809108	-0.002090414	4.152023	1.811453
210.5095	1.790619	-0.002479629	4.079504	1.790619
210.6619	1.785199	-0.003670759	4.164072	1.780921
210.8143	1.792301	-0.002900447	4.268732	1.792297
210.9667	1.81256	0.0001359027	4.379545	1.81256
211.1191	1.819558	0.0005915117	4.371184	1.819558
211.2715	1.814575	-0.0020456	4.43206	1.814207
211.4239	1.815394	-0.001655933	4.597531	1.815393
211.5763	1.823396	-0.0004204101	4.523589	1.823396
211.7287	1.830378	0.0007747276	4.325759	1.830378
211.8811	1.830224	0.001617691	4.184214	1.830224
212.0335	1.826915	0.002353539	4.212689	1.826915
212.1859	1.826247	0.003352613	4.126291	1.826247
212.3383	1.831273	0.004532283	4.140755	1.831273
212.4907	1.837042	0.004251193	4.101073	1.837042
212.6431	1.835118	0.002233809	4.154113	1.835118
212.7955	1.830358	0.001191691	3.945459	1.830358
212.9479	1.819722	-0.0007711719	3.925102	1.819722
213.1003	1.812478	0.0000458	3.96979	1.812478
213.2527	1.812294	0.001193385	4.123454	1.812294
213.4051	1.815344	0.002525519	4.251976	1.815344
213.5575	1.821131	0.001815851	4.164345	1.821131
213.7099	1.830058	0.001821635	4.107919	1.830058
213.8623	1.832869	0.00170462	4.093095	1.832869
214.0147	1.831818	0.002801047	4.107322	1.831818
214.1671	1.820613	-0.0000853	4.035145	1.820613
214.3195	1.814955	0.0005113952	3.879187	1.814955
214.4719	1.815544	0.003480861	3.924021	1.815544
214.6243	1.812806	0.003339432	4.06903	1.812806
214.7767	1.802384	0.007684095	3.905138	1.802384
214.9291	1.78779	0.008797974	3.820047	1.78779
215.0815	1.780738	0.009627593	3.744183	1.780738
215.2339	1.78759	0.009192796	3.869188	1.78759
215.3863	1.789685	0.01152167	3.937474	1.789685
215.5387	1.7789	0.007533451	3.969026	1.7789
215.6911	1.765265	0.005688101	3.974435	1.765265
215.8435	1.766591	0.006598922	3.941058	1.766591
215.9959	1.77102	0.008102194	3.91151	1.77102
216.1483	1.77239	0.008701114	4.017901	1.77239
216.3007	1.768954	0.007552565	4.022443	1.768954
216.4531	1.775908	0.00713969	4.240272	1.775908
216.6055	1.798711	0.007480888	4.376253	1.798711
216.7579	1.831077	0.008589956	4.540782	1.831077
216.9103	1.839762	0.007674041	4.334694	1.839762
217.0627	1.837667	0.005813568	4.090168	1.837667
217.2151	1.828415	0.00310672	4.122622	1.828415
217.3675	1.83404	0.00454808	4.297605	1.83404
217.5199	1.84487	0.006008584	4.484959	1.84487
217.6723	1.853323	0.008346437	4.611701	1.853323
217.8247	1.854057	0.009253945	4.601655	1.854057
217.9771	1.846873	0.006906575	4.669683	1.846873
218.1295	1.836056	0.005539808	4.448097	1.836056
218.2819	1.830074	0.004332054	4.354064	1.830074
218.4343	1.833632	0.004453738	4.393346	1.833632
218.5867	1.842678	0.004849488	4.653636	1.842678
218.7391	1.85189	0.007349179	4.783059	1.85189
218.8915	1.846773	0.005172704	4.715879	1.846773
219.0439	1.845237	0.004170857	4.555223	1.845237
219.1963	1.851206	0.006424792	4.502614	1.851206
219.3487	1.852035	0.005667659	4.520489	1.852035
219.5011	1.849937	0.004462499	4.613071	1.849937
219.6535	1.839982	0.001595255	4.580137	1.839982
219.8059	1.838843	0.003092203	4.609938	1.838843
219.9583	1.827189	0.0002523313	4.570991	1.827189
220.1107	1.815277	-0.0002245226	4.571828	1.815277
220.2631	1.80485	0.0001103774	4.685755	1.80485
220.4155	1.798335	0.0008553093	4.693213	1.798335
220.5679	1.805333	0.001492791	4.687414	1.805333
220.7203	1.815303	0.003268923	4.598444	1.815303
220.8727	1.831707	0.006192383	4.546569	1.831707
221.0251	1.830618	0.004682525	4.558691	1.830618
221.1775	1.813249	0.001592835	4.371079	1.813249
221.3299	1.803821	0.0002732067	4.390241	1.803821
221.4823	1.804816	0.002191417	4.392308	1.804816
221.6347	1.812953	0.003576882	4.522675	1.812953
221.7871	1.818084	0.004866019	4.544016	1.818084
221.9395	1.81317	0.00397883	4.635927	1.81317
222.0919	1.812245	0.004663322	4.667443	1.812245
222.2443	1.809959	0.004564372	4.61969	1.809959
222.3967	1.816543	0.006101082	4.598541	1.816543
222.5491	1.821955	0.007800245	4.582683	1.821955
222.7015	1.818047	0.006650508	4.614568	1.818047
222.8539	1.815865	0.005591443	4.597729	1.815865
223.0063	1.812784	0.004734618	4.624517	1.812784
223.1587	1.813719	0.004290801	4.528142	1.813719
223.3111	1.815048	0.003500009	4.467637	1.815048
223.4635	1.814889	0.0007858261	4.290825	1.814889
223.6159	1.820996	0.001705149	4.213406	1.820996
223.7683	1.852066	0.005989589	4.059619	1.852066
223.9207	1.926721	0.04609741	4.100761	1.926721
224.0731	2.013987	0.1009896	4.005729	2.013987
224.2255	2.071662	0.1509341	4.036964	2.071662
224.3779	2.134723	0.2160142	3.983724	2.134723
224.5303	2.195784	0.2724752	4.126657	2.195784
224.6827	2.189418	0.2670981	4.127502	2.189418
224.8351	2.175931	0.2544185	4.220136	2.175931
224.9875	2.053129	0.1984901	4.285327	2.053129
225.1399	1.942867	0.1346161	4.286286	1.942867
225.2923	1.861196	0.08933222	4.201698	1.861196
225.4447	1.846277	0.06092366	4.212609	1.846277
225.5971	1.818725	0.03110882	4.145979	1.818725
225.7495	1.781722	0.009920194	3.931891	1.781722
225.9019	1.771702	0.007699656	3.911218	1.771702
226.0543	1.777189	0.006757347	3.981632	1.777189
226.2067	1.801496	0.007714523	4.381523	1.801496
226.3591	1.814127	0.008066526	4.368011	1.814127
226.5115	1.814811	0.007693958	4.316228	1.814811
226.6639	1.816486	0.007594292	4.239664	1.816486
226.8163	1.81801	0.008005967	4.283739	1.81801
226.9687	1.819282	0.007677613	4.255081	1.819282
227.1211	1.817433	0.006996565	4.28364	1.817433
227.2735	1.817444	0.00699723	4.232242	1.817444
227.4259	1.820536	0.007105037	4.19334	1.820536
227.5783	1.792591	0.005298494	4.141404	1.792591
227.7307	1.804498	0.005675144	4.100609	1.804498
227.8831	1.79683	0.004703597	4.231396	1.79683
228.0355	1.820225	0.007543136	4.219157	1.820225
228.1879	1.809112	0.00758231	4.261975	1.809112
228.3403	1.810152	0.008342835	4.17414	1.810152
228.4927	1.813651	0.01103836	4.038487	1.813651
228.6451	1.815256	0.01176165	4.003986	1.815256
228.7975	1.820063	0.01542183	4.138512	1.820063
228.9499	1.821028	0.01648336	4.289449	1.821028
229.1023	1.813434	0.013056	4.359314	1.813434
229.2547	1.803057	0.01206252	4.272059	1.803057
229.4071	1.796201	0.0121352	4.214385	1.796201
229.5595	1.78112	0.007525187	4.123637	1.78112
229.7119	1.778332	0.005845501	3.88613	1.778332
229.8643	1.777531	0.005269001	3.700793	1.777531
230.0167	1.782436	0.006230849	3.531584	1.782436
230.1691	1.781297	0.005915397	3.631228	1.781297
230.3215	1.781301	0.007459445	3.58476	1.781301
230.4739	1.782151	0.008349496	3.768916	1.782151
230.6263	1.785239	0.008192314	3.872264	1.785239
230.7787	1.784332	0.00746836	4.046376	1.784332
230.9311	1.782155	0.006922891	4.030451	1.782155
231.0835	1.775175	0.005494724	3.999077	1.775175
231.2359	1.777635	0.004358492	4.101073	1.777635
231.3883	1.781417	0.006326089	4.172764	1.781417
231.5407	1.781989	0.003522848	4.331246	1.781989
231.6931	1.774819	0.001404391	4.227916	1.774819
231.8455	1.763169	-0.001316647	4.224625	1.763169
231.9979	1.763941	-0.001015439	4.086761	1.763941
232.1503	1.768102	-0.0007041545	4.331255	1.768102
232.3027	1.781629	0.006060593	4.37074	1.781629
232.4551	1.78105	0.005445663	4.445369	1.78105
232.6075	1.774572	0.003072887	4.270431	1.774572
232.7599	1.777933	0.004197789	4.272221	1.777933
232.9123	1.778656	0.00486732	4.241248	1.778656
233.0647	1.777438	0.003116906	4.142192	1.777438
233.2171	1.773498	0.002339218	4.00607	1.773498
233.3695	1.768915	0.001650189	4.016105	1.768915
233.5219	1.768266	0.001693407	4.025137	1.768266
233.6743	1.766393	0.0002599077	4.007657	1.766393
