HOLE:	U1354C
EXPEDITION:	323
TOP:		108.0529
BOTTOM:		361.9513
DEPTH_WMSF	DTCO	DT1	DT2	VCO	VS1	VS2
m	us/ft	us/ft	us/ft	km/s	km/s	km/s
121.1593	177.02740	741.27203	1032.12854	1.7218	0.4112	0.2953
121.3117	179.55029	715.21094	995.20758	1.6976	0.4262	0.3063
121.4641	180.55370	685.74249	924.45917	1.6881	0.4445	0.3297
121.6165	179.93553	673.13019	842.73431	1.6939	0.4528	0.3617
121.7689	178.70020	661.39667	810.30151	1.7057	0.4608	0.3762
121.9213	175.69038	630.27252	807.52850	1.7349	0.4836	0.3774
122.0737	170.73929	599.32526	768.79492	1.7852	0.5086	0.3965
122.2261	163.25958	550.77948	698.39447	1.8670	0.5534	0.4364
122.3785	153.16090	481.77014	627.98840	1.9901	0.6327	0.4854
122.5309	157.08891	483.25464	557.58630	1.9403	0.6307	0.5466
122.6833	156.86839	485.29520	495.75708	1.9430	0.6281	0.6148
122.8357	161.56184	507.35614	504.93222	1.8866	0.6008	0.6036
122.9881	166.41617	538.07196	620.00000	1.8316	0.5665	0.4916
123.1405	169.04077	599.03638	665.49390	1.8031	0.5088	0.4580
123.2929	168.84500	620.98108	732.01263	1.8052	0.4908	0.4164
123.4453	170.37019	643.76373	793.77979	1.7890	0.4735	0.3840
123.5977	169.85107	671.44019	779.09711	1.7945	0.4539	0.3912
123.7501	170.19012	665.90961	799.38855	1.7909	0.4577	0.3813
123.9025	171.67670	669.85999	805.75818	1.7754	0.4550	0.3783
124.0549	172.50417	696.92584	774.47919	1.7669	0.4373	0.3936
124.2073	172.81583	711.09796	729.40045	1.7637	0.4286	0.4179
124.3597	172.18314	724.54132	709.09076	1.7702	0.4207	0.4298
124.5121	172.29550	737.29291	754.43500	1.7691	0.4134	0.4040
124.6645	173.45656	737.14166	798.33759	1.7572	0.4135	0.3818
124.8169	173.49976	738.12115	778.18231	1.7568	0.4129	0.3917
124.9693	173.47118	738.74561	765.45697	1.7571	0.4126	0.3982
125.1217	173.36945	741.00433	750.70032	1.7581	0.4113	0.4060
125.2741	172.73088	731.10632	782.12109	1.7646	0.4169	0.3897
125.4265	171.85732	728.25586	785.85669	1.7736	0.4185	0.3879
125.5789	170.74246	733.52258	803.78748	1.7851	0.4155	0.3792
125.7313	167.99364	703.47223	806.36365	1.8144	0.4333	0.3780
125.8837	168.50288	705.82788	778.03186	1.8089	0.4318	0.3918
126.0361	167.55844	707.51160	772.32404	1.8191	0.4308	0.3947
126.1885	166.75507	690.99268	774.09052	1.8278	0.4411	0.3938
126.3409	165.13071	686.92444	766.76862	1.8458	0.4437	0.3975
126.4933	166.42496	687.58844	768.48407	1.8315	0.4433	0.3966
126.6457	166.61743	679.75757	760.91125	1.8293	0.4484	0.4006
126.7981	166.37975	658.35919	726.92328	1.8320	0.4630	0.4193
126.9505	166.43849	616.59326	682.42670	1.8313	0.4943	0.4466
127.1029	165.91386	603.55518	680.90369	1.8371	0.5050	0.4476
127.2553	165.64186	608.33020	713.33051	1.8401	0.5010	0.4273
127.4077	165.94308	598.11719	734.59540	1.8368	0.5096	0.4149
127.5601	166.31592	582.22217	742.42401	1.8327	0.5235	0.4105
127.7125	166.94731	561.68628	750.95654	1.8257	0.5427	0.4059
127.8649	166.23311	578.48810	766.36395	1.8336	0.5269	0.3977
128.0173	166.98642	593.53333	751.66833	1.8253	0.5135	0.4055
128.1697	167.22691	638.56860	743.63464	1.8227	0.4773	0.4099
128.3221	167.33517	619.86981	758.83679	1.8215	0.4917	0.4017
128.4745	167.59415	664.44153	770.00000	1.8187	0.4587	0.3958
128.6269	170.79935	619.58673	774.29230	1.7846	0.4919	0.3936
128.7793	169.44092	633.22394	797.16931	1.7989	0.4813	0.3824
128.9317	169.72816	655.03534	781.82129	1.7958	0.4653	0.3899
129.0841	168.55023	626.22870	771.81897	1.8084	0.4867	0.3949
129.2365	168.93701	621.13916	749.64972	1.8042	0.4907	0.4066
129.3889	169.19409	617.72424	741.81818	1.8015	0.4934	0.4109
129.5413	169.15492	621.28302	734.59723	1.8019	0.4906	0.4149
129.6937	169.00391	611.98438	693.64258	1.8035	0.4981	0.4394
129.8461	168.68561	607.19971	662.27295	1.8069	0.5020	0.4602
129.9985	167.86935	618.29614	660.00000	1.8157	0.4930	0.4618
130.1509	167.06873	617.01990	653.63776	1.8244	0.4940	0.4663
130.3033	166.82756	600.70148	641.81854	1.8270	0.5074	0.4749
130.4557	166.06322	583.69110	638.18182	1.8354	0.5222	0.4776
130.6081	164.59503	547.97882	643.43213	1.8518	0.5562	0.4737
130.7605	162.60643	506.95230	654.24530	1.8745	0.6012	0.4659
130.9129	158.49821	507.97195	607.48907	1.9231	0.6000	0.5017
131.0653	149.31541	554.74908	529.60303	2.0413	0.5494	0.5755
131.2177	135.84047	423.99365	414.54544	2.2438	0.7189	0.7353
131.3701	137.59726	381.96240	263.71710	2.2152	0.7980	1.1558
131.5225	151.21416	336.32422	441.12231	2.0157	0.9063	0.6910
131.6749	158.53680	379.08118	595.77148	1.9226	0.8040	0.5116
131.8273	161.76430	383.50623	599.55896	1.8842	0.7948	0.5084
131.9797	163.78134	403.57361	657.89612	1.8610	0.7553	0.4633
132.1321	167.70973	460.71063	770.53870	1.8174	0.6616	0.3956
132.2845	172.59302	538.29926	860.87244	1.7660	0.5662	0.3541
132.4369	177.60486	632.37054	834.31067	1.7162	0.4820	0.3653
132.5893	179.49701	700.52332	831.45917	1.6981	0.4351	0.3666
132.7417	178.26846	718.03271	831.38721	1.7098	0.4245	0.3666
132.8941	176.89998	717.07440	849.35339	1.7230	0.4251	0.3589
133.0465	176.78134	709.45996	862.18152	1.7242	0.4296	0.3535
133.1989	176.84219	709.76617	862.60345	1.7236	0.4294	0.3533
133.3513	176.33908	700.83661	861.74487	1.7285	0.4349	0.3537
133.5037	176.02972	702.10522	827.47614	1.7315	0.4341	0.3683
133.6561	174.83888	720.27881	835.05402	1.7433	0.4232	0.3650
133.8085	173.54221	716.25317	777.13544	1.7563	0.4255	0.3922
133.9609	172.35587	699.90149	805.55835	1.7684	0.4355	0.3784
134.1133	171.22525	709.78314	844.77795	1.7801	0.4294	0.3608
134.2657	167.84326	676.68964	850.00000	1.8160	0.4504	0.3586
134.4181	167.23314	633.36420	795.24030	1.8226	0.4812	0.3833
134.5705	162.78465	627.23700	829.98328	1.8724	0.4859	0.3672
134.7229	159.27975	586.58838	885.45453	1.9136	0.5196	0.3442
134.8753	160.27962	518.45892	850.69586	1.9017	0.5879	0.3583
135.0277	163.67459	516.93225	815.92596	1.8622	0.5896	0.3736
135.1801	168.72246	540.00476	850.85059	1.8065	0.5644	0.3582
135.3325	170.57100	548.68195	900.95087	1.7869	0.5555	0.3383
135.4849	173.07867	550.69006	888.58514	1.7610	0.5535	0.3430
135.6373	171.18565	582.92706	881.60315	1.7805	0.5229	0.3457
135.7897	172.01358	652.19812	892.82874	1.7720	0.4673	0.3414
135.9421	171.19066	677.00421	904.05597	1.7805	0.4502	0.3371
136.0945	175.88365	649.10565	928.79785	1.7330	0.4696	0.3282
136.2469	173.48128	646.92511	849.89099	1.7570	0.4712	0.3586
136.3993	172.39461	711.03625	864.29163	1.7680	0.4287	0.3527
136.5517	176.26912	721.24475	899.42401	1.7292	0.4226	0.3389
136.7041	176.79233	700.32080	934.55426	1.7241	0.4352	0.3261
136.8565	176.80754	691.08545	900.96588	1.7239	0.4410	0.3383
137.0089	178.02965	707.73706	919.01324	1.7121	0.4307	0.3317
137.1613	178.72513	677.62598	847.18530	1.7054	0.4498	0.3598
137.3137	176.50877	692.62622	842.88092	1.7268	0.4401	0.3616
137.4661	174.83516	688.30200	853.74738	1.7434	0.4428	0.3570
137.6185	175.59024	713.11340	848.21472	1.7359	0.4274	0.3593
137.7709	175.98840	740.58502	831.37909	1.7319	0.4116	0.3666
137.9233	176.76465	763.54645	896.87115	1.7243	0.3992	0.3398
138.0757	176.46100	775.65942	889.52606	1.7273	0.3930	0.3427
138.2281	176.59129	784.60321	861.27509	1.7260	0.3885	0.3539
138.3805	176.57117	760.49725	904.73798	1.7262	0.4008	0.3369
138.5329	176.16750	746.76703	924.12061	1.7302	0.4082	0.3298
138.6853	176.07703	711.44537	985.09601	1.7311	0.4284	0.3094
138.8377	175.28816	688.17511	990.47650	1.7389	0.4429	0.3077
138.9901	173.68336	671.59332	-999.25000	1.7549	0.4538	-999.2500
139.1425	171.11311	708.39819	-999.25000	1.7813	0.4303	-999.2500
139.2949	169.44202	723.64978	-999.25000	1.7988	0.4212	-999.2500
139.4473	170.10896	752.13550	1129.04468	1.7918	0.4052	0.2700
139.5997	173.02605	727.88129	1061.14221	1.7616	0.4187	0.2872
139.7521	174.61414	691.71436	985.85797	1.7456	0.4406	0.3092
139.9045	178.27000	678.54492	922.63940	1.7098	0.4492	0.3304
140.0569	177.97157	730.06525	854.97485	1.7126	0.4175	0.3565
140.2093	176.95108	727.80963	829.20483	1.7225	0.4188	0.3676
140.3617	178.18095	735.29071	832.59540	1.7106	0.4145	0.3661
140.5141	177.89690	786.98724	926.04681	1.7134	0.3873	0.3291
140.6665	181.16730	833.39447	985.67535	1.6824	0.3657	0.3092
140.8189	185.52251	871.06348	936.01904	1.6429	0.3499	0.3256
140.9713	187.17969	870.08630	920.00000	1.6284	0.3503	0.3313
141.1237	184.94617	876.02399	896.36365	1.6480	0.3479	0.3400
141.2761	180.77983	822.49701	858.18182	1.6860	0.3706	0.3552
141.4285	179.62006	815.85333	823.63635	1.6969	0.3736	0.3701
141.5809	175.08389	751.16870	825.45453	1.7409	0.4058	0.3693
