HOLE:	U1354C
EXPEDITION:	323
TOP:		295.0477
BOTTOM:		363.1705
DEPTH_WMSF	DTCO	DT1	DT2	VCO	VS1	VS2
m	us/ft	us/ft	us/ft	km/s	km/s	km/s
308.4589	158.58356	562.96722	770.00000	1.9220	0.5414	0.3958
308.6113	158.38664	557.02747	771.81818	1.9244	0.5472	0.3949
308.7637	158.07863	555.54376	773.63635	1.9282	0.5487	0.3940
308.9161	157.66945	555.60394	740.00000	1.9332	0.5486	0.4119
309.0685	157.29468	559.08228	736.36365	1.9378	0.5452	0.4139
309.2209	156.29755	550.62018	701.81818	1.9501	0.5536	0.4343
309.3733	156.69551	560.38281	670.00000	1.9452	0.5439	0.4549
309.5257	157.08276	543.84253	698.18182	1.9404	0.5605	0.4366
309.6781	157.37025	563.09521	700.00000	1.9368	0.5413	0.4354
309.8305	157.82848	562.88086	670.00000	1.9312	0.5415	0.4549
309.9829	158.03461	581.59644	671.81818	1.9287	0.5241	0.4537
310.1353	157.84009	566.61743	665.45453	1.9311	0.5379	0.4580
310.2877	157.74097	586.03351	700.00000	1.9323	0.5201	0.4354
310.4401	157.32005	584.01245	630.00000	1.9375	0.5219	0.4838
310.5925	156.35545	571.71240	551.81818	1.9494	0.5331	0.5524
310.7449	156.16194	530.09045	483.63635	1.9518	0.5750	0.6302
310.8973	155.86884	508.75375	523.63635	1.9555	0.5991	0.5821
311.0497	155.66351	510.62973	558.18182	1.9581	0.5969	0.5461
311.2021	155.43271	492.14270	556.36365	1.9610	0.6193	0.5478
311.3545	155.24597	469.75809	544.54547	1.9633	0.6488	0.5597
311.5069	155.97131	499.30823	590.00000	1.9542	0.6104	0.5166
311.6593	156.25371	520.24664	598.18182	1.9507	0.5859	0.5095
311.8117	156.25307	518.39276	630.00000	1.9507	0.5880	0.4838
311.9641	156.57796	529.85822	700.00000	1.9466	0.5752	0.4354
312.1165	157.14282	543.75244	741.81818	1.9396	0.5605	0.4109
312.2689	157.38680	556.90179	800.00000	1.9366	0.5473	0.3810
312.4213	156.89206	616.29498	776.36365	1.9427	0.4946	0.3926
312.5737	156.49983	592.53784	743.63635	1.9476	0.5144	0.4099
312.7261	156.21199	596.91223	741.81818	1.9512	0.5106	0.4109
