HOLE:	U1354C
EXPEDITION:	317
TOP:	109.0384
BOTTOM:	381.9868
DEPTH_WMSF	IDPH	IMPH	SFLU
m	ohm.m	ohm.m	ohm.m
109.0384	1950.0000	1765.0116	0.0915
109.1908	1950.0000	1950.0000	0.3193
109.3432	1950.0000	1950.0000	0.7611
109.4956	0.3399	1950.0000	0.6913
109.6480	0.3473	335.1299	0.6970
109.8004	0.3822	1.5265	0.6589
109.9528	0.4263	0.8342	0.6442
110.1052	0.4995	0.6310	0.6857
110.2576	0.6514	0.5835	0.7954
110.4100	0.9625	0.6242	0.9836
110.5624	1.0080	0.7639	1.0301
110.7148	1.0518	1.0094	1.0134
110.8672	1.0943	1.3277	1.0363
111.0196	1.1215	1.5880	1.0210
111.1720	1.1201	1.6369	0.8693
111.3244	1.0893	1.4218	0.8179
111.4768	1.0439	1.2148	0.7741
111.6292	0.9976	1.0849	0.7242
111.7816	0.9588	1.0276	0.6953
111.9340	0.9340	1.0298	0.6799
112.0864	0.9264	1.0754	0.6536
112.2388	0.9330	1.1423	0.6585
112.3912	0.9512	1.1884	0.6698
112.5436	0.9711	1.1976	0.6938
112.6960	0.9874	1.1720	0.7155
112.8484	0.9976	1.1228	0.7074
113.0008	1.0011	1.0672	0.6540
113.1532	0.9976	1.0275	0.6906
113.3056	0.9904	1.0155	0.6191
113.4580	0.9834	1.0271	0.6270
113.6104	0.9790	1.0579	0.6607
113.7628	0.9793	1.1012	0.6679
113.9152	0.9856	1.1480	0.6615
114.0676	1.0039	1.1835	0.6685
114.2200	1.0307	1.2014	0.6857
114.3724	1.0629	1.2072	0.6958
114.5248	1.1001	1.2080	0.7123
114.6772	1.1427	1.2115	0.7456
114.8296	1.1916	1.2252	0.7862
114.9820	1.2419	1.2599	0.7829
115.1344	1.2819	1.3131	0.8231
115.2868	1.3085	1.3790	0.8775
115.4392	1.3226	1.4493	0.9355
115.5916	1.3281	1.5135	0.9764
115.7440	1.3301	1.5581	0.9487
115.8964	1.3300	1.5501	0.9600
116.0488	1.3101	1.4676	1.0333
116.2012	1.2451	1.3393	0.8143
116.3536	1.1896	1.2144	0.7210
116.5060	1.1794	1.1288	0.6678
116.6584	1.1657	1.0959	0.6568
116.8108	1.1579	1.1131	0.6306
116.9632	1.1692	1.1680	0.6635
117.1156	1.1866	1.2442	0.7837
117.2680	1.2148	1.3252	0.9540
117.4204	1.2536	1.3975	0.8728
117.5728	1.3006	1.4502	0.8724
117.7252	1.3455	1.4752	0.8852
117.8776	1.3640	1.4679	0.8906
118.0300	1.3546	1.4305	0.8466
118.1824	1.3272	1.3762	0.8474
118.3348	1.2987	1.3218	0.8291
118.4872	1.2661	1.2767	0.7193
118.6396	1.2202	1.2399	0.6493
118.7920	1.1778	1.2069	0.6567
118.9444	1.1423	1.1731	0.6485
119.0968	1.1273	1.1365	0.6134
119.2492	1.1189	1.0990	0.6129
119.4016	1.1081	1.0668	0.5981
119.5540	1.0960	1.0424	0.6803
119.7064	1.0867	1.0221	0.6298
119.8588	1.0749	0.9995	0.5286
120.0112	1.0580	0.9727	0.5868
120.1636	1.0316	0.9467	0.4730
120.3160	1.0312	0.9315	0.6008
120.4684	1.0444	0.9346	0.5195
120.6208	1.0451	0.9548	0.4813
120.7732	1.0429	0.9844	0.4965
120.9256	1.0440	1.0172	0.5860
121.0780	1.0520	1.0491	0.5986
121.2304	1.0652	1.0757	0.6171
121.3828	1.0796	1.0979	0.6726
121.5352	1.0938	1.1274	0.6494
121.6876	1.1151	1.1818	0.6080
121.8400	1.1526	1.2765	0.6175
121.9924	1.2108	1.4098	0.7768
122.1448	1.2629	1.5425	0.9349
122.2972	1.2877	1.6073	0.8311
122.4496	1.3108	1.5787	1.0258
122.6020	1.3042	1.4982	1.0712
122.7544	1.2790	1.4131	1.0288
122.9068	1.2691	1.3413	0.9222
123.0592	1.2723	1.2794	0.7407
123.2116	1.2591	1.2066	0.6429
123.3640	1.1982	1.1515	0.6170
123.5164	1.1476	1.1243	0.6972
123.6688	1.1339	1.1225	0.6839
123.8212	1.1320	1.1270	0.6554
123.9736	1.1314	1.1316	0.6991
124.1260	1.1374	1.1372	0.6588
124.2784	1.1389	1.1415	0.6932
124.4308	1.1348	1.1442	0.6800
124.5832	1.1461	1.1490	0.6591
124.7356	1.1580	1.1617	0.6238
124.8880	1.1682	1.1824	0.6350
125.0404	1.1783	1.2054	0.6598
125.1928	1.1915	1.2274	0.6739
125.3452	1.2004	1.2478	0.7788
125.4976	1.2108	1.2666	0.7992
125.6500	1.2206	1.2841	0.7750
125.8024	1.2240	1.2952	0.7453
125.9548	1.2254	1.2925	0.7843
126.1072	1.2274	1.2732	0.7879
126.2596	1.2262	1.2497	0.7892
126.4120	1.2246	1.2359	0.7252
126.5644	1.2213	1.2368	0.7691
126.7168	1.2157	1.2422	0.7374
126.8692	1.2107	1.2411	0.7246
127.0216	1.2069	1.2313	0.7419
127.1740	1.1998	1.2177	0.7820
127.3264	1.1969	1.2050	0.7654
127.4788	1.1982	1.1971	0.7117
127.6312	1.2022	1.1967	0.7057
127.7836	1.2068	1.2045	0.7529
127.9360	1.2076	1.2190	0.7068
128.0884	1.2100	1.2363	0.7684
128.2408	1.2150	1.2513	0.7891
128.3932	1.2208	1.2597	0.8037
128.5456	1.2284	1.2617	0.8164
128.6980	1.2405	1.2617	0.7940
128.8504	1.2540	1.2668	0.8441
129.0028	1.2922	1.2849	0.7540
129.1552	1.3703	1.3206	0.7607
129.3076	1.4855	1.3683	0.7872
129.4600	1.5661	1.4159	0.7913
129.6124	1.6052	1.4607	0.7889
129.7648	1.6202	1.5161	0.9087
129.9172	1.6252	1.5926	1.2271
130.0696	1.6204	1.6655	1.5185
130.2220	1.6140	1.6644	0.8666
130.3744	1.5980	1.5435	0.7768
130.5268	1.4995	1.3612	0.7053
130.6792	1.3658	1.2068	0.6871
