HOLE:	U1354C
EXPEDITION:	323
TOP:		108.0529
BOTTOM:		362.8657
DEPTH_WMSF	DTCO	DT1	DT2	VCO	VS1	VS2
m	us/ft	us/ft	us/ft	km/s	km/s	km/s
121.4641	184.36363	685.22260	777.27271	1.6533	0.4448	0.3921
121.6165	181.09091	659.46790	704.54547	1.6831	0.4622	0.4326
121.7689	178.90909	683.15619	631.81818	1.7037	0.4462	0.4824
121.9213	165.27272	616.31750	550.00000	1.8442	0.4946	0.5542
122.0737	152.00000	509.25027	520.00000	2.0053	0.5985	0.5862
122.2261	148.00000	567.67017	480.00000	2.0595	0.5369	0.6350
122.3785	147.27272	475.32614	420.00000	2.0696	0.6412	0.7257
122.5309	147.27272	489.61639	373.63635	2.0696	0.6225	0.8158
122.6833	148.72728	466.21118	350.00000	2.0494	0.6538	0.8709
122.8357	153.63637	495.95984	346.36365	1.9839	0.6146	0.8800
122.9881	156.72728	519.13495	458.18182	1.9448	0.5871	0.6652
123.1405	160.00000	522.10681	591.81818	1.9050	0.5838	0.5150
123.2929	164.90909	566.16022	600.00000	1.8483	0.5384	0.5080
123.4453	171.63637	589.04578	730.00000	1.7758	0.5174	0.4175
123.5977	172.36363	614.97162	804.54547	1.7684	0.4956	0.3788
123.7501	171.27272	701.35352	808.18182	1.7796	0.4346	0.3771
123.9025	170.36363	682.77820	805.45453	1.7891	0.4464	0.3784
124.0549	171.63637	740.29840	811.81818	1.7758	0.4117	0.3755
124.2073	171.27272	733.19434	770.00000	1.7796	0.4157	0.3958
124.3597	171.27272	694.55597	770.00000	1.7796	0.4388	0.3958
124.5121	170.90909	745.58386	813.63635	1.7834	0.4088	0.3746
124.6645	172.00000	752.19025	840.00000	1.7721	0.4052	0.3629
124.8169	174.00000	699.94135	840.00000	1.7517	0.4355	0.3629
124.9693	174.90909	711.12347	810.00000	1.7426	0.4286	0.3763
125.1217	175.63637	673.13477	771.81818	1.7354	0.4528	0.3949
125.2741	174.36363	686.52490	785.45453	1.7481	0.4440	0.3881
125.4265	172.00000	694.24457	770.00000	1.7721	0.4390	0.3958
125.5789	170.00000	677.41516	773.63635	1.7929	0.4499	0.3940
125.7313	168.36363	697.53870	771.81818	1.8104	0.4370	0.3949
125.8837	167.09091	718.55652	738.18182	1.8242	0.4242	0.4129
126.0361	166.36363	648.68915	770.00000	1.8321	0.4699	0.3958
126.1885	167.27272	669.45227	748.18182	1.8222	0.4553	0.4074
126.3409	167.63637	679.90448	775.45453	1.8182	0.4483	0.3931
126.4933	168.72728	677.56158	798.18182	1.8065	0.4498	0.3819
126.6457	168.36363	661.56921	738.18182	1.8104	0.4607	0.4129
126.7981	166.72728	660.67841	733.63635	1.8281	0.4613	0.4155
126.9505	164.36363	622.33356	674.54547	1.8544	0.4898	0.4519
127.1029	164.00000	593.45416	660.00000	1.8585	0.5136	0.4618
127.2553	164.00000	584.47498	670.00000	1.8585	0.5215	0.4549
127.4077	164.72728	595.70874	703.63635	1.8503	0.5117	0.4332
127.5601	164.90909	611.24799	740.00000	1.8483	0.4987	0.4119
127.7125	165.63637	617.86017	760.00000	1.8402	0.4933	0.4011
127.8649	166.00000	620.73822	743.63635	1.8361	0.4910	0.4099
128.0173	167.63637	597.59180	743.63635	1.8182	0.5100	0.4099
128.1697	166.36363	613.66052	740.00000	1.8321	0.4967	0.4119
128.3221	168.00000	637.98315	770.00000	1.8143	0.4778	0.3958
128.4745	166.36363	625.07458	775.45453	1.8321	0.4876	0.3931
128.6269	167.27272	635.48413	776.36365	1.8222	0.4796	0.3926
128.7793	166.72728	647.00024	770.00000	1.8281	0.4711	0.3958
128.9317	168.36363	650.84937	736.36365	1.8104	0.4683	0.4139
129.0841	168.36363	655.54315	713.63635	1.8104	0.4650	0.4271
129.2365	166.36363	646.44122	700.00000	1.8321	0.4715	0.4354
129.3889	166.00000	638.39032	636.36365	1.8361	0.4775	0.4790
129.5413	164.72728	631.66254	670.00000	1.8503	0.4825	0.4549
129.6937	164.72728	618.82904	638.18182	1.8503	0.4925	0.4776
129.8461	164.36363	635.75305	645.45453	1.8544	0.4794	0.4722
129.9985	166.00000	626.51550	641.81818	1.8361	0.4865	0.4749
130.1509	164.36363	593.25891	660.00000	1.8544	0.5138	0.4618
130.3033	168.72728	625.29504	633.63635	1.8065	0.4874	0.4810
130.4557	169.27272	594.76514	633.63635	1.8006	0.5125	0.4810
130.6081	159.09091	586.38757	635.45453	1.9159	0.5198	0.4797
130.7605	154.90909	592.39349	620.00000	1.9676	0.5145	0.4916
130.9129	153.63637	499.82150	510.00000	1.9839	0.6098	0.5976
131.0653	149.09091	389.46695	320.00000	2.0444	0.7826	0.9525
131.2177	128.00000	336.09470	264.54544	2.3813	0.9069	1.1522
131.3701	132.00000	371.16574	153.63637	2.3091	0.8212	1.9839
131.5225	139.27272	378.40509	151.81818	2.1885	0.8055	2.0077
131.6749	147.27272	389.69284	390.90909	2.0696	0.7822	0.7797
131.8273	160.72728	386.58136	630.00000	1.8964	0.7884	0.4838
131.9797	167.63637	471.43161	704.54547	1.8182	0.6465	0.4326
132.1321	169.63637	565.46466	821.81818	1.7968	0.5390	0.3709
132.2845	181.09091	509.45621	833.63635	1.6831	0.5983	0.3656
132.4369	178.72728	712.34009	845.45453	1.7054	0.4279	0.3605
132.5893	176.00000	735.11951	821.81818	1.7318	0.4146	0.3709
132.7417	174.72728	754.95172	746.36365	1.7444	0.4037	0.4084
132.8941	176.00000	757.45636	756.36365	1.7318	0.4024	0.4030
133.0465	176.72728	704.74585	745.45453	1.7247	0.4325	0.4089
133.1989	176.90909	733.73627	756.36365	1.7229	0.4154	0.4030
133.3513	176.72728	738.68842	733.63635	1.7247	0.4126	0.4155
133.5037	176.00000	703.14270	745.45453	1.7318	0.4335	0.4089
133.6561	174.72728	717.14661	801.81818	1.7444	0.4250	0.3801
133.8085	174.00000	711.31354	788.18182	1.7517	0.4285	0.3867
133.9609	172.00000	698.36505	763.63635	1.7721	0.4364	0.3991
134.1133	170.00000	687.68475	786.36365	1.7929	0.4432	0.3876
134.2657	166.72728	690.92261	770.00000	1.8281	0.4411	0.3958
134.4181	163.27272	626.39581	800.00000	1.8668	0.4866	0.3810
134.5705	156.36363	610.54175	774.54547	1.9493	0.4992	0.3935
134.7229	153.27272	529.05341	783.63635	1.9886	0.5761	0.3890
134.8753	152.72728	524.15692	791.81818	1.9957	0.5815	0.3849
135.0277	154.00000	514.75854	800.00000	1.9792	0.5921	0.3810
135.1801	160.72728	509.33713	736.36365	1.8964	0.5984	0.4139
135.3325	168.00000	531.59576	736.36365	1.8143	0.5734	0.4139
135.4849	171.63637	533.96936	823.63635	1.7758	0.5708	0.3701
135.6373	173.63637	604.03918	773.63635	1.7554	0.5046	0.3940
135.7897	175.63637	584.86652	828.18182	1.7354	0.5211	0.3680
135.9421	174.90909	636.98688	805.45453	1.7426	0.4785	0.3784
136.0945	174.00000	596.04541	826.36365	1.7517	0.5114	0.3688
136.2469	174.36363	633.66663	834.09094	1.7481	0.4810	0.3654
136.3993	174.72728	652.35773	841.81818	1.7444	0.4672	0.3621
136.5517	175.63637	649.31006	770.00000	1.7354	0.4694	0.3958
