HOLE:	U1352B
EXPEDITION:	317
TOP:	81.1260
BOTTOM:	470.9652
DEPTH_WMSF	APLC	STOF	SIGF	AFEC	ANEC
m	%	in	cu	cps	cps
81.1260	-999.2500	-999.2500	-999.2500	35.0000	36.0000
81.2784	-999.2500	-999.2500	-999.2500	28.4444	33.7778
81.4308	-999.2500	-999.2500	-999.2500	38.0000	32.7273
81.5832	-6.1242	-999.2500	-13.1203	26.4000	37.8182
81.7356	-3.9110	-999.2500	-8.2540	32.3636	33.1429
81.8880	64.5640	-999.2500	-1.3499	35.3846	35.4667
82.0404	-999.2500	-999.2500	-999.2500	32.0000	34.9474
82.1928	-999.2500	-999.2500	-999.2500	35.2500	28.3810
82.3452	-999.2500	-999.2500	-999.2500	34.7273	35.2381
82.4976	-999.2500	-999.2500	-999.2500	28.0000	36.5714
82.6500	-999.2500	-999.2500	-999.2500	36.5714	29.1429
82.8024	-999.2500	-999.2500	-999.2500	35.4286	32.1905
82.9548	-999.2500	-999.2500	-999.2500	33.3333	35.8182
83.1072	-999.2500	-999.2500	-999.2500	33.3333	26.0952
83.2596	-999.2500	-999.2500	-999.2500	29.2727	31.2000
83.4120	-999.2500	-999.2500	-999.2500	31.4000	35.2000
83.5644	653.1695	-999.2500	-18.5109	33.0000	33.6000
83.7168	3.0684	-999.2500	-10.7274	35.8095	36.8000
83.8692	-5.7700	-999.2500	-20.5981	32.8000	32.4000
84.0216	-999.2500	-999.2500	-999.2500	30.5263	32.8000
84.1740	-999.2500	-999.2500	-999.2500	38.4762	30.6667
84.3264	-999.2500	-999.2500	-999.2500	33.0000	30.3158
84.4788	-6.0522	-999.2500	-24.2408	39.0000	34.8571
84.6312	653.1475	-999.2500	-9.3904	37.2000	32.6000
84.7836	-999.2500	-999.2500	-999.2500	32.4000	33.4545
84.9360	-999.2500	-999.2500	-999.2500	32.7273	34.0000
85.0884	-999.2500	-999.2500	-999.2500	33.2000	29.0000
85.2408	-999.2500	-999.2500	-999.2500	32.4000	29.4000
85.3932	-999.2500	-999.2500	-999.2500	34.4000	34.7368
85.5456	-5.2730	-999.2500	-20.9720	34.0000	31.6190
85.6980	10.7032	-999.2500	-12.8877	34.8000	31.3684
85.8504	6.9910	-999.2500	-11.8371	34.3158	36.8000
