HOLE:	U1352B
EXPEDITION:	317
TOP:	0.0506
BOTTOM:	485.9018
DEPTH_WMSF	FX	FY	FZ	FNOR	FINC	RB	P1AZ	HAZI	AX	AY	AZ
m	oer	oer	oer	oer	deg	deg	deg	deg	m/s2	m/s2	m/s2
0.0506	0.087249	0.084906	-0.038325	0.126853	-23.5032	70.9595	349.6476	278.6876	-0.0501	-0.0481	9.7766
0.2030	0.071738	0.048069	-0.027581	0.121830	-17.2105	45.8954	311.8742	265.9783	-0.1515	0.0139	9.6013
0.3554	0.002800	0.209229	0.007012	0.122066	-8.7641	55.7478	308.8116	253.0634	-0.1485	0.0365	9.7737
0.5078	0.048106	0.029892	0.001499	0.119484	-2.3928	83.6518	326.1620	242.5102	-0.0684	0.1086	9.7330
0.6602	-0.042842	0.072248	0.004615	0.125058	3.3672	29.6183	263.8784	234.2598	-0.0694	0.0925	9.9824
0.8126	-0.082672	0.115154	0.005134	0.124684	12.9044	68.0356	241.1841	228.1071	-0.1141	-0.0044	9.8820
0.9650	0.034174	-0.015000	0.022637	0.128596	21.5767	235.2587	103.0710	227.8119	-0.0483	-0.0016	9.9605
1.1174	-0.121994	-0.039814	-0.042142	0.143621	31.3918	328.0751	192.6435	224.5685	-0.1344	0.0437	9.8682
1.2698	-0.149673	-0.021803	0.091226	0.160562	42.3009	342.2704	198.4836	216.2133	-0.0059	0.0305	9.8055
1.4222	-0.059191	0.017946	0.023591	0.188467	50.5645	333.2298	186.6472	213.4177	-0.1353	-0.0047	9.7980
1.5746	-0.200688	-0.097078	0.123461	0.227383	58.0013	327.9323	175.9758	208.0439	-0.1064	0.0467	9.6880
1.7270	-0.073739	-0.048266	0.138846	0.295378	62.7126	323.3830	160.4162	197.0338	-0.1294	0.0405	9.8275
1.8794	-0.120186	-0.156005	0.065498	0.363538	63.0557	288.4225	173.4518	188.6130	-0.1338	-0.0711	9.8924
2.0318	0.044821	-0.112061	0.198943	0.416679	64.9291	149.2671	323.5270	174.2639	-0.1783	0.0498	9.8891
2.1842	-0.079464	0.119190	0.206456	0.473961	66.5790	102.7005	212.3743	166.5222	-0.1232	0.0908	9.8541
2.3366	0.026916	-0.089632	0.437232	0.515418	67.3350	280.5438	90.9445	170.4008	-0.0750	-0.0320	9.8146
2.4890	0.035564	-0.113807	0.463617	0.514920	66.9299	304.6779	112.9416	168.2650	0.0397	-0.0383	9.8255
2.6414	0.011833	-0.121465	0.590406	0.584670	67.4829	243.1767	103.1327	162.5038	-0.1270	-0.0311	9.8667
2.7938	0.020838	0.034609	0.668933	0.624422	68.0176	98.4453	197.6140	156.8487	-0.1296	0.1625	9.8805
2.9462	-0.129173	-0.226169	1.173991	0.638650	68.1697	312.7273	105.3337	152.6077	-0.1253	-0.0073	9.7702
3.0986	0.271586	-0.508591	1.181035	0.647528	67.7391	303.0204	85.3408	142.3208	0.0698	-0.0383	9.7546
3.2510	0.124209	-0.363865	0.887689	0.648945	67.7323	334.9983	104.5691	129.5701	-0.0530	-0.0169	9.6706
3.4034	0.015560	-0.315543	0.973457	0.643277	66.9239	294.2330	118.1928	125.4568	-0.1477	0.0066	9.8845
3.5558	0.000556	-0.189094	0.604615	0.634386	66.1061	61.5268	168.0932	106.5663	-0.0349	-0.0344	9.8620
3.7082	-0.047396	-0.168791	0.652154	0.613886	65.0950	170.2541	209.6194	98.2818	-0.0555	-0.0655	9.8989
3.8606	-0.209283	-0.015528	1.183189	0.585609	63.7488	336.2433	66.7521	90.5089	-0.1118	-0.0467	9.8959
4.0130	0.275994	-0.253769	0.965901	0.552565	62.0576	314.1505	43.9150	89.7654	-0.1312	-0.0058	9.8106
4.1654	0.222439	-0.012027	0.450543	0.513743	59.6987	295.2959	13.9110	78.6139	0.0296	-0.0290	9.9098
4.3178	0.242716	0.102788	0.277989	0.452330	56.6001	329.5684	33.6898	64.1226	-0.0738	-0.0182	9.7998
4.4702	0.185235	-0.119381	0.147630	0.391792	54.6569	340.0706	28.1034	48.0333	-0.2076	-0.0379	9.8042
4.6226	0.195542	0.142207	0.079036	0.347860	51.3309	323.3233	350.4961	27.1730	0.0472	-0.0802	9.7456
4.7750	0.163911	0.055437	0.080398	0.301154	46.3647	337.3735	345.3062	7.9330	-0.0112	-0.1393	9.7896
4.9274	0.022005	0.157675	0.039746	0.268651	41.1717	291.5818	304.5634	12.9819	-0.1031	-0.0306	9.9216
5.0798	0.082731	0.083620	-0.018936	0.268774	41.1754	318.4370	331.4583	13.0214	-0.0417	-0.1165	10.0804
5.2322	0.045747	0.080069	-0.038148	0.210717	29.4174	269.3955	275.7104	6.3149	0.0247	0.0411	9.7727
5.3846	-0.081614	0.079346	0.009047	0.179539	18.8429	288.7460	288.1109	359.3653	-0.0374	-0.0407	9.7214
5.5370	0.053513	0.233380	0.067424	0.165679	12.9242	300.4408	292.3821	351.9417	-0.0971	-0.0615	9.6229
5.6894	-0.093787	0.157614	0.043303	0.156523	8.7736	252.8481	242.3438	349.4955	-0.0749	-0.0734	9.8825
5.8418	-0.129977	0.073469	0.076974	0.148676	6.1489	274.9139	257.6235	342.7097	-0.0520	-0.0423	9.8243
5.9942	-0.115767	0.182064	0.095176	0.139149	4.1282	276.0062	255.3536	339.3474	-0.1407	-0.0718	9.8961
6.1466	-0.036859	0.063328	0.028818	0.145416	2.2271	299.6686	275.0315	335.3632	0.0158	-0.0417	9.7947
6.2990	-0.039217	0.224682	-0.024185	0.145411	1.5852	309.1683	285.1266	335.9586	0.0718	-0.0266	9.9408
6.4514	-0.045986	0.203544	-0.060402	0.154210	1.6475	311.3303	290.9462	339.6162	0.0114	0.0073	9.9756
6.6038	0.040210	0.046303	-0.061173	0.155092	1.9406	281.5919	260.6292	339.0375	-0.1388	-0.0589	9.9595
6.7562	-0.124114	-0.006229	-0.003470	0.149378	2.0743	171.8591	150.4135	338.5542	-0.0288	-0.0165	9.6899
6.9086	0.073853	-0.025722	0.008352	0.139639	2.0079	57.7796	25.3660	327.5863	0.0786	-0.1207	9.5943
7.0610	0.129027	0.028175	-0.022909	0.134439	2.3923	139.0732	102.2486	323.1756	-0.4470	-0.0722	9.6942
7.2134	-0.043346	-0.017507	-0.030689	0.127078	3.2058	334.2966	299.0000	324.7036	-0.0557	-0.0049	9.9193
7.3658	0.038592	0.264298	-0.006606	0.123054	4.5621	307.3813	279.6507	332.2696	0.0631	0.0040	10.0957
7.5182	-0.115617	0.139210	0.003791	0.123940	7.3644	292.8903	260.0519	327.1619	-0.0357	-0.0506	9.8739
7.6706	-0.053026	0.207628	0.008631	0.114615	10.8808	321.1163	273.2083	312.0931	-0.0435	-0.1001	9.8290
7.8230	-0.101609	0.181952	-0.036674	0.114180	13.8934	348.5793	221.7225	233.1417	0.0798	0.0577	9.6564
7.9754	-0.058366	-0.052141	0.010553	0.116306	16.0405	272.0002	150.5666	173.8018	0.0419	-0.0100	9.9120
8.1278	-0.010981	0.017502	0.072008	0.118791	16.6139	94.8173	198.3238	168.4656	-0.3316	-0.2263	9.8766
8.2802	-0.072858	-0.042591	0.054830	0.124065	16.2853	316.0384	111.6946	155.6552	-0.0884	-0.1441	9.7416
8.4326	0.061305	-0.064223	0.095729	0.131700	14.1517	286.8687	64.0070	137.1398	0.0986	-0.0513	9.7534
8.5850	0.004759	-0.010545	0.116635	0.140695	12.8616	296.6017	70.1854	133.5758	-0.0491	-0.2631	9.6994
8.7374	0.128309	-0.065906	0.113105	0.131905	15.2550	234.7989	72.9874	132.3753	-0.0499	-0.0989	9.9789
8.8898	0.035387	0.080649	0.079640	0.128881	16.6918	190.4648	245.1154	120.6728	-0.0046	0.0176	9.7858
9.0422	0.045291	0.058225	0.044697	0.119871	20.0976	245.1052	15.0976	129.9928	-0.0419	-0.1118	9.8359
9.1946	0.107695	0.001737	0.023904	0.119619	22.0941	293.4728	66.1607	132.6877	0.0361	-0.0812	9.7567
9.3470	0.042687	-0.086455	0.027308	0.119744	21.1664	262.1407	104.8970	136.1462	-0.0126	-0.0264	9.8935
9.4994	0.175383	0.069622	0.054577	0.121802	23.1116	219.3432	345.9828	126.6476	0.0866	-0.1021	9.9647
9.6518	0.131798	0.197993	-0.065544	0.125876	26.2913	227.8974	338.3859	110.4879	-0.0526	-0.1441	9.8230
9.8042	0.203060	0.157528	-0.037956	0.129895	25.8638	235.2494	338.5075	103.2587	0.0790	-0.0445	9.7277
9.9566	0.075698	0.115567	-0.007919	0.131816	27.1114	264.3363	329.8624	65.5269	0.2334	-0.0758	9.6889
10.1090	0.035918	0.076049	0.063836	0.136377	32.0928	265.3039	302.5492	37.2455	0.0530	-0.0561	9.9204
10.2614	-0.022140	0.105455	0.053331	0.145371	36.7032	246.4178	224.7066	46.1479	-0.0829	-0.0285	9.9405
10.4138	0.038235	-0.005162	0.062767	0.165544	44.2283	295.7819	47.3296	43.4735	0.0167	-0.0481	10.0661
10.5662	0.077099	0.014346	0.020655	0.207859	55.0505	125.1923	157.0260	31.8479	0.2726	0.1220	9.8001
10.7186	-0.092655	-0.078843	0.029936	0.243426	59.1663	186.1838	213.8040	27.6201	-0.0146	-0.0698	9.6394
10.8710	0.030710	0.066788	0.232966	0.282243	64.7157	251.6259	273.6323	22.0065	-0.0043	-0.0654	9.5629
11.0234	0.118867	0.020303	0.095916	0.335941	69.5221	32.6236	45.1317	12.5060	0.0380	0.0035	9.7932
11.1758	0.082772	-0.056871	0.187414	0.395577	72.6779	332.5890	50.1522	8.4466	0.1048	0.0065	9.9025
11.3282	-0.070133	0.060191	0.274837	0.462328	74.1310	252.5448	250.6744	358.1281	-0.0227	-0.0546	10.2426
11.4806	-0.070375	0.068844	0.307513	0.521433	75.2043	302.6690	297.8533	355.1833	0.0289	-0.0051	9.8231
11.6330	0.105840	0.087444	0.419503	0.538761	72.5679	343.0240	339.5067	356.4819	0.0516	0.0010	9.8903
11.7854	-0.064931	0.131587	0.920472	0.614808	70.8142	292.1653	282.0034	349.8398	0.0720	-0.0972	9.5285
11.9378	-0.072454	0.099951	0.829255	0.681460	71.7411	250.0012	249.1954	359.1946	0.0419	-0.0802	9.4632
12.0902	-0.103697	0.134519	0.663628	0.708855	71.3404	245.7827	255.5768	9.7942	0.1083	-0.0365	9.9840
12.2426	-0.094578	0.077380	0.940738	0.703832	71.1311	243.6009	246.8598	3.2598	-0.0085	-0.1007	9.7646
12.3950	-0.188770	0.128665	0.981930	0.695770	70.6837	218.2438	228.3585	10.1147	0.0128	-0.0184	10.1872
12.5474	-0.243107	0.067903	1.175284	0.680085	70.1591	199.8732	209.6069	9.7344	0.0685	-0.0329	9.7840
12.6998	-0.185743	-0.027231	1.075196	0.649235	69.3176	190.9639	197.3948	6.4309	0.0827	-0.0101	10.0973
12.8522	-0.256726	0.057550	0.942678	0.614326	67.3583	193.1437	192.6680	359.5237	0.0453	-0.0072	9.7362
13.0046	-1.110869	-0.565922	1.183251	0.568404	65.8236	196.5465	193.8342	357.2867	0.0728	0.0102	9.7046
13.1570	-0.180516	-0.265459	1.183452	0.505883	62.9780	346.6856	338.6862	352.0009	-0.0661	-0.1049	9.6234
13.3094	0.245764	0.287315	0.811715	0.455192	60.7947	324.1866	310.4516	346.2657	0.0702	0.0030	9.7501
13.4618	-0.003600	0.032268	0.175954	0.407439	56.8212	249.5789	234.7933	345.2149	0.0931	-0.0536	10.0109
13.6142	-0.090483	0.206689	0.039598	0.352478	51.5328	254.4067	242.0044	347.5977	0.0114	-0.0686	10.0444
13.7666	-0.052196	-0.048805	-0.127865	0.297730	43.5121	133.3736	124.3650	350.9922	0.1074	-0.0904	9.9413
13.9190	0.084014	-0.042303	-0.086124	0.243441	31.3208	144.8481	141.8084	356.9608	0.2877	0.1269	9.7263
14.0714	-0.144709	-0.100521	-0.376203	0.208866	15.3946	171.1308	166.7418	355.6109	0.0592	-0.0057	9.9224
14.2238	-0.126110	-0.115403	-0.338211	0.188640	10.7408	204.1895	198.7933	354.6037	0.0797	-0.0264	9.5878
14.3762	-0.003123	0.060958	-0.148663	0.157484	-14.6610	233.8377	234.8901	1.0520	0.0557	-0.1269	9.9055
14.5286	-0.077928	-0.037421	-0.251221	0.185427	-37.4056	205.3960	202.8704	357.4739	0.0494	-0.0682	9.7381
14.6810	-0.139215	0.007705	-0.151780	0.202737	-48.0768	211.7738	205.3725	353.5984	0.1179	-0.0618	9.8822
14.8334	-0.126572	0.009004	-0.170503	0.214468	-51.3026	239.2258	232.6854	353.4595	0.0582	-0.0924	9.8909
14.9858	-0.070481	0.112694	-0.152404	0.218350	-53.3239	267.6616	260.0702	352.4084	0.0859	-0.0188	9.8504
15.1382	-0.118113	0.138687	-0.161203	0.219400	-53.3958	240.9865	239.9920	359.0054	0.0547	-0.0336	9.8827
15.2906	-0.033948	0.004155	-0.144205	0.215903	-51.1178	195.3578	199.1694	3.8113	0.0773	-0.0556	9.6647
15.4430	-0.291894	-0.060684	-0.137114	0.198573	-49.6206	187.1470	196.7032	9.5559	0.0761	-0.0518	9.8527
15.5954	-0.231970	-0.022480	-0.100152	0.194195	-45.9663	192.3403	203.4203	11.0796	0.0868	-0.0252	9.7809
15.7478	-0.187273	0.007451	-0.092179	0.194405	-43.0272	190.5294	201.8758	11.3461	0.0802	-0.0345	9.9680
15.9002	-0.155172	-0.034237	-0.075476	0.190443	-40.3340	184.8534	196.7485	11.8950	0.0721	-0.0526	9.8022
16.0526	-0.063422	0.025681	-0.167485	0.183886	-38.9336	177.9132	188.5648	10.6516	0.0801	-0.0498	9.7173
16.2050	-0.096674	-0.082765	-0.170132	0.176895	-37.3987	168.4423	178.7848	10.3429	0.0939	-0.0181	9.7835
16.3574	-0.056991	0.015514	-0.150891	0.174481	-34.0305	220.4125	222.2049	1.7920	0.0882	-0.0328	9.7973
16.5098	-0.161068	0.054858	-0.109874	0.171219	-30.2626	243.1472	238.6266	355.4792	0.0744	-0.0529	9.9332
16.6622	-0.039064	0.085346	-0.071943	0.164539	-27.1960	265.8947	258.1096	352.2148	0.0685	-0.0767	10.0350
16.8146	-0.108526	0.071827	-0.110923	0.157102	-25.0318	198.4879	189.5881	351.0998	0.0955	0.0182	9.6762
16.9670	-0.157134	-0.126993	-0.059997	0.148510	-23.2069	184.4978	174.6338	350.1362	0.0417	0.0281	9.8941
17.1194	-0.137027	0.005807	-0.072552	0.137383	-21.3286	189.8561	179.0325	349.1759	0.1067	0.0328	9.6777
17.2718	-0.092897	-0.106024	-0.033940	0.134473	-17.9950	152.1631	86.5481	11.8174	0.0316	-0.0979	9.8656
17.4242	0.100189	-0.004996	-0.021954	0.133013	-12.5398	268.9671	26.6738	40.0557	0.0901	-0.0385	9.7324
17.5766	0.005379	-0.124111	-0.043899	0.128815	-8.2054	57.1733	99.1664	119.8768	0.1118	-0.0045	9.8523
17.7290	0.111591	-0.240972	0.020597	0.127697	-3.9942	138.2935	72.0149	293.7220	0.0800	0.0410	9.8236
17.8814	0.029829	-0.007055	0.050546	0.126290	-1.0454	222.0609	53.8219	191.7590	0.0895	-0.0604	9.9166
18.0338	0.160667	-0.059708	0.031090	0.128081	2.5964	172.3780	87.2028	196.3351	0.0722	-0.0621	9.8669
18.1862	0.139651	0.119379	0.029605	0.125244	7.1471	154.0005	264.2041	188.8842	0.1236	0.0207	9.8504
18.3386	-0.039774	-0.005197	0.047254	0.126237	10.1417	205.5879	104.3832	179.8886	0.0626	0.0277	9.8964
18.4910	0.032481	0.027577	0.065333	0.120938	12.9954	81.7277	261.2397	179.5199	0.1731	-0.0574	9.8389
18.6434	-0.150723	0.115634	0.034403	0.123466	15.2327	108.3035	194.5594	165.5917	0.1067	-0.0250	9.7836
18.7958	0.006492	0.017048	0.032556	0.131889	16.6932	187.1563	58.4732	151.7806	0.1094	0.0096	9.6473
18.9482	-0.021058	-0.073935	0.019502	0.135951	22.9092	50.4677	185.6014	135.1343	0.1416	0.0121	9.8036
19.1006	0.021274	-0.037542	-0.001968	0.153236	27.2529	210.3985	331.9078	121.5091	0.0925	0.0010	9.9234
19.2530	0.067346	0.146767	0.000496	0.165071	31.2379	209.4787	320.3459	110.8666	0.1114	-0.0122	9.9205
19.4054	0.075567	0.061224	0.068102	0.157868	33.7817	218.4895	315.3640	96.8743	0.0924	0.0450	9.9309
19.5578	0.036122	0.188912	0.056851	0.152697	33.0128	161.2033	246.3841	85.1805	0.0984	-0.0096	9.7938
19.7102	-0.024663	0.003132	0.026498	0.148707	26.2864	33.7796	118.3855	84.6059	0.0876	0.0541	9.8115
19.8626	0.020409	0.040449	0.037390	0.138054	14.9547	138.0703	226.8002	88.7299	0.0654	0.0538	9.8244
20.0150	-0.227848	0.047280	0.130580	0.138505	-1.5001	133.2654	232.0774	98.8122	0.1674	-0.0038	9.8369
20.1674	-0.099266	0.143274	0.147722	0.149793	-18.2170	167.1951	269.5318	102.3369	0.1071	0.0074	9.8785
20.3198	-0.142540	0.259114	0.300326	0.173819	-32.7585	153.5824	258.4615	104.8794	0.1017	0.0269	9.7452
20.4722	-0.158240	0.222517	0.381032	0.174150	-31.0797	159.5799	260.6212	101.0415	0.0977	0.0163	9.8306
20.6246	-0.026546	0.038197	0.134529	0.160190	-21.1803	108.5022	208.9969	100.4948	0.1025	0.0422	9.8856
20.7770	-0.060041	-0.051506	-0.009699	0.179287	-25.2439	87.2421	187.9827	100.7401	0.0949	0.0441	9.8743
20.9294	-0.060578	0.064627	-0.120847	0.190651	-2.7608	168.7777	278.4422	109.6646	0.1027	-0.0027	9.8499
21.0818	-0.075619	0.042498	-0.399078	0.214304	15.8864	232.6009	356.1841	123.5830	0.1053	0.0209	9.8565
21.2342	0.255332	0.090861	-0.626463	0.249099	30.1817	211.0752	347.6006	136.5259	0.0855	0.0701	9.9808
21.3866	0.080321	0.077009	-0.606976	0.299601	39.5426	152.8841	308.3822	155.4986	0.0775	0.0544	9.8552
21.5390	-0.018086	0.116147	-0.840477	0.342286	45.9636	110.1162	283.2619	173.1526	0.1085	-0.0349	9.7226
21.6914	-0.037845	0.219771	-0.496590	0.382079	49.9992	84.2423	193.6479	192.9042	0.1095	0.0277	9.5331
21.8438	0.009816	0.016785	0.695638	0.450155	49.9175	195.1595	36.1908	201.0311	0.0900	0.0471	9.7694
21.9962	0.277648	0.037134	0.232939	0.548171	48.5160	215.8213	59.4373	203.6157	0.1123	0.0359	9.9451
22.1486	0.228985	-0.298270	1.183709	0.664394	46.6880	174.4618	18.2295	203.7678	0.0774	0.0017	10.1230
22.3010	0.484980	0.200838	1.183347	0.765731	47.9176	149.5132	356.5695	207.0571	0.1359	0.0806	9.8512
22.4534	0.120542	0.066843	1.183277	0.858084	50.3140	149.5207	359.9000	210.3802	-0.0110	0.0513	9.9713
22.6058	0.429448	0.181244	1.183336	0.919699	50.3898	148.9113	3.9504	215.0400	0.1657	0.0508	9.5017
22.7582	0.322854	0.087362	1.183375	0.990359	50.0906	167.5013	26.4833	218.9825	0.0941	0.0477	10.0000
22.9106	0.364462	-0.047639	1.183524	1.111691	51.1381	188.6894	48.0366	219.3468	0.0631	0.0974	9.4494
23.0630	0.668265	-0.561706	1.161955	1.171000	51.6505	181.9671	128.4488	221.1320	0.1191	-0.0228	10.0949
23.2154	0.915846	-0.077992	1.183871	1.128189	48.6276	128.6569	351.3326	222.6905	0.0577	-0.0356	9.7317
23.3678	1.170242	1.208183	1.182697	1.092617	46.5512	112.4819	339.7264	227.2450	0.1479	0.1128	10.2310
23.5202	0.872812	1.201841	1.182539	1.031471	39.4543	120.0095	354.1425	234.1334	0.0974	0.0365	9.8491
23.6726	0.800446	0.032983	1.183696	1.034258	31.7939	143.1256	23.4568	240.3318	0.1123	0.1244	9.7823
23.8250	0.658371	0.143562	0.382597	1.097169	28.7908	144.6334	31.5893	246.9566	-0.0556	0.0577	9.7631
23.9774	0.948867	-0.211970	0.083851	1.161026	27.0734	120.4239	100.7164	253.6936	0.1044	0.0702	9.4835
24.1298	0.675688	0.846415	0.654573	1.218220	25.7077	64.1510	321.6779	257.5467	0.0760	-0.0007	9.9372
24.2822	0.465227	1.159891	1.182354	1.226546	24.9373	114.9772	293.3473	265.4227	0.0976	0.1059	9.7976
24.4346	-0.379411	-0.099246	-0.093145	1.148229	19.7430	265.3092	181.4234	276.1140	0.1220	0.0331	10.1831
24.5870	-0.358207	-0.123985	-1.151433	1.060734	13.5319	209.3506	139.6559	290.3051	0.0971	0.0453	9.7884
24.7394	0.260459	-1.018338	-1.150173	1.004259	6.2402	137.4896	78.5914	301.1020	0.0691	0.1596	10.0665
24.8918	1.210324	-1.187584	-1.147932	1.006415	-1.7134	115.8057	68.9814	313.1758	0.0461	0.0551	9.6231
25.0442	1.204104	-1.186536	0.514350	1.056596	-8.8603	100.5616	69.0696	328.5079	0.0449	0.0666	9.7539
25.1966	1.201611	-1.186151	1.185171	1.097922	-12.4106	62.9379	72.4189	9.4811	0.0945	0.0948	9.5425
25.3490	1.185630	-1.186066	1.185157	1.093615	-16.6280	82.8112	96.8237	14.0124	0.0685	0.0037	9.7965
25.5014	-0.007686	-1.069243	1.184362	1.129064	-23.0903	153.2276	153.7195	0.4918	0.1310	0.0733	9.8756
25.6538	-0.667389	0.033136	-0.684817	1.191601	-26.2448	213.5565	204.3486	350.7922	0.0623	0.0816	10.0884
25.8062	-0.238977	0.021055	-1.170592	1.171724	-21.9206	263.5181	240.3871	336.8693	0.1061	-0.0323	10.0381
25.9586	-0.648071	0.679197	-1.171504	1.133755	-16.4375	298.6508	265.7664	327.1154	0.1416	0.0345	9.9040
26.1110	-0.412395	1.198497	-1.171898	1.054396	-15.5822	310.8690	277.1155	326.2450	0.0275	0.0199	9.7325
26.2634	-0.419121	1.214509	-1.171911	0.986578	-18.1727	289.2627	268.4737	339.2096	0.0128	0.0751	9.8521
26.4158	-0.675462	1.215859	-1.039318	0.998592	-25.2644	295.7804	272.3929	336.6126	0.2209	0.0369	9.4608
26.5682	-0.141409	0.986944	-1.086017	1.055585	-31.2517	260.1407	240.8240	340.6849	0.0934	0.0444	9.8643
26.7206	-0.120960	-0.883910	-1.175393	1.083756	-32.1967	141.9648	107.7070	325.7421	0.1000	0.1336	9.6959
26.8730	0.442895	-1.164760	-1.021157	1.125072	-30.0418	156.0453	96.3478	300.3026	0.1147	0.0330	10.0169
27.0254	0.244179	-1.161942	0.386590	1.128589	-22.6040	146.3513	157.0645	279.9534	0.0737	0.0438	9.9116
