HOLE:	U1352B
EXPEDITION:	317
TOP:	398.5752
BOTTOM:	470.9652
DEPTH_WMSF	APLC	STOF	SIGF	AFEC	ANEC
m	%	in	cu	cps	cps
413.6628	43.1958	0.4018	23.4872	521.9120	2643.1189
413.8152	41.7653	0.8596	23.9187	426.9966	2627.5464
413.9676	58.0423	0.8951	25.2941	383.4541	2536.7139
414.1200	84.7418	0.0251	29.0941	400.0786	2390.8223
414.2724	101.7944	0.9405	28.6625	396.4586	2319.7122
414.4248	102.9530	0.8025	30.1493	383.2561	2279.9585
414.5772	97.4503	-0.1919	32.6099	384.0774	2271.6172
414.7296	96.0422	-0.3886	34.2154	385.3278	2299.6328
414.8820	96.6408	-0.3617	34.7089	377.0118	2304.9963
415.0344	96.2619	-0.3753	34.8723	391.0238	2302.6785
415.1868	95.0765	-0.4156	35.5027	386.5471	2271.8743
415.3392	89.5328	-0.2600	35.9605	379.1870	2253.1870
415.4916	86.1352	-0.2000	36.1072	387.3777	2280.8953
415.6440	86.7264	-0.3315	36.5098	406.6626	2253.2839
415.7964	91.7600	-0.2213	36.9247	398.0049	2277.7087
415.9488	95.8737	0.1383	36.8513	393.4470	2300.0903
416.1012	90.2055	-0.0340	37.1871	410.2670	2273.8787
416.2536	75.5378	-0.0249	36.6350	394.6738	2322.1572
416.4060	62.3509	0.4023	34.7929	435.8038	2342.9026
416.5584	57.2371	0.4211	33.4909	503.7750	2365.6011
416.7108	53.6384	0.6676	32.1332	517.1133	2555.0908
416.8632	52.9797	0.9379	30.9846	500.9054	2724.7161
417.0156	56.6974	0.8206	31.9574	464.7654	2726.7656
417.1680	59.1996	0.6762	33.2962	474.2484	2723.4700
417.3204	62.9872	0.5891	33.4509	489.6770	2627.1570
417.4728	72.8529	0.3994	34.2996	472.3698	2450.8374
417.6252	76.6409	0.4183	34.5376	464.7939	2401.5837
417.7776	70.3634	0.7030	33.5552	448.4860	2489.4973
417.9300	67.7606	0.7935	33.4861	436.6564	2485.2876
418.0824	69.8255	0.7341	34.5815	456.2936	2378.0269
418.2348	70.2323	0.7147	34.5386	457.0820	2438.2683
418.3872	67.1021	0.8033	34.0760	456.9894	2453.7688
418.5396	66.3937	0.6190	34.4438	472.5060	2405.9988
418.6920	63.6617	0.3081	35.0493	473.7517	2421.0691
418.8444	60.0809	0.4807	33.7146	453.4612	2459.2153
418.9968	59.2744	0.6417	31.8010	472.6065	2440.5906
419.1492	60.2095	0.8147	32.0311	467.5492	2407.2891
419.3016	62.9175	0.8749	32.2548	455.2574	2437.0493
419.4540	63.2070	0.8760	31.7906	470.3236	2457.0107
419.6064	62.3081	0.8874	32.9571	478.3809	2484.7207
419.7588	61.9628	0.8498	33.5748	462.6363	2451.2646
419.9112	58.4787	0.7871	33.0027	490.2953	2437.4978
420.0636	53.8603	0.8170	32.9968	465.4473	2490.1626
420.2160	54.0225	0.7935	32.6508	481.8887	2484.3323
420.3684	58.4488	0.9321	31.3474	482.6564	2452.5168
420.5208	61.9938	0.8932	31.0243	498.4237	2460.7075
420.6732	53.7464	0.9722	30.9967	471.0762	2472.4314
420.8256	43.4485	1.0340	28.4563	483.9628	2505.5420
420.9780	42.3403	1.0168	27.9039	536.9290	2480.8599
421.1304	48.7628	0.7643	28.1771	549.8886	2469.1772
421.2828	46.8477	0.7544	27.3089	470.5183	2532.8508
421.4352	64.3969	0.5186	27.8873	485.5810	2547.5859
421.5876	81.3617	-0.0607	30.2194	507.4265	2356.4973
421.7400	69.4970	0.5984	30.4248	388.8506	2399.0632
421.8924	35.0426	1.0163	28.7106	395.2785	2591.1204
422.0448	38.2283	0.8933	30.5479	398.6648	2593.5637
422.1972	74.7258	0.4503	32.8164	408.4995	2355.8606
422.3496	104.7412	1.3482	30.3357	402.5272	2322.7976
422.5020	101.9110	0.4701	32.3299	390.7904	2304.8481
422.6544	96.6965	-0.3500	35.4092	381.7738	2317.4189
422.8068	95.1528	-0.4170	36.2124	385.4672	2244.4731
422.9592	91.9060	-0.4187	34.8806	375.9876	2344.8267
423.1116	94.0539	-0.4398	34.6680	387.3626	2297.7778
423.2640	96.3498	-0.3736	34.7701	384.2046	2326.6592
423.4164	92.4228	-0.4326	33.8286	441.8454	2358.5610
423.5688	93.9501	-0.4419	33.9883	427.0000	2385.0000
423.7212	88.5904	-0.2799	34.3733	442.0466	2308.4282
423.8736	91.8139	-0.4169	34.3528	409.5944	2340.3840
424.0260	90.8127	-0.3910	34.9780	426.1607	2371.3547
424.1784	93.3360	-0.4350	35.9661	427.0810	2348.2849
424.3308	89.3424	-0.3228	35.6320	376.0341	2417.1235
424.4832	94.2281	-0.2920	35.5843	385.5840	2322.5630
424.6356	105.1062	1.4905	32.5738	406.8807	2344.0081
424.7880	105.5121	1.8032	32.8523	384.4402	2375.1667
424.9404	100.2264	0.0964	38.6197	407.6185	2338.7061
425.0928	95.6039	-0.3575	38.4543	397.9006	2249.8745
425.2452	89.4873	-0.3226	38.0542	403.7315	2283.6299
425.3976	88.4151	-0.2760	38.6984	420.1785	2294.4790
425.5500	89.8689	-0.3441	36.4985	407.7397	2293.2664
425.7024	88.4545	-0.2776	34.9560	408.0883	2328.6765
425.8548	89.9479	-0.3432	35.0969	415.5002	2353.1042
426.0072	93.9632	-0.2310	34.8780	414.1905	2380.7673
426.1596	99.9467	0.2311	33.9832	404.6090	2324.7986
426.3120	91.7762	-0.4073	34.6941	409.5365	2342.3005
426.4644	88.0212	-0.2991	35.8414	396.4931	2395.4705
426.6168	79.8326	-0.0938	36.0734	390.7305	2333.5325
426.7692	64.1616	0.3668	35.8531	390.9076	2370.6863
426.9216	60.2660	0.4568	34.8202	435.5844	2449.7983
427.0740	72.3554	0.0533	35.2976	474.1032	2359.4153
427.2264	86.8922	-0.4130	34.9183	464.0107	2335.0986
427.3788	80.5965	-0.2245	34.7278	422.8338	2447.2036
427.5312	74.4659	0.0219	35.2123	429.5807	2519.5342
427.6836	65.4557	0.1418	35.8842	416.9314	2558.4478
427.8360	54.3958	0.6073	34.3692	396.4374	2623.0837
427.9884	54.9925	0.6262	34.1515	410.2962	2558.4216
428.1408	75.2446	0.0817	35.5397	399.0962	2426.2654
428.2932	93.0951	-0.3199	35.3766	389.5482	2327.4429
428.4456	96.5411	-0.2402	34.9838	388.7453	2348.2295
428.5980	92.7751	-0.4227	34.6772	386.2623	2310.6567
428.7504	91.3582	-0.4287	34.3583	389.1519	2297.9534
428.9028	87.3072	-0.4170	34.2160	388.7356	2292.4314
429.0552	83.8214	-0.1913	34.3402	406.1260	2304.2324
429.2076	85.8441	-0.1361	33.8013	428.8286	2357.8049
429.3600	90.5173	-0.3592	33.9734	437.6931	2378.3916
429.5124	89.7907	-0.3162	34.5191	429.3393	2327.3621
429.6648	81.1676	0.1711	34.9418	439.6373	2355.1841
429.8172	72.7898	0.6234	35.3167	433.4100	2420.9353
429.9696	70.9049	0.6974	35.6833	408.7604	2416.2805
430.1220	72.1110	0.6522	35.1140	405.2275	2468.5803
430.2744	78.9470	0.2862	34.9162	422.3749	2451.5461
430.4268	89.9198	-0.2477	34.6259	403.6981	2365.6973
430.5792	96.5873	-0.3258	34.8160	394.9284	2346.4746
430.7316	98.7711	-0.1688	34.8303	403.6935	2343.6663
430.8840	101.0770	0.2431	34.7284	391.8770	2346.6816
431.0364	100.3552	0.1033	34.6515	383.8466	2347.0796
431.1888	99.4350	-0.0775	34.2320	385.5004	2343.6665
431.3412	97.3416	-0.2797	34.2673	400.1011	2336.5396
431.4936	96.5385	-0.3654	34.8647	408.9268	2347.3677
431.6460	95.8177	-0.3973	35.0311	401.5187	2348.1992
431.7984	95.3372	-0.4155	35.4971	391.6213	2321.5142
431.9508	96.0031	-0.3861	36.5388	383.5379	2308.7000
432.1032	97.2249	-0.3111	36.2828	394.9416	2330.6494
432.2556	101.3377	0.5261	35.0055	378.2202	2282.2605
432.4080	102.3033	0.5614	35.1007	374.5934	2333.7136
432.5604	103.6727	0.9279	34.5172	378.6469	2339.0522
432.7128	100.2772	0.1397	34.6214	369.9430	2341.2866
432.8652	95.7203	-0.3346	33.8472	380.4685	2336.8721
433.0176	90.9390	-0.3696	34.3243	382.6609	2310.2854
433.1700	92.1693	-0.4223	34.5313	403.4424	2323.4822
