HOLE:	U1352B
EXPEDITION:	317
TOP:	81.1260
BOTTOM:	481.9380
DEPTH_WMSF	IDPH	IMPH	SFLU
m	ohm.m	ohm.m	ohm.m
104.7480	1.3070	1.1344	0.6720
104.9004	1.3087	1.1188	0.6942
105.0528	1.3023	1.1108	0.6674
105.2052	1.2897	1.1133	0.7022
105.3576	1.2912	1.1228	0.6771
105.5100	1.2824	1.1339	0.6988
105.6624	1.2812	1.1420	0.6997
105.8148	1.2780	1.1444	0.6871
105.9672	1.2704	1.1408	0.7207
106.1196	1.2664	1.1328	0.7040
106.2720	1.2658	1.1229	0.7189
106.4244	1.2622	1.1137	0.7232
106.5768	1.2604	1.1072	0.7112
106.7292	1.2598	1.1040	0.6729
106.8816	1.2552	1.1025	0.6819
107.0340	1.2427	1.1008	0.6974
107.1864	1.2463	1.0978	0.6440
107.3388	1.2421	1.0941	0.6866
107.4912	1.2435	1.0907	0.7108
107.6436	1.2502	1.0889	0.7823
107.7960	1.2545	1.0907	0.7413
107.9484	1.2665	1.0981	0.7254
108.1008	1.2788	1.1112	0.7142
108.2532	1.2748	1.1272	0.7360
108.4056	1.2770	1.1408	0.6910
108.5580	1.2877	1.1459	0.7519
108.7104	1.2871	1.1403	0.6942
108.8628	1.2883	1.1257	0.6887
109.0152	1.2916	1.1061	0.7098
109.1676	1.2873	1.0859	0.6859
109.3200	1.2830	1.0714	0.6375
109.4724	1.2817	1.0696	0.6714
109.6248	1.2812	1.0830	0.6560
109.7772	1.2797	1.1072	0.6564
109.9296	1.2792	1.1328	0.7180
110.0820	1.2787	1.1487	0.7217
110.2344	1.2782	1.1484	0.6845
110.3868	1.2778	1.1354	0.6442
110.5392	1.2857	1.1192	0.6715
110.6916	1.2816	1.1066	0.6521
110.8440	1.2816	1.1000	0.6790
110.9964	1.2948	1.1004	0.6779
111.1488	1.3152	1.1099	0.6348
111.3012	1.3252	1.1309	0.6495
111.4536	1.3251	1.1634	0.7494
111.6060	1.3341	1.2015	0.7218
111.7584	1.3590	1.2323	0.6889
111.9108	1.3727	1.2442	0.7496
112.0632	1.3747	1.2368	0.8184
112.2156	1.3760	1.2194	0.7399
112.3680	1.3799	1.2013	0.7611
112.5204	1.3836	1.1873	0.7157
112.6728	1.3844	1.1829	0.7333
112.8252	1.3987	1.1929	0.7553
112.9776	1.3981	1.2165	0.6690
113.1300	1.3984	1.2474	0.7995
113.2824	1.3975	1.2771	0.7445
113.4348	1.3957	1.2953	0.7063
113.5872	1.3946	1.2935	0.8292
113.7396	1.3914	1.2717	0.6712
113.8920	1.3871	1.2381	0.7294
114.0444	1.3838	1.2041	0.7302
114.1968	1.3594	1.1809	0.7540
114.3492	1.3197	1.1716	0.7601
114.5016	1.3083	1.1681	0.7201
114.6540	1.3144	1.1615	0.7718
114.8064	1.3138	1.1518	0.7417
114.9588	1.2954	1.1431	0.7144
115.1112	1.2860	1.1376	0.7122
115.2636	1.2795	1.1353	0.6763
115.4160	1.2787	1.1336	0.6989
115.5684	1.2818	1.1303	0.7938
115.7208	1.2802	1.1275	0.7809
115.8732	1.2924	1.1284	0.6266
116.0256	1.2948	1.1349	0.7613
116.1780	1.2969	1.1478	0.7708
116.3304	1.3146	1.1656	0.7152
116.4828	1.3194	1.1822	0.7251
116.6352	1.3203	1.1908	0.8162
116.7876	1.3335	1.1891	0.8839
116.9400	1.3317	1.1796	0.8372
117.0924	1.3297	1.1678	0.6920
117.2448	1.3320	1.1626	0.7720
117.3972	1.3587	1.1707	0.7725
117.5496	1.3571	1.1898	0.6353
117.7020	1.3646	1.2093	0.8212
117.8544	1.3593	1.2202	0.7789
118.0068	1.3625	1.2230	0.6883
118.1592	1.3439	1.2201	0.8671
118.3116	1.3240	1.2058	0.7515
118.4640	1.3253	1.1727	0.7946
118.6164	1.2983	1.1259	0.6925
118.7688	1.2818	1.0833	0.6893
118.9212	1.2501	1.0606	0.7002
119.0736	1.2278	1.0601	0.7178
119.2260	1.2282	1.0700	0.6620
119.3784	1.2355	1.0764	0.7677
119.5308	1.2354	1.0770	0.6853
119.6832	1.2450	1.0796	0.6970
119.8356	1.2595	1.0896	0.6633
119.9880	1.2616	1.1045	0.6489
120.1404	1.2597	1.1160	0.7644
120.2928	1.2619	1.1162	0.6753
120.4452	1.2704	1.1048	0.7277
120.5976	1.2697	1.0905	0.6149
120.7500	1.2733	1.0826	0.7089
120.9024	1.2729	1.0831	0.6465
121.0548	1.2536	1.0886	0.6534
121.2072	1.2435	1.0950	0.6784
121.3596	1.2439	1.1001	0.7129
121.5120	1.2572	1.1037	0.7275
121.6644	1.2773	1.1065	0.6922
121.8168	1.2739	1.1094	0.7231
121.9692	1.2731	1.1135	0.6884
122.1216	1.2757	1.1196	0.7258
122.2740	1.2714	1.1257	0.7374
122.4264	1.2568	1.1251	0.7058
122.5788	1.2420	1.1111	0.6914
122.7312	1.2315	1.0859	0.6570
122.8836	1.2133	1.0591	0.6671
123.0360	1.2013	1.0401	0.6628
123.1884	1.1991	1.0324	0.7020
123.3408	1.1905	1.0328	0.6182
123.4932	1.1705	1.0349	0.7072
123.6456	1.1648	1.0340	0.6614
123.7980	1.1644	1.0290	0.6478
123.9504	1.1637	1.0218	0.6383
124.1028	1.1746	1.0153	0.6356
124.2552	1.1850	1.0131	0.6496
124.4076	1.1796	1.0176	0.6735
124.5600	1.1738	1.0283	0.6765
124.7124	1.1842	1.0417	0.6528
124.8648	1.2032	1.0539	0.6889
125.0172	1.2171	1.0626	0.6712
125.1696	1.2192	1.0684	0.6779
125.3220	1.2216	1.0729	0.6672
125.4744	1.2269	1.0763	0.6481
125.6268	1.2311	1.0776	0.6860
125.7792	1.2329	1.0767	0.6815
125.9316	1.2325	1.0755	0.6658
126.0840	1.2343	1.0756	0.6730
126.2364	1.2347	1.0766	0.6685
126.3888	1.2316	1.0774	0.6536
126.5412	1.2314	1.0775	0.6393
126.6936	1.2292	1.0770	0.6690
126.8460	1.2249	1.0763	0.6437
126.9984	1.2238	1.0747	0.6417
127.1508	1.2239	1.0698	0.6819
127.3032	1.2173	1.0597	0.6412
127.4556	1.2000	1.0451	0.6458
127.6080	1.1967	1.0290	0.6513
127.7604	1.1963	1.0144	0.6061
127.9128	1.1987	1.0031	0.6208
128.0652	1.1944	0.9967	0.5977
128.2176	1.1997	0.9976	0.6076
128.3700	1.1923	1.0063	0.6926
128.5224	1.1971	1.0198	0.7307
128.6748	1.1956	1.0331	0.6833
128.8272	1.1812	1.0415	0.6639
128.9796	1.1787	1.0422	0.6425
129.1320	1.1743	1.0353	0.6437
129.2844	1.1728	1.0235	0.5675
129.4368	1.1676	1.0104	0.6090
129.5892	1.1464	0.9994	0.6030
129.7416	1.1285	0.9929	0.5585
129.8940	1.1314	0.9897	0.6101
130.0464	1.1322	0.9878	0.6104
130.1988	1.1356	0.9880	0.5891
130.3512	1.1795	0.9946	0.6111
130.5036	1.2303	1.0133	0.6554
130.6560	1.2273	1.0475	0.6711
130.8084	1.2116	1.0934	0.6391
130.9608	1.2364	1.1369	0.6821
131.1132	1.2740	1.1620	0.6851
131.2656	1.2880	1.1631	0.7012
131.4180	1.2961	1.1490	0.6873
131.5704	1.2964	1.1335	0.6977
131.7228	1.2914	1.1256	0.7378
131.8752	1.2962	1.1260	0.7116
132.0276	1.2902	1.1306	0.6848
132.1800	1.2828	1.1350	0.7339
132.3324	1.2823	1.1361	0.6645
132.4848	1.2812	1.1331	0.7137
132.6372	1.2814	1.1285	0.7613
132.7896	1.2854	1.1262	0.6673
132.9420	1.2978	1.1289	0.6742
133.0944	1.3068	1.1376	0.6942
133.2468	1.3071	1.1507	0.7137
133.3992	1.3077	1.1642	0.6911
133.5516	1.3090	1.1734	0.7032
133.7040	1.3094	1.1743	0.6937
133.8564	1.3133	1.1668	0.7121
134.0088	1.3135	1.1541	0.6625
134.1612	1.3125	1.1412	0.7017
134.3136	1.3024	1.1325	0.7056
134.4660	1.2968	1.1300	0.6716
134.6184	1.2994	1.1323	0.7380
134.7708	1.2973	1.1372	0.6995
134.9232	1.3002	1.1433	0.7050
135.0756	1.3017	1.1489	0.6521
135.2280	1.3021	1.1522	0.7361
135.3804	1.3025	1.1520	0.7168
135.5328	1.3051	1.1484	0.7521
135.6852	1.3085	1.1434	0.7059
135.8376	1.3166	1.1405	0.7305
