HOLE:	U1352B
EXPEDITION:	317
TOP:	398.5752
BOTTOM:	467.4600
DEPTH_WMSF	LCAL
m	in
446.2764	14.1253
446.4288	14.1289
446.5812	14.1115
446.7336	14.0643
446.8860	13.7677
447.0384	13.6600
447.1908	13.6430
447.3432	13.6513
447.4956	13.6513
447.6480	13.6568
447.8004	13.6505
447.9528	13.6263
448.1052	13.5931
448.2576	13.5931
448.4100	13.5986
448.5624	13.5935
448.7148	13.6263
448.8672	13.7095
449.0196	13.7178
449.1720	13.7138
449.3244	13.7123
449.4768	13.7039
449.6292	13.7677
449.7816	16.5652
449.9340	18.8020
450.0864	17.2662
450.2388	16.8365
450.3912	17.2401
450.5436	18.6717
450.6960	18.8103
450.8484	18.8103
451.0008	18.8083
451.1532	18.8075
451.3056	18.8020
451.4580	18.8048
451.6104	18.8052
451.7628	18.8075
451.9152	18.7992
452.0676	18.8020
452.2200	18.7481
452.3724	18.7160
452.5248	18.6883
452.6772	18.6384
452.8296	18.7228
452.9820	18.7937
453.1344	18.7465
453.2868	18.7992
453.4392	18.7992
453.5916	18.7659
453.7440	18.7545
453.8964	18.8020
454.0488	18.7604
454.2012	17.8567
454.3536	16.4322
454.5060	16.3098
454.6584	15.5391
454.8108	15.3146
454.9632	14.9708
455.1156	14.3031
455.2680	14.2667
455.4204	12.3012
455.5728	11.9159
455.7252	14.3887
455.8776	16.1934
456.0300	16.1906
456.1824	16.1122
456.3348	15.3451
456.4872	14.9930
456.6396	14.7403
456.7920	14.5356
456.9444	14.6132
457.0968	14.5217
457.2492	14.4552
457.4016	14.5245
457.5540	14.6659
457.7064	14.3443
457.8588	14.3637
458.0112	15.4975
458.1636	15.4865
458.3160	16.5652
458.4684	18.8352
458.6208	18.6855
458.7732	18.2753
458.9256	14.6453
459.0780	14.0394
459.2304	13.7261
459.3828	13.7095
459.5352	13.7138
459.6876	13.7067
459.8400	13.7067
459.9924	13.7233
460.1448	13.7150
460.2972	13.7265
460.4496	13.7233
460.6020	13.8065
460.7544	13.9507
460.9068	13.9356
461.0592	13.9340
461.2116	13.9340
461.3640	13.9293
461.5164	13.9479
461.6688	13.9368
461.8212	13.9340
461.9736	14.0972
462.1260	15.8108
462.2784	14.6465
462.4308	15.1399
462.5832	16.1977
462.7356	15.2702
462.8880	15.4144
463.0404	15.4726
463.1928	16.3815
463.3452	18.3446
463.4976	18.7105
463.6500	18.8075
463.8024	18.8875
463.9548	18.8242
464.1072	18.6246
464.2596	17.3414
464.4120	17.3549
464.5644	17.2812
464.7168	17.2884
464.8692	16.9296
465.0216	13.3075
465.1740	12.3483
465.3264	12.3533
465.4788	12.3336
465.6312	12.3089
465.7836	12.2855
465.9360	12.2744
466.0884	12.2515
466.2408	12.2596
466.3932	12.2596
466.5456	12.2596
466.6980	12.2596
466.8504	12.2596
467.0028	12.2596
467.1552	12.2596
467.3076	12.2596
467.4600	12.2596
