HOLE:	U1352B
EXPEDITION:	317
TOP:	81.1260
BOTTOM:	465.4788
DEPTH_WMSF	RHOM	DRH	PEFL	NRHB
m	g/cm3	g/cm3	barns/e-	g/cm3
99.4140	1.4357	0.0294	1.7933	1.4357
99.5664	1.4330	0.0298	1.7963	1.4330
99.7188	1.4233	0.0295	1.7763	1.4233
99.8712	1.4195	0.0282	1.7167	1.4195
100.0236	1.4531	0.0367	1.7346	1.4531
100.1760	1.4533	0.0372	1.7384	1.4533
100.3284	1.4638	0.0401	1.7296	1.4638
100.4808	1.4446	0.0377	1.7032	1.4446
100.6332	1.4557	0.0406	1.6929	1.4557
100.7856	1.4379	0.0350	1.6965	1.4379
100.9380	1.4350	0.0345	1.7062	1.4350
101.0904	1.4593	0.0404	1.7219	1.4593
101.2428	1.4963	0.0476	1.7476	1.4963
101.3952	1.4852	-0.0002	1.7710	1.4852
101.5476	1.5051	-0.0115	1.7711	1.5051
101.7000	1.5369	-0.0008	1.7909	1.5369
101.8524	1.5866	0.0081	1.8334	1.5866
102.0048	1.6526	0.0279	1.8931	1.6526
102.1572	1.7339	0.0493	1.9429	1.7339
102.3096	1.8059	0.0553	1.9455	1.8059
102.4620	1.8554	0.0741	1.9411	1.8554
102.6144	1.8988	0.0975	1.9049	1.8988
102.7668	1.8392	0.0810	1.9309	1.8392
102.9192	1.7981	0.0691	1.9630	1.7981
103.0716	1.6617	0.0388	1.7914	1.6617
103.2240	1.4500	-0.0035	1.6411	1.4500
103.3764	1.3415	0.0190	1.5419	1.3415
103.5288	1.2632	0.0056	1.5067	1.2632
103.6812	1.2472	-0.0025	1.5361	1.2472
103.8336	1.2497	-0.0037	1.5499	1.2497
103.9860	1.3045	0.0029	1.5607	1.3045
104.1384	1.4169	0.0107	1.5767	1.4169
104.2908	1.5275	0.0023	1.6349	1.5275
104.4432	1.6764	0.0293	1.7208	1.6764
104.5956	1.7456	0.0631	1.7827	1.7456
104.7480	1.8174	0.0807	1.8055	1.8174
104.9004	1.8061	0.0813	1.8879	1.8061
105.0528	1.8088	0.0776	1.9018	1.8088
105.2052	1.8294	0.0745	2.0083	1.8294
105.3576	1.8435	0.0746	2.0200	1.8435
105.5100	1.8809	0.0748	2.0429	1.8809
105.6624	1.8961	0.0745	1.9864	1.8961
105.8148	1.9160	0.0698	1.9599	1.9160
105.9672	1.9174	0.0730	2.0582	1.9174
106.1196	1.9160	0.0611	2.1033	1.9160
106.2720	1.9103	0.0427	2.2857	1.9103
106.4244	1.9299	0.0229	2.4991	1.9299
106.5768	1.9558	0.0147	2.6056	1.9558
106.7292	1.9691	0.0088	2.6175	1.9691
106.8816	1.9711	0.0044	2.5743	1.9711
107.0340	1.9641	-0.0009	2.7537	1.9641
107.1864	1.9667	-0.0000	2.8300	1.9667
107.3388	1.9609	-0.0042	2.7748	1.9501
107.4912	1.9720	-0.0042	2.7852	1.9120
107.6436	1.9738	-0.0034	2.7393	1.9919
107.7960	1.9701	-0.0080	2.8435	1.9862
107.9484	1.9626	-0.0119	2.7285	1.9392
108.1008	1.9665	-0.0128	2.7115	2.0192
108.2532	1.9667	-0.0117	2.7142	1.9407
108.4056	1.9609	-0.0157	2.7596	1.9721
108.5580	1.9700	-0.0083	2.7900	1.9525
108.7104	1.9713	-0.0081	2.7466	2.0542
108.8628	1.9753	-0.0090	2.8359	1.8530
109.0152	1.9684	-0.0100	2.5568	1.9608
109.1676	1.9668	-0.0048	2.4291	2.0979
109.3200	1.9592	-0.0067	2.2048	1.9526
109.4724	1.9620	-0.0040	2.2900	1.9149
109.6248	1.9613	-0.0012	2.3850	1.9599
109.7772	1.9606	-0.0047	2.3745	1.9174
109.9296	1.9597	-0.0081	2.3792	1.9813
110.0820	1.9583	-0.0109	2.3045	2.0412
110.2344	1.9324	-0.0098	2.2580	1.9781
110.3868	1.8810	-0.0043	2.2119	1.8956
110.5392	1.8533	0.0062	2.0828	1.8533
110.6916	1.8324	0.0090	2.0945	1.8324
110.8440	1.8564	0.0281	2.1162	1.8564
110.9964	1.8843	0.0314	2.3389	1.8843
111.1488	1.9195	0.0199	2.4689	1.9195
111.3012	1.9708	0.0195	2.5721	1.9708
111.4536	1.9592	0.0067	2.5761	1.9592
111.6060	1.9692	0.0093	2.6993	1.9692
111.7584	1.9710	-0.0008	2.8069	1.9578
111.9108	1.9981	-0.0013	2.8392	2.0117
112.0632	1.9904	-0.0119	2.8381	2.0629
112.2156	1.9835	-0.0196	2.9034	1.9894
112.3680	1.9819	-0.0196	2.9674	2.0630
112.5204	1.9765	-0.0181	2.9750	1.9553
112.6728	1.9705	-0.0202	2.8897	1.8977
112.8252	1.9778	-0.0165	2.7875	1.9547
112.9776	1.9833	-0.0153	2.7243	2.0394
113.1300	1.9891	-0.0166	2.8158	2.0116
113.2824	1.9909	-0.0157	2.8166	1.9664
113.4348	1.9830	-0.0133	2.9182	2.0156
113.5872	1.9772	-0.0086	2.8699	1.9854
113.7396	1.9840	-0.0042	2.9063	1.9875
113.8920	1.9867	-0.0010	2.8335	1.9692
114.0444	1.9845	0.0012	2.8185	1.9845
114.1968	1.9734	-0.0006	2.7783	1.9796
114.3492	1.9898	-0.0025	2.8066	1.9541
114.5016	1.9966	-0.0028	2.7603	1.9893
114.6540	1.9968	0.0003	2.7831	2.0113
114.8064	1.9831	-0.0041	2.6789	1.9871
114.9588	1.9755	-0.0049	2.6383	1.8815
115.1112	1.9804	-0.0011	2.6476	1.9936
115.2636	1.9747	-0.0018	2.7476	1.9776
115.4160	1.9703	-0.0054	2.7553	1.9622
115.5684	1.9695	-0.0040	2.6866	1.9813
115.7208	1.9695	-0.0030	2.6321	1.9790
115.8732	1.9740	-0.0024	2.6700	1.9670
116.0256	1.9778	-0.0028	2.7277	1.9473
116.1780	1.9834	-0.0019	2.8139	1.9862
116.3304	1.9780	-0.0036	2.7747	2.0205
116.4828	1.9796	-0.0060	2.7979	1.9649
116.6352	1.9896	-0.0080	2.8167	1.9358
116.7876	2.0080	-0.0062	2.9173	2.0010
116.9400	2.0183	-0.0077	2.8817	2.0745
117.0924	2.0143	-0.0114	2.8309	2.0146
117.2448	2.0082	-0.0157	2.8333	2.0054
117.3972	1.9989	-0.0179	2.8972	1.9715
117.5496	1.9895	-0.0211	2.9537	2.0171
117.7020	1.9952	-0.0227	2.9015	1.9966
117.8544	2.0145	-0.0139	2.9909	2.0302
118.0068	2.0313	-0.0016	2.9560	2.1501
118.1592	2.0359	-0.0007	2.9862	1.9623
118.3116	2.0427	-0.0029	2.8486	1.8163
118.4640	2.0360	-0.0034	2.8838	2.1121
118.6164	2.0018	-0.0123	2.5222	2.1595
118.7688	1.8486	-0.0300	2.4345	1.9410
118.9212	1.7779	-0.0078	2.3854	1.7779
119.0736	1.7562	0.0129	2.5675	1.7562
119.2260	1.8278	0.0199	2.7215	1.8278
119.3784	1.9373	0.0397	2.7411	1.9373
119.5308	1.9997	0.0353	2.7450	1.9997
119.6832	2.0192	0.0114	2.6781	2.0192
119.8356	2.0505	0.0072	2.7520	2.0505
119.9880	2.0512	0.0137	2.6910	2.0512
120.1404	2.0240	0.0089	2.7103	2.0240
120.2928	1.9879	0.0073	2.6275	1.9879
120.4452	1.9680	-0.0042	2.6134	1.9948
120.5976	1.9456	-0.0125	2.5462	1.8278
120.7500	1.9355	-0.0100	2.4885	2.0620
120.9024	1.9333	-0.0103	2.5311	2.0052
121.0548	1.9370	-0.0158	2.6826	1.7532
121.2072	1.9526	-0.0072	2.8079	1.9797
121.3596	1.9644	0.0017	2.8190	1.9644
121.5120	1.9492	-0.0091	2.7453	1.8639
121.6644	1.9579	-0.0105	2.7760	1.7809
121.8168	1.9680	-0.0066	2.6979	2.0815
121.9692	1.9672	-0.0120	2.6746	2.0338
122.1216	1.9561	-0.0216	2.6936	1.9052
122.2740	1.9565	-0.0197	2.8461	1.9771
122.4264	1.9534	-0.0173	2.9326	1.9647
122.5788	1.9501	-0.0174	2.9469	1.9677
122.7312	1.9493	-0.0162	2.8661	1.9239
122.8836	1.9470	-0.0162	2.8512	1.9280
123.0360	1.9391	-0.0167	2.7512	1.9453
123.1884	1.9352	-0.0188	2.7395	1.9414
123.3408	1.9331	-0.0200	2.6254	1.9274
123.4932	1.9288	-0.0167	2.6667	1.9706
123.6456	1.9222	-0.0100	2.6837	1.9938
123.7980	1.9159	-0.0071	2.7472	1.8877
123.9504	1.9206	-0.0015	2.6660	1.9206
124.1028	1.9259	0.0050	2.6074	1.9259
124.2552	1.9245	0.0067	2.5208	1.9245
124.4076	1.9239	0.0041	2.5384	1.9239
124.5600	1.9224	0.0061	2.4290	1.9224
124.7124	1.9240	0.0084	2.4095	1.9240
124.8648	1.9183	0.0089	2.3110	1.9183
125.0172	1.9208	0.0108	2.3538	1.9208
125.1696	1.9173	0.0107	2.3601	1.9173
125.3220	1.9182	0.0095	2.3801	1.9182
125.4744	1.9188	0.0115	2.3606	1.9188
125.6268	1.9152	0.0138	2.3466	1.9152
125.7792	1.9169	0.0117	2.4276	1.9169
125.9316	1.9230	0.0111	2.4483	1.9230
126.0840	1.9284	0.0096	2.3897	1.9284
126.2364	1.9101	-0.0015	2.3817	1.9101
126.3888	1.8855	-0.0155	2.3831	1.8765
126.5412	1.8910	-0.0178	2.5008	1.9246
126.6936	1.9027	-0.0147	2.5430	1.9667
126.8460	1.9221	-0.0074	2.6016	1.9673
126.9984	1.9264	-0.0027	2.5426	1.9221
127.1508	1.9300	0.0014	2.5179	1.9300
127.3032	1.9293	0.0005	2.5653	1.9293
127.4556	1.9191	-0.0016	2.6913	1.9191
127.6080	1.9127	-0.0083	2.8047	1.9929
127.7604	1.8952	-0.0027	2.6562	1.8952
127.9128	1.8493	-0.0002	2.5509	1.8493
128.0652	1.8320	-0.0015	2.4134	1.8320
128.2176	1.8427	-0.0033	2.4000	1.8427
128.3700	1.8727	0.0062	2.3646	1.8727
128.5224	1.8516	-0.0078	2.4331	1.9712
128.6748	1.8393	-0.0135	2.3162	1.8409
128.8272	1.8262	-0.0039	2.2254	1.8262
128.9796	1.8022	0.0099	2.0680	1.8022
129.1320	1.7667	0.0176	2.0855	1.7667
