HOLE:	U1352B
EXPEDITION:	317
TOP:	125.0168
BOTTOM:	439.4180
DEPTH_WMSF	FX	FY	FZ	FNOR	FINC	RB	P1AZ	HAZI	AX	AY	AZ	DEVI
m	oer	oer	oer	oer	deg	deg	deg	deg	m/s2	m/s2	m/s2	deg
131.7224	0.211324	0.006579	-0.490673	0.534117	-67.8088	5.0598	21.8107	16.7500	-0.2169	0.0164	9.8525	1.1018
131.8748	0.211399	0.009978	-0.490364	0.534120	-67.8129	3.5424	21.3227	17.7797	-0.1368	0.0097	9.8249	1.0901
132.0272	0.210909	-0.002564	-0.490624	0.534116	-67.8275	3.8288	22.5232	18.6937	-0.1987	0.0603	9.8088	1.0895
132.1796	0.209574	-0.020465	-0.490580	0.534116	-67.8205	8.3831	28.3668	19.9823	-0.2260	-0.0507	9.7691	1.0666
132.3320	0.209565	-0.011856	-0.491129	0.534100	-67.8351	6.9963	28.6933	21.6958	-0.1732	0.0578	10.0468	1.0624
132.4844	0.209829	-0.002414	-0.491106	0.534088	-67.8450	2.4171	25.0716	22.6541	-0.1788	0.0016	9.8488	1.0498
132.6368	0.209677	-0.002916	-0.491061	0.534082	-67.8334	1.6560	24.8081	23.1518	-0.1653	0.0018	9.8747	1.0167
132.7892	0.209784	-0.002910	-0.491248	0.534073	-67.8410	0.9417	24.9130	23.9712	-0.1676	-0.0025	9.8325	1.0088
132.9416	0.209775	-0.002818	-0.491061	0.534066	-67.8459	0.3309	24.9324	24.6015	-0.1673	-0.0012	9.8230	1.0009
133.0940	0.209713	-0.002284	-0.491219	0.534066	-67.8390	359.7157	24.8946	25.1790	-0.1535	-0.0081	9.9028	0.9785
133.2464	0.209917	0.000186	-0.491208	0.534073	-67.8420	359.0030	24.5039	25.5011	-0.1770	0.0076	9.7384	0.9620
133.3988	0.209586	0.004929	-0.491225	0.534083	-67.8387	357.5827	23.5394	25.9571	-0.1634	0.0150	9.6947	0.9415
133.5512	0.208585	0.017334	-0.491277	0.534099	-67.8433	355.1304	20.7913	25.6615	-0.1670	-0.0460	10.0599	0.9316
133.7036	0.208833	0.017822	-0.491204	0.534113	-67.8399	353.4914	19.3449	25.8543	-0.1523	-0.0397	9.9448	0.9206
133.8560	0.208461	0.018441	-0.491471	0.534122	-67.8364	353.5362	19.1992	25.6639	-0.1413	-0.0260	9.7388	0.9087
134.0084	0.208560	0.018440	-0.491277	0.534124	-67.8354	353.6686	19.0566	25.3887	-0.1608	-0.0460	9.6523	0.9015
134.1608	0.207198	0.032167	-0.491165	0.534126	-67.8348	351.7515	16.7404	24.9899	-0.2147	0.0131	9.4227	0.8926
134.3132	0.205750	0.035679	-0.491847	0.534127	-67.8327	349.4709	14.0878	24.6182	-0.1303	-0.0189	10.1578	0.8813
134.4656	0.205713	0.035168	-0.491886	0.534126	-67.8335	350.2486	14.4222	24.1747	-0.1065	0.0149	9.8370	0.8719
134.6180	0.205982	0.035085	-0.491849	0.534126	-67.8309	350.6899	14.4457	23.7568	-0.1692	-0.0181	9.8324	0.8599
134.7704	0.205989	0.032029	-0.491730	0.534129	-67.8298	351.9534	14.6669	22.7144	-0.1781	0.0361	9.6897	0.8475
134.9228	0.207857	0.024013	-0.491405	0.534125	-67.8343	355.5521	17.0046	21.4530	-0.1448	0.0136	9.6565	0.8349
135.0752	0.207891	0.020248	-0.491839	0.534124	-67.8420	357.3848	18.0416	20.6570	-0.1383	0.0063	9.9874	0.8252
135.2276	0.207891	0.018587	-0.491375	0.534127	-67.8465	359.1274	18.5657	19.4383	-0.1535	-0.0064	10.0258	0.8145
135.3800	0.207990	0.016213	-0.491861	0.534133	-67.8494	0.1730	19.0263	18.8533	-0.1468	0.0081	9.4401	0.8016
135.5324	0.207961	0.012596	-0.491777	0.534125	-67.8509	2.3211	20.1883	17.8671	-0.1390	0.0258	9.9444	0.7884
135.6848	0.207952	0.012464	-0.491786	0.534110	-67.8610	3.2894	20.4886	17.1989	-0.1426	-0.0156	9.8345	0.7831
135.8372	0.207882	0.011724	-0.491761	0.534092	-67.8718	3.4044	20.5443	17.1396	-0.1214	0.0067	9.7297	0.7808
135.9896	0.207546	-0.001550	-0.492077	0.534059	-67.8810	6.5203	22.5149	15.9941	-0.0435	0.0838	9.9253	0.7733
136.1420	0.204397	-0.028152	-0.492398	0.534034	-67.8793	14.6515	28.9219	14.2693	-0.0601	0.0417	9.8023	0.7490
136.2944	0.204261	-0.032929	-0.492405	0.534020	-67.8907	20.9806	32.6803	11.6983	-0.1127	0.0335	9.8820	0.7412
136.4468	0.204283	-0.033169	-0.492406	0.534005	-67.8939	23.6997	32.8632	9.1617	-0.1088	0.0660	9.9128	0.7247
136.5992	0.203892	-0.035522	-0.492309	0.533992	-67.9088	25.8673	33.0621	7.1928	-0.1544	-0.0104	9.7057	0.7118
136.7516	0.200297	-0.051873	-0.492015	0.533978	-67.9151	33.0357	36.8487	3.8107	-0.1153	0.0607	9.8044	0.6966
136.9040	0.198522	-0.057244	-0.492369	0.533973	-67.9223	38.2432	38.7138	0.4686	-0.1005	0.0411	10.0107	0.6869
137.0564	0.196692	-0.063072	-0.492312	0.533963	-67.9314	42.0903	40.1894	358.0971	-0.1227	0.0445	9.7729	0.6791
137.2088	0.191571	-0.074257	-0.492482	0.533954	-67.9360	47.4098	42.6508	355.2386	-0.0616	0.1714	9.7104	0.6695
137.3612	0.185666	-0.086081	-0.492905	0.533933	-67.9365	53.6910	47.0920	353.3994	-0.0586	0.0907	9.8299	0.6523
137.5136	0.190094	-0.077087	-0.492973	0.533930	-67.9493	54.6385	46.5685	351.9286	-0.0403	0.1433	9.9351	0.6460
137.6660	0.195660	-0.060131	-0.492952	0.533925	-67.9451	52.7822	42.7389	349.9555	-0.0435	0.0915	9.8549	0.6301
137.8184	0.196836	-0.051771	-0.493677	0.533915	-67.9510	49.2487	38.3196	349.0695	-0.1464	0.0748	9.8282	0.6172
137.9708	0.190691	-0.072033	-0.493573	0.533900	-67.9508	57.0661	42.9990	345.9308	-0.0442	0.1283	9.8751	0.6135
138.1232	0.190629	-0.072105	-0.493633	0.533888	-67.9552	61.1419	43.9231	342.7798	-0.0310	0.1167	9.8001	0.6141
138.2756	0.192998	-0.067734	-0.492956	0.533875	-67.9501	63.3205	42.4087	339.0870	-0.0962	0.1198	9.7598	0.6120
138.4280	0.197918	-0.048959	-0.493541	0.533875	-67.9569	61.4968	37.9404	336.4414	-0.0739	0.0868	9.9252	0.6220
138.5804	0.199548	-0.045149	-0.492994	0.533882	-67.9616	61.6731	36.3038	334.6297	-0.0528	0.0389	9.8045	0.6146
138.7328	0.197852	-0.041285	-0.494191	0.533878	-67.9703	61.3943	34.6447	333.2494	-0.0726	0.0373	9.9015	0.6218
138.8852	0.195836	-0.056244	-0.493574	0.533873	-67.9684	66.0022	36.8376	330.8344	-0.0410	0.0299	9.8674	0.6343
139.0376	0.194376	-0.061490	-0.493543	0.533867	-67.9759	70.2379	39.7161	329.4775	-0.0540	0.0555	9.8312	0.6546
139.1900	0.191037	-0.069508	-0.493534	0.533867	-67.9686	74.5302	42.2320	327.7014	-0.0342	0.0770	9.8625	0.6719
139.3424	0.191803	-0.067277	-0.493538	0.533862	-67.9706	75.4623	42.5693	327.1054	-0.0276	0.0776	9.6020	0.6895
139.4948	0.197280	-0.050587	-0.493575	0.533854	-67.9806	71.1983	38.2448	327.0443	0.0938	0.0788	9.7821	0.7107
139.6472	0.196912	-0.050233	-0.493672	0.533848	-67.9681	69.7569	36.0802	326.3217	-0.0583	0.1432	9.9683	0.7077
139.7996	0.191459	-0.064437	-0.494126	0.533853	-67.9683	69.8162	38.0698	328.2525	-0.0700	0.0439	9.8674	0.7005
139.9520	0.177182	-0.098369	-0.493780	0.533871	-67.9716	77.6756	47.8536	330.1768	-0.0622	0.1421	9.6223	0.7025
140.1044	0.156951	-0.129899	-0.493607	0.533880	-67.9552	89.4215	60.4209	330.9995	0.0347	0.1702	9.9762	0.7011
140.2568	0.157086	-0.129884	-0.493353	0.533884	-67.9630	90.8168	62.3420	331.5251	0.0328	0.1723	9.8347	0.7229
140.4092	0.157218	-0.129873	-0.493340	0.533893	-67.9470	91.5345	62.3003	330.7655	0.0270	0.1325	9.8399	0.7286
140.5616	0.157600	-0.129371	-0.493469	0.533926	-67.9464	87.5172	62.2531	334.7357	0.0770	0.2013	9.8301	0.7100
140.7140	0.167582	-0.116713	-0.493264	0.533956	-67.9216	84.0713	60.7578	336.6857	-0.0315	0.3610	9.8405	0.7104
140.8664	0.195447	-0.061069	-0.493083	0.533991	-67.9196	67.3837	48.3367	340.9514	0.0682	0.0276	9.2959	0.7151
141.0188	0.206711	-0.003934	-0.492429	0.534027	-67.9010	41.9407	26.4073	344.4651	-0.1378	0.0556	10.2652	0.7008
141.1712	0.206791	-0.005552	-0.492356	0.534069	-67.8903	37.2772	24.2594	346.9801	-0.0936	0.0496	9.7564	0.7200
141.3236	0.206044	-0.005521	-0.492627	0.534113	-67.8724	33.5671	25.2373	351.6688	-0.1452	-0.0745	9.8256	0.7133
141.4760	0.205095	-0.008290	-0.492958	0.534151	-67.8571	28.1750	25.3576	357.1805	-0.1947	0.0958	9.8174	0.6964
141.6284	0.201747	0.041289	-0.492690	0.534188	-67.8479	18.5494	20.6132	2.0629	-0.0130	-0.1248	9.6119	0.6858
141.7808	0.194942	0.074563	-0.492005	0.534221	-67.8378	358.2377	4.9479	6.7104	0.0797	-0.2436	9.5455	0.6797
141.9332	0.194774	0.078018	-0.491456	0.534250	-67.8258	350.0176	1.9512	11.9342	-0.1506	0.1908	9.9323	0.6729
142.0856	0.193464	0.080193	-0.491576	0.534281	-67.8073	345.0267	1.9253	16.8995	-0.1776	-0.0123	9.5490	0.6660
142.2380	0.195043	0.075367	-0.492052	0.534319	-67.8014	343.0030	2.8429	19.8411	-0.0314	-0.0982	9.6813	0.6799
142.3904	0.193685	0.079367	-0.491832	0.534345	-67.7930	340.9955	1.7963	20.8021	-0.3466	0.1158	9.3559	0.6838
142.5428	0.200674	0.057721	-0.491888	0.534362	-67.7838	341.7623	3.5967	21.8356	-0.2185	-0.0129	10.1211	0.6860
142.6952	0.195830	0.070617	-0.492526	0.534387	-67.7707	342.8361	6.3863	23.5513	-0.0789	-0.1020	9.9602	0.6866
142.8476	0.195228	0.070039	-0.492534	0.534409	-67.7580	338.9229	4.5109	25.5893	-0.0985	-0.0399	9.8325	0.6888
143.0000	0.195419	0.069289	-0.492460	0.534419	-67.7641	336.8631	4.5591	27.6975	-0.0875	-0.0412	9.9631	0.7044
143.1524	0.195489	0.068285	-0.492511	0.534407	-67.7610	338.2061	4.8238	26.6191	-0.0880	-0.0349	9.4908	0.6957
143.3048	0.191715	0.079548	-0.492517	0.534401	-67.7724	334.0673	2.6662	28.6005	-0.1123	-0.0543	9.8479	0.6898
143.4572	0.191243	0.083025	-0.492107	0.534395	-67.7713	332.3999	1.2116	28.8133	-0.1193	-0.0663	9.9605	0.6715
143.6096	0.190960	0.083459	-0.491957	0.534378	-67.7729	332.2815	0.6730	28.3930	-0.1576	-0.0369	9.8353	0.6591
143.7620	0.190603	0.084991	-0.491956	0.534360	-67.7650	330.8349	0.5210	29.6876	-0.0671	-0.0454	9.8814	0.6384
143.9144	0.190484	0.085366	-0.492182	0.534355	-67.7724	331.0498	0.1016	29.0532	0.0417	-0.0496	9.3644	0.6240
144.0668	0.196556	0.064726	-0.492506	0.534352	-67.7821	335.6711	4.3224	28.6526	-0.0447	-0.0242	9.8488	0.6154
144.2192	0.199705	0.053275	-0.492701	0.534351	-67.7778	339.0544	7.8475	28.7941	-0.0737	-0.0556	10.1651	0.6029
144.3716	0.200147	0.052879	-0.492468	0.534349	-67.7825	340.5738	9.4361	28.8633	-0.1299	-0.0586	9.6495	0.6068
144.5240	0.197089	0.063580	-0.492450	0.534358	-67.7818	338.4693	7.3472	28.8790	-0.0960	-0.0379	9.8915	0.6088
144.6764	0.197103	0.063487	-0.492436	0.534364	-67.7791	337.3076	6.3759	29.0694	-0.0926	-0.0270	9.8351	0.6072
144.8288	0.197031	0.063294	-0.492508	0.534362	-67.7870	337.5557	6.4009	28.8464	-0.0908	-0.0539	9.8336	0.6091
