HOLE:	U1352B
EXPEDITION:	317
TOP:	102.0048
BOTTOM:	465.4788
DEPTH_WMSF	LCAL
m	in
149.7060	18.8269
149.8584	18.7988
150.0108	18.8242
150.1632	18.7327
150.3156	18.7244
150.4680	18.6467
150.6204	18.6341
150.7728	18.6357
150.9252	18.6495
151.0776	18.6384
151.2300	18.7188
151.3824	18.7133
151.5348	18.6495
151.6872	18.6578
151.8396	18.7418
151.9920	18.7244
152.1444	18.6856
152.2968	18.6911
152.4492	18.8020
152.6016	18.8103
152.7540	18.7988
152.9064	18.7909
153.0588	18.8020
153.2112	18.8214
153.3636	18.8214
153.5160	18.8103
153.6684	18.8103
153.8208	18.8020
153.9732	18.7992
154.1256	18.7853
154.2780	18.8075
154.4304	18.7826
154.5828	18.7545
154.7352	18.6911
154.8876	18.6911
155.0400	18.6523
155.1924	18.4887
155.3448	18.7465
155.4972	18.7992
155.6496	18.7410
155.8020	18.7022
155.9544	18.6939
156.1068	18.6911
156.2592	18.7050
156.4116	18.7069
156.5640	18.7077
156.7164	18.6994
156.8688	18.7327
157.0212	18.6883
157.1736	18.6357
157.3260	18.6404
157.4784	18.7327
157.6308	18.7382
157.7832	18.7354
157.9356	18.7271
158.0880	18.7105
158.2404	18.6800
158.3928	18.7069
158.5452	18.7077
158.6976	18.7133
158.8500	18.6717
159.0024	18.7188
159.1548	18.6966
159.3072	18.7216
159.4596	18.7291
159.6120	18.6800
159.7644	18.6689
159.9168	18.7354
160.0692	18.7438
160.2216	18.7160
160.3740	18.7006
160.5264	18.6966
160.6788	18.7077
160.8312	18.6828
160.9836	18.6800
161.1360	18.6190
161.2884	18.6135
161.4408	18.6162
161.5932	18.6024
161.7456	18.6246
161.8980	18.6562
162.0504	18.6856
162.2028	18.6911
162.3552	18.8048
162.5076	18.8158
162.6600	18.8131
162.8124	18.8158
162.9648	18.7576
163.1172	18.7545
163.2696	18.7687
163.4220	18.7881
163.5744	18.7909
163.7268	18.7853
163.8792	18.6883
164.0316	18.8590
164.1840	18.8935
164.3364	18.7354
164.4888	18.7438
164.6412	18.6273
164.7936	18.6190
164.9460	18.7299
165.0984	18.5865
165.2508	18.5774
165.4032	18.5996
165.5556	18.5968
165.7080	18.5941
165.8604	18.5913
166.0128	18.5858
166.1652	18.5913
166.3176	18.5992
166.4700	18.6190
166.6224	18.6772
166.7748	18.6714
166.9272	18.6657
167.0796	18.7105
167.2320	18.7050
167.3844	18.6606
167.5368	18.6357
167.6892	18.6551
167.8416	18.6721
167.9940	18.6911
168.1464	18.7438
168.2988	18.7604
168.4512	18.7770
168.6036	18.7659
168.7560	18.7549
168.9084	18.7450
169.0608	18.7438
169.2132	18.7438
169.3656	18.7410
169.5180	18.7687
169.6704	18.7659
169.8228	18.7493
169.9752	18.7327
170.1276	18.7299
170.2800	18.7354
170.4324	18.7513
170.5848	18.7493
170.7372	18.7216
170.8896	18.7354
171.0420	18.7521
171.1944	18.7465
171.3468	18.7291
171.4992	18.7798
171.6516	18.8158
171.8040	18.8075
171.9564	18.8075
172.1088	18.8158
172.2612	18.8075
172.4136	18.8051
172.5660	18.8103
172.7184	18.8048
172.8708	18.8131
173.0232	18.8103
173.1756	18.8158
173.3280	18.8158
173.4804	18.8131
173.6328	18.7853
173.7852	18.7861
173.9376	18.7216
174.0900	18.7410
174.2424	18.7188
174.3948	18.6357
174.5472	18.6329
174.6996	18.6440
174.8520	18.6052
175.0044	18.6412
175.1568	18.7133
175.3092	18.6994
175.4616	18.6828
175.6140	18.6856
175.7664	18.6939
175.9188	18.6745
176.0712	18.7022
176.2236	18.7216
176.3760	18.6943
176.5284	18.6772
176.6808	18.6495
176.8332	18.6689
176.9856	18.6911
177.1380	18.6551
177.2904	17.7945
177.4428	18.5260
177.5952	19.1885
177.7476	18.9378
177.9000	18.3648
178.0524	17.9149
178.2048	18.7022
178.3572	18.8685
178.5096	18.4305
178.6620	18.0091
178.8144	18.5663
178.9668	18.7493
179.1192	18.7925
179.2716	18.7077
179.4240	18.8020
179.5764	18.7465
179.7288	18.6661
179.8812	18.5941
180.0336	18.6357
180.1860	18.6119
180.3384	18.5968
180.4908	18.6135
180.6432	18.6273
180.7956	18.6745
180.9480	18.6301
181.1004	18.6412
181.2528	18.7299
181.4052	18.7545
181.5576	18.7327
181.7100	18.7216
181.8624	18.7244
182.0148	18.7549
182.1672	18.7687
182.3196	18.7632
182.4720	18.7465
182.6244	18.7513
182.7768	18.7576
182.9292	18.7576
183.0816	18.7632
183.2340	18.7576
183.3864	18.7216
183.5388	18.6939
183.6912	18.6966
183.8436	18.6784
183.9960	18.6994
184.1484	18.6661
184.3008	18.6551
184.4532	18.6883
184.6056	18.6856
184.7580	18.6661
184.9104	18.6689
185.0628	18.6721
185.2152	18.6689
185.3676	18.6828
185.5200	18.7576
185.6724	18.7188
185.8248	18.6467
185.9772	18.6301
186.1296	18.6848
186.2820	18.6939
186.4344	18.7077
186.5868	18.7632
186.7392	18.7937
186.8916	18.7798
187.0440	18.7937
187.1964	18.7521
187.3488	18.7576
187.5012	18.7881
187.6536	18.7703
187.8060	18.7271
187.9584	18.8020
188.1108	18.7971
188.2632	18.7354
188.4156	18.7160
188.5680	18.7992
188.7204	18.8408
188.8728	18.8131
189.0252	18.8131
189.1776	18.8103
189.3300	18.8103
189.4824	18.8214
189.6348	18.8178
189.7872	18.8214
189.9396	18.8158
190.0920	18.8214
190.2444	18.8158
190.3968	18.8325
190.5492	18.8408
190.7016	18.8269
190.8540	18.8269
191.0064	18.8242
191.1588	18.8297
191.3112	18.8214
191.4636	18.8186
191.6160	18.8214
191.7684	18.8269
191.9208	18.8186
192.0732	18.8178
192.2256	18.8158
192.3780	18.8158
192.5304	18.8131
192.6828	18.8158
192.8352	18.8158
192.9876	18.7992
193.1400	18.7604
193.2924	18.7715
193.4448	18.7632
193.5972	18.7576
193.7496	18.7632
193.9020	18.7743
194.0544	18.7826
194.2068	18.7604
194.3592	18.7465
194.5116	18.7604
194.6640	18.8020
194.8164	18.7766
194.9688	18.7438
195.1212	18.7632
