HOLE:	U1352B
EXPEDITION:	317
TOP:	428.1408
BOTTOM:	483.9192
DEPTH_WMSF	IDPH	IMPH	SFLU
m	ohm.m	ohm.m	ohm.m
451.7628	0.9231	0.5890	0.3455
451.9152	0.9657	0.6150	0.4082
452.0676	0.9752	0.6667	0.4512
452.2200	1.0234	0.7458	0.5498
452.3724	1.0459	0.8233	0.5438
452.5248	1.0917	0.8547	0.5889
452.6772	1.1273	0.8360	0.5311
452.8296	1.1549	0.8096	0.5557
452.9820	1.1380	0.8118	0.5407
453.1344	1.0811	0.8521	0.5773
453.2868	1.0853	0.9175	0.5910
453.4392	1.1156	0.9779	0.6025
453.5916	1.0874	1.0055	0.5967
453.7440	1.0792	1.0006	0.6141
453.8964	1.0680	0.9805	0.6218
454.0488	1.0766	0.9577	0.5907
454.2012	1.0794	0.9389	0.6002
454.3536	1.0791	0.9292	0.6155
454.5060	1.0572	0.9300	0.6049
454.6584	1.0520	0.9399	0.6097
454.8108	1.0605	0.9552	0.6931
454.9632	1.0583	0.9692	0.6165
455.1156	1.0624	0.9749	0.6144
455.2680	1.0936	0.9718	0.5458
455.4204	1.1382	0.9700	0.6542
455.5728	1.1500	0.9852	0.7005
455.7252	1.1662	1.0285	0.7671
455.8776	1.1942	1.0963	0.7511
456.0300	1.2468	1.1681	0.7618
456.1824	1.3263	1.2197	0.7867
456.3348	1.3575	1.2440	0.7993
456.4872	1.3287	1.2545	0.7894
456.6396	1.3551	1.2667	0.7307
456.7920	1.3947	1.2797	0.7759
456.9444	1.4192	1.2759	0.8251
457.0968	1.4113	1.2410	0.8147
457.2492	1.3898	1.1858	0.8285
457.4016	1.3732	1.1369	0.7858
457.5540	1.3388	1.1070	0.7648
457.7064	1.2783	1.0851	0.7170
457.8588	1.2454	1.0537	0.6492
458.0112	1.2374	1.0157	0.5805
458.1636	1.2416	0.9966	0.5551
458.3160	1.2472	1.0198	0.5780
458.4684	1.2351	1.0878	0.5865
458.6208	1.4132	1.1785	0.6556
458.7732	1.3802	1.2594	0.7263
458.9256	1.2531	1.3110	0.8003
459.0780	1.2806	1.3297	0.7083
459.2304	1.4237	1.3225	0.6692
459.3828	1.5909	1.3093	0.9491
459.5352	1.6625	1.3181	0.9758
459.6876	1.6826	1.3710	0.9863
459.8400	1.6678	1.4672	1.0782
459.9924	1.7036	1.5676	1.0076
460.1448	1.7090	1.6169	0.9839
460.2972	1.7174	1.6054	1.0289
460.4496	1.7089	1.5672	0.9696
460.6020	1.7076	1.5332	0.9808
460.7544	1.7552	1.5209	1.0394
460.9068	1.7724	1.5288	1.0418
461.0592	1.7702	1.5330	1.0003
461.2116	1.7767	1.5221	1.0693
461.3640	1.7425	1.5112	0.9715
461.5164	1.6414	1.5024	0.9886
461.6688	1.5884	1.4703	0.8263
461.8212	1.5703	1.3948	0.8468
461.9736	1.5708	1.2861	0.8096
462.1260	1.5100	1.1802	0.7240
462.2784	1.3441	1.1088	0.6546
462.4308	1.2368	1.0725	0.7433
462.5832	1.2571	1.0488	0.6808
462.7356	1.2833	1.0231	0.5766
462.8880	1.2065	0.9993	0.6319
463.0404	1.1636	0.9836	0.7268
463.1928	1.1453	0.9750	0.6172
463.3452	1.1485	0.9696	0.5989
463.4976	1.1390	0.9653	0.5850
463.6500	1.0922	0.9630	0.5825
463.8024	1.0256	0.9633	0.5564
463.9548	1.0198	0.9618	0.5835
464.1072	1.0150	0.9493	0.5124
464.2596	1.0130	0.9217	0.5461
464.4120	1.0332	0.8894	0.5739
464.5644	1.0459	0.8739	0.5399
464.7168	1.0426	0.8935	0.6635
464.8692	1.0542	0.9519	0.6449
465.0216	1.1115	1.0348	0.5663
465.1740	1.2963	1.1145	0.6284
465.3264	1.3253	1.1726	0.8718
465.4788	1.2524	1.2201	0.8667
465.6312	1.2806	1.2795	0.8560
465.7836	1.3986	1.3502	0.8437
465.9360	1.5339	1.4070	0.8776
466.0884	1.5870	1.4395	0.9692
466.2408	1.6014	1.4682	1.0182
466.3932	1.5947	1.5092	0.9302
466.5456	1.6091	1.5527	0.9292
466.6980	1.6306	1.5764	0.9762
466.8504	1.6286	1.5631	0.9524
467.0028	1.6300	1.5169	0.9465
467.1552	1.6399	1.4637	0.9430
467.3076	1.6461	1.4271	0.9492
467.4600	1.6477	1.4146	0.9463
467.6124	1.7186	1.4275	0.9397
467.7648	1.6968	1.4605	0.9155
467.9172	1.6728	1.5005	0.8783
468.0696	1.7222	1.5430	0.9026
468.2220	1.8325	1.5785	0.9976
468.3744	1.8524	1.5522	1.0213
468.5268	1.8182	1.4295	0.8314
468.6792	1.5372	1.2764	0.9093
468.8316	1.5589	1.1654	0.8740
468.9840	1.6862	1.0994	0.8130
469.1364	1.5569	1.0333	0.5784
469.2888	1.0805	0.9231	0.4494
469.4412	1.0429	0.7893	0.4063
469.5936	1.0518	0.6866	0.3678
469.7460	1.0668	0.6352	0.3839
469.8984	0.9977	0.6248	0.3928
470.0508	1.0766	0.6409	0.3958
470.2032	1.0789	0.6766	0.5670
470.3556	1.0108	0.7330	0.5655
470.5080	1.0151	0.8135	0.5794
470.6604	1.0790	0.9021	0.5212
470.8128	1.1531	0.9373	0.6131
470.9652	1.1408	0.8731	0.3599
471.1176	1.1454	0.7599	0.4180
471.2700	1.1313	0.6664	0.4784
471.4224	0.9832	0.6154	0.5204
471.5748	0.9421	0.6033	0.3806
471.7272	0.9085	0.6147	0.4067
471.8796	0.9112	0.6286	0.4056
472.0320	0.8784	0.6318	0.3937
472.1844	0.8637	0.6260	0.3829
472.3368	0.8882	0.6184	0.4338
472.4892	0.8852	0.6145	0.4305
472.6416	0.8866	0.6181	0.4452
472.7940	0.8910	0.6279	0.4119
472.9464	0.8909	0.6377	0.4558
473.0988	0.9183	0.6452	0.4650
473.2512	0.9613	0.6575	0.4167
473.4036	0.9651	0.6865	0.4611
473.5560	0.9724	0.7417	0.4692
473.7084	0.9833	0.8218	0.4514
473.8608	0.9917	0.9019	0.4772
474.0132	1.0741	0.9448	0.5828
474.1656	1.1558	0.9464	0.6932
474.3180	1.1355	0.9381	0.6820
474.4704	1.1188	0.9429	0.6860
474.6228	1.1546	0.9647	0.6928
474.7752	1.1773	0.9983	0.6420
474.9276	1.1786	1.0339	0.7842
475.0800	1.1974	1.0671	0.7612
475.2324	1.2024	1.1020	0.8360
475.3848	1.1913	1.1351	0.7641
475.5372	1.2376	1.1566	0.7770
475.6896	1.2665	1.1722	0.6758
475.8420	1.2771	1.1902	0.7687
475.9944	1.3027	1.2005	0.6613
476.1468	1.3620	1.1976	0.6534
476.2992	1.3813	1.1992	0.7327
476.4516	1.4641	1.2303	1.1366
476.6040	1.4993	1.3134	1.2084
476.7564	1.5198	1.4556	1.2146
476.9088	1.6305	1.6112	1.1259
477.0612	1.6960	1.6948	0.9914
477.2136	1.7016	1.6813	0.9925
477.3660	1.7286	1.6148	0.9999
477.5184	1.7291	1.5411	0.9841
477.6708	1.7020	1.4967	0.9871
477.8232	1.6488	1.4859	0.9250
477.9756	1.6815	1.4737	0.9255
478.1280	1.6702	1.4403	0.7984
478.2804	1.6255	1.4046	1.0470
478.4328	1.4008	1.3787	1.0201
478.5852	1.3747	1.3520	0.7515
478.7376	1.4286	1.3090	0.6434
478.8900	1.4633	1.2423	0.6798
479.0424	1.3595	1.1687	0.8639
479.1948	1.2558	1.1174	0.6546
479.3472	1.2396	1.0950	0.6999
479.4996	1.2314	1.0850	0.7133
479.6520	1.2272	1.0765	0.6932
479.8044	1.2198	1.0729	0.7015
479.9568	1.2196	1.0753	0.7900
480.1092	1.1945	1.0760	0.6666
480.2616	1.1694	1.0656	0.6202
480.4140	1.1940	1.0433	0.5960
480.5664	1.1863	1.0189	0.6519
480.7188	1.1323	1.0026	0.6154
480.8712	1.1220	0.9928	0.5674
481.0236	1.1215	0.9783	0.5745
481.1760	1.1129	0.9526	0.5466
481.3284	1.1138	0.9230	0.5699
481.4808	1.1079	0.9012	0.5490
481.6332	1.0505	0.8844	0.5427
481.7856	0.9941	0.8550	0.6182
481.9380	0.9572	0.8033	0.5476
482.0904	0.9421	0.7408	0.5724
482.2428	0.9445	0.6883	0.5265
482.3952	0.9491	0.6635	0.4407
482.5476	0.9593	0.6762	0.4601
482.7000	0.9844	0.7317	0.4841
482.8524	1.1103	0.8364	0.4523
483.0048	1.2183	0.9929	0.5363
483.1572	1.2373	1.1747	0.6070
483.3096	1.2737	1.3181	0.5841
483.4620	1.5891	1.3751	0.6449
483.6144	1.6278	1.3154	0.9243
483.7668	1.5680	1.1223	0.9303
483.9192	1.2154	0.8801	0.5848
