HOLE:	U1352B
EXPEDITION:	317
TOP:	0.0492
BOTTOM:	485.9004
DEPTH_WMSF	TENS	CS	ETIM	DF
m	lbf	m/h	s	lbf
17.5752	1422.0000	458.1144	449.3015	1167.1066
17.7276	1396.0000	457.2000	450.5220	1155.7306
17.8800	1387.0000	455.6760	451.7420	1180.6156
18.0324	1403.0000	459.6384	452.9625	1151.8201
18.1848	1402.0000	457.8096	454.1665	1184.5260
18.3372	1434.0000	459.6384	455.3865	1156.4415
18.4896	1417.0000	459.9432	456.6060	1158.9301
18.6420	1408.0000	460.5528	457.8085	1140.4441
18.7944	1391.0000	461.4672	459.0285	1157.1526
18.9468	1378.0000	460.5528	460.2160	1161.0630
19.0992	1435.0000	460.2480	461.4355	1136.8890
19.2516	1441.0000	459.3336	462.6555	1203.0121
19.4040	1387.0000	458.1144	463.8765	1187.3700
19.5564	1378.0000	457.8096	465.0810	1181.6820
19.7088	1363.0000	453.5424	466.3010	1152.1755
19.8612	1421.0000	454.7616	467.5225	1182.0376
20.0136	1421.0000	455.0664	468.7260	1159.9966
20.1660	1365.0000	456.2856	469.9310	1181.3265
20.3184	1426.0000	458.4192	471.1870	1156.0861
20.4708	1376.0000	458.1144	472.4090	1155.0195
20.6232	1387.0000	458.7240	473.6280	1188.4365
20.7756	1393.0000	456.8952	474.8475	1164.6180
20.9280	1378.0000	457.8096	476.0675	1161.0630
21.0804	1393.0000	459.0288	477.2890	1153.5975
21.2328	1410.0000	459.6384	478.5105	1195.1910
21.3852	1409.0000	457.5048	479.7305	1185.5925
21.5376	1423.0000	458.1144	480.9505	1177.7715
21.6900	1401.0000	458.1144	482.1705	1132.9785
21.8424	1391.0000	459.3336	483.3900	1172.0835
21.9948	1416.0000	458.4192	484.5940	1150.3981
22.1472	1406.0000	459.0288	485.7810	1223.6311
22.2996	1439.0000	459.3336	487.1010	1230.3855
22.4520	1390.0000	459.3336	488.2040	1187.0145
22.6044	1390.0000	461.7720	489.4250	1111.2931
22.7568	1430.0000	460.8576	490.6290	1124.0911
22.9092	1422.0000	459.3336	491.8995	1083.2085
23.0616	1430.0000	457.5048	493.1200	1206.5670
23.2140	1390.0000	457.5048	494.3575	1131.9120
23.3664	1416.0000	455.6760	495.5950	1252.7821
23.5188	1340.0000	455.6760	496.8665	1135.8225
23.6712	1406.0000	454.1520	498.1375	1260.6030
23.8236	1348.0000	455.3712	499.3580	1080.0090
23.9760	1426.0000	456.5904	500.6455	1199.4570
24.1284	1393.0000	455.6760	501.8665	1094.2290
24.2808	1416.0000	458.4192	503.1540	1176.7051
24.4332	1459.0000	458.1144	504.3745	1194.4801
24.5856	1432.0000	459.0288	505.6615	1190.9250
24.7380	1335.0000	458.4192	506.8825	1198.0350
24.8904	1401.0000	459.6384	508.1035	1116.6255
25.0428	1356.0000	458.7240	509.3065	1206.9225
25.1952	1420.0000	458.1144	510.5095	1104.1830
25.3476	1455.0000	457.8096	511.6970	1173.8611
25.5000	1448.0000	458.1144	512.9015	1167.4620
25.6524	1450.0000	475.7928	514.1050	1222.5646
25.8048	1364.0000	459.3336	515.3250	1213.6770
25.9572	1395.0000	457.5048	516.5125	1201.2345
26.1096	1360.0000	457.2000	517.7005	1122.3136
26.2620	1429.0000	459.9432	518.8875	1171.7280
26.4144	1423.0000	461.1624	520.1075	1102.4055
26.5668	1435.0000	460.8576	521.2775	1137.2445
26.7192	1406.0000	455.6760	522.4655	1145.4210
26.8716	1422.0000	459.0288	523.6535	1147.9095
27.0240	1442.0000	455.6760	524.8405	1182.7485
27.1764	1338.0000	455.6760	526.0105	1220.7870
27.3288	1462.0000	454.7616	527.1980	1157.5081
27.4812	1413.0000	454.4568	528.3855	1148.2650
27.6336	1441.0000	457.2000	529.5565	1163.5515
27.7860	1401.0000	456.5904	530.7350	1100.9835
27.9384	1396.0000	456.2856	531.8960	1155.0195
28.0908	1401.0000	457.2000	533.0825	1150.7535
28.2432	1404.0000	456.2856	534.2700	1161.0630
28.3956	1390.0000	456.8952	535.4503	1199.8125
28.5480	1440.0000	457.8096	536.7125	1200.8790
28.7004	1433.0000	458.7240	537.8990	1140.0885
28.8528	1442.0000	459.9432	539.1025	1113.0706
29.0052	1380.0000	459.3336	540.3070	1169.2395
29.1576	1402.0000	455.3712	541.4950	1100.6281
29.3100	1327.0000	455.3712	542.6825	1167.1066
29.4624	1407.0000	457.8096	543.8855	1185.2371
29.6148	1364.0000	458.1144	545.0555	1168.1731
29.7672	1451.0000	459.6384	546.2425	1162.8406
29.9196	1428.0000	458.7240	547.4135	1158.2190
30.0720	1425.0000	442.2648	548.6015	1166.3955
30.2244	1456.0000	442.5696	549.7885	1147.1985
30.3768	1386.0000	458.1144	550.9420	1127.2905
30.5292	1422.0000	453.2376	552.1285	1157.5081
30.6816	1403.0000	453.5424	553.3150	1146.8430
