HOLE:	U1507B
EXPEDITION:	371
TOP:	740.1731
BOTTOM:	864.6838
DEPTH_WMSF	TENS	CS	ETIM
m	lbf	ft/h	s
764.7095	6736.951	1540.998	784.8138
764.8619	6727.012	1539.002	783.6434
765.0143	6703.019	1545.995	782.4909
765.1667	6682.009	1569.99	781.3035
765.3191	6549.007	1549.001	780.134
765.4715	6583.053	1554.995	778.9636
765.6239	6749.047	1539.001	777.8102
765.7763	6816.958	1540.002	776.6568
765.9287	6777.071	1541.996	775.4901
766.0811	6792.978	1543.997	774.3206
766.2335	6636.164	1543.001	773.1512
766.3859	6611.017	1544.999	771.9808
766.5383	6631.994	1540.002	770.8113
766.6907	6709.001	1534.999	769.658
766.8431	6726.983	1510.998	768.4895
766.9955	6686.914	1506.001	767.302
767.1479	6579.219	1506.998	766.1035
767.3003	6594.973	1507.998	764.9169
767.4527	6494.131	1512.994	763.7126
767.6051	6543.954	1514.998	762.5251
767.7575	6687.919	1509.003	761.3387
767.9099	6664.004	1510	760.1522
768.0623	6902.968	1505	758.9498
768.2147	6723.979	1506	757.7633
768.3671	6685.998	1506.002	756.5669
768.5195	6684.004	1507.996	755.3763
768.6719	6619.101	1508.998	754.1898
768.8243	6618.001	1510.998	752.9854
768.9767	6759.884	1510.001	751.782
769.1291	6637.055	1507.001	750.5966
769.2815	6757.991	1506	749.4261
769.4339	6842.969	1503.001	748.2216
769.5863	6736.889	1506	747.0172
769.7387	6567.939	1505.999	745.8138
769.8911	6509.106	1505.002	744.6142
770.0435	6659.783	1503.003	743.4287
770.1959	6704.952	1504.998	742.2423
770.3483	6706.999	1504.001	741.0558
770.5007	6767.979	1507.999	739.8524
770.6531	6702.001	1509	738.6489
770.8055	6732.008	1507	737.4455
770.9579	6752.945	1507.001	736.2761
771.1103	6681.953	1508.001	735.0726
771.2627	6641.069	1508.998	733.89
771.4151	6602.052	1509	732.6856
771.5675	6561.039	1508.001	731.4832
771.7199	6600.977	1508.999	730.2957
771.8723	6757.965	1508	729.1093
772.0247	6763.99	1508	727.9218
772.1771	6699.01	1509.998	726.7194
772.3295	6719.072	1505.998	725.533
772.4819	6799.843	1504.004	724.3333
772.6343	6829.953	1504	723.1459
772.7867	6680.182	1506.996	721.9595
772.9391	6696.986	1505.002	720.756
773.0915	6598.047	1504	719.5535
773.2439	6598	1504	718.3501
773.3963	6775.998	1497.002	717.1717
773.5487	6768.011	1506	715.9753
773.7011	6784.927	1506.001	714.7718
773.8535	6712.134	1506.998	713.5722
774.0059	6724.981	1506.001	712.3867
774.1583	6729.995	1505.001	711.1833
774.3107	6770.97	1505	709.9958
774.4631	6704.024	1506	708.8084
774.6155	6633	1507	707.606
774.7679	6583.029	1507.999	706.4036
774.9203	6660.96	1504.999	705.2001
775.0727	6607.29	1504	704.0126
775.2251	6867.552	1504	702.83
775.3775	6803.088	1504	701.6266
775.5299	6729.073	1504	700.4402
775.6823	6685.027	1503.001	699.2368
775.8347	6620.016	1502	698.0343
775.9871	6716.994	1505	696.8299
776.1395	6669.046	1506.001	695.6434
776.2919	6762.885	1508.999	694.4399
776.4443	6629.264	1508.002	693.2583
776.5967	6609.032	1508.998	692.056
776.7491	6665.929	1507.002	690.8685
776.9015	6613.046	1507	689.6801
777.0539	6759.926	1504.001	688.4766
777.2063	6827.991	1479.003	687.2902
777.3587	6666.997	1501.998	686.0867
777.5111	6655.033	1495.005	684.8832
777.6635	6709.019	1503.999	683.6708
777.8159	6727.965	1503.002	682.4982
777.9683	6590.206	1503.999	681.2948
778.1207	6618.967	1506.997	680.0914
778.2731	6683.951	1505.001	678.8889
778.4255	6707.991	1507.999	677.6845
778.5779	6918.996	1506	676.514
778.7303	6878.939	1504	675.3116
778.8827	6703.904	1504.999	674.1091
779.0351	6571.22	1504	672.9227
779.1875	6773.646	1504	671.7231
779.3399	6699.104	1500.005	670.5276
779.4923	6736.961	1500	669.3332
779.6447	6714.015	1499.001	668.1458
779.7971	6610.028	1493.002	666.9433
779.9495	6710.986	1511	665.7239
780.1019	6566.074	1510.997	664.5375
780.2543	6724.988	1504	663.333
780.4067	6711.028	1504	662.1504
780.5591	6708.005	1504.998	660.9639
780.7115	6784.902	1505	659.7605
780.8639	6613.154	1505	658.5571
781.0163	6632.989	1506	657.3716
781.1687	6633	1506	656.1762
781.3211	6620.017	1507	654.9808
781.4735	6703.083	1505.999	653.7763
781.6259	6846.861	1505.001	652.5908
781.7783	6700.277	1505.998	651.3923
781.9307	6717.973	1508.995	650.1898
782.0831	6641.089	1509.999	649.0193
782.2355	6472.133	1515.995	647.8149
782.3879	6649.926	1505.005	646.6105
782.5403	6824.992	1504	645.4241
782.6927	6686.993	1503	644.2227
782.8451	6666	1504.001	643.0352
782.9975	6666.077	1505	641.8487
783.1499	6738.871	1505	640.6481
783.3023	6643.135	1506.997	639.4457
783.4547	6611.033	1510.996	638.2432
783.6071	6536.05	1506.003	637.0568
783.7595	6367.051	1512.998	635.8694
783.9119	6180.021	1523	634.6819
784.0643	6487.095	1517.999	633.4955
784.2167	6704.58	1515.979	632.308
784.3691	7425.536	1490.053	631.1264
784.5215	7322.175	1489.002	629.906
784.6739	7274.062	1489	628.7195
784.8263	7227.043	1490.998	627.4991
784.9787	7186.023	1494.998	626.2967
785.1311	7185	1498.999	625.0762
785.2835	7101.992	1501	623.8718
785.4359	7055.929	1502.001	622.6773
785.5883	6925.87	1504.002	621.4839
785.7407	6784.271	1505.996	620.2843
785.8931	6689.147	1506	619.0799
786.0455	6693.994	1507.998	617.8944
786.1979	6575.097	1508	616.691
786.3503	6737.928	1506.001	615.5215
786.5027	6844.992	1509	614.3181
786.6551	6871.004	1507	613.1146
786.8075	6884.926	1508.001	611.9112
786.9599	6773.925	1510	610.7248
787.1123	6701.131	1510	609.5261
787.2647	6483.313	1510.999	608.3567
787.4171	6544.934	1507.004	607.1533
787.5695	6644.93	1502.004	605.9669
787.7219	6829.939	1498.001	604.7634
787.8743	6889.003	1499	603.5599
788.0267	6979.957	1499.001	602.3635
788.1791	6873.966	1502.001	601.1691
788.3315	6830.09	1502.998	599.9694
788.4839	6844.975	1503.998	598.766
788.6363	6770.099	1504	597.5636
788.7887	6657.108	1504.999	596.3611
788.9411	6780.928	1505	595.1747
789.0935	6584.042	1506	593.9882
789.2459	6628.02	1506	592.7838
789.3983	6759.988	1504	591.5804
789.5507	6738.143	1503.999	590.395
789.7031	6898.688	1503.002	589.1953
789.8555	6941.932	1503.998	588.0079
790.0079	6918.029	1504.999	586.8044
790.1603	6875.036	1504.001	585.618
790.3127	6813.029	1502.001	584.4146
790.4651	6667.015	1503	583.2121
790.6175	6624.006	1502	582.0157
790.7699	6648.067	1501	580.8212
790.9223	6752.834	1501.002	579.6188
791.0747	6587.303	1502.996	578.4182
791.2271	6672.874	1502.001	577.2158
791.3795	6790.871	1502	576.0293
791.5319	6850.957	1502	574.8419
791.6843	6888.986	1503	573.6375
791.8367	6911.998	1505	572.434
791.9891	6757.002	1508	571.2316
792.1415	6762.794	1509.001	570.0451
792.2939	6487.574	1509.998	568.8624
792.4463	6476.019	1510	567.6601
792.5987	6645.771	1507.004	566.4576
792.7511	6821.827	1506.001	565.2692
792.9035	6876.966	1506	564.0667
793.0559	6769.026	1509.999	562.8803
793.2083	6758.005	1505	561.6779
793.3607	6798.99	1505	560.4904
793.5131	6778.956	1505.024	559.288
793.6655	6728.1	1532.945	558.1053
793.8179	6751.961	1504.047	556.902
793.9703	6590.2	1504	555.7155
794.1227	6668.932	1504.999	554.52
794.2751	6795.937	1505	553.3246
794.4275	6689.014	1507	552.1222
794.5799	6726.008	1506	550.9357
794.7323	6759.967	1505.999	549.7322
794.8847	6705.098	1504.999	548.5289
795.0371	6805.813	1504.002	547.3622
795.1895	6758.072	1503.001	546.1598
795.3419	6809.942	1502.001	544.9553
795.4943	6677.1	1500.001	543.7519
795.6467	6685.997	1502.999	542.5485
795.7991	6730	1503	541.362
795.9515	6633.007	1503	540.1756
796.1039	6653.1	1502	538.9722
796.2563	6791.707	1502	537.7726
796.4087	6764.049	1503.996	536.5691
796.5611	6917.788	1504.999	535.3657
796.7135	6843.076	1509.995	534.1792
796.8659	6698.093	1510	532.9927
797.0183	6644.015	1509	531.7903
797.1707	6583.991	1508	530.5879
797.3231	6487.052	1505.999	529.3995
797.4755	6598.097	1504.002	528.196
797.6279	6713.769	1505.996	527.0303
797.7803	6667.077	1505.002	525.8259
797.9327	6745.9	1508.995	524.6235
798.0851	6751.995	1505.004	523.4211
798.2375	6777.986	1509.997	522.2346
798.3899	6863.986	1501.001	521.0302
798.5423	6882.979	1500.001	519.8597
798.6947	6784.915	1504.001	518.6563
