HOLE:	U1507B
EXPEDITION:	371
TOP:	-0.0076
BOTTOM:	815.9418
DEPTH_WMSF	TENS	CS	ETIM
m	lbf	ft/h	s
24.6812	4888.967	2998.997	412.4962
24.8336	4811.974	2992.991	413.0984
24.9860	4778.955	2981.999	413.6827
25.1384	4740.002	2981	414.284
25.2908	4717	2992	414.8862
25.4432	4719.005	2992.009	415.4944
25.5956	4727.047	3006.002	416.0966
25.7480	4771.991	3008	416.6969
25.9004	4776.002	2997	417.3071
26.0528	4791.042	2998.001	417.9093
26.2052	4868.002	3000.001	418.5106
26.3576	4870.089	3000.989	419.1048
26.5100	4939.996	2992	419.689
26.6624	4846.029	2994.008	420.2832
26.8148	4914.999	3014.009	420.8845
26.9672	4914.015	3024.985	421.4777
27.1196	4926.999	3012.001	422.071
27.2720	4912.013	3003.997	422.6722
27.4244	4957.992	2995.005	423.2734
27.5768	4945.967	3002.006	423.8596
27.7292	4914.006	3007.999	424.4599
27.8816	4893.996	3004.999	425.0541
28.0340	4865.967	2996	425.6553
28.1864	4803.994	2996.006	426.2336
28.3388	4797.021	3003.018	426.8497
28.4912	4814	3017	427.425
28.6436	4829.011	3016.996	428.0262
28.7960	4856.995	3007.994	428.6284
28.9484	4849.996	2999.998	429.2227
29.1008	4846	2998	429.8149
29.2532	4815.017	2999	430.4102
29.4056	4875.927	3000.999	431.0104
29.5580	4764.023	2999.002	431.6116
29.7104	4786.995	3001	432.1889
29.8628	4805.991	3010.999	432.7901
30.0152	4750.02	3004.999	433.3843
30.1676	4788.024	3002.997	433.9855
30.3200	4814.865	2999.986	434.5788
30.4724	4708.001	2989	435.173
30.6248	4740.992	2985.002	435.7742
30.7772	4719.996	2990.998	436.3665
30.9296	4714.063	2988	436.9607
31.0820	4769.995	2988	437.5609
31.2344	4702.022	2990.006	438.1522
31.3868	4783.023	3014.001	438.7334
31.5392	4819.069	3015.987	439.3346
31.6916	4887.984	3003.003	439.9359
31.8440	4964.004	3002	440.5281
31.9964	4990.965	3002.999	441.1223
32.1488	4923.137	3000.996	441.7155
32.3012	5078.856	2996.006	442.3108
32.4536	4964	3001	442.91
32.6060	4947.996	3019.001	443.5112
32.7584	4935.939	3021.988	444.0885
32.9108	4855.975	3005.993	444.6837
33.0632	4834.002	3000.001	445.2839
33.2156	4736.981	2992	445.8772
33.3680	4662.985	2989.997	446.4704
33.5204	4639.891	2985.001	447.0726
33.6728	4530.026	2986	447.6649
33.8252	4582.002	2987	448.2581
33.9776	4600.024	2987	448.8603
34.1300	4649.029	2985.985	449.4505
34.2824	4682.047	2968.957	450.0317
34.4348	4720	2934	450.632
34.5872	4746.033	2931	451.2252
34.7396	4834.999	2931.007	451.8205
34.8920	4833.996	2941.041	452.4207
35.0444	4830	2977.996	453.0129
35.1968	4877.005	2956.997	453.6061
35.3492	4897.965	2944.001	454.1994
35.5016	4841.961	2946.002	454.7936
35.6540	4803.01	2948	455.3849
35.8064	4758.006	2940	455.9741
35.9588	4805.986	2937	456.5653
36.1112	4778.049	2936.997	457.1575
36.2636	4834.878	2932.976	457.7517
36.4160	4736	2913	458.352
36.5684	4823.985	2917	458.9532
36.7208	4783.977	2917.001	459.5464
36.8732	4752.982	2919.009	460.1407
37.0256	4737.002	2926.999	460.7399
37.1780	4721.987	2926.999	461.3342
37.3304	4668.992	2924	461.9194
37.4828	4655.034	2925	462.5136
37.6352	4689.991	2925	463.1058
37.7876	4688.004	2924	463.7001
37.9400	4725.03	2925.003	464.2933
38.0924	4786.983	2931.006	464.8965
38.2448	4767.035	2938.001	465.4907
38.3972	4796	2939	466.09
38.5496	4754.018	2932	466.6832
38.7020	4805.006	2932.001	467.2604
38.8544	4813.998	2933	467.8616
39.0068	4812	2933	468.4539
39.1592	4873.992	2932.999	469.0491
39.3116	4839.947	2927.999	469.6494
39.4640	4750.974	2926.001	470.2426
39.6164	4724.007	2927	470.8369
39.7688	4682.001	2930	471.438
39.9212	4693.005	2929	472.0313
40.0736	4704.045	2930	472.6255
40.2260	4758.029	2930.01	473.2147
40.3784	4782	2938	473.802
40.5308	4827	2945.002	474.3962
40.6832	4825.005	2950.998	474.9884
40.8356	4831.954	2948.004	475.5836
40.9880	4789.006	2951.999	476.1829
41.1404	4708.995	2961	476.7841
41.2928	4684.962	2959.998	477.3774
41.4452	4620.058	2955.994	477.9796
41.5976	4680.983	2950.002	478.5718
41.7500	4712.999	2948	479.162
41.9024	4695.001	2951.999	479.7523
42.0548	4697.07	2949.998	480.3515
42.2072	4781.973	2947.998	480.9367
42.3596	4759.001	2946	481.538
42.5120	4765.999	2947.013	482.1322
42.6644	4762.003	2986.017	482.7334
42.8168	4765.984	3009.97	483.3266
42.9692	4751.002	2982.005	483.9199
43.1216	4834.007	2967.998	484.5201
43.2740	4868.952	2959	485.1133
43.4264	4785.022	2959.006	485.7145
43.5788	4808.993	2964.998	486.2918
43.7312	4768.997	2967	486.8851
43.8836	4734.02	2966	487.4803
44.0360	4777.991	2966.998	488.0805
44.1884	4767.081	2965.001	488.6737
44.3408	4834.997	2966	489.266
44.4932	4877	2968	489.8582
44.6456	4877.017	2966.997	490.4524
44.7980	4900.979	2962.997	491.0546
44.9504	4881.003	2960	491.6469
45.1028	4831.995	2961	492.2421
45.2552	4804.935	2961	492.8423
45.4076	4689.977	2959.997	493.4286
45.5600	4665.007	2957.001	494.0218
45.7124	4647.999	2956	494.624
45.8648	4628.023	2956	495.2183
46.0172	4679.966	2955.998	495.8125
46.1696	4638.028	2952.999	496.4047
46.3220	4661.999	2952	496.996
46.4744	4769.007	2951.003	497.5902
46.6268	4792.02	2960.008	498.1654
46.7792	4820.977	2970.993	498.7607
46.9316	4799.004	2964.001	499.3609
47.0840	4801.019	2960	499.9551
47.2364	4900.98	2961.002	500.5493
47.3888	4864.984	2965.002	501.1425
47.5412	4848.005	2966.999	501.7368
47.6936	4861	2964	502.337
47.8460	4861.002	2961	502.9302
47.9984	4866.985	2962.001	503.5165
48.1508	4847.929	2963.001	504.1127
48.3032	4787.004	2964	504.7
48.4556	4764.992	2962.002	505.2922
48.6080	4736.986	2968.066	505.8864
48.7604	4715.979	3066.952	506.4806
48.9128	4696.004	3021.009	507.0819
49.0652	4734.006	2986.997	507.6751
49.2176	4769.01	2970.998	508.2693
49.3700	4787.989	2968.009	508.8695
49.5224	4776.004	2977.997	509.4698
49.6748	4782.002	2985	510.059
49.8272	4835.976	2981.999	510.6422
49.9796	4778.969	2978.995	511.2425
50.1320	4738.974	2973.005	511.8297
50.2844	4716.002	2977	512.429
50.4368	4697.01	2979	513.0222
50.5892	4730.985	2978.999	513.6234
50.7416	4707.992	2976.999	514.2176
50.8940	4700.001	2976	514.8179
51.0464	4765.008	2983.001	515.4111
51.1988	4817.02	2987.004	516.0123
51.3512	4855.031	2994.996	516.5895
51.5036	4888.989	2990.002	517.1818
51.6560	4946.003	2986	517.783
51.8084	5027.981	2988	518.3773
51.9608	4980.951	2988	518.9785
52.1132	4917.989	2988	519.5727
52.2656	4908.001	2988	520.174
52.4180	4829.981	2987	520.7762
52.5704	4761.952	2985.999	521.3713
52.7228	4686.971	2984.001	521.9706
52.8752	4658.006	2985	522.5549
53.0276	4631	2978.999	523.1401
53.1800	4631.009	2971.999	523.7263
53.3324	4648.05	2970.003	524.3185
53.4848	4703.981	2972.999	524.9118
53.6372	4689.001	2977	525.512
53.7896	4720.032	2980.999	526.1063
53.9420	4800.015	2979	526.7004
54.0944	4819.037	2979.002	527.2937
54.2468	4851.997	2981	527.8799
54.3992	4843.981	2984	528.4632
54.5516	4774.018	2982.999	529.0564
54.7040	4802.003	2981.001	529.6506
54.8564	4805	2982	530.2429
55.0088	4838	2983.001	530.8361
55.1612	4834.999	2993	531.4313
55.3136	4833.01	2993.994	532.0306
55.4660	4843.953	2987	532.6237
55.6184	4806	2987	533.216
55.7708	4835.994	2988	533.8022
55.9232	4818.986	2987.999	534.4034
56.0756	4800.988	2985.996	534.9807
56.2280	4790.001	2982	535.5739
56.3804	4677.981	2978	536.1751
56.5328	4605.982	2979.001	536.7684
56.6852	4577.948	2980	537.3616
56.8376	4526.012	2980	537.9539
56.9900	4497.007	2977	538.5461
57.1424	4552.021	2975	539.1393
57.2948	4595.077	2976.001	539.7325
57.4472	4683.17	2977.004	540.3187
57.5996	4820.78	2979.995	540.9061
57.7520	4952.417	2980	541.4854
57.9044	4948.028	2986.96	542.0776
58.0568	5049.297	2992.959	542.6699
58.2092	5053.955	3000.91	543.2613
58.3616	5010.552	2998.038	543.8546
58.5140	4954.772	2992.083	544.4458
58.6664	4889.095	2991.017	545.0372
58.8188	4852.699	2984.136	545.6285
58.9712	4764.002	2983.022	546.2217
59.1236	4738.564	2986.906	546.8218
59.2760	4684.361	2985.05	547.3977
59.4284	4599.368	2983.055	547.9907
59.5808	4577.607	2982.03	548.5811
59.7332	4592.469	2982	549.1733
59.8856	4626.793	2983.931	549.7646
60.0380	4709.965	2982.071	550.3588
60.1904	4778.28	2982	550.9474
60.3428	4822.221	2982	551.5395
60.4952	4863.253	2982.958	552.1317
60.6476	4864.045	2987.773	552.7231
60.8000	4852.578	2988	553.3106
60.9524	4810.245	2987.051	553.8903
61.1048	4777.674	2987.948	554.4829
61.2572	4764.643	2988	555.0677
61.4096	4777.212	2987.056	555.6595
61.5620	4787.409	2987	556.251
61.7144	4773.929	2983.248	556.8432
61.8668	4876.976	2983	557.4271
62.0192	4859.677	2984.871	558.0197
62.1716	4869.175	2986.863	558.6102
62.3240	4850.474	2990.719	559.1987
62.4764	4836	2989.143	559.7805
62.6288	4760.93	2988.074	560.3775
62.7812	4742.077	2988	560.9629
62.9336	4736.399	2986.16	561.5527
63.0860	4693.732	2975.893	562.1449
63.2384	4710.188	2954.812	562.7372
63.3908	4739.448	2950.255	563.3295
63.5432	4719.197	2959.121	563.9209
63.6956	4794.289	2963.637	564.5068
