HOLE:	U1507B
EXPEDITION:	371
TOP:	740.1731
BOTTOM:	828.8699
DEPTH_WMSF	LCAL
m	in
740.1731	9.912256
740.3255	9.90093
740.4779	9.912256
740.6303	9.912251
740.7827	9.908144
740.9351	9.916365
741.0875	9.906086
741.2399	9.916369
741.3923	9.899899
741.5447	9.904017
741.6971	9.916368
741.8495	9.900939
742.0019	9.916361
742.1543	9.904037
742.3067	9.908133
742.4591	9.916368
742.6115	9.904023
742.7639	9.920493
742.9163	9.904018
743.0687	9.911216
743.2211	9.895787
743.3735	9.908113
743.5259	9.904022
743.6783	9.904016
743.8307	9.916367
743.9831	9.912258
744.1355	9.904016
744.2879	9.912255
744.4403	9.908134
744.5927	9.906074
744.7451	9.90402
744.8975	9.916359
745.0499	9.908144
745.2023	9.91637
745.3547	9.916376
745.5071	9.908136
745.6595	9.920493
745.8119	9.912255
745.9643	9.911222
746.1167	9.90814
746.2691	9.904022
746.4215	9.920482
746.5739	9.906083
746.7263	9.904015
746.8787	9.904014
747.0311	9.8999
747.1835	9.908134
747.3359	9.906079
747.4883	9.904017
747.6407	9.912247
747.7931	9.924606
747.9455	9.906083
748.0979	9.908137
748.2503	9.912253
748.4027	9.904017
748.5551	9.908133
748.7075	9.904024
748.8599	9.921502
749.0123	9.912266
749.1647	9.916373
749.3171	9.912257
749.4695	9.911226
749.6219	9.912252
749.7743	9.904017
749.9267	9.908131
750.0791	9.904023
750.2315	9.906073
750.3839	9.920484
750.5363	9.904024
750.6887	9.916373
750.8411	9.900927
750.9935	9.908139
751.1459	9.912252
751.2983	9.908143
751.4507	9.916364
751.6031	9.911231
751.7555	9.90814
751.9079	9.916372
752.0603	9.908136
752.2127	9.920493
752.3651	9.906082
752.5175	9.91638
752.6699	9.920489
752.8223	9.908154
752.9747	9.911223
753.1271	9.908137
753.2795	9.916373
753.4319	9.912256
753.5843	9.916374
753.7367	9.911224
753.8891	9.908135
754.0415	9.908135
754.1939	9.908137
754.3463	9.926658
754.4987	9.916382
754.6511	9.916376
754.8035	9.920496
754.9559	9.916374
755.1083	9.912251
755.2607	9.906088
755.4131	9.899905
755.5655	9.904012
755.7179	9.91225
755.8703	9.906078
756.0227	9.908137
756.1751	9.912253
756.3275	9.899909
756.4799	9.920487
756.6323	9.911243
756.7847	9.912254
756.9371	9.912256
757.0895	9.904022
757.2419	9.916371
757.3943	9.908135
757.5467	9.920491
757.6991	9.904016
757.8515	9.90403
758.0039	9.916355
758.1563	9.912262
758.3087	9.916372
758.4611	9.912259
758.6135	9.926672
758.7659	9.904017
758.9183	9.912254
759.0707	9.908139
759.2231	9.912248
759.3755	9.921511
759.5279	9.904038
759.6803	9.904016
759.8327	9.904016
759.9851	9.916374
760.1375	9.911223
760.2899	9.904021
760.4423	9.912256
760.5947	9.912256
760.7471	9.911227
760.8995	9.899908
761.0519	9.904014
761.2043	9.908134
761.3567	9.904016
761.5091	9.916373
761.6615	9.908138
761.8139	9.912248
761.9663	9.904029
762.1187	9.916359
762.2711	9.916376
762.4235	9.908141
762.5759	9.916374
762.7283	9.904016
762.8807	9.91637
763.0331	9.904023
763.1855	9.91224
763.3379	9.908142
763.4903	9.908135
763.6427	9.921515
763.7951	9.899907
763.9475	9.916373
764.0999	9.899897
764.2523	9.906076
764.4047	9.908128
764.5571	9.899911
764.7095	9.912237
764.8619	9.906083
765.0143	9.920485
765.1667	9.90814
765.3191	9.908135
765.4715	9.924612
765.6239	9.911223
765.7763	9.908133
765.9287	9.904024
766.0811	9.916359
766.2335	9.904028
766.3859	9.911221
766.5383	9.912256
766.6907	9.908137
766.8431	9.912256
766.9955	9.911223
767.1479	9.908142
767.3003	9.904023
767.4527	9.908132
767.6051	9.90402
767.7575	9.911222
767.9099	9.908136
768.0623	9.90402
768.2147	9.924605
768.3671	9.904016
768.5195	9.906072
768.6719	9.908133
768.8243	9.899905
768.9767	9.908131
769.1291	9.911225
769.2815	9.916376
769.4339	9.908136
769.5863	9.912259
769.7387	9.91636
769.8911	9.900954
770.0435	9.908125
770.1959	9.904021
770.3483	9.904016
770.5007	9.906075
770.6531	9.904016
770.8055	9.916368
770.9579	9.895782
771.1103	9.904018
771.2627	9.906072
771.4151	9.908133
771.5675	9.899903
771.7199	9.908131
771.8723	9.895779
772.0247	9.908134
772.1771	9.90402
772.3295	9.912264
772.4819	9.920481
772.6343	9.916383
772.7867	9.912261
772.9391	9.899906
773.0915	9.916368
773.2439	9.899898
773.3963	9.906076
773.5487	9.908133
773.7011	9.904025
773.8535	9.912241
774.0059	9.904029
774.1583	9.906074
774.3107	9.895783
774.4631	9.908131
774.6155	9.899896
774.7679	9.908138
774.9203	9.916361
775.0727	9.895794
775.2251	9.912228
775.3775	9.908141
775.5299	9.906077
775.6823	9.895782
775.8347	9.908133
775.9871	9.920496
776.1395	9.912253
776.2919	9.906074
776.4443	9.90402
776.5967	9.904016
776.7491	9.904016
776.9015	9.916366
777.0539	9.900933
777.2063	9.912254
777.3587	9.895778
777.5111	9.90403
777.6635	9.926654
777.8159	9.904057
777.9683	9.916358
778.1207	9.904031
778.2731	9.91225
778.4255	9.906078
778.5779	9.908135
778.7303	9.912251
778.8827	9.895794
779.0351	9.921512
779.1875	9.90816
779.3399	9.916365
779.4923	9.904029
779.6447	9.920486
779.7971	9.906079
779.9495	9.904016
780.1019	9.904013
780.2543	9.899906
780.4067	9.912231
780.5591	9.906086
780.7115	9.916363
780.8639	9.899911
781.0163	9.916368
781.1687	9.916376
781.3211	9.908137
781.4735	9.908134
781.6259	9.904016
781.7783	9.904015
781.9307	9.90093
782.0831	9.904013
782.2355	9.895782
782.3879	9.904013
782.5403	9.895776
782.6927	9.911224
782.8451	9.908138
782.9975	9.912256
783.1499	9.912256
783.3023	9.91637
783.4547	9.908144
783.6071	9.895784
783.7595	9.912251
783.9119	9.908135
784.0643	9.911222
784.2167	9.899896
784.3691	9.899896
784.5215	9.908122
784.6739	9.895792
784.8263	9.916357
784.9787	9.895787
785.1311	9.904015
785.2835	9.912254
785.4359	9.900933
785.5883	9.912249
785.7407	9.904033
785.8931	9.908131
786.0455	9.904021
786.1979	9.916366
786.3503	9.912258
786.5027	9.908137
786.6551	9.89578
786.8075	9.908143
786.9599	9.916372
787.1123	9.912264
787.2647	9.920484
787.4171	9.904034
787.5695	9.911221
787.7219	9.904018
787.8743	9.916376
788.0267	9.912258
788.1791	9.916376
788.3315	9.916376
788.4839	9.912263
788.6363	9.91637
788.7887	9.91226
788.9411	9.90814
789.0935	9.911225
789.2459	9.899899
789.3983	9.92049
789.5507	9.908143
789.7031	9.91636
789.8555	9.912263
790.0079	9.904026
790.1603	9.91225
790.3127	9.90402
790.4651	9.911224
790.6175	9.904016
790.7699	9.899911
790.9223	9.9246
791.0747	9.908166
791.2271	9.911221
791.3795	9.91637
791.5319	9.916376
791.6843	9.912258
791.8367	9.912256
791.9891	9.916373
792.1415	9.908143
792.2939	9.916359
792.4463	9.908152
792.5987	9.911222
792.7511	9.908138
792.9035	9.912253
793.0559	9.912256
793.2083	9.895777
793.3607	9.904013
793.5131	9.89578
793.6655	9.899888
793.8179	9.899896
793.9703	9.908125
794.1227	9.895786
794.2751	9.899894
794.4275	9.887537
794.5799	9.899895
794.7323	9.895773
794.8847	9.890638
795.0371	9.903992
795.1895	9.895788
795.3419	9.891662
795.4943	9.891655
795.6467	9.887538
795.7991	9.875176
795.9515	9.875179
796.1039	9.883428
796.2563	9.899861
796.4087	9.875219
796.5611	9.887519
796.7135	9.850492
796.8659	9.833985
797.0183	9.842214
797.1707	9.833977
797.3231	9.842212
797.4755	9.833971
797.6279	9.829865
797.7803	9.828828
797.9327	9.829855
798.0851	9.829855
798.2375	9.825738
