HOLE:	U1507B
EXPEDITION:	371
TOP:	70.0964
BOTTOM:	804.6642
DEPTH_WMSF	DTCO	DT1	DT2	VELP	VS1	VS2
m	us/ft	us/ft	us/ft	km/s	km/s	km/s
83.6600	179.4734	765.5786	751.2534	1.6983	0.3981	0.4057
83.8124	179.383	773.533	754.5921	1.6992	0.3940	0.4039
83.9648	179.3782	778.9196	764.9333	1.6992	0.3913	0.3985
84.1172	179.1765	778.0587	754.3309	1.7011	0.3917	0.4041
84.2696	178.9278	779.8124	755.6045	1.7035	0.3909	0.4034
84.4220	178.7605	776.8252	774.5691	1.7051	0.3924	0.3935
84.5744	178.5932	760.7313	744.8718	1.7067	0.4007	0.4092
84.7268	178.426	749.0267	748.3339	1.7083	0.4069	0.4073
84.8792	178.2587	746.3109	757.2067	1.7099	0.4084	0.4025
85.0316	178.0912	791.4029	715.1881	1.7115	0.3851	0.4262
85.1840	177.9051	822.4135	682.1418	1.7133	0.3706	0.4468
85.3364	177.6307	822.2267	675.8881	1.7159	0.3707	0.4510
85.4888	178.11	781.2678	698.3389	1.7113	0.3901	0.4365
85.6412	178.066	740.6264	761.28	1.7117	0.4115	0.4004
85.7936	176.986	726.2969	800.0618	1.7222	0.4197	0.3810
85.9460	175.9705	692.0913	810.1006	1.7321	0.4404	0.3762
86.0984	175.4159	666.6513	781.1126	1.7376	0.4572	0.3902
86.2508	175.9255	662.265	754.1631	1.7326	0.4602	0.4042
86.4032	176.5342	660.1551	767.4912	1.7266	0.4617	0.3971
86.5556	177.4366	659.4203	784.5003	1.7178	0.4622	0.3885
86.7080	178.5718	663.9551	797.6086	1.7069	0.4591	0.3821
86.8604	179.2036	697.6635	812.4708	1.7009	0.4369	0.3752
87.0128	179.2682	750.2216	801.147	1.7002	0.4063	0.3805
87.1652	179.1558	788.2769	809.0145	1.7013	0.3867	0.3768
87.3176	178.5928	812.8474	810.5131	1.7067	0.3750	0.3761
87.4700	177.8333	827.6417	802.8593	1.7140	0.3683	0.3796
87.6224	178.645	832.0151	805.1365	1.7062	0.3663	0.3786
87.7748	179.2867	832.6086	799.47	1.7001	0.3661	0.3813
87.9272	179.1763	832.2389	808.0591	1.7011	0.3662	0.3772
88.0796	178.448	822.149	830.6622	1.7081	0.3707	0.3669
88.2320	177.0752	806.8278	796.8943	1.7213	0.3778	0.3825
88.3844	174.8699	768.7971	757.7609	1.7430	0.3965	0.4022
88.5368	173.1107	732.6746	820.5643	1.7607	0.4160	0.3715
88.6892	172.4643	698.4669	850.035	1.7673	0.4364	0.3586
88.8416	171.92	652.1152	872.0289	1.7729	0.4674	0.3495
88.9940	172.2027	624.4216	969.8269	1.7700	0.4881	0.3143
89.1464	173.159	631.3701	1024.299	1.7602	0.4828	0.2976
89.2988	174.0259	611.1334	1025.996	1.7515	0.4987	0.2971
89.4512	174.5418	579.325	974.0303	1.7463	0.5261	0.3129
89.6036	174.9666	552.2148	881.6324	1.7420	0.5520	0.3457
89.7560	175.2707	531.2585	889.3245	1.7390	0.5737	0.3427
89.9084	175.5739	509.2794	941.8132	1.7360	0.5985	0.3236
90.0608	175.6245	490.6954	950.1199	1.7355	0.6212	0.3208
90.2132	175.6568	480.0648	1020.302	1.7352	0.6349	0.2987
90.3656	176.428	481.0539	1083.737	1.7276	0.6336	0.2812
90.5180	178.3484	501.0854	1078.312	1.7090	0.6083	0.2827
90.6704	179.6607	510.615	994.7437	1.6965	0.5969	0.3064
90.8228	179.6084	510.615	876.5858	1.6970	0.5969	0.3477
90.9752	178.6801	639.8466	765.5751	1.7058	0.4764	0.3981
91.1276	177.0356	808.0762	700.7794	1.7217	0.3772	0.4349
91.2800	175.3922	846.2285	700.7794	1.7378	0.3602	0.4349
91.4324	173.7476	838.2926	700.7794	1.7543	0.3636	0.4349
91.5848	172.103	828.8353	741.997	1.7710	0.3677	0.4108
91.7372	170.4584	826.6719	802.8679	1.7881	0.3687	0.3796
91.8896	168.9825	831.4854	843.5333	1.8037	0.3666	0.3613
92.0420	161.1071	802.6724	913.4261	1.8919	0.3797	0.3337
92.1944	146.6187	755.1949	955.524	2.0789	0.4036	0.3190
92.3468	132.1417	774.2188	939.6647	2.3066	0.3937	0.3244
92.4992	124.0691	809.7426	921.8801	2.4567	0.3764	0.3306
92.6516	123.498	806.6392	925.5579	2.4681	0.3779	0.3293
92.8040	122.106	806.6392	880.1484	2.4962	0.3779	0.3463
92.9564	120.6081	804.8862	830.0381	2.5272	0.3787	0.3672
93.1088	124.0679	802.1556	789.71	2.4567	0.3800	0.3860
93.2612	130.8118	800.3553	730.265	2.3301	0.3808	0.4174
93.4136	137.561	713.0139	693.9308	2.2157	0.4275	0.4392
93.5660	144.3106	655.6569	665.0507	2.1121	0.4649	0.4583
93.7184	152.839	672.9081	654.3438	1.9943	0.4530	0.4658
93.8708	161.2832	643.6558	627.8766	1.8898	0.4735	0.4854
94.0232	169.4907	634.1024	630.4882	1.7983	0.4807	0.4834
94.1756	174.543	622.2109	629.4791	1.7463	0.4899	0.4842
94.3280	174.4032	611.3809	610.5595	1.7477	0.4985	0.4992
94.4804	174.8775	599.8617	608.5468	1.7429	0.5081	0.5009
94.6328	175.2888	595.2665	622.9058	1.7388	0.5120	0.4893
94.7852	176.3797	601.1135	629.8576	1.7281	0.5071	0.4839
94.9376	175.8061	609.2997	639.0103	1.7337	0.5002	0.4770
95.0900	173.6836	621.7194	654.2274	1.7549	0.4903	0.4659
95.2424	171.592	640.3348	659.2061	1.7763	0.4760	0.4624
95.3948	169.3718	658.7368	655.4101	1.7996	0.4627	0.4651
95.5472	168.8231	665.1487	660.6547	1.8054	0.4582	0.4614
95.6996	169.5305	666.6508	670.9507	1.7979	0.4572	0.4543
95.8520	169.7691	669.7466	683.9371	1.7954	0.4551	0.4457
96.0044	169.8172	671.2085	694.5421	1.7949	0.4541	0.4389
96.1568	170.303	667.5588	685.529	1.7898	0.4566	0.4446
96.3092	171.0295	665.339	682.9995	1.7821	0.4581	0.4463
96.4616	172.0505	665.3687	678.338	1.7716	0.4581	0.4493
96.6140	173.1931	664.4357	673.4764	1.7599	0.4587	0.4526
96.7664	174.3188	663.2311	673.0189	1.7485	0.4596	0.4529
