HOLE:	U1507B
EXPEDITION:	371
TOP:	97.0452
BOTTOM:	827.9558
DEPTH_WMSF	LCAL
m	in
97.0452	8.78795
97.1976	10.2932
97.3500	11.58956
97.5024	12.02986
97.6548	12.18238
97.8072	12.17003
97.9596	12.17188
98.1120	11.94762
98.2644	11.51082
98.4168	11.50671
98.5692	11.51906
98.7216	11.51084
98.8740	11.52318
99.0264	11.573
99.1788	12.82646
99.3312	14.83578
99.4836	14.93248
99.6360	14.8233
99.7884	14.73671
99.9408	14.58435
100.0932	14.58024
100.2456	14.57715
100.3980	14.57612
100.5504	14.57197
100.7028	14.53432
100.8552	14.01995
101.0076	12.15722
101.1600	14.13578
101.3124	14.88956
101.4648	15.19818
101.6172	15.35068
101.7696	15.3754
101.9220	15.3754
102.0744	15.37128
102.2268	15.37952
102.3792	15.38364
102.5316	15.38363
102.6840	15.37025
102.8364	15.36716
102.9888	15.29297
103.1412	15.17764
103.2936	15.16938
103.4460	15.15395
103.5984	15.15704
103.7508	15.15704
103.9032	15.15716
104.0556	15.29296
104.2080	15.54535
104.3604	15.54844
104.5128	15.55256
104.6652	15.5484
104.8176	15.51136
104.9700	15.50312
105.1224	15.50415
105.2748	15.50725
105.4272	15.51136
105.5796	15.499
105.7320	15.50724
105.8844	15.50724
106.0368	15.5093
106.1892	15.50312
106.3416	15.50312
106.4940	15.49899
106.6464	15.48663
106.7988	15.4784
106.9512	15.46808
107.1036	15.39599
107.2560	15.38362
107.4084	15.36716
107.5608	15.3754
107.7132	15.37025
107.8656	15.36295
108.0180	15.26831
108.1704	15.18588
108.3228	15.16116
108.4752	15.16423
108.6276	15.14424
108.7800	14.75743
108.9324	14.37007
109.0848	14.20119
109.2372	14.2012
109.3896	14.20531
109.5420	14.2012
109.6944	14.20943
109.8468	14.20119
109.9992	14.20119
110.1516	14.20119
110.3040	14.21355
110.4564	14.20532
110.6088	14.20634
110.7612	14.20532
110.9136	14.21769
111.0660	14.25888
111.2184	14.26713
111.3708	14.28359
111.5232	14.263
111.6756	14.27124
111.8280	14.2671
111.9804	14.24755
112.1328	14.2424
112.2852	14.23416
112.4376	14.23827
112.5900	14.23417
112.7424	14.24239
112.8948	14.23004
113.0472	14.23416
113.1996	14.23416
113.3520	14.24239
113.5044	14.2218
113.6568	14.24658
113.8092	14.37851
113.9616	14.55134
114.1140	14.68736
114.2664	14.75742
114.4188	14.80685
114.5712	14.81509
114.7236	14.82332
