HOLE:	U1507B
EXPEDITION:	371
TOP:	70.0704
BOTTOM:	842.8910
DEPTH_WMSF	DTCO	DT1	DT2	VELP	VS1	VS2
m	us/ft	us/ft	us/ft	km/s	km/s	km/s
83.6340	179.571	746.6912	733.0833	1.6974	0.4082	0.4158
83.7864	179.1684	748.0137	734.3359	1.7012	0.4075	0.4151
83.9388	178.9597	746.7702	730.2197	1.7032	0.4082	0.4174
84.0912	179.3456	734.2918	728.4739	1.6995	0.4151	0.4184
84.2436	179.4224	716.3316	677.3143	1.6988	0.4255	0.4500
84.3960	178.0779	703.8395	671.7662	1.7116	0.4331	0.4537
84.5484	177.8928	700.2853	652.8654	1.7134	0.4353	0.4669
84.7008	177.494	699.4809	640.2067	1.7172	0.4358	0.4761
84.8532	177.3946	693.6337	581.6824	1.7182	0.4394	0.5240
85.0056	176.4053	689.0443	579.3	1.7278	0.4424	0.5262
85.1580	176.3785	692.362	571.8132	1.7281	0.4402	0.5330
85.3104	175.9803	577.7399	586.3433	1.7320	0.5276	0.5198
85.4628	175.5225	588.017	620.3122	1.7365	0.5184	0.4914
85.6152	176.2214	618.723	629.4596	1.7296	0.4926	0.4842
85.7676	176.5125	621.1716	634.9003	1.7268	0.4907	0.4801
85.9200	176.2578	615.5828	697.4659	1.7293	0.4951	0.4370
86.0724	176.0785	604.5425	701.0695	1.7310	0.5042	0.4348
86.2248	176.5391	596.7316	695.2245	1.7265	0.5108	0.4384
86.3772	177.1882	596.2802	694.7051	1.7202	0.5112	0.4387
86.5296	177.1253	572.0483	686.9835	1.7208	0.5328	0.4437
86.6820	177.2307	574.5416	691.7321	1.7198	0.5305	0.4406
86.8344	178.1684	582.8081	748.7285	1.7107	0.5230	0.4071
86.9868	178.5609	641.9799	751.3901	1.7070	0.4748	0.4056
87.1392	178.5997	653.631	774.1297	1.7066	0.4663	0.3937
87.2916	178.4199	779.8962	775.5259	1.7083	0.3908	0.3930
87.4440	178.4262	784.1985	774.6805	1.7083	0.3887	0.3935
87.5964	178.5352	811.4516	761.7561	1.7072	0.3756	0.4001
87.7488	179.3979	816.5584	770.7039	1.6990	0.3733	0.3955
87.9012	178.4167	743.072	740.4205	1.7084	0.4102	0.4117
88.0536	175.9704	734.0526	691.3416	1.7321	0.4152	0.4409
88.2060	175.5049	674.2986	686.5964	1.7367	0.4520	0.4439
88.3584	175.5375	649.0392	682.9449	1.7364	0.4696	0.4463
88.5108	175.4023	653.1719	605.0034	1.7377	0.4666	0.5038
88.6632	175.0377	639.3051	588.3771	1.7413	0.4768	0.5180
88.8156	175	608.5245	585.9882	1.7417	0.5009	0.5201
88.9680	174.5935	610.2438	577.6995	1.7458	0.4995	0.5276
89.1204	174.9509	604.788	589.303	1.7422	0.5040	0.5172
89.2728	175.5723	610.1349	585.8928	1.7360	0.4996	0.5202
89.4252	175.9504	606.0958	591.8041	1.7323	0.5029	0.5150
89.5776	175.9958	582.3378	572.667	1.7319	0.5234	0.5322
89.7300	175.8281	579.308	564.3831	1.7335	0.5261	0.5401
89.8824	175.5888	569.0562	564.3168	1.7359	0.5356	0.5401
90.0348	175.3482	553.3835	563.9913	1.7383	0.5508	0.5404
90.1872	173.762	553.312	723.3676	1.7541	0.5509	0.4214
90.3396	174.4076	548.5347	751.0139	1.7476	0.5557	0.4059
90.4920	174.0762	497.9434	919.6035	1.7510	0.6121	0.3314
90.6444	175.6185	506.5802	919.6572	1.7356	0.6017	0.3314
90.7968	177.6278	514.8189	985.8196	1.7159	0.5921	0.3092
90.9492	178.1339	407.2615	1051.876	1.7111	0.7484	0.2898
91.1016	178.5676	413.4736	1036.415	1.7069	0.7372	0.2941
91.2540	178.2679	413.0151	1005.458	1.7098	0.7380	0.3031
91.4064	176.3242	429.9061	920.9325	1.7286	0.7090	0.3310
91.5588	174.3835	559.146	803.2126	1.7479	0.5451	0.3795
91.7112	171.063	602.9026	798.5911	1.7818	0.5056	0.3817
91.8636	167.7421	631.2033	800.0116	1.8171	0.4829	0.3810
92.0160	164.4213	631.4081	823.5066	1.8538	0.4827	0.3701
92.1684	161.1058	632.549	833.3532	1.8919	0.4819	0.3658
92.3208	157.7849	633.5256	821.4131	1.9317	0.4811	0.3711
92.4732	154.4641	753.9139	818.5599	1.9733	0.4043	0.3724
92.6256	151.1432	705.3179	712.497	2.0166	0.4321	0.4278
92.7780	147.8266	808.525	728.8952	2.0619	0.3770	0.4182
92.9304	148.0435	780.1948	733.4432	2.0589	0.3907	0.4156
93.0828	149.4351	749.0068	724.9894	2.0397	0.4069	0.4204
93.2352	154.3638	674.151	709.8581	1.9746	0.4521	0.4294
93.3876	159.2925	643.8546	668.4821	1.9135	0.4734	0.4560
93.5400	164.2133	639.5705	605.9985	1.8561	0.4766	0.5030
93.6924	166.7903	655.1667	603.619	1.8274	0.4652	0.5050
93.8448	170.2497	651.6389	606.3675	1.7903	0.4677	0.5027
93.9972	171.2318	650.3904	584.0742	1.7800	0.4686	0.5219
94.1496	172.3605	634.5854	580.7596	1.7684	0.4803	0.5248
94.3020	172.5941	606.8909	604.9282	1.7660	0.5022	0.5039
94.4544	172.7406	603.5861	565.446	1.7645	0.5050	0.5390
94.6068	172.8557	608.9114	592.7929	1.7633	0.5006	0.5142
94.7592	172.1501	621.2253	605.4624	1.7705	0.4906	0.5034
94.9116	171.5903	622.9711	626.8743	1.7763	0.4893	0.4862
95.0640	172.8512	624.351	621.3054	1.7634	0.4882	0.4906
95.2164	175.6767	616.4412	606.5862	1.7350	0.4945	0.5025
95.3688	175.3026	623.7329	605.0698	1.7387	0.4887	0.5037
95.5212	176.6691	642.616	607.1935	1.7253	0.4743	0.5020
95.6736	175.8638	644.6566	615.9675	1.7332	0.4728	0.4948
95.8260	174.9545	646.0947	617.5508	1.7422	0.4718	0.4936
95.9784	174.1157	647.9382	620.4467	1.7506	0.4704	0.4913
96.1308	174.4047	650.9115	623.1658	1.7477	0.4683	0.4891
96.2832	174.8215	664.0527	627.9357	1.7435	0.4590	0.4854
96.4356	176.4967	676.4841	643.08	1.7269	0.4506	0.4740
96.5880	176.2673	664.8914	594.9221	1.7292	0.4584	0.5123
96.7404	176.0952	655.6974	605.6049	1.7309	0.4648	0.5033
96.8928	176.6392	653.3436	608.1226	1.7256	0.4665	0.5012
97.0452	175.8705	651.5612	605.15	1.7331	0.4678	0.5037
97.1976	175.416	648.4837	599.0287	1.7376	0.4700	0.5088
97.3500	174.8605	641.2066	580.1849	1.7431	0.4754	0.5253
97.5024	175.3064	635.5844	583.7003	1.7387	0.4796	0.5222
97.6548	176.2742	651.2802	613.6141	1.7291	0.4680	0.4967
97.8072	176.6164	657.1819	609.5564	1.7258	0.4638	0.5000
97.9596	176.7027	657.1439	609.4418	1.7249	0.4638	0.5001
98.1120	176.7972	657.4196	609.9307	1.7240	0.4636	0.4997
98.2644	176.638	660.0988	609.0269	1.7256	0.4617	0.5005
98.4168	176.5615	653.8524	617.2106	1.7263	0.4662	0.4938
98.5692	175.3741	638.7713	606.9962	1.7380	0.4772	0.5021
98.7216	175.0288	641.3315	599.4972	1.7414	0.4753	0.5084
98.8740	174.6262	645.8431	596.7209	1.7454	0.4719	0.5108
99.0264	174.8393	657.4778	600.3286	1.7433	0.4636	0.5077
99.1788	176.2135	658.8071	595.6389	1.7297	0.4627	0.5117
99.3312	177.4786	653.5543	592.1907	1.7174	0.4664	0.5147
99.4836	177.3439	652.0992	624.8511	1.7187	0.4674	0.4878
99.6360	176.9041	652.3842	625.834	1.7230	0.4672	0.4870
99.7884	176.9006	652.4052	623.14	1.7230	0.4672	0.4891
99.9408	176.447	650.5363	600.1701	1.7274	0.4685	0.5079
100.0932	175.3253	636.9726	582.6061	1.7385	0.4785	0.5232
100.2456	174.7051	623.0988	580.7234	1.7447	0.4892	0.5249
100.3980	174.196	624.4791	581.2322	1.7498	0.4881	0.5244
100.5504	173.8194	624.0787	578.7667	1.7535	0.4884	0.5266
100.7028	173.6953	625.1238	577.2184	1.7548	0.4876	0.5280
100.8552	173.1929	627.9661	574.7177	1.7599	0.4854	0.5303
101.0076	172.707	643.9315	582.6017	1.7648	0.4733	0.5232
101.1600	172.9759	646.2659	596.8215	1.7621	0.4716	0.5107
101.3124	173.4762	646.1971	596.8486	1.7570	0.4717	0.5107
101.4648	173.5715	646.3561	596.3378	1.7560	0.4716	0.5111
101.6172	173.3296	650.9589	593.8077	1.7585	0.4682	0.5133
101.7696	173.1953	649.7922	584.7243	1.7599	0.4691	0.5213
101.9220	174.3953	653.7646	587.2676	1.7478	0.4662	0.5190
102.0744	173.9885	650.2292	580.261	1.7518	0.4688	0.5253
102.2268	173.8993	643.4884	575.5211	1.7527	0.4737	0.5296
102.3792	174.1708	632.0931	569.4746	1.7500	0.4822	0.5352
102.5316	173.1958	611.4147	570.5735	1.7599	0.4985	0.5342
102.6840	171.4749	580.4545	546.2161	1.7775	0.5251	0.5580
102.8364	170.2635	569.8213	534.4003	1.7902	0.5349	0.5704
102.9888	168.6195	568.8401	533.244	1.8076	0.5358	0.5716
