HOLE:	U1351B
EXPEDITION:	317
TOP:	872.5780
BOTTOM:	1028.9404
DEPTH_WMSF	TENS	CS	ETIM	DF
m	lbf	m/h	s	lbf
889.4944	2433.0000	281.6352	1710.3680	1356.2325
889.6468	2433.0000	281.6352	1710.3680	1356.2325
889.7992	2433.0000	281.6352	1710.3680	1356.2325
889.9516	2433.0000	281.6352	1710.3680	1356.2325
890.1040	2433.0000	281.6352	1710.3680	1356.2325
890.2564	2433.0000	281.6352	1710.3680	1356.2325
890.4088	2433.0000	281.6352	1710.3680	1356.2325
890.5612	2433.0000	281.6352	1710.3680	1356.2325
890.7136	2433.0000	281.6352	1710.3680	1356.2325
890.8660	2433.0000	281.6352	1710.3680	1356.2325
891.0184	2433.0000	281.6352	1710.3680	1356.2325
891.1708	2413.2043	281.6352	1709.6295	1345.2705
891.3232	2382.1560	281.6352	1707.6738	1335.3827
891.4756	2388.2893	281.7541	1705.7148	1346.3926
891.6280	2371.7087	281.9400	1703.7606	1324.0021
891.7804	2386.6978	281.6967	1701.8036	1326.0209
891.9328	2399.5051	281.9467	1699.8469	1323.2476
892.0852	2297.0051	282.7298	1697.8896	1253.6995
892.2376	2305.9163	282.2975	1695.9418	1286.8448
892.3900	2334.0732	281.8126	1693.9924	1312.1198
892.5424	2390.9031	282.0219	1692.0358	1348.2725
892.6948	2386.7708	282.5496	1690.0779	1348.4103
892.8472	2308.4651	282.5496	1688.1287	1284.4752
892.9996	2379.1030	282.8160	1686.1852	1317.0828
893.1520	2359.9492	283.2938	1684.2382	1309.3182
893.3044	2301.6611	284.2802	1682.2806	1288.2087
893.4568	2393.3792	280.7554	1680.3472	1345.0645
893.6092	2367.9956	276.0679	1678.3945	1297.0277
893.7616	2140.8008	255.4644	1676.4037	1125.0043
893.9140	2153.2725	227.0019	1674.2178	1175.4409
894.0664	2281.9485	219.1223	1671.7771	1242.7775
894.2188	2336.5034	251.0057	1663.0404	1272.2458
894.3712	2359.3965	290.9632	1653.9088	1325.5288
894.5236	2385.2278	283.3848	1652.0204	1321.5758
894.6760	2443.2202	283.4451	1650.0905	1346.5321
894.8284	2425.7039	292.2870	1648.1654	1337.3976
894.9808	2322.2012	293.0670	1646.2837	1258.0361
895.1332	2304.1675	291.8420	1644.4041	1267.5361
895.2856	2344.1191	290.1560	1642.5154	1310.1447
895.4380	2383.7610	289.0991	1640.6173	1332.5723
895.5904	2420.7197	288.9504	1638.7186	1356.3971
895.7428	2425.4360	289.5860	1636.8108	1338.2009
895.8952	2386.0732	280.5362	1634.9119	1311.0079
896.0476	2352.0000	281.5920	1632.9779	1320.0439
896.2000	2400.7410	289.8431	1631.0306	1357.7761
896.3524	2374.9043	290.2189	1629.1333	1342.3849
896.5048	2424.9204	288.9518	1627.2434	1373.3455
896.6572	2355.5876	290.6098	1625.3280	1312.0009
896.8096	2174.5381	294.4007	1623.4249	1180.7622
896.9620	2211.7192	283.5920	1621.5532	1206.3254
897.1144	2322.6128	284.2868	1619.6982	1294.2772
897.2668	2370.0979	290.2653	1617.8412	1330.8805
897.4192	2446.3584	288.7757	1615.9576	1380.7090
897.5716	2421.6909	288.9980	1614.0486	1370.6323
897.7240	2417.2773	288.9000	1612.1433	1362.7219
897.8764	2413.4492	289.0038	1610.2343	1360.8519
898.0288	2406.3103	289.7965	1608.3488	1355.4725
898.1812	2387.5803	290.8972	1606.4642	1352.2302
898.3336	2455.2051	291.3888	1604.5664	1405.7832
898.4860	2391.3687	292.3124	1602.6670	1337.7401
898.6384	2366.5886	289.9337	1600.7797	1306.5851
898.7908	2402.6155	287.0981	1598.8789	1320.8456
898.9432	2396.7988	286.5120	1596.9634	1321.1176
899.0956	2418.6230	286.5120	1595.0378	1321.0829
899.2480	2428.9639	286.7039	1593.1178	1334.2153
899.4004	2374.6294	287.0101	1591.1918	1298.7935
899.5528	2336.6892	286.9268	1589.2695	1272.8182
899.7052	2330.0691	286.0321	1587.3553	1284.5876
899.8576	2384.1389	285.9930	1585.4279	1325.3063
900.0100	2384.6096	286.8044	1583.5065	1310.3556
900.1624	2351.2427	286.7207	1581.5803	1292.5980
900.3148	2430.7581	286.7139	1579.6483	1335.2189
900.4672	2409.9468	287.2235	1577.7380	1329.6666
900.6196	2360.2061	287.8359	1575.8185	1315.5835
900.7720	2372.9702	288.0360	1573.8987	1322.5645
900.9244	2271.9502	287.4131	1571.9950	1273.9425
901.0768	2282.4116	286.9126	1570.0747	1286.3988
901.2292	2334.4785	285.9749	1568.1541	1315.5375
901.3816	2376.9685	284.9621	1566.2283	1352.6620
901.5340	2325.1812	284.4698	1564.2948	1308.7922
901.6864	2424.5376	285.0227	1562.3630	1378.2522
901.8388	2265.7522	287.2401	1560.4299	1230.2344
901.9912	2191.1379	285.8597	1558.5211	1176.4419
902.1436	2262.8403	286.7405	1556.5986	1247.4241
902.2960	2453.9673	286.5443	1554.6666	1376.3116
902.4484	2465.3064	287.5387	1552.7480	1368.1694
902.6008	2402.7649	287.1426	1550.8333	1326.2222
902.7532	2418.7180	286.3672	1548.9181	1338.1989
902.9056	2424.0627	281.2306	1547.0042	1338.7078
903.0580	2386.8965	284.2822	1545.0648	1321.7212
903.2104	2403.5649	285.9024	1543.1277	1320.2461
903.3628	2480.3049	283.3669	1541.2086	1361.7197
903.5152	2466.2202	283.2457	1539.2428	1353.3386
903.6676	2415.1787	285.7981	1537.2986	1331.6609
903.8200	2406.0813	278.9987	1535.3798	1336.3923
903.9724	2396.1494	284.3179	1533.3997	1318.7793
904.1248	2403.1384	286.7497	1531.4640	1332.8234
904.2772	2372.2712	285.6214	1529.5372	1325.3514
904.4296	2471.9006	284.8117	1527.6180	1373.9291
904.5820	2328.7100	286.3772	1525.6487	1283.4380
904.7344	2298.3726	287.5469	1523.6818	1290.6837
904.8868	2314.8516	286.7519	1521.7313	1302.2080
905.0392	2419.0061	284.5417	1519.8082	1370.1267
905.1916	2360.9324	285.5596	1517.8527	1308.3909
905.3440	2358.3525	285.9024	1515.9275	1310.2305
905.4964	2366.1128	285.9024	1513.9990	1323.7037
905.6488	2407.5049	286.1544	1512.0824	1322.4270
905.8012	2426.8081	285.7004	1510.1541	1338.3004
905.9536	2446.5605	285.5976	1508.2211	1375.5465
906.1060	2365.0884	288.1601	1506.3036	1321.8120
906.2584	2143.5500	291.7380	1504.3741	1140.8541
906.4108	2111.1018	289.9706	1502.4844	1142.5175
906.5632	2310.3105	286.9546	1500.6021	1290.4794
906.7156	2331.1067	286.7740	1498.6788	1318.9171
906.8680	2580.5364	283.6552	1496.7623	1460.6619
907.0204	2232.4858	288.7206	1494.8341	1167.4224
907.1728	2066.5420	290.3589	1492.9150	1061.4362
907.3252	2248.6450	286.9937	1491.0172	1193.2043
907.4776	2367.8682	285.1658	1489.1052	1311.2159
907.6300	2476.7622	284.7174	1487.1742	1384.5146
907.7824	2458.6531	284.9553	1485.2568	1370.5614
907.9348	2477.4255	285.2614	1483.3279	1398.2588
908.0872	2333.0049	287.7667	1481.3778	1246.2487
908.2396	2282.5476	287.7596	1479.4598	1228.9967
908.3920	2383.7769	286.3427	1477.5609	1311.5573
908.5444	2432.4675	286.2072	1475.6464	1333.2913
908.6968	2454.4146	285.3653	1473.7155	1368.2607
908.8492	2447.6733	284.7288	1471.7839	1346.4960
909.0016	2388.4114	285.5336	1469.8348	1317.0605
909.1540	2377.4563	287.3072	1467.9181	1314.6622
909.3064	2460.5920	251.0690	1465.9888	1367.7289
909.4588	2300.7183	286.1404	1463.9282	1237.5319
909.6112	2281.5110	288.3408	1461.9902	1272.1783
909.7636	2362.0337	293.8618	1460.0912	1318.5260
909.9160	2501.0989	297.3445	1458.2084	1412.9911
910.0684	2272.9963	302.7681	1456.3417	1247.2231
910.2208	2242.7168	302.9712	1454.5248	1218.3405
910.3732	2292.5562	302.0822	1452.6946	1287.7502
910.5256	2324.2888	300.2700	1450.8638	1306.4266
910.6780	2530.1328	297.8347	1449.0494	1442.8976
910.8304	2209.5015	303.8022	1447.2021	1176.8759
910.9828	2172.2922	303.2814	1445.3870	1148.8376
911.1352	2264.0000	303.2760	1443.5660	1227.1860
911.2876	2655.0000	296.8752	1441.7620	1503.0541
911.4400	2218.0000	304.8000	1439.9220	1101.3390
911.5924	2117.9258	304.4980	1438.1326	1099.9301
911.7448	2363.4143	301.4909	1436.3379	1300.6969
911.8972	2461.1633	300.2513	1434.5563	1376.8453
912.0496	2482.5217	301.4181	1432.7260	1384.8666
912.2020	2411.1235	302.0393	1430.9259	1318.7308
912.3544	2372.2869	302.6458	1429.1128	1305.7812
912.5068	2539.2344	299.1502	1427.2985	1421.9349
912.6592	2453.2141	299.5919	1425.4843	1367.4518
912.8116	2419.4951	299.9085	1423.6556	1358.6742
912.9640	2435.9856	301.0773	1421.8262	1348.6064
913.1164	2514.2283	299.7071	1420.0271	1381.8722
913.2688	2399.0637	281.3401	1418.1998	1317.3407
913.4212	2377.9485	300.0016	1416.3220	1311.5359
913.5736	2450.2402	300.8820	1414.5197	1350.0006
913.7260	2496.5803	300.8376	1412.7076	1392.7054
913.8784	2498.1650	301.3969	1410.8778	1371.9120
914.0308	2525.3813	300.8908	1409.0923	1404.7843
914.1832	2520.7395	300.8376	1407.2515	1403.2960
914.3356	2454.0991	300.2873	1405.4497	1355.9476
914.4880	2412.8772	299.6806	1403.6371	1349.9423
914.6404	2486.7070	299.6184	1401.8066	1382.8563
914.7928	2417.8518	300.1598	1399.9919	1334.7148
914.9452	2345.2913	300.2280	1398.1805	1300.8314
915.0976	2540.8789	296.7459	1396.3501	1419.9963
915.2500	2389.0271	299.1948	1394.5343	1317.9773
915.4024	2219.6362	302.0019	1392.6478	1219.8469
915.5548	2355.2017	300.2554	1390.8381	1308.0426
915.7072	2471.0442	299.6614	1389.0253	1375.7902
915.8596	2504.7908	299.6184	1387.1981	1377.3333
916.0120	2457.8889	299.8773	1385.3970	1372.5172
916.1644	2538.4875	300.4378	1383.5708	1439.1018
916.3168	2408.1089	302.0679	1381.7529	1339.0101
916.4692	2257.3145	302.1072	1379.9402	1216.3088
916.6216	2325.9390	300.5392	1378.1263	1264.1072
916.7740	2468.7051	298.7198	1376.3250	1356.8883
916.9264	2481.0625	299.1489	1374.5143	1363.7426
917.0788	2586.4470	298.8166	1372.6735	1407.0748
917.2312	2301.4719	303.3965	1370.8539	1188.9504
917.3836	2233.8311	304.4952	1369.0538	1193.2878
917.5360	2383.0591	302.5437	1367.2830	1310.2719
917.6884	2473.3010	301.8143	1365.4677	1363.1191
917.8408	2444.2993	300.3059	1363.6647	1361.9448
917.9932	2510.7800	300.1627	1361.8540	1391.3486
918.1456	2412.5393	302.6078	1360.0271	1313.9122
918.2980	2223.0227	303.7491	1358.2101	1170.8540
918.4504	2169.5166	304.3557	1356.4215	1125.2926
918.6028	2297.2429	298.1902	1354.6284	1264.4030
918.7552	2395.6169	297.6578	1352.7566	1331.9705
918.9076	2578.9119	295.7886	1350.9237	1442.5233
919.0600	2345.4905	301.2350	1349.0707	1234.0109
919.2124	1997.7971	306.9185	1347.2437	994.4614
919.3648	2188.7036	304.0828	1345.4808	1172.1088
919.5172	2339.5342	300.1956	1343.6985	1300.7252
919.6696	2506.8972	299.3136	1341.8754	1390.9784
919.8220	2511.5381	299.9787	1340.0568	1393.9443
919.9744	2469.8860	301.5490	1338.2324	1371.6754
920.1268	2306.7554	302.2755	1336.4135	1230.8597
920.2792	2242.4368	301.2755	1334.6124	1220.4841
920.4316	2365.5818	299.9746	1332.8043	1305.7942
920.5840	2466.8979	299.6184	1330.9901	1350.8252
920.7364	2525.6860	299.4057	1329.1646	1374.6327
920.8888	2540.6138	299.7361	1327.3468	1362.3630
921.0412	2529.6711	300.3430	1325.5320	1376.0205
921.1936	2478.5378	301.1576	1323.7068	1346.7445
921.3460	2455.6433	301.0337	1321.8881	1335.4971
921.4984	2479.9224	291.8041	1320.0747	1355.8145
