HOLE:	U1351B
EXPEDITION:	317
TOP:	873.0352
BOTTOM:	1008.9760
DEPTH_WMSF	RHOM	DRH	PEFL	NRHB
m	g/cm3	g/cm3	barns/e-	g/cm3
891.7804	2.1645	0.0749	2.8916	2.1645
891.9328	2.1530	0.0732	2.8461	2.1530
892.0852	2.1450	0.0790	2.8558	2.1450
892.2376	2.1403	0.0917	2.8884	2.1403
892.3900	2.1393	0.1052	2.9616	2.1393
892.5424	2.1494	0.1237	2.9327	2.1494
892.6948	2.1642	0.1417	2.8794	2.1642
892.8472	2.1747	0.1498	2.7728	2.1747
892.9996	2.2003	0.1533	2.7614	2.2003
893.1520	2.2280	0.1585	2.8912	2.2280
893.3044	2.2099	0.1557	2.9934	2.2099
893.4568	2.1487	0.1364	3.0208	2.1487
893.6092	2.0918	0.1078	2.8863	2.0918
893.7616	2.1043	0.0998	2.7759	2.1043
893.9140	2.1763	0.1222	2.8055	2.1763
894.0664	2.2327	0.1387	2.9073	2.2327
894.2188	2.2248	0.1355	2.9572	2.2248
894.3712	2.1845	0.1331	2.9143	2.1845
894.5236	2.1581	0.1409	2.8268	2.1581
894.6760	2.1654	0.1398	2.7689	2.1654
894.8284	2.2095	0.1428	2.7508	2.2095
894.9808	2.2624	0.1548	2.8156	2.2624
895.1332	2.2655	0.1558	2.7967	2.2655
895.2856	2.2299	0.1438	2.7230	2.2299
895.4380	2.2025	0.1341	2.7331	2.2025
895.5904	2.1918	0.1305	2.8464	2.1918
895.7428	2.1891	0.1276	2.9669	2.1891
895.8952	2.1823	0.1227	3.0849	2.1823
896.0476	2.1723	0.1155	3.1802	2.1723
896.2000	2.1537	0.1058	3.1957	2.1537
896.3524	2.1343	0.0960	3.0891	2.1343
896.5048	2.1251	0.0904	2.9362	2.1251
896.6572	2.1243	0.0898	2.8677	2.1243
896.8096	2.1244	0.0909	2.8929	2.1244
896.9620	2.1340	0.1094	2.9059	2.1340
897.1144	2.1093	0.1348	2.8505	2.1093
897.2668	2.0621	0.1583	2.7741	2.0621
897.4192	2.0435	0.1975	2.7010	2.0435
897.5716	2.0831	0.2598	2.5839	2.0831
897.7240	2.1107	0.2731	2.4800	2.1107
897.8764	2.1185	0.2302	2.4615	2.1185
898.0288	2.1916	0.2008	2.6603	2.1916
898.1812	2.2986	0.1777	2.9647	2.2986
898.3336	2.3792	0.1543	2.9919	2.3792
898.4860	2.3897	0.1451	2.8796	2.3897
898.6384	2.3619	0.1459	2.8233	2.3619
898.7908	2.2928	0.1282	2.8930	2.2928
898.9432	2.2248	0.1271	2.9126	2.2248
899.0956	2.1779	0.1452	2.8670	2.1779
899.2480	2.1324	0.1387	2.8691	2.1324
899.4004	2.1169	0.1305	2.8829	2.1169
899.5528	2.1336	0.1392	2.8587	2.1336
899.7052	2.1319	0.1386	2.8224	2.1319
899.8576	2.1102	0.1269	2.8281	2.1102
900.0100	2.0986	0.1315	2.8352	2.0986
900.1624	2.0992	0.1436	2.8051	2.0992
900.3148	2.1117	0.1604	2.7751	2.1117
900.4672	2.1158	0.1659	2.7861	2.1158
900.6196	2.1085	0.1618	2.7308	2.1085
900.7720	2.1091	0.1431	2.7427	2.1091
900.9244	2.1324	0.1328	2.7605	2.1324
901.0768	2.1644	0.1327	2.8932	2.1644
901.2292	2.1641	0.1290	2.9075	2.1641
901.3816	2.1515	0.1266	2.8565	2.1515
901.5340	2.1664	0.1470	2.8351	2.1664
901.6864	2.1942	0.1611	2.7994	2.1942
901.8388	2.2039	0.1613	2.8607	2.2039
901.9912	2.2063	0.1573	2.8426	2.2063
902.1436	2.1843	0.1439	2.8397	2.1843
902.2960	2.1705	0.1330	2.7866	2.1705
902.4484	2.1796	0.1301	2.8568	2.1796
902.6008	2.2238	0.1609	2.9514	2.2238
902.7532	2.2989	0.2218	2.9890	2.2989
902.9056	2.3464	0.2615	2.8664	2.3464
903.0580	2.3984	0.3048	2.7573	2.3984
903.2104	2.3845	0.3154	2.6383	2.3845
903.3628	2.2913	0.2412	2.5368	2.2913
903.5152	2.1988	0.1618	2.5027	2.1988
903.6676	2.1801	0.1353	2.5474	2.1801
903.8200	2.1442	0.1062	2.6216	2.1442
903.9724	2.1178	0.0841	2.6106	2.1178
904.1248	2.1263	0.0833	2.6155	2.1263
904.2772	2.1495	0.0873	2.6756	2.1495
904.4296	2.1500	0.0796	2.7426	2.1500
904.5820	2.1456	0.0763	2.7383	2.1456
904.7344	2.1464	0.0814	2.6873	2.1464
904.8868	2.1599	0.0872	2.6513	2.1599
905.0392	2.1978	0.1056	2.7275	2.1978
905.1916	2.2303	0.1291	2.7808	2.2303
905.3440	2.2299	0.1271	2.7723	2.2299
905.4964	2.2160	0.1124	2.8702	2.2160
905.6488	2.1712	0.0938	2.6605	2.1712
905.8012	2.0401	0.0619	2.6804	2.0401
905.9536	1.9278	0.0364	2.6436	1.9278
906.1060	1.8818	0.0377	2.7577	1.8818
906.2584	1.9198	0.0579	2.8842	1.9198
906.4108	1.8602	0.0611	2.1339	1.8602
906.5632	1.5406	0.0223	1.8056	1.5406
906.7156	1.3214	0.0099	1.6610	1.3214
906.8680	1.1957	0.0047	1.7000	1.1957
907.0204	1.1889	0.0079	1.7982	1.1889
907.1728	1.1966	0.0066	1.8504	1.1966
907.3252	1.2154	0.0078	1.8770	1.2154
907.4776	1.2627	0.0196	1.9080	1.2627
907.6300	1.3051	0.0245	1.9473	1.3051
907.7824	1.3060	0.0301	1.9264	1.3060
907.9348	1.2833	0.0332	1.8701	1.2833
908.0872	1.2575	0.0349	1.8187	1.2575
908.2396	1.2506	0.0271	1.8634	1.2506
908.3920	1.3020	0.0290	1.9143	1.3020
908.5444	1.3274	0.0258	2.0132	1.3274
908.6968	1.3442	0.0246	1.9686	1.3442
908.8492	1.2975	0.0214	1.9552	1.2975
