HOLE:	U1351B
EXPEDITION:	317
TOP:	0.0886
BOTTOM:	486.3970
DEPTH_WMSF	FX	FY	FZ	FNOR	FINC	RB	P1AZ	HAZI	AX	AY	AZ	DEVI
m	oer	oer	oer	oer	deg	deg	deg	deg	m/s2	m/s2	m/s2	deg
6.7942	0.126276	-0.133128	-0.795455	0.839032	-79.7344	32.6936	62.2573	29.5631	-0.0674	0.0622	9.8988	0.2594
6.9466	0.155596	-0.092765	-0.801594	0.834575	-78.9648	16.3637	57.9446	41.5803	-0.0832	0.0707	9.9283	0.2556
7.0990	0.132223	-0.104756	-0.821706	0.830087	-78.8073	357.1959	48.2905	51.0955	-0.0944	0.0147	9.9236	0.2921
7.2514	0.143399	-0.017378	-0.755528	0.827808	-78.6025	305.2951	0.2870	54.9914	-0.1088	0.0435	9.9092	0.3383
7.4038	0.087378	0.106667	-0.778178	0.817913	-78.2285	280.2549	334.9375	54.6821	-0.1057	0.0335	9.8761	0.3871
7.5562	0.129791	0.121219	-0.775275	0.807940	-78.2679	294.6721	344.9281	50.2563	-0.1060	0.0545	9.8615	0.4099
7.7086	0.046564	0.051584	-0.725274	0.802175	-78.7542	229.8838	278.6966	48.8131	-0.0939	0.0568	9.8613	0.3911
7.8610	-0.013694	-0.100093	-0.821641	0.800664	-78.8603	75.5471	126.0034	50.4580	-0.1137	0.0773	9.8728	0.3276
8.0134	-0.065628	-0.241717	-0.819400	0.791405	-79.0311	62.6427	123.4271	60.7855	-0.1230	0.0504	9.8782	0.2683
8.1658	-0.029865	-0.273012	-0.793507	0.785832	-79.3884	30.9980	104.6956	73.6942	-0.1176	0.0332	9.9594	0.2528
8.3182	0.075415	-0.213560	-0.775420	0.768371	-78.7538	347.5461	72.5409	84.9932	-0.1187	0.0496	10.0279	0.2632
8.4706	0.203422	-0.130787	-0.766737	0.747347	-77.3721	318.1283	54.0782	95.9475	-0.1139	0.0571	10.0235	0.2651
8.6230	0.185457	-0.106616	-0.702499	0.734942	-77.1986	303.8242	49.8678	106.0416	-0.0999	0.0367	9.9323	0.2680
8.7754	0.088361	-0.013727	-0.723956	0.735799	-77.6209	224.2077	66.8580	106.3605	-0.0837	-0.0070	9.8158	0.2915
8.9278	0.038321	-0.035177	-0.792305	0.743855	-77.8023	45.0073	148.9598	103.9502	-0.1084	0.0075	9.7539	0.3425
9.0802	-0.046601	0.006270	-0.822646	0.768663	-77.5066	103.8744	202.1149	98.2376	-0.1181	0.0204	9.7817	0.3434
9.2326	-0.075795	-0.016035	-0.777518	0.790244	-77.7819	87.8969	183.2186	95.3222	-0.1416	0.0417	9.8736	0.2695
9.3850	-0.042465	0.004388	-0.761213	0.809741	-78.4598	39.1662	140.7750	101.6103	-0.1436	0.0121	9.9692	0.2135
9.5374	-0.044008	-0.160707	-0.537832	0.833291	-78.4258	3.7891	119.2059	115.4138	-0.1398	0.0265	10.0154	0.2001
9.6898	0.020775	-0.422514	-0.430443	0.852831	-78.3282	271.6518	140.6041	131.4651	-0.1269	0.0038	9.9687	0.2229
9.8422	-0.110183	-0.128456	-0.413501	0.819573	-78.1662	83.8916	230.7904	146.9018	-0.1210	-0.0153	9.8992	0.2440
9.9946	-0.059363	0.042290	-0.752024	0.805004	-77.1340	180.4519	244.8824	162.3048	-0.0921	-0.0252	9.9259	0.2245
