HOLE:	U1351B
EXPEDITION:	317
TOP:	73.0876
BOTTOM:	483.3484
DEPTH_WMSF	TENS	CS	ETIM	DF
m	lbf	m/h	s	lbf
90.0040	2168.0000	188.3664	3854.9851	1850.7330
90.1564	2251.0000	187.7568	3852.0750	1940.6746
90.3088	2162.0000	129.8448	3849.1150	1866.7307
90.4612	2078.0000	129.5400	3844.9021	1814.1166
90.6136	2362.0000	124.9680	3840.6851	2074.6980
90.7660	2181.0000	130.4544	3836.3330	1940.6746
90.9184	2043.0000	133.1976	3832.1340	1790.6536
91.0708	3026.0000	285.9024	3827.3840	2737.3501
91.2232	2659.0000	294.1320	3825.4780	2406.0242
91.3756	2318.0000	304.1904	3823.6211	2031.6827
91.5280	2133.0000	305.7144	3821.7991	1851.0887
91.6804	2156.0000	300.8376	3819.9939	1876.6847
91.8328	2253.0000	299.3136	3818.2041	1907.9686
91.9852	2193.0000	303.5808	3816.3469	1849.6667
92.1376	2143.0000	309.6768	3814.5381	1825.1371
92.2900	2194.0000	302.9712	3812.7639	1853.9326
92.4424	2215.0000	303.5808	3810.9561	1895.8817
92.5948	2176.0000	304.8000	3809.1321	1868.1527
92.7472	2174.0000	304.8000	3807.3250	1878.1066
92.8996	2181.3086	304.7971	3805.5190	1876.6947
93.0520	2212.9519	304.4836	3803.7119	1876.9993
93.2044	2159.3157	303.8506	3801.9043	1839.1478
93.3568	2171.3027	302.6431	3800.0801	1868.6975
93.5092	2201.4658	302.0859	3798.2427	1880.1627
93.6616	2153.7009	302.5788	3796.4182	1839.4874
93.8140	2200.1462	301.0811	3794.5776	1895.6538
93.9664	2226.0103	300.3917	3792.7378	1914.9750
94.1188	2176.0996	302.4142	3790.8943	1885.8188
94.2712	2161.3779	302.8834	3789.0542	1868.7319
94.4236	2208.5125	302.1212	3787.2434	1928.5212
94.5760	2176.9275	302.6664	3785.4050	1902.5634
94.7284	2164.1199	302.6284	3783.5786	1872.9457
94.8808	2186.9412	302.4026	3781.7388	1901.3274
95.0332	2186.2273	302.9299	3779.9006	1908.2592
95.1856	2142.0027	304.4483	3778.0764	1861.6179
95.3380	2118.6931	304.2402	3776.2568	1849.6368
95.4904	2124.2700	304.0738	3774.4475	1853.6282
95.6428	2167.1223	302.0012	3772.6191	1898.7219
95.7952	2099.4580	301.9277	3770.7810	1853.1830
95.9476	2126.3086	302.6049	3768.9573	1845.2823
96.1000	2159.1404	303.0706	3767.1292	1850.7280
96.2524	2160.5750	304.5688	3765.2915	1876.8805
96.4048	2369.8503	301.0247	3763.4639	2039.9678
96.5572	2314.9224	303.1790	3761.6270	2001.8828
96.7096	2181.2524	305.0284	3759.8027	1862.4712
96.8620	2166.1077	305.5562	3757.9880	1824.5251
97.0144	2155.2690	305.2689	3756.1890	1804.7094
97.1668	2224.8628	304.2698	3754.3657	1871.8325
97.3192	2329.1604	301.2361	3752.5381	1979.2179
97.4716	2147.2979	303.0620	3750.7026	1815.3873
97.6240	2132.0071	303.1823	3748.8782	1798.0135
97.7764	2100.1235	303.0679	3747.0537	1784.3174
97.9288	2119.1318	303.0768	3745.2239	1803.3197
98.0812	2121.1560	302.6664	3743.3877	1811.9363
98.2336	2087.1150	302.6664	3741.5623	1809.5354
98.3860	2085.1770	303.0999	3739.7441	1819.5435
98.5384	2084.5146	303.6629	3737.9324	1809.9059
98.6908	2100.5024	303.8473	3736.1021	1793.5017
98.8432	2091.0762	304.4484	3734.2737	1775.9952
98.9956	2090.8755	304.0057	3732.4602	1786.8861
99.1480	2066.0386	304.4366	3730.6438	1792.0552
99.3004	2041.0000	305.0519	3728.8315	1790.4922
99.4528	2050.3042	305.0229	3727.0078	1788.5769
99.6052	2069.9216	304.0996	3725.1895	1773.2976
99.7576	2069.2710	303.5808	3723.3730	1763.4641
99.9100	2055.6443	303.8563	3721.5476	1768.6022
100.0624	2070.6162	304.1904	3719.7224	1784.6927
100.2148	2101.7798	303.9032	3717.9065	1791.7500
100.3672	2136.6289	303.5808	3716.0911	1780.7271
100.5196	2188.4373	303.5808	3714.2666	1814.5000
100.6720	2263.4932	303.4284	3712.4426	1917.2014
100.8244	2309.5095	303.2760	3710.6191	1974.4443
100.9768	2225.8845	303.1177	3708.8047	1881.7708
101.1292	2154.8755	303.2936	3706.9888	1801.6978
101.2816	2267.5908	301.2836	3705.1648	1909.2284
101.4340	2276.8013	300.3158	3703.3311	1931.5181
101.5864	2214.0188	300.8025	3701.4900	1881.1823
101.7388	2225.9419	300.8786	3699.6482	1888.2144
101.8912	2218.1536	302.0216	3697.8059	1876.5751
102.0436	2225.5981	302.4876	3695.9734	1872.9491
102.1960	2212.3621	301.9981	3694.1392	1877.3889
102.3484	2198.6340	302.1212	3692.3098	1883.0591
102.5008	2189.3081	302.5492	3690.4756	1879.2827
102.6532	2161.3755	302.6664	3688.6440	1866.2419
102.8056	2152.8076	302.6664	3686.8198	1869.8412
102.9580	2192.3679	303.2555	3684.9861	1889.5656
103.1104	2139.1060	305.1754	3683.1570	1835.1240
103.2628	2157.0508	305.0082	3681.3445	1844.4794
