HOLE:	U1351B
EXPEDITION:	317
TOP:	87.5656
BOTTOM:	1011.8716
DEPTH_WMSF	APLC	STOF	SIGF	AFEC	ANEC
m	%	in	cu	cps	cps
102.8056	51.4879	0.3489	31.2631	522.2222	2656.0000
102.9580	49.5551	0.5352	29.5843	537.0000	2641.5000
103.1104	49.0627	0.5048	28.6617	517.0000	2693.3333
103.2628	44.7664	0.4889	29.7306	524.0000	2650.0000
103.4152	45.5923	0.3519	30.9101	505.5000	2622.5000
103.5676	45.5922	0.1261	30.3018	509.5000	2659.5557
103.7200	46.5431	-0.0374	31.1620	508.4445	2627.5000
103.8724	46.6220	-0.1058	31.1360	521.0000	2665.5000
104.0248	46.7023	-0.0558	30.0127	512.5000	2683.1111
104.1772	49.5228	-0.1714	30.3000	518.2222	2635.0000
104.3296	48.7533	0.0235	30.4543	532.5000	2663.5000
104.4820	50.1567	0.0627	30.9449	495.1111	2689.7778
104.6344	50.9960	0.2056	30.5052	504.5000	2630.5000
104.7868	51.9534	0.1358	31.8335	500.0000	2698.5000
104.9392	52.6400	0.1683	31.1144	488.8889	2655.1111
105.0916	53.6445	0.1710	32.6085	501.5000	2664.5000
105.2440	53.2461	0.0198	33.4869	486.5000	2695.0000
105.3964	52.0683	0.0176	34.4701	494.6667	2692.8889
105.5488	50.1733	0.0173	35.0707	495.0000	2685.5000
105.7012	50.4795	0.0142	36.5607	524.5000	2656.0000
105.8536	50.5561	-0.1391	35.5520	485.3333	2624.5000
106.0060	50.0354	-0.0994	33.8941	520.0000	2696.0000
106.1584	50.2225	-0.1107	32.7883	523.5555	2691.1111
106.3108	51.1091	-0.1073	32.0884	497.5000	2632.0000
106.4632	52.1817	-0.1527	31.1313	514.2222	2623.1111
106.6156	52.0361	-0.0320	31.4360	485.5000	2583.0000
106.7680	50.2994	0.1593	32.7448	526.0000	2602.0000
106.9204	49.0957	0.2198	32.8579	504.0000	2640.8889
107.0728	49.2138	0.3893	32.2550	513.5000	2603.5000
107.2252	50.5007	0.4123	32.0678	510.5000	2624.8889
107.3776	49.0587	0.3712	30.9775	501.3333	2678.5000
107.5300	49.0141	0.4799	29.7047	534.5000	2629.5000
107.6824	48.3611	0.5255	29.4247	484.4445	2579.5557
107.8348	50.2170	0.2607	29.9875	505.0000	2629.5000
107.9872	50.0621	0.2735	29.1481	467.0000	2616.0000
108.1396	50.3997	0.2861	29.4450	500.0000	2600.4443
108.2920	49.0677	0.2237	30.1538	532.0000	2597.0000
108.4444	48.6554	0.2265	29.7243	508.5000	2628.8889
108.5968	47.8764	0.1615	28.9255	532.4445	2716.5000
108.7492	47.4318	0.2527	28.1460	546.5000	2629.5000
108.9016	47.4405	0.2586	27.2933	527.1111	2653.3333
109.0540	47.5730	0.2874	25.9361	522.5000	2654.5000
109.2064	52.4971	0.0814	26.2528	502.5000	2649.0000
109.3588	53.2505	0.2942	26.6127	521.7778	2650.6667
109.5112	53.9224	0.1232	28.3372	534.0000	2712.0000
109.6636	51.4212	0.2222	28.9509	515.5000	2684.3635
109.8160	52.9098	0.1591	31.0007	524.8889	2632.3157
109.9684	52.5236	0.1818	31.0546	502.2222	2562.0000
110.1208	52.1732	0.1910	31.0696	503.7579	2573.0000
110.2732	49.3946	0.2776	30.9607	496.5000	2642.2856
110.4256	50.2247	0.3803	30.8375	489.0000	2623.0000
110.5780	49.6176	0.7051	30.9956	515.0000	2604.5000
110.7304	51.7801	0.3676	30.7492	494.5000	2618.5000
110.8828	52.5000	0.2377	32.1679	515.4286	2665.5000
111.0352	53.1822	0.2064	32.4623	554.0000	2652.0000
111.1876	53.6914	0.1968	33.8729	484.5000	2686.5000
111.3400	53.9147	0.2343	32.3559	525.5000	2630.8572
111.4924	54.7491	0.3330	34.1098	489.0000	2680.5000
111.6448	56.0106	0.4266	33.2302	497.0000	2666.0000
111.7972	56.0768	0.4849	33.2653	505.1429	2606.0000
111.9496	54.7656	0.6254	31.2652	513.0000	2694.5000
112.1020	54.1457	0.3051	31.6697	502.0000	2624.5715
112.2544	54.2797	0.5204	29.7181	502.5000	2609.5000
