HOLE:	U1351B
EXPEDITION:	317
TOP:	0.0890
BOTTOM:	1028.9414
DEPTH_WMSF	FX	FY	FZ	FNOR	FINC	RB	P1AZ	HAZI	AX	AY	AZ
m	oer	oer	oer	oer	deg	deg	deg	deg	m/s2	m/s2	m/s2
7.5566	0.143156	0.012951	0.782489	0.882365	76.6570	242.6915	25.6409	142.9480	0.1371	-0.1031	9.7653
7.7090	0.222740	-0.104863	0.754900	0.849847	75.3038	237.5452	34.4399	156.8945	0.1402	0.0250	9.7797
7.8614	0.062797	-0.152943	0.717264	0.814319	74.4263	270.6922	68.5309	157.8393	0.1496	-0.0608	9.9168
8.0138	0.073164	-0.170093	0.808251	0.774635	74.2172	287.0246	90.0055	162.9830	0.1240	-0.2008	10.0461
8.1662	0.054410	-0.099889	0.657303	0.748190	74.5605	276.9129	94.8182	177.9068	0.1516	-0.0991	9.7870
8.3186	-0.043623	0.112428	0.531519	0.723976	74.5499	125.8511	307.4767	181.6268	0.0157	-0.0432	9.6924
8.4710	0.026472	0.224278	0.456154	0.698017	74.5843	112.5827	290.1850	177.6032	0.0094	-0.1366	9.9183
8.6234	0.131229	0.223412	0.271587	0.671312	73.8435	141.5836	315.6035	174.0206	0.1718	-0.0892	9.9644
8.7758	0.285322	-0.008504	0.458658	0.646565	73.1989	187.6204	359.7099	172.0895	0.1875	-0.1850	9.8837
8.9282	0.328885	-0.070011	0.568005	0.631527	71.8172	228.2243	36.2882	168.0623	0.0958	-0.1441	9.7941
9.0806	0.254032	-0.133171	0.514165	0.616708	71.1212	246.2159	47.5742	161.3567	-0.0618	-0.1542	9.9092
9.2330	0.194882	-0.021835	0.570662	0.622989	70.8469	244.0217	38.2817	154.2575	0.1050	0.0178	9.8157
9.3854	0.001219	-0.116037	0.821301	0.620411	69.1770	290.9314	73.9999	143.0687	0.1099	-0.0626	9.8131
9.5378	0.028929	0.005687	0.681314	0.610268	68.3044	329.8700	106.6023	136.7330	0.0319	-0.1820	10.0021
9.6902	0.099864	0.010982	0.706020	0.643215	67.9083	227.8262	10.6530	142.8260	0.0455	-0.0700	9.8887
9.8426	0.225154	0.048826	0.568616	0.643771	67.6259	225.8514	14.5269	148.6735	0.0308	-0.0670	9.8680
9.9950	0.181800	0.117826	0.473475	0.657136	68.1012	211.4466	3.0393	151.5927	0.1161	-0.0949	9.8362
10.1474	0.189809	0.306608	0.423669	0.679148	68.5273	180.2871	324.8162	144.5298	0.0672	-0.0885	9.8114
10.2998	0.053029	0.155142	0.638224	0.693927	68.5506	180.3342	312.3823	132.0484	-0.0925	-0.0018	9.9142
10.4522	0.202149	0.371269	0.721307	0.716206	68.6978	197.8195	322.9788	125.1598	-0.0243	-0.0391	9.8288
10.6046	0.185982	0.375309	0.547936	0.743728	69.6886	200.6343	321.2680	120.6332	0.0355	-0.1222	9.8914
10.7570	-0.027229	-0.108800	0.695156	0.760112	70.1364	207.8633	330.3151	122.4860	0.1461	-0.1291	9.9899
10.9094	0.400403	-0.161157	0.806915	0.772270	70.1150	326.6530	87.7841	121.1321	0.0865	-0.1232	9.8617
11.0618	0.146899	0.200183	0.475160	0.782012	69.0453	252.4592	1.4178	108.9594	0.0004	0.0239	9.7096
11.2142	0.025645	0.257131	0.759544	0.788001	68.7806	208.5665	305.6489	97.0826	-0.0425	-0.0626	9.8507
11.3666	0.067676	0.340273	0.733168	0.802390	67.6923	207.5094	301.5440	94.0325	0.1785	-0.1487	10.0456
11.5190	0.121930	0.431993	0.851398	0.814680	68.1994	217.8651	309.2103	91.3477	0.0573	-0.1339	9.8961
11.6714	-0.014949	0.350520	0.933470	0.822977	68.1479	217.6219	302.1253	84.5041	0.0911	0.0023	9.7621
11.8238	0.007510	0.044740	1.052678	0.824135	68.5910	210.6306	281.3284	70.6961	0.1519	-0.0225	9.8084
11.9762	0.034429	-0.131845	1.043282	0.832778	68.9957	359.7071	80.2217	80.5131	-0.0705	-0.1819	10.0027
12.1286	-0.184966	0.061881	0.789599	0.856573	68.4560	109.7844	177.4408	67.6589	0.1227	-0.1222	9.9461
12.2810	-0.287001	0.174743	0.796037	0.862016	66.8783	155.7718	233.3274	77.5538	0.2964	-0.0927	9.7284
12.4334	-0.295032	-0.238111	0.611887	0.901218	67.3990	100.1116	187.2765	87.1673	0.0393	-0.0558	9.8419
12.5858	-0.465167	-0.150859	0.676822	0.933847	68.0529	86.3508	180.3107	93.9619	-0.1405	-0.0540	9.9280
12.7382	-0.035975	-0.233179	0.682544	0.958405	68.5297	64.7595	163.9157	99.1542	0.0606	-0.0642	9.8538
12.8906	-0.337411	-0.050872	0.725064	0.978883	69.1507	69.4559	167.2880	97.8331	0.1598	-0.1615	9.9552
13.0430	0.107991	0.192490	0.921720	0.991455	69.9312	154.0795	262.4344	108.4243	0.1121	-0.1185	9.8420
13.1954	0.439124	-0.019201	0.688971	0.997951	70.5434	264.0540	9.2421	105.1208	-0.0053	-0.0572	9.8127
13.3478	0.670026	0.069289	0.987597	1.006291	70.3946	279.3179	16.3551	97.0398	-0.0626	-0.0362	9.8754
13.5002	0.700246	-0.129221	1.010922	1.021181	70.6335	288.6852	27.3141	98.6276	0.1261	-0.1566	9.8623
13.6526	0.234033	0.157597	1.182938	1.032114	71.5828	270.7628	23.5785	112.8178	0.1986	-0.0844	9.9233
13.8050	0.050568	0.312238	1.182634	0.970789	69.4998	184.4045	307.8304	123.4269	0.0639	-0.0716	9.8604
13.9574	0.125993	0.314571	1.182683	1.009716	68.8521	191.0548	309.7897	118.7370	0.0124	-0.0380	9.7274
14.1098	0.332517	0.173037	1.182972	1.056919	66.5338	229.1998	342.7726	113.5745	-0.0648	-0.1891	10.0622
14.2622	0.124713	-0.069299	1.183112	1.095570	66.3122	259.9913	14.0322	114.0426	0.1100	-0.1374	9.9252
14.4146	-0.033740	0.058819	1.182809	1.124711	65.3413	84.3691	223.0002	138.6318	0.1341	-0.0148	9.7717
14.5670	0.272189	0.198122	1.182935	1.141391	66.1946	191.0287	338.3218	147.2968	0.1310	-0.1147	9.8367
14.7194	0.051325	0.067066	1.182931	1.152693	67.3762	134.0161	304.1935	170.2113	0.0202	-0.0040	9.8937
14.8718	0.214195	-0.031324	0.565476	1.154655	68.7060	239.0869	71.5571	192.4690	0.0129	-0.1598	9.8840
15.0242	-0.904207	-0.591478	0.000940	1.153628	68.9757	277.2307	153.0307	235.8039	0.0408	-0.0447	9.8784
15.1766	-0.793110	-0.939970	1.183431	1.135291	68.4291	242.3580	157.1111	274.7479	0.1483	-0.1220	9.9156
15.3290	-0.487299	-0.969441	1.183664	1.116396	68.5300	216.2800	144.7709	288.4928	0.1410	-0.0276	9.8323
15.4814	-0.245755	-0.553172	1.183388	1.113930	68.8546	212.1152	138.5104	286.3952	0.0696	-0.1413	9.8196
15.6338	-0.071438	-0.599312	1.183499	1.103807	68.9381	188.3644	127.0336	298.6678	-0.0055	-0.0970	9.8849
15.7862	0.188465	-0.139641	1.183203	1.068715	67.8096	176.8714	85.4980	268.6274	0.1389	-0.0399	9.8612
15.9386	-0.155309	-0.205942	1.183089	1.008381	65.9715	169.4258	91.6098	282.1830	0.1244	-0.0669	9.8856
16.0910	-0.267386	-0.071596	1.182893	0.969152	63.9312	252.2159	181.6149	289.3985	0.0324	-0.1468	9.9439
16.2434	-0.275237	0.190625	1.166795	0.967954	63.7194	289.9962	221.0905	291.0945	0.0663	-0.1030	9.7442
16.3958	-0.325914	0.079630	0.739204	1.013471	66.0836	295.6353	231.0649	295.4300	0.1183	-0.0338	9.8667
16.5482	-0.164180	0.050787	1.119366	0.943961	67.6404	284.4258	221.4069	296.9831	0.0820	-0.1038	9.9603
16.7006	-0.008127	0.338909	1.180802	0.869177	69.6755	335.1841	276.8493	301.6685	0.1494	0.0055	9.8303
16.8530	0.101003	0.027411	0.937619	0.812270	69.0938	356.3305	304.3792	308.0486	0.0595	-0.1363	9.8633
17.0054	-0.088071	-0.222858	0.189567	0.755390	68.9976	116.5185	95.4557	338.9352	0.0628	-0.1073	9.8930
17.1578	-0.175675	-0.345977	0.034040	0.711497	67.4009	159.5766	145.6481	346.0709	0.1095	-0.0160	9.7552
17.3102	-0.135550	-0.360798	0.570291	0.673351	66.5404	145.5437	139.8767	354.3328	0.0824	-0.0113	9.8766
17.4626	-0.085571	0.132630	1.051852	0.637931	66.6205	147.6841	145.6572	357.9729	0.0347	-0.0767	9.9390
17.6150	0.029714	0.105248	0.251279	0.588293	65.4855	290.0061	288.0315	358.0254	0.1869	0.0289	9.8442
17.7674	-0.079950	0.021120	0.280090	0.557931	64.2462	295.5414	285.7572	350.2155	0.1716	-0.0585	9.9132
17.9198	-0.374995	-0.142879	0.152423	0.527751	62.6662	200.7613	188.2002	347.4393	0.0357	-0.1618	9.9179
18.0722	-0.401767	-0.143614	0.281404	0.475796	60.8651	207.5690	185.7504	338.1815	0.1082	0.0165	9.7277
18.2246	-0.295243	-0.185821	0.308674	0.433921	58.9315	210.4152	177.6907	327.2744	0.1740	0.0466	9.8379
18.3770	-0.169624	-0.186602	0.353688	0.423758	59.1320	193.6147	165.5222	331.9084	0.0681	-0.0589	9.9481
