HOLE:	U1351B
EXPEDITION:	317
TOP:	875.6260
BOTTOM:	1016.4436
DEPTH_WMSF	APLC	STOF	SIGF	AFEC	ANEC
m	%	in	cu	cps	cps
875.6260	33.1430	1.2266	25.8648	541.0000	2612.5715
875.7784	33.7103	1.0629	26.7940	570.0000	2587.5000
875.9308	30.0311	1.0745	25.6695	595.5000	2606.5000
876.0832	30.5566	0.9907	25.4483	560.5714	2619.0000
876.2356	30.3621	0.8705	25.9317	595.5000	2623.4285
876.3880	30.3824	0.7870	25.6077	600.0000	2651.0000
876.5404	33.3545	0.6449	24.8111	580.5000	2601.5000
876.6928	32.8264	0.7345	24.3683	613.7143	2586.0000
876.8452	29.8305	0.8158	23.8526	572.0000	2619.5000
876.9976	27.5903	0.8585	23.6480	596.5000	2649.7144
877.1500	25.1641	0.9513	22.9238	586.0000	2551.0000
877.3024	28.7420	0.8982	23.2608	559.5000	2596.0000
877.4548	28.5484	0.9877	23.6940	602.8571	2507.5000
877.6072	31.5328	0.9383	23.7338	538.0000	2566.0000
877.7596	30.0466	1.1782	23.5877	505.0000	2583.1111
877.9120	40.1485	1.2349	24.0470	523.1111	2504.8000
878.0644	50.1606	1.1118	25.6839	532.8889	2461.6001
878.2168	60.5151	0.9048	27.4590	409.2000	2464.6667
878.3692	64.8705	0.7220	28.6940	451.0323	2432.0000
878.5216	80.1459	-0.3675	30.3029	433.1429	2411.0000
878.6740	90.7853	-0.5462	30.1244	451.5000	2312.5715
878.8264	94.6874	0.0105	30.8704	420.5000	2294.5000
878.9788	95.6657	0.2395	32.6257	398.8571	2338.8572
879.1312	100.8948	2.0000	28.1062	368.6497	2320.0496
879.2836	103.7739	1.9885	27.1290	384.1376	2324.7930
879.4360	98.2011	1.1744	31.7823	393.3387	2302.5474
879.5884	91.2844	-0.4948	34.3096	386.0892	2381.3530
879.7408	86.4834	-0.6683	34.4332	425.7878	2389.8000
879.8932	81.8676	-0.4738	33.2101	453.2869	2382.6138
880.0456	79.1372	-0.2841	33.5870	472.5058	2372.4902
880.1980	82.8053	-0.5313	32.6107	433.2591	2400.9705
880.3504	89.0104	-0.6315	31.1216	405.3514	2429.0066
880.5028	93.0382	-0.2632	30.3721	411.3503	2327.0627
880.6552	89.8213	-0.6209	30.9722	444.5106	2378.0312
880.8076	88.9338	-0.6397	31.0244	431.6921	2298.0486
880.9600	84.6703	-0.6105	31.7269	399.4839	2336.1709
881.1124	76.0965	-0.0692	32.9118	440.5002	2315.3445
881.2648	59.0986	0.9060	30.9647	427.7800	2389.6008
881.4172	48.6497	0.7597	31.1528	473.2119	2489.3633
881.5696	43.3992	1.0594	29.5270	544.3955	2524.9434
881.7220	53.9592	0.4455	29.7480	542.5000	2494.9602
881.8744	51.9613	0.5059	28.3510	542.5875	2518.2874
882.0268	40.0734	0.9238	26.7937	545.8620	2467.4587
882.1792	37.7919	1.1094	25.1992	561.2987	2578.1560
882.3316	48.1684	0.9190	26.0861	502.8931	2458.8179
882.4840	58.4481	0.9757	26.3069	499.1866	2500.0061
882.6364	55.1792	1.0491	26.1732	504.2094	2525.5439
882.7888	52.6481	1.0858	26.5627	502.4350	2477.4629
882.9412	47.7490	1.1463	27.2273	509.1883	2461.8794
883.0936	40.5822	1.2338	27.0810	506.7293	2554.9395
883.2460	41.3135	1.2180	26.6178	493.5767	2550.5178
883.3984	45.8354	1.1649	26.6983	524.4128	2480.3684
883.5508	45.5173	1.1610	25.8784	520.5155	2534.9741
883.7032	44.8043	1.1210	24.9362	538.7539	2535.5383
883.8556	42.5651	1.2062	23.5584	511.0623	2516.2664
884.0080	42.0254	1.1944	24.2264	519.1777	2517.1194
884.1604	39.0787	1.1637	25.0928	509.0456	2509.2505
884.3128	35.2397	1.2755	26.4831	517.9973	2483.0808
884.4652	35.6860	1.1773	28.0708	511.6096	2472.8259
884.6176	37.4591	1.2066	27.8587	514.7680	2482.4141
884.7700	40.8250	1.2231	26.7044	515.8165	2530.1414
884.9224	42.2964	1.2046	25.9149	517.6625	2520.5579
885.0748	41.8597	1.2126	24.8345	525.0674	2478.2000
885.2272	42.0173	1.2158	24.0766	509.2843	2470.1326
885.3796	40.8601	1.2310	24.8514	512.0720	2502.4048
885.5320	39.2022	1.2487	25.7925	502.9285	2500.4541
885.6844	36.8184	1.2849	25.7520	522.6541	2483.6064
885.8368	36.0062	1.2473	25.1848	591.8361	2475.4961
885.9892	38.1082	0.9781	26.5310	591.5065	2498.0195
886.1416	33.6515	0.9113	26.7305	565.9863	2552.2959
886.2940	28.9612	1.0137	25.3788	568.1860	2654.4075
886.4464	30.3588	0.8264	25.6068	577.0900	2676.4666
886.5988	36.3398	0.6048	26.5197	542.4677	2599.3657
886.7512	38.1918	0.5998	26.3227	525.0727	2582.2720
886.9036	40.1583	0.5904	25.9893	553.0502	2615.9216
887.0560	41.3633	0.6435	25.8504	583.9764	2617.0894
887.2084	35.4901	0.9262	24.8610	581.1073	2612.2939
887.3608	30.7950	1.2040	24.0466	583.6841	2631.4468
887.5132	30.9045	1.4760	23.2363	567.0117	2589.4795
887.6656	35.4357	1.3117	24.4237	526.9091	2529.4221
887.8180	37.4469	1.2762	25.2456	510.3823	2554.5454
887.9704	42.1321	1.2210	26.1401	527.4011	2548.4099
888.1228	47.6724	1.1517	26.7708	509.2532	2516.9966
888.2752	56.8137	1.0268	27.4432	515.1807	2503.2354
888.4276	58.0000	0.9987	27.7903	496.6933	2450.7007
888.5800	55.6098	1.0365	28.2939	529.7585	2467.0442
888.7324	49.4715	1.1196	27.9660	537.2636	2483.0295
888.8848	42.7529	1.1133	26.9025	532.1743	2530.2683
889.0372	37.6407	1.0052	26.2495	530.1835	2526.3030
889.1896	31.9236	1.0854	24.4422	565.6126	2526.6394
889.3420	30.3296	1.1459	22.5279	582.7570	2548.5325
889.4944	29.8006	1.2276	22.1198	584.1990	2556.4844
889.6468	29.7840	1.2404	22.2829	558.9391	2574.3723
889.7992	30.9922	1.3102	21.7798	534.7923	2539.2297
889.9516	32.7353	1.3930	22.2024	552.7852	2498.4309
890.1040	33.8636	1.3595	23.4316	548.4495	2490.4058
890.2564	34.6023	1.3390	24.6337	540.8489	2538.8057
890.4088	37.2962	1.2954	25.9718	536.7432	2567.5308
890.5612	41.6060	1.2337	27.3273	518.0015	2554.0835
890.7136	42.4433	1.2166	28.0896	532.6615	2544.9297
890.8660	42.0810	1.2134	28.0356	549.9995	2549.1423
891.0184	40.5696	1.2369	26.6300	538.0068	2519.9395
891.1708	39.1138	1.2621	25.4255	544.4683	2548.2354
891.3232	37.7186	1.2712	24.3299	523.9834	2538.9121
891.4756	36.3403	1.2865	23.3605	502.8469	2557.7170
891.6280	36.4335	1.1902	24.3404	522.7684	2576.1157
891.7804	38.6111	1.0123	25.9601	521.8892	2558.8582
891.9328	41.5007	1.0564	26.8066	532.0222	2518.1641
892.0852	42.8170	1.1813	27.6676	545.9222	2485.8711
892.2376	42.3639	1.2058	28.6526	541.3634	2547.9839
892.3900	42.4535	1.2087	28.5246	510.8574	2563.6033
892.5424	44.8074	1.1820	28.0217	510.8674	2525.3118
892.6948	46.0405	1.1629	26.7245	527.4692	2516.1243
892.8472	42.9746	1.0857	25.3991	574.2408	2507.5513
892.9996	36.3700	0.9676	24.3623	620.3034	2472.1357
893.1520	27.4006	1.0802	22.7342	625.2582	2507.9705
893.3044	22.9335	1.1438	21.9434	577.6119	2574.8586
893.4568	25.2861	0.8462	23.2532	536.9733	2579.8132
893.6092	29.5943	0.5466	24.6048	546.4491	2580.7229
893.7616	28.4829	0.4948	24.8272	554.8134	2640.9062
893.9140	26.0167	0.4818	24.6964	577.3107	2697.0896
894.0664	25.2060	0.4578	24.4016	561.5226	2654.3027
894.2188	26.8595	0.4817	24.3349	528.2211	2646.9172
894.3712	30.3326	0.5064	24.0646	525.1429	2706.0720
894.5236	35.9327	0.5091	23.6885	539.5219	2705.8777
894.6760	38.6027	0.6898	22.5116	561.2778	2605.0276
894.8284	33.9280	0.9824	21.1295	581.8141	2554.5764
894.9808	29.9783	1.1278	20.0478	572.0966	2569.7395
895.1332	29.2306	1.2451	19.2700	578.1569	2559.4075
895.2856	29.3157	1.3859	19.0463	583.3889	2571.6667
895.4380	30.1333	1.1988	20.8599	574.6852	2553.1428
895.5904	29.4447	1.0301	22.2716	559.0153	2517.5833
895.7428	27.4832	1.0925	22.4971	548.6570	2560.1389
895.8952	26.9732	1.1627	22.9726	569.2894	2623.9888
896.0476	32.0343	1.0033	24.1225	563.1302	2604.9734
896.2000	35.7470	1.0753	24.5012	537.4521	2585.3823
896.3524	35.7502	1.2820	24.4998	522.6641	2640.9033
896.5048	37.6599	1.2549	24.6067	553.8405	2657.4431
896.6572	39.2016	1.1579	24.6894	589.4234	2631.3411
896.8096	40.2329	1.0979	24.6182	575.1599	2624.0623
896.9620	45.3560	1.1171	24.7328	579.0266	2578.4033
