HOLE:	U1351B
EXPEDITION:	317
TOP:	82.0792
BOTTOM:	966.9136
DEPTH_WMSF	IDPH	IMPH	SFLU
m	ohm.m	ohm.m	ohm.m
105.7012	1.2730	1.1133	0.6726
105.8536	1.2701	1.1104	0.6826
106.0060	1.2662	1.1063	0.6716
106.1584	1.2631	1.1014	0.6602
106.3108	1.2574	1.0963	0.6660
106.4632	1.2501	1.0913	0.6758
106.6156	1.2408	1.0858	0.6706
106.7680	1.2341	1.0795	0.6584
106.9204	1.2334	1.0730	0.6649
107.0728	1.2366	1.0682	0.6537
107.2252	1.2432	1.0665	0.6505
107.3776	1.2643	1.0693	0.6465
107.5300	1.2756	1.0824	0.6518
107.6824	1.3163	1.1148	0.7531
107.8348	1.3902	1.1713	0.6663
107.9872	1.4143	1.2449	0.7374
108.1396	1.4319	1.3170	0.8026
108.2920	1.4832	1.3691	0.8108
108.4444	1.5053	1.3938	0.8510
108.5968	1.4954	1.3889	0.8253
108.7492	1.4892	1.3495	0.8044
108.9016	1.4719	1.2802	0.7917
109.0540	1.4321	1.2024	0.7751
109.2064	1.3872	1.1412	0.7123
109.3588	1.3336	1.1011	0.6420
109.5112	1.2836	1.0789	0.6341
109.6636	1.2520	1.0679	0.6319
109.8160	1.2351	1.0637	0.6582
109.9684	1.2321	1.0646	0.6680
110.1208	1.2324	1.0686	0.6544
110.2732	1.2323	1.0729	0.6610
110.4256	1.2317	1.0754	0.6843
110.5780	1.2309	1.0745	0.6682
110.7304	1.2300	1.0695	0.6896
110.8828	1.2279	1.0609	0.6551
111.0352	1.2248	1.0506	0.6542
111.1876	1.2205	1.0415	0.6471
111.3400	1.2173	1.0361	0.6680
111.4924	1.2230	1.0364	0.6545
111.6448	1.2401	1.0422	0.6361
111.7972	1.2638	1.0526	0.6146
111.9496	1.2848	1.0673	0.6276
112.1020	1.3008	1.0876	0.6448
112.2544	1.3186	1.1138	0.6663
112.4068	1.3398	1.1433	0.7235
112.5592	1.3609	1.1714	0.7327
