HOLE:	U1351B
EXPEDITION:	317
TOP:	106.6156
BOTTOM:	1009.4332
DEPTH_WMSF	LCAL
m	in
106.6156	18.8103
106.7680	18.8131
106.9204	18.8020
107.0728	18.8131
107.2252	18.8075
107.3776	18.8158
107.5300	18.8075
107.6824	18.8020
107.8348	18.8052
107.9872	18.8131
108.1396	18.7992
108.2920	18.8186
108.4444	18.8048
108.5968	18.8158
108.7492	18.8052
108.9016	18.8048
109.0540	18.8075
109.2064	18.7937
109.3588	18.7549
109.5112	18.7659
109.6636	18.7956
109.8160	18.7826
109.9684	18.7632
110.1208	18.7964
110.2732	18.8103
110.4256	18.8051
110.5780	18.7937
110.7304	18.7798
110.8828	18.7826
111.0352	18.7659
111.1876	18.7299
111.3400	18.7228
111.4924	18.7077
111.6448	18.7050
111.7972	18.7022
111.9496	18.7382
112.1020	18.7271
112.2544	18.7703
112.4068	18.8075
112.5592	18.7549
112.7116	18.7881
112.8640	18.8020
113.0164	18.8075
113.1688	18.8103
113.3212	18.8052
113.4736	18.8048
113.6260	18.7909
113.7784	18.8103
113.9308	18.8048
114.0832	18.8020
114.2356	18.8048
114.3880	18.7909
114.5404	18.7964
114.6928	18.7826
114.8452	18.7853
114.9976	18.7715
115.1500	18.7386
115.3024	18.7521
115.4548	18.7549
115.6072	18.7382
115.7596	18.7271
115.9120	18.7216
116.0644	18.7164
116.2168	18.7050
116.3692	18.7188
116.5216	18.6911
116.6740	18.6883
116.8264	18.6911
116.9788	18.6879
117.1312	18.6994
117.2836	18.7077
117.4360	18.7327
117.5884	18.7327
117.7408	18.7549
117.8932	18.7386
118.0456	18.7354
118.1980	18.7160
118.3504	18.6966
118.5028	18.6966
118.6552	18.6966
118.8076	18.6800
118.9600	18.6848
119.1124	18.6717
119.2648	18.6689
119.4172	18.6772
119.5696	18.6800
119.7220	18.6523
119.8744	18.6277
120.0268	18.6190
120.1792	18.6495
120.3316	18.8463
120.4840	18.6661
120.6364	18.5073
120.7888	18.1173
120.9412	17.5850
121.0936	17.5600
121.2460	17.4880
121.3984	17.1941
121.5508	16.8187
121.7032	17.3660
121.8556	17.2385
122.0080	16.8254
122.1604	17.1553
122.3128	18.2507
122.4652	18.5164
122.6176	18.5026
122.7700	18.4471
122.9224	18.3917
123.0748	18.2891
123.2272	18.1505
123.3796	18.1561
123.5320	18.1683
123.6844	18.1505
123.8368	18.1672
123.9892	18.1616
124.1416	18.1976
124.2940	18.2614
124.4464	18.3172
124.5988	18.3751
124.7512	18.3668
124.9036	18.3945
125.0560	18.4776
125.2084	18.4804
125.3608	18.5054
125.5132	18.5802
125.6656	18.5026
125.8180	18.2586
125.9704	18.1755
126.1228	17.9980
126.2752	17.8103
126.4276	17.8068
126.5800	17.8179
126.7324	17.8095
126.8848	17.8123
127.0372	17.8206
127.1896	18.0895
127.3420	18.5996
127.4944	18.6056
127.6468	18.4471
127.7992	18.4416
127.9516	18.5913
128.1040	18.6079
128.2564	18.6246
128.4088	18.6911
128.5612	18.7022
128.7136	18.6135
128.8660	18.5719
129.0184	18.4638
129.1708	18.3489
129.3232	18.3529
129.4756	18.2974
129.6280	18.2226
129.7804	18.1145
129.9328	18.8075
130.0852	18.7798
130.2376	18.3169
130.3900	18.3917
130.5424	18.6357
130.6948	18.7354
130.8472	18.7382
130.9996	18.7354
131.1520	18.6721
131.3044	18.6994
131.4568	18.7493
131.6092	18.7798
131.7616	18.8103
131.9140	18.8075
132.0664	18.8158
132.2188	18.8115
132.3712	18.7659
132.5236	18.7465
132.6760	18.7382
132.8284	18.5996
132.9808	18.6135
133.1332	18.6162
133.2856	18.6119
133.4380	18.6523
133.5904	18.6162
133.7428	18.5885
133.8952	18.6107
134.0476	18.6341
134.2000	18.6273
134.3524	18.6467
134.5048	18.6994
134.6572	18.7576
134.8096	18.7465
134.9620	18.7244
135.1144	18.7160
135.2668	18.7291
135.4192	18.7992
135.5716	18.8214
135.7240	18.8158
135.8764	18.8158
136.0288	18.8214
136.1812	18.8210
136.3336	18.8269
136.4860	18.8242
136.6384	18.8242
136.7908	18.8158
136.9432	18.8242
137.0956	18.8103
137.2480	18.8305
137.4004	18.8214
137.5528	18.8186
137.7052	18.8242
137.8576	18.8186
138.0100	18.8178
138.1624	18.7853
138.3148	18.7632
138.4672	18.7410
138.6196	18.7160
138.7720	18.7743
138.9244	18.7715
139.0768	18.7481
139.2292	18.7271
139.3816	18.6939
139.5340	18.6800
139.6864	18.7549
139.8388	18.8574
139.9912	18.6384
140.1436	17.8864
140.2960	18.8242
140.4484	18.8242
140.6008	18.8242
140.7532	18.8242
140.9056	18.8214
141.0580	18.8297
141.2104	18.8242
141.3628	18.8214
141.5152	18.8297
141.6676	18.8214
141.8200	18.8269
141.9724	18.8131
142.1248	18.8305
142.2772	18.8242
142.4296	18.8325
142.5820	18.8242
142.7344	18.8242
142.8868	18.8242
143.0392	18.8214
143.1916	17.8179
143.3440	17.5379
143.4964	17.6016
143.6488	17.6682
143.8012	17.6626
143.9536	17.6432
144.1060	17.9565
144.2584	18.7830
144.4108	18.7826
144.5632	18.1450
144.7156	18.4638
144.8680	18.7798
145.0204	18.7438
145.1728	18.7228
145.3252	18.7244
145.4776	18.6634
145.6300	18.6523
145.7824	18.7493
145.9348	18.8131
146.0872	18.8178
146.2396	18.8103
146.3920	18.7909
146.5444	18.7549
146.6968	18.7521
146.8492	18.7576
147.0016	18.8048
147.1540	18.8214
147.3064	18.8147
147.4588	18.8214
147.6112	18.8186
147.7636	18.8075
147.9160	18.8186
148.0684	18.8131
148.2208	18.6467
148.3732	17.7291
148.5256	17.1609
148.6780	17.0361
148.8304	17.0361
148.9828	17.0306
149.1352	17.0306
149.2876	17.0416
149.4400	16.7997
149.5924	16.8171
149.7448	16.8282
149.8972	16.8116
150.0496	16.8171
150.2020	16.8088
150.3544	16.8187
150.5068	17.2080
150.6592	18.3307
150.8116	18.1616
150.9640	18.1477
151.1164	18.4804
151.2688	18.6689
151.4212	18.7438
151.5736	18.7101
151.7260	18.6800
151.8784	18.7133
152.0308	18.5331
152.1832	17.7125
152.3356	17.8262
152.4880	17.7470
152.6404	17.6654
152.7928	17.7402
152.9452	18.5525
153.0976	18.4860
153.2500	18.5497
153.4024	18.4503
153.5548	18.3446
153.7072	18.2947
153.8596	17.9981
154.0120	18.1283
154.1644	17.9561
154.3168	17.9177
154.4692	18.4582
154.6216	18.7715
154.7740	18.7881
154.9264	18.5263
155.0788	18.4361
155.2312	18.5331
155.3836	18.6079
155.5360	18.5636
155.6884	18.5774
155.8408	18.5802
155.9932	18.5802
156.1456	18.5996
156.2980	18.8131
156.4504	18.9323
156.6028	18.7604
156.7552	18.5414
156.9076	18.0923
157.0600	18.7576
157.2124	18.5608
157.3648	18.2475
157.5172	18.1089
157.6696	17.9181
157.8220	17.8095
157.9744	17.8456
158.1268	17.8456
158.2792	18.4832
158.4316	19.1441
158.5840	18.8408
158.7364	17.5351
158.8888	17.1110
159.0412	17.5296
159.1936	18.2000
159.3460	17.7790
159.4984	17.3216
159.6508	17.6654
159.8032	18.4665
159.9556	18.6273
160.1080	18.6309
160.2604	18.6246
160.4128	18.6218
160.5652	18.7050
160.7176	18.7715
160.8700	18.7493
161.0224	18.7354
161.1748	18.7271
161.3272	18.3667
161.4796	17.7985
161.6320	18.7438
161.7844	18.7735
161.9368	17.9897
162.0892	17.9398
162.2416	18.0091
162.3940	18.0175
162.5464	18.2281
162.6988	18.5517
162.8512	18.5608
163.0036	18.4943
163.1560	18.5164
163.3084	18.6301
163.4608	18.7355
163.6132	18.5275
163.7656	18.5263
163.9180	18.4693
164.0704	18.6384
164.2228	18.3640
164.3752	18.3640
164.5276	17.8325
164.6800	17.7929
164.8324	17.7181
164.9848	17.6931
165.1372	18.4388
165.2896	18.9794
165.4420	18.1462
165.5944	17.5545
165.7468	17.6266
165.8992	17.4741
166.0516	17.3636
166.2040	17.4630
166.3564	17.5240
166.5088	17.3327
166.6612	17.9648
166.8136	18.8602
166.9660	18.6689
167.1184	17.7042
167.2708	17.5074
167.4232	19.2733
167.5756	19.3057
167.7280	17.9731
167.8804	16.7755
168.0328	16.9502
168.1852	17.1830
168.3376	17.1941
168.4900	17.4797
168.6424	17.5323
168.7948	18.0646
168.9472	18.3723
169.0996	18.7069
169.2520	18.3030
169.4044	18.2753
169.5568	18.3584
169.7092	18.5192
169.8616	18.5612
170.0140	18.6162
170.1664	18.6606
170.3188	18.6661
170.4712	18.5802
170.6236	18.1755
170.7760	16.3569
170.9284	16.0013
171.0808	15.6861
171.2332	15.4338
171.3856	15.5613
171.5380	15.9300
171.6904	16.0326
171.8428	16.3514
171.9952	16.7870
172.1476	16.3736
172.3000	16.4595
172.4524	16.5038
172.6048	16.4983
172.7572	16.4290
172.9096	16.3846
173.0620	16.2710
173.2144	15.7387
173.3668	15.5169
173.5192	15.4615
173.6716	15.1732
173.8240	15.0817
173.9764	14.9403
174.1288	13.6220
174.2812	13.4378
174.4336	13.4295
174.5860	13.8231
174.7384	13.8564
174.8908	13.6097
175.0432	13.3269
175.1956	13.4988
175.3480	13.7550
175.5004	13.6845
175.6528	13.6790
175.8052	13.6790
175.9576	13.6956
176.1100	14.0616
176.2624	14.0422
176.4148	14.0433
176.5672	13.9562
176.7196	13.9119
176.8720	14.0616
177.0244	13.5154
177.1768	13.8247
177.3292	14.4885
177.4816	14.5522
177.6340	14.9182
177.7864	15.8801
177.9388	15.9272
178.0912	16.0045
178.2436	16.1823
178.3960	16.2488
178.5484	16.3237
178.7008	16.2155
178.8532	16.1906
179.0056	16.2100
179.1580	16.1692
179.3104	16.1629
179.4628	16.1490
179.6152	16.1213
179.7676	16.0049
179.9200	15.9221
180.0724	15.8856
180.2248	15.7775
180.3772	15.6777
180.5296	15.6750
180.6820	15.6833
180.8344	15.6833
180.9868	15.6944
181.1392	15.7859
181.2916	15.9910
181.4440	16.0520
181.5964	16.0548
181.7488	16.0409
181.9012	16.0049
182.0536	16.0021
182.2060	15.9981
182.3584	16.0021
182.5108	16.0021
182.6632	16.1130
182.8156	16.1767
182.9680	16.1712
183.1204	16.2765
183.2728	16.5454
183.4252	16.5019
183.5776	16.3625
183.7300	16.3846
183.8824	16.5427
184.0348	16.5759
184.1872	16.4860
184.3396	16.4373
184.4920	16.4040
184.6444	16.3819
184.7968	16.3791
184.9492	16.3292
185.1016	16.3763
185.2540	16.4290
185.4064	16.5079
185.5588	16.4900
185.7112	10.6679
185.8636	16.3458
186.0160	16.3435
186.1684	16.3561
186.3208	16.3435
186.4732	16.4013
186.6256	16.5114
186.7780	16.4448
186.9304	16.4005
187.0828	16.3688
187.2352	16.2543
187.3876	16.8599
187.5400	16.9518
187.6924	16.6286
187.8448	16.5431
187.9972	16.5589
188.1496	16.6757
188.3020	16.6349
188.4544	16.4702
188.6068	16.3878
188.7592	16.1351
188.9116	16.0298
189.0640	15.9506
189.2164	15.6686
189.3688	15.0512
189.5212	14.8639
189.6736	14.8132
189.8260	14.7403
189.9784	14.7435
190.1308	15.0069
190.2832	15.0350
190.4356	15.0857
190.5880	15.1094
190.7404	15.1871
190.8928	15.5070
191.0452	15.5831
191.1976	15.5696
191.3500	15.5229
191.5024	15.5324
191.6548	15.5261
191.8072	15.6389
191.9596	15.7162
192.1120	15.9094
192.2644	15.9284
192.4168	15.9823
192.5692	16.1462
192.7216	16.5367
192.8740	16.6793
193.0264	16.6888
193.1788	16.8226
193.3312	16.9169
193.4836	16.8250
193.6360	16.8155
193.7884	16.8199
193.9408	16.8219
194.0932	16.8123
194.2456	16.8219
194.3980	17.0278
194.5504	17.3133
194.7028	17.3636
194.8552	17.4080
195.0076	17.4381
195.1600	17.4111
195.3124	17.3921
195.4648	17.3826
195.6172	17.4020
195.7696	17.4270
195.9220	17.4143
196.0744	17.4238
196.2268	17.3993
196.3792	17.3795
196.5316	17.3541
196.6840	17.3327
196.8364	17.2496
196.9888	17.2591
197.1412	16.8567
197.2936	18.9711
197.4460	18.7170
197.5984	17.1830
197.7508	16.7755
197.9032	16.9201
198.0556	17.0341
198.2080	16.9807
198.3604	16.9422
198.5128	16.9454
198.6652	16.9474
198.8176	16.9454
198.9700	16.9391
199.1224	16.8852
199.2748	16.8472
199.4272	16.7894
199.5796	16.5937
199.7320	16.3846
199.8844	16.2674
200.0368	16.2357
200.1892	16.2072
200.3416	16.2136
200.4940	16.1850
200.6464	16.0104
200.7988	16.1534
200.9512	16.1490
201.1036	16.1534
201.2560	16.2199
201.4084	16.1961
201.5608	16.0140
201.7132	16.2801
201.8656	17.5711
202.0180	18.3806
202.1704	18.3030
202.3228	18.1905
202.4752	18.3196
202.6276	18.1081
202.7800	17.7882
202.9324	17.4353
203.0848	17.7850
203.2372	18.3501
203.3896	17.9656
203.5420	17.8262
203.6944	17.9287
203.8468	18.3014
203.9992	18.6119
204.1516	18.7632
204.3040	18.6436
204.4564	18.5454
204.6088	18.5913
204.7612	18.6974
204.9136	18.8495
205.0660	18.6218
205.2184	18.5802
205.3708	18.5739
205.5232	18.5608
205.6756	18.5517
205.8280	18.5390
205.9804	18.0812
206.1328	18.0091
206.2852	18.0004
206.4376	17.8832
206.5900	17.6987
206.7424	16.5399
206.8948	16.5589
207.0472	16.4512
207.1996	16.5462
207.3520	16.6508
207.5044	16.6539
207.6568	16.7755
207.8092	16.8979
207.9616	16.9169
208.1140	16.8892
208.2664	16.7648
208.4188	16.7712
208.5712	16.7838
208.7236	16.8219
208.8760	16.8698
209.0284	16.9011
209.1808	16.9114
209.3332	16.6698
209.4856	16.5684
209.6380	16.4539
209.7904	16.1470
209.9428	16.0171
210.0952	15.9633
210.2476	16.0393
210.4000	15.9918
210.5524	16.3597
210.7048	16.3878
210.8572	16.4829
211.0096	16.4872
211.1620	16.4860
211.3144	16.5343
211.4668	16.7110
211.6192	16.9327
211.7716	16.9363
211.9240	16.9011
212.0764	16.9169
212.2288	16.9696
212.3812	17.4492
212.5336	17.4519
212.6860	17.2971
212.8384	17.3858
212.9908	17.8622
213.1432	18.1778
213.2956	18.2115
213.4480	18.2222
213.6004	18.2064
213.7528	18.2115
213.9052	18.2444
214.0576	18.2412
214.2100	18.1838
214.3624	18.1937
214.5148	18.0955
214.6672	17.9842
214.8196	17.8515
214.9720	17.9648
215.1244	17.9909
215.2768	17.9814
215.4292	18.0424
215.5816	18.0701
215.7340	18.0543
215.8864	18.0646
216.0388	18.0511
