Exp,Site,Hole,Core,Type,Sect,Top(cm),Depth CSF-A (m),Porosity (vol%)
342,U1402,B,1,H,1,38,0.38,60.8
342,U1402,B,1,H,1,38,0.38,
342,U1402,B,1,H,1,113,1.13,64.2
342,U1402,B,1,H,1,113,1.13,
342,U1402,B,1,H,2,38,1.88,64.3
342,U1402,B,1,H,2,38,1.88,
342,U1402,B,1,H,2,112,2.62,
342,U1402,B,1,H,2,112,2.62,65.8
342,U1402,B,1,H,5,23,6.23,
342,U1402,B,1,H,5,23,6.23,61.7
342,U1402,B,1,H,5,63,6.63,
342,U1402,B,1,H,5,63,6.63,62
342,U1402,B,2,H,1,8,7.08,
342,U1402,B,2,H,1,8,7.08,59.6
342,U1402,B,2,H,2,38,7.75,65
342,U1402,B,2,H,2,38,7.75,
342,U1402,B,2,H,2,113,8.5,
342,U1402,B,2,H,2,113,8.5,59.5
342,U1402,B,2,H,3,38,9.12,
342,U1402,B,2,H,3,38,9.12,60.6
342,U1402,B,2,H,3,90,9.64,62.7
342,U1402,B,2,H,3,90,9.64,
342,U1402,B,2,H,4,38,10.56,
342,U1402,B,2,H,4,38,10.56,60.5
342,U1402,B,2,H,4,113,11.31,61.8
342,U1402,B,2,H,4,113,11.31,
342,U1402,B,2,H,5,38,11.95,
342,U1402,B,2,H,5,38,11.95,58.2
342,U1402,B,2,H,5,113,12.7,57.3
342,U1402,B,2,H,5,113,12.7,
342,U1402,B,2,H,6,28,13.34,
342,U1402,B,2,H,6,28,13.34,59.1
342,U1402,B,2,H,6,75,13.81,
342,U1402,B,2,H,6,75,13.81,58.3
342,U1403,A,1,H,1,38,0.38,72.5
342,U1403,A,1,H,1,38,0.38,
342,U1403,A,1,H,2,38,1.88,69.5
342,U1403,A,1,H,2,38,1.88,
342,U1403,A,1,H,3,43,3.43,72
342,U1403,A,1,H,3,43,3.43,
342,U1403,A,2,H,1,38,6.18,69
342,U1403,A,2,H,1,38,6.18,
342,U1403,A,2,H,2,26,7.56,
342,U1403,A,2,H,2,26,7.56,68.4
342,U1403,A,2,H,3,38,9.18,71.6
342,U1403,A,2,H,3,38,9.18,
342,U1403,A,2,H,4,38,10.68,
342,U1403,A,2,H,4,38,10.68,69.8
342,U1403,A,2,H,5,38,12.18,69.1
342,U1403,A,2,H,5,38,12.18,
342,U1403,A,2,H,6,38,13.68,
342,U1403,A,2,H,6,38,13.68,71.6
342,U1403,A,2,H,7,15,14.95,71.1
342,U1403,A,2,H,7,15,14.95,
342,U1403,A,3,H,1,38,15.68,
342,U1403,A,3,H,1,38,15.68,77.6
342,U1403,A,3,H,2,38,17.18,
342,U1403,A,3,H,2,38,17.18,73.9
342,U1403,A,3,H,3,38,18.68,
342,U1403,A,3,H,3,38,18.68,72.4
342,U1403,A,3,H,4,38,20.18,
342,U1403,A,3,H,4,38,20.18,80.9
342,U1403,A,3,H,5,38,21.68,
342,U1403,A,3,H,5,38,21.68,79.5
342,U1403,A,3,H,6,35,23.15,
342,U1403,A,3,H,6,35,23.15,79.6
342,U1403,A,3,H,7,15,24.45,80.2
342,U1403,A,3,H,7,15,24.45,
342,U1403,A,4,H,1,38,25.18,
342,U1403,A,4,H,1,38,25.18,80.2
342,U1403,A,4,H,2,38,26.68,
342,U1403,A,4,H,2,38,26.68,77.9
342,U1403,A,4,H,3,38,28.18,
342,U1403,A,4,H,3,38,28.18,75.1
342,U1403,A,4,H,4,38,29.68,
342,U1403,A,4,H,4,38,29.68,77.9
342,U1403,A,4,H,5,38,31.18,73.7
342,U1403,A,4,H,5,38,31.18,
342,U1403,A,4,H,6,24,32.54,
342,U1403,A,4,H,6,24,32.54,73.9
342,U1403,A,4,H,7,15,33.65,75
342,U1403,A,4,H,7,15,33.65,
342,U1403,A,5,H,1,45,34.75,
342,U1403,A,5,H,1,45,34.75,78
342,U1403,A,5,H,2,38,36.18,75.6
342,U1403,A,5,H,2,38,36.18,
342,U1403,A,5,H,3,38,37.68,74.3
342,U1403,A,5,H,3,38,37.68,
342,U1403,A,5,H,4,38,39.18,70.8
342,U1403,A,5,H,4,38,39.18,
342,U1403,A,5,H,5,38,40.68,71.3
342,U1403,A,5,H,5,38,40.68,
342,U1403,A,5,H,6,8,41.88,
342,U1403,A,5,H,6,8,41.88,69.4
342,U1403,A,5,H,6,38,42.18,
342,U1403,A,5,H,6,38,42.18,69.6
342,U1403,A,6,H,1,38,44.18,67.7
342,U1403,A,6,H,1,38,44.18,
342,U1403,A,6,H,2,38,45.68,
342,U1403,A,6,H,2,38,45.68,68
342,U1403,A,6,H,3,38,47.2,
342,U1403,A,6,H,3,38,47.2,69
342,U1403,A,6,H,4,38,48.72,67.6
342,U1403,A,6,H,4,38,48.72,
342,U1403,A,6,H,5,38,50.24,
342,U1403,A,6,H,5,38,50.24,67.9
342,U1403,A,6,H,6,38,51.76,70.4
342,U1403,A,6,H,6,38,51.76,
342,U1403,A,6,H,7,13,53.01,
342,U1403,A,6,H,7,13,53.01,71.2
342,U1403,A,7,H,1,38,53.68,70.7
342,U1403,A,7,H,1,38,53.68,
342,U1403,A,7,H,2,38,55.18,
342,U1403,A,7,H,2,38,55.18,72.7
342,U1403,A,7,H,3,38,56.68,70.2
342,U1403,A,7,H,3,38,56.68,
342,U1403,A,7,H,4,38,58.18,71.8
342,U1403,A,7,H,4,38,58.18,
342,U1403,A,7,H,5,38,59.68,
342,U1403,A,7,H,5,38,59.68,70.8
342,U1403,A,7,H,6,38,61.18,72.2
342,U1403,A,7,H,6,38,61.18,
342,U1403,A,7,H,7,12,62.42,
342,U1403,A,7,H,7,12,62.42,72.9
342,U1403,A,8,H,1,27,63.07,65.1
342,U1403,A,8,H,1,27,63.07,
342,U1403,A,8,H,2,38,64.68,
342,U1403,A,8,H,2,38,64.68,67.8
342,U1403,A,8,H,3,38,66.18,69.8
342,U1403,A,8,H,3,38,66.18,
342,U1403,A,8,H,4,38,67.68,
342,U1403,A,8,H,4,38,67.68,67.5
342,U1403,A,8,H,5,38,69.21,69.5
342,U1403,A,8,H,5,38,69.21,
342,U1403,A,8,H,6,38,70.71,
342,U1403,A,8,H,6,38,70.71,70.7
342,U1403,A,8,H,7,18,72.01,67.3
342,U1403,A,8,H,7,18,72.01,
342,U1403,A,9,H,1,38,72.68,
342,U1403,A,9,H,1,38,72.68,72.8
342,U1403,A,9,H,2,38,74.18,
342,U1403,A,9,H,2,38,74.18,74.9
342,U1403,A,9,H,3,38,75.68,75.3
342,U1403,A,9,H,3,38,75.68,
342,U1403,A,9,H,4,38,77.15,75.9
342,U1403,A,9,H,4,38,77.15,
342,U1403,A,9,H,5,38,78.62,77.5
342,U1403,A,9,H,5,38,78.62,
342,U1403,A,9,H,6,38,80.08,
342,U1403,A,9,H,6,38,80.08,77.7
342,U1403,A,9,H,7,14,81.14,78
342,U1403,A,9,H,7,14,81.14,
342,U1403,A,10,H,1,38,82.18,79.1
342,U1403,A,10,H,1,38,82.18,
342,U1403,A,10,H,2,38,83.69,
342,U1403,A,10,H,2,38,83.69,76.8
342,U1403,A,10,H,3,38,85.2,79
342,U1403,A,10,H,3,38,85.2,
342,U1403,A,10,H,4,38,86.66,
342,U1403,A,10,H,4,38,86.66,76.9
342,U1403,A,10,H,5,38,88.13,76.6
342,U1403,A,10,H,5,38,88.13,
