Exp,Site,Hole,Core,Type,Sect,Top(cm),Depth CSF-A (m),NGR total counts (cps)
372,U1517,B,1,H,1,0,0,19.778
372,U1517,B,1,H,1,10,0.1,21.173
372,U1517,B,1,H,1,20,0.2,22.255
372,U1517,B,1,H,1,30,0.3,24.738
372,U1517,B,1,H,1,40,0.4,25.37
372,U1517,B,1,H,1,50,0.5,25.367
372,U1517,B,1,H,1,60,0.6,26.88
372,U1517,B,1,H,1,70,0.7,26.817
372,U1517,B,1,H,1,80,0.8,27.664
372,U1517,B,1,H,1,90,0.9,27.284
372,U1517,B,1,H,1,100,1,28.679
372,U1517,B,1,H,1,110,1.1,29.265
372,U1517,B,1,H,1,120,1.2,29.425
372,U1517,B,1,H,1,130,1.3,29.832
372,U1517,B,1,H,1,140,1.4,28.228
372,U1517,B,1,H,1,150,1.5,28.56
372,U1517,B,1,H,2,0,1.5,32.742
372,U1517,B,1,H,2,10,1.6,31.224
372,U1517,B,1,H,2,20,1.7,31.328
372,U1517,B,1,H,2,30,1.8,32.755
372,U1517,B,1,H,2,40,1.9,34.243
372,U1517,B,1,H,2,50,2,37.067
372,U1517,B,1,H,2,60,2.1,40.01
372,U1517,B,1,H,2,70,2.2,40.607
372,U1517,B,1,H,2,80,2.3,42.161
372,U1517,B,1,H,2,90,2.4,42.094
372,U1517,B,1,H,2,100,2.5,43.075
372,U1517,B,1,H,2,110,2.6,43.702
372,U1517,B,1,H,2,120,2.7,41.435
372,U1517,B,1,H,2,130,2.8,38.65
372,U1517,B,1,H,2,140,2.9,34.939
372,U1517,B,1,H,3,0,3,38.867
372,U1517,B,1,H,3,10,3.1,35.677
372,U1517,B,1,H,3,20,3.2,31.998
372,U1517,B,1,H,3,30,3.3,36.751
372,U1517,B,1,H,3,40,3.4,37.623
372,U1517,B,1,H,3,50,3.5,36.07
372,U1517,B,1,H,3,60,3.6,39.47
372,U1517,B,1,H,3,70,3.7,41.52
372,U1517,B,1,H,3,80,3.8,42.071
372,U1517,B,1,H,3,90,3.9,41.811
372,U1517,B,1,H,3,100,4,42.689
372,U1517,B,1,H,3,110,4.1,43.962
372,U1517,B,1,H,3,120,4.2,42.712
372,U1517,B,1,H,3,130,4.3,41.189
372,U1517,B,1,H,3,140,4.4,37.721
372,U1517,B,1,H,3,150,4.5,39.447
372,U1517,B,1,H,4,0,4.5,45.233
372,U1517,B,1,H,4,10,4.6,43.547
372,U1517,B,1,H,4,20,4.7,43.041
372,U1517,B,1,H,4,30,4.8,44.261
372,U1517,B,1,H,4,40,4.9,44.09
372,U1517,B,1,H,4,50,5,42.877
372,U1517,B,1,H,4,60,5.1,44.75
372,U1517,B,1,H,4,70,5.2,43.82
372,U1517,B,1,H,4,80,5.3,44.464
372,U1517,B,1,H,4,90,5.4,45.184
372,U1517,B,1,H,4,100,5.5,43.929
372,U1517,B,1,H,4,110,5.6,42.382
372,U1517,B,1,H,4,120,5.7,41.795
372,U1517,B,1,H,4,130,5.8,41.961
372,U1517,B,1,H,4,140,5.9,38.222
372,U1517,B,1,H,5,0,6,43.671
372,U1517,B,1,H,5,10,6.1,41.86
372,U1517,B,1,H,5,20,6.2,42.635
372,U1517,B,1,H,5,30,6.3,41.805
372,U1517,B,1,H,5,40,6.4,40.85
372,U1517,B,1,H,5,50,6.5,40.97
372,U1517,B,1,H,5,60,6.6,42.204
372,U1517,B,1,H,5,70,6.7,43.134
