HOLE:	U1352C
EXPEDITION:	317
TOP:	0.0920
BOTTOM:	204.9176
DEPTH_WMSF	TENS	CS	ETIM	DF
m	lbf	m/h	s	lbf
17.0084	1539.0000	368.5032	2374.9734	1041.9706
17.1608	1541.0000	369.4176	2373.4666	1057.6125
17.3132	1593.0000	370.0272	2371.9944	1069.6996
17.4656	1585.0000	369.4176	2370.5000	1080.0090
17.6180	1582.0000	369.4176	2369.0210	1088.5410
17.7704	1592.0000	370.0272	2367.5315	1064.0116
17.9228	1549.0000	370.6368	2366.0559	1038.7710
18.0752	1553.0000	370.3320	2364.5659	1048.3695
18.2276	1553.0000	369.4176	2363.0791	1051.2135
18.3800	1551.0000	368.8080	2361.5940	1062.9451
18.5324	1591.0000	369.1128	2360.1235	1061.1675
18.6848	1589.0000	369.1128	2358.6321	1062.5895
18.8372	1545.0000	369.1128	2357.1555	1042.6815
18.9896	1578.0000	369.1128	2355.6660	1048.3695
19.1420	1564.0000	369.1128	2354.1626	1062.5895
19.2944	1610.0000	369.1128	2352.6919	1084.9861
19.4468	1554.0000	368.5032	2351.2036	1060.1011
19.5992	1530.0000	366.9792	2349.7146	1039.1266
19.7516	1569.0000	365.7600	2348.2419	1046.5920
19.9040	1606.0000	365.7600	2346.7351	1058.6791
20.0564	1567.0000	365.7600	2345.2285	1042.6815
20.2088	1606.0000	366.0648	2343.7410	1049.4360
20.3612	1655.0000	365.4552	2342.2380	1087.4745
20.5136	1616.0000	366.3696	2340.7314	1069.6996
20.6660	1531.0000	386.4864	2339.2400	1008.1981
20.8184	1540.0000	369.1128	2337.7505	997.8885
20.9708	1610.0000	369.1128	2336.2644	1064.7225
21.1232	1662.0000	367.8936	2334.7800	1095.6510
21.2756	1606.0000	368.1984	2333.3086	1058.6791
21.4280	1596.0000	369.4176	2331.8005	1046.2366
21.5804	1604.0000	369.7224	2330.3110	1051.2135
21.7328	1648.0000	369.4176	2328.8401	1075.0320
21.8852	1632.0000	368.8080	2327.3511	1072.1880
22.0376	1591.0000	368.1984	2325.8459	1066.1445
22.1900	1620.0000	367.5888	2324.3755	1081.0756
22.3424	1626.0000	369.4176	2322.8875	1080.3645
22.4948	1565.0000	369.4176	2321.3811	1077.5205
22.6472	1587.0000	369.1128	2319.9260	1075.0320
22.7996	1591.0000	368.1984	2318.4250	1095.2955
22.9520	1596.0000	368.1984	2316.9365	1112.7151
23.1044	1606.0000	367.8936	2315.4480	1113.0706
