HOLE:	U1352C
EXPEDITION:	317
TOP:	102.0476
BOTTOM:	204.9176
DEPTH_WMSF	IDPH	IMPH	SFLU
m	ohm.m	ohm.m	ohm.m
125.6696	1.1888	0.9910	0.5388
125.8220	1.1855	0.9867	0.5741
125.9744	1.1835	0.9802	0.5685
126.1268	1.1837	0.9745	0.5931
126.2792	1.1843	0.9717	0.5351
126.4316	1.1843	0.9734	0.6379
126.5840	1.1841	0.9798	0.6326
126.7364	1.1837	0.9894	0.6325
126.8888	1.1835	0.9989	0.5842
127.0412	1.1853	1.0040	0.6519
127.1936	1.1866	1.0013	0.6015
127.3460	1.1849	0.9903	0.5451
127.4984	1.1848	0.9744	0.6351
127.6508	1.1902	0.9592	0.6525
127.8032	1.2009	0.9493	0.5790
127.9556	1.2123	0.9471	0.5994
128.1080	1.2150	0.9529	0.6295
128.2604	1.2162	0.9659	0.5526
128.4128	1.2132	0.9827	0.6380
128.5652	1.2069	0.9968	0.7101
128.7176	1.1982	0.9984	0.5198
128.8700	1.1844	0.9784	0.6459
129.0224	1.1558	0.9373	0.4923
129.1748	1.1228	0.8869	0.4716
129.3272	1.0942	0.8393	0.5110
129.4796	1.0706	0.8033	0.4753
129.6320	1.0535	0.7837	0.4960
129.7844	1.0449	0.7815	0.5206
129.9368	1.0433	0.7953	0.4628
130.0892	1.0450	0.8216	0.4506
130.2416	1.0508	0.8555	0.5108
130.3940	1.0616	0.8923	0.5912
130.5464	1.0731	0.9272	0.4956
130.6988	1.0870	0.9585	0.6467
130.8512	1.1056	0.9868	0.5744
131.0036	1.1287	1.0134	0.6166
131.1560	1.1583	1.0379	0.6073
131.3084	1.1962	1.0582	0.5642
131.4608	1.2365	1.0711	0.5974
131.6132	1.2678	1.0743	0.6173
131.7656	1.2847	1.0678	0.7392
131.9180	1.2837	1.0550	0.5649
132.0704	1.2782	1.0409	0.5891
132.2228	1.2681	1.0328	0.5781
132.3752	1.2592	1.0320	0.6362
132.5276	1.2551	1.0365	0.5979
132.6800	1.2514	1.0421	0.5771
132.8324	1.2503	1.0444	0.5643
132.9848	1.2582	1.0420	0.6229
133.1372	1.2686	1.0370	0.6093
133.2896	1.2788	1.0340	0.6187
133.4420	1.2905	1.0371	0.5547
133.5944	1.2977	1.0474	0.5868
133.7468	1.3045	1.0613	0.6502
133.8992	1.3120	1.0720	0.5573
134.0516	1.3167	1.0745	0.6082
134.2040	1.3184	1.0671	0.5792
134.3564	1.3173	1.0500	0.5472
134.5088	1.3134	1.0240	0.5731
134.6612	1.3038	0.9914	0.6389
134.8136	1.2838	0.9583	0.5123
134.9660	1.2613	0.9328	0.5501
135.1184	1.2498	0.9213	0.5705
135.2708	1.2466	0.9249	0.4882
135.4232	1.2484	0.9398	0.5035
135.5756	1.2525	0.9594	0.4889
135.7280	1.2597	0.9772	0.4987
135.8804	1.2713	0.9886	0.5072
136.0328	1.2823	0.9924	0.5172
136.1852	1.2878	0.9904	0.5076
136.3376	1.2869	0.9848	0.5060
136.4900	1.2821	0.9761	0.5085
136.6424	1.2750	0.9632	0.5321
136.7948	1.2656	0.9460	0.6034
136.9472	1.2553	0.9275	0.5601
137.0996	1.2460	0.9124	0.4953
137.2520	1.2371	0.9045	0.4732
137.4044	1.2248	0.9046	0.4743
137.5568	1.2093	0.9105	0.4835
137.7092	1.1996	0.9185	0.5001
137.8616	1.1998	0.9255	0.5664
138.0140	1.2022	0.9311	0.5078
138.1664	1.2060	0.9372	0.4801
138.3188	1.2148	0.9465	0.5234
138.4712	1.2258	0.9600	0.5458
138.6236	1.2359	0.9762	0.5502
138.7760	1.2434	0.9924	0.5570
138.9284	1.2489	1.0058	0.5999
139.0808	1.2549	1.0151	0.6236
139.2332	1.2611	1.0193	0.5581
139.3856	1.2671	1.0166	0.5387
139.5380	1.2724	1.0060	0.6840
139.6904	1.2746	0.9895	0.6276
139.8428	1.2595	0.9711	0.5454
139.9952	1.2266	0.9547	0.6410
140.1476	1.2057	0.9408	0.5259
140.3000	1.2037	0.9254	0.5016
140.4524	1.1926	0.9063	0.5683
140.6048	1.1746	0.8894	0.4885
140.7572	1.1644	0.8859	0.5159
140.9096	1.1628	0.9018	0.5713
141.0620	1.1677	0.9327	0.5066
141.2144	1.1792	0.9662	0.4971
141.3668	1.1957	0.9887	0.4910
141.5192	1.2085	0.9962	0.5433
141.6716	1.2155	0.9934	0.5905
141.8240	1.2149	0.9851	0.5047
141.9764	1.2062	0.9735	0.5639
142.1288	1.1967	0.9611	0.6014
142.2812	1.1922	0.9509	0.5039
142.4336	1.1954	0.9448	0.5262
142.5860	1.2068	0.9436	0.5307
142.7384	1.2153	0.9476	0.5406
142.8908	1.2137	0.9565	0.5721
143.0432	1.2068	0.9700	0.5890
143.1956	1.1982	0.9860	0.6121
143.3480	1.1897	0.9984	0.6063
143.5004	1.1848	1.0003	0.5403
143.6528	1.1838	0.9897	0.5324
143.8052	1.1865	0.9729	0.5480
143.9576	1.1929	0.9602	0.5433
144.1100	1.1991	0.9596	0.5221
144.2624	1.2013	0.9720	0.6002
144.4148	1.2031	0.9917	0.5457
144.5672	1.2146	1.0093	0.6251
144.7196	1.2323	1.0177	0.5752
144.8720	1.2529	1.0163	0.6356
145.0244	1.2618	1.0112	0.5287
145.1768	1.2596	1.0085	0.6644
145.3292	1.2558	1.0084	0.5343
145.4816	1.2575	1.0040	0.5523
145.6340	1.2596	0.9911	0.5374
145.7864	1.2610	0.9730	0.6123
145.9388	1.2604	0.9580	0.4859
146.0912	1.2534	0.9530	0.5093
146.2436	1.2438	0.9605	0.5502
146.3960	1.2410	0.9787	0.4874
146.5484	1.2432	1.0040	0.5498
146.7008	1.2449	1.0312	0.6325
146.8532	1.2438	1.0531	0.5608
147.0056	1.2431	1.0637	0.5758
147.1580	1.2434	1.0625	0.5592
147.3104	1.2475	1.0533	0.5451
147.4628	1.2555	1.0404	0.5526
147.6152	1.2591	1.0253	0.5673
147.7676	1.2451	1.0083	0.5384
147.9200	1.2097	0.9907	0.5634
148.0724	1.1762	0.9735	0.5802
148.2248	1.1496	0.9551	0.5338
148.3772	1.1178	0.9325	0.5608
148.5296	1.0973	0.9064	0.5134
148.6820	1.0893	0.8812	0.4809
148.8344	1.0851	0.8622	0.5055
148.9868	1.0834	0.8536	0.5291
149.1392	1.0853	0.8588	0.4538
149.2916	1.0920	0.8801	0.4869
149.4440	1.1028	0.9165	0.6272
149.5964	1.1194	0.9589	0.5233
149.7488	1.1365	0.9910	0.5207
149.9012	1.1522	0.9999	0.5444
150.0536	1.1682	0.9894	0.5811
150.2060	1.1950	0.9739	0.5225
150.3584	1.2172	0.9638	0.6568
150.5108	1.2231	0.9634	0.5350
150.6632	1.2254	0.9711	0.6641
150.8156	1.2234	0.9821	0.5374
150.9680	1.2191	0.9914	0.6559
151.1204	1.2162	0.9976	0.5554
151.2728	1.2133	1.0016	0.5539
151.4252	1.2149	1.0049	0.6060
151.5776	1.2194	1.0087	0.5620
151.7300	1.2269	1.0130	0.5750
151.8824	1.2403	1.0175	0.6137
152.0348	1.2564	1.0226	0.5621
152.1872	1.2662	1.0295	0.5472
152.3396	1.2704	1.0388	0.6656
152.4920	1.2708	1.0494	0.6598
152.6444	1.2705	1.0581	0.5816
152.7968	1.2699	1.0612	0.6057
152.9492	1.2689	1.0575	0.6161
153.1016	1.2689	1.0508	0.5689
153.2540	1.2694	1.0477	0.5490
153.4064	1.2711	1.0537	0.6142
153.5588	1.2804	1.0699	0.6127
153.7112	1.2919	1.0912	0.5758
153.8636	1.3006	1.1089	0.6334
154.0160	1.3136	1.1160	0.6685
154.1684	1.3274	1.1110	0.6473
154.3208	1.3316	1.0985	0.6136
154.4732	1.3285	1.0853	0.5695
154.6256	1.3252	1.0760	0.5846
154.7780	1.3207	1.0707	0.6011
154.9304	1.3170	1.0678	0.5838
155.0828	1.3159	1.0696	0.6113
155.2352	1.3222	1.0823	0.5619
155.3876	1.3399	1.1093	0.5761
155.5400	1.3544	1.1447	0.5317
