HOLE:	U1508C
EXPEDITION:	371
TOP:	87.5940
BOTTOM:	655.5887
DEPTH_WMSF	DTCO	DT1	DT2	VELP	VS1	VS2
m	us/ft	us/ft	us/ft	km/s	km/s	km/s
101.0052	170.5666	742.9421	762.5361	1.7870	0.4103	0.3997
101.1576	170.4688	720.1968	761.6307	1.7880	0.4232	0.4002
101.3100	172.5507	719.8281	766.1323	1.7664	0.4234	0.3978
101.4624	174.2428	720.2822	743.5457	1.7493	0.4232	0.4099
101.6148	175.9347	720.3677	749.9412	1.7325	0.4231	0.4064
101.7672	177.6253	720.907	721.8039	1.7160	0.4228	0.4223
101.9196	179.5751	683.679	679.1774	1.6973	0.4458	0.4488
102.0720	179.3113	690.6687	707.7056	1.6998	0.4413	0.4307
102.2244	178.9827	694.34	707.2689	1.7030	0.4390	0.4310
102.3768	177.6409	703.085	716.966	1.7158	0.4335	0.4251
102.5292	176.135	702.2123	705.1774	1.7305	0.4341	0.4322
102.6816	166.6283	702.229	704.2184	1.8292	0.4340	0.4328
102.8340	157.0606	701.7566	702.4955	1.9407	0.4343	0.4339
102.9864	152.964	697.6541	686.8486	1.9926	0.4369	0.4438
103.1388	151.6477	696.0789	681.8343	2.0099	0.4379	0.4470
103.2912	150.4629	693.0263	706.9197	2.0257	0.4398	0.4312
103.4436	151.8197	700.8033	708.1332	2.0076	0.4349	0.4304
103.5960	158.634	724.4061	701.6619	1.9214	0.4208	0.4344
103.7484	165.443	731.7286	719.5155	1.8423	0.4165	0.4236
103.9008	172.2576	734.1749	723.1222	1.7694	0.4152	0.4215
104.0532	179.0667	730.7736	730.7344	1.7022	0.4171	0.4171
104.2056	179.075	729.6214	729.0643	1.7021	0.4178	0.4181
104.3580	179.3481	729.0642	728.8101	1.6995	0.4181	0.4182
104.5104	179.3807	730.2471	720.3235	1.6992	0.4174	0.4231
104.6628	179.4183	730.9148	730.9507	1.6988	0.4170	0.4170
104.8152	179.691	734.9736	738.963	1.6962	0.4147	0.4125
104.9676	176.416	742.9235	730.718	1.7277	0.4103	0.4171
105.1200	175.421	721.9985	718.8209	1.7375	0.4222	0.4240
105.2724	174.4276	718.0818	732.2152	1.7474	0.4245	0.4163
105.4248	175.8834	717.8859	729.4356	1.7330	0.4246	0.4179
105.5772	177.2049	698.733	719.9539	1.7200	0.4362	0.4234
105.7296	178.5254	704.0778	729.5074	1.7073	0.4329	0.4178
105.8820	179.8466	706.8972	736.0597	1.6948	0.4312	0.4141
106.0344	179.7919	705.718	734.4399	1.6953	0.4319	0.4150
106.1868	179.7371	690.603	728.6799	1.6958	0.4414	0.4183
106.3392	179.8011	703.6647	727.9479	1.6952	0.4332	0.4187
106.4916	179.8128	714.1259	730.1735	1.6951	0.4268	0.4174
106.6440	171.2374	715.1534	736.693	1.7800	0.4262	0.4137
106.7964	162.6977	714.4946	734.1122	1.8734	0.4266	0.4152
106.9488	154.1773	715.7805	730.6907	1.9769	0.4258	0.4171
107.1012	155.0685	691.1348	723.7144	1.9656	0.4410	0.4212
107.2536	155.7808	702.8204	725.7718	1.9566	0.4337	0.4200
107.4060	156.4925	662.0923	720.5524	1.9477	0.4604	0.4230
107.5584	161.8448	626.3239	657.7738	1.8833	0.4866	0.4634
107.7108	165.3561	601.9995	632.8928	1.8433	0.5063	0.4816
107.8632	170.0361	570.7514	608.929	1.7926	0.5340	0.5006
108.0156	171.5175	578.2817	591.4379	1.7771	0.5271	0.5154
108.1680	173.2795	578.4929	600.6528	1.7590	0.5269	0.5074
108.3204	171.4178	586.3784	599.2819	1.7781	0.5198	0.5086
108.4728	170.1606	588.3318	616.2033	1.7912	0.5181	0.4946
108.6252	169.6177	589.5695	607.2495	1.7970	0.5170	0.5019
108.7776	169.9554	596.1293	610.2722	1.7934	0.5113	0.4994
108.9300	171.2229	596.685	616.6554	1.7801	0.5108	0.4943
109.0824	173.4341	595.8109	617.3876	1.7574	0.5116	0.4937
109.2348	175.6416	593.8547	604.4963	1.7354	0.5133	0.5042
109.3872	175.6827	589.4767	609.6172	1.7349	0.5171	0.5000
109.5396	175.741	586.84	599.9974	1.7344	0.5194	0.5080
109.6920	175.8262	581.1044	597.8483	1.7335	0.5245	0.5098
109.8444	175.8674	578.6555	591.8672	1.7331	0.5267	0.5150
109.9968	175.9916	582.1777	579.2239	1.7319	0.5236	0.5262
110.1492	174.1747	591.0076	617.8895	1.7500	0.5157	0.4933
110.3016	173.7739	598.7868	618.1576	1.7540	0.5090	0.4931
110.4540	174.5617	646.957	640.5862	1.7461	0.4711	0.4758
110.6064	175.5913	642.2672	643.5723	1.7358	0.4746	0.4736
110.7588	173.9523	627.1078	646.5595	1.7522	0.4860	0.4714
110.9112	174.8203	600.7435	613.5887	1.7435	0.5074	0.4967
111.0636	176.8633	609.9982	616.7686	1.7234	0.4997	0.4942
111.2160	177.237	601.577	613.4557	1.7197	0.5067	0.4969
111.3684	176.2828	600.5483	614.2067	1.7290	0.5075	0.4962
111.5208	175.5245	601.1026	614.4354	1.7365	0.5071	0.4961
111.6732	175.2759	601.3441	613.6563	1.7390	0.5069	0.4967
111.8256	174.8942	602.3	614.8814	1.7428	0.5061	0.4957
111.9780	174.383	603.432	617.3448	1.7479	0.5051	0.4937
112.1304	174.1517	602.8693	617.2083	1.7502	0.5056	0.4938
112.2828	173.6619	601.542	614.0931	1.7551	0.5067	0.4963
112.4352	173.1439	601.2915	615.1768	1.7604	0.5069	0.4955
112.5876	172.9031	603.5944	616.4432	1.7628	0.5050	0.4944
112.7400	172.825	603.0791	615.4503	1.7636	0.5054	0.4952
112.8924	172.7786	601.5015	613.4949	1.7641	0.5067	0.4968
113.0448	173.4319	598.3034	621.0664	1.7575	0.5094	0.4908
113.1972	174.2533	597.2206	596.3709	1.7492	0.5104	0.5111
113.3496	175.1587	594.7856	592.297	1.7401	0.5125	0.5146
113.5020	174.8965	594.4297	588.5543	1.7427	0.5128	0.5179
113.6544	173.9075	599.0103	579.9033	1.7527	0.5088	0.5256
