HOLE:	U1508C
EXPEDITION:	371
TOP:	0.1164
BOTTOM:	660.0083
DEPTH_WMSF	TENS	CS	ETIM
m	lbf	ft/h	s
25.2624	3420.986	3010.996	308.8878
25.4148	3535.008	3021.001	309.498
25.5672	3610.975	3032.996	310.0913
25.7196	3631.999	3035	310.6885
25.8720	3597.97	3022.997	311.2977
26.0244	3524.002	3015	311.8935
26.1768	3401.968	2998.999	312.5027
26.3292	3309.009	2995	313.1039
26.4816	3275.003	2991.001	313.7067
26.6340	3285.998	2994.999	314.3154
26.7864	3322.009	2999	314.9006
26.9388	3364.991	2999	315.5009
27.0912	3488.024	3025.001	316.1016
27.2436	3648.955	3032.998	316.6943
27.3960	3805	3046	317.2951
27.5484	3805.969	3050.995	317.8963
27.7008	3736.998	3039	318.4975
27.8532	3635.935	3027.99	319.0997
28.0056	3470.006	3002.001	319.7015
28.1580	3332.972	2996.999	320.3127
28.3104	3249.009	2993	320.9164
28.4628	3181.006	2996.004	321.5087
28.6152	3201.997	3010.998	322.1179
28.7676	3226.008	3011	322.7216
28.9200	3265.991	3013	323.3283
29.0724	3438.023	3024.001	323.9376
29.2248	3600.953	3034.997	324.5293
29.3772	3845.009	3041	325.1306
29.5296	3954.964	3038.997	325.7318
29.6820	3874.997	3032	326.326
29.8344	3682.923	3020.997	326.9258
29.9868	3482.01	3014	327.527
30.1392	3336.955	3001	328.1287
30.2916	3196.016	3001	328.7289
30.4440	3151.027	3008	329.3322
30.5964	3253.982	3010	329.9399
30.7488	3440.014	3011.003	330.5251
30.9012	3509.983	3027.996	331.1273
31.0536	3628.018	3029	331.7376
31.2060	3765.958	3031	332.3393
31.3584	3835.992	3035	332.9435
31.5108	3721.915	3029.999	333.5448
31.6632	3526.999	3027	334.1515
31.8156	3378.961	3010.001	334.7517
31.9680	3274.006	3013	335.352
32.1204	3179	3009.003	335.9527
32.2728	3179	3017.999	336.5529
32.4252	3249.034	3014	337.1547
32.5776	3386.975	3015	337.7554
32.7300	3574.011	3017	338.3396
32.8824	3633.985	3019.999	338.9403
33.0348	3731.001	3032	339.5356
33.1872	3741.997	3029.001	340.1368
33.3396	3592.994	3022.999	340.7455
33.4920	3487.949	3012.003	341.3477
33.6444	3369	3018	341.9495
33.7968	3293.016	3021	342.5517
33.9492	3335.997	3022	343.1615
34.1016	3343.012	3021.999	343.7637
34.2540	3383.995	3017.001	344.3649
34.4064	3409.991	3016	344.9496
34.5588	3371.008	3014	345.5529
34.7112	3399.992	3015	346.1601
34.8636	3353.012	3015	346.7689
35.0160	3371.008	3014.001	347.3696
35.1684	3443.977	3023.997	347.9703
35.3208	3432	3030	348.572
35.4732	3437.032	3029.999	349.1737
35.6256	3512.999	3028	349.7675
35.7780	3546.008	3028	350.3777
35.9304	3567.998	3027	350.9714
36.0828	3541.985	3015.999	351.5707
36.2352	3489.008	3012	352.1674
36.3876	3455.98	3006	352.7717
36.5400	3368.018	3008	353.3789
36.6924	3359.003	3010	353.9886
36.8448	3378.995	3012	354.5894
36.9972	3407.009	3024	355.192
37.1496	3494.971	3023	355.7838
37.3020	3557.002	3031	356.379
37.4544	3619.018	3036	356.9572
37.6068	3662.999	3037	357.555
37.7592	3591.968	3028.999	358.1572
37.9116	3499.008	3025	358.7674
38.0640	3389.945	3009.999	359.3722
38.2164	3194.03	3005.001	359.9804
38.3688	3065.998	3004.002	360.5911
38.5212	3055.002	3012.998	361.1949
38.6736	3064.01	3011	361.8031
38.8260	3131.981	3010	362.3988
38.9784	3228.018	3012	362.9821
39.1308	3423.933	3016.998	363.5813
39.2832	3735.004	3032	364.1825
39.4356	3871.022	3037.002	364.7842
39.5880	3926.998	3041	365.3855
39.7404	3785.944	3033.997	365.9897
39.8928	3619.016	3026.001	366.5974
40.0452	3466.967	3021.999	367.2076
40.1976	3345.02	3019	367.8174
40.3500	3276.019	3024	368.4191
40.5024	3368.979	3024	369.0059
40.6548	3493.01	3028	369.5891
40.8072	3561.98	3031.999	370.1818
40.9596	3584.998	3026	370.7831
41.1120	3556.01	3024.001	371.3758
41.2644	3485.999	3024	371.9775
41.4168	3401.965	3022.999	372.5883
41.5692	3312.004	3020	373.192
41.7216	3291.987	3019	373.8012
41.8740	3251.004	3019	374.4009
42.0264	3207	3018	375.0052
42.1788	3208	3018	375.6039
42.3312	3172.017	3015.999	376.2051
42.4836	3258.98	3011.001	376.8058
42.6360	3433.027	3014	377.4011
42.7884	3634.94	3016	378.0028
42.9408	3772.004	3036	378.6115
43.0932	3821.997	3038.996	379.2133
43.2456	3815.999	3029	379.8225
43.3980	3693.948	3026.001	380.4232
43.5504	3557.007	3029	381.023
43.7028	3474.971	3025.993	381.6242
43.8552	3382.011	3004.003	382.2249
44.0076	3317.006	2995.997	382.8047
44.1600	3338.996	2984.002	383.3964
44.3124	3325.99	2978	383.9991
44.4648	3271.013	2976	384.6018
44.6172	3223.997	2980	385.2071
44.7696	3199.008	2981.999	385.8148
44.9220	3259.001	2982.001	386.424
