HOLE:	U1508C
EXPEDITION:	371
TOP:	274.6921
BOTTOM:	686.1720
DEPTH_WMSF	DTCO	DT1	DT2	VELP	VS1	VS2
m	us/ft	us/ft	us/ft	km/s	km/s	km/s
288.1033	151.3722	373.4413	395.2011	2.0136	0.8162	0.7713
288.2557	151.7134	375.2097	396.8112	2.0091	0.8123	0.7681
288.4081	152.5928	377.1431	399.8983	1.9975	0.8082	0.7622
288.5605	152.9747	379.179	405.7906	1.9925	0.8038	0.7511
288.7129	153.4115	387.7545	409.681	1.9868	0.7861	0.7440
288.8653	153.6922	395.5179	412.2538	1.9832	0.7706	0.7394
289.0177	152.7937	396.3488	408.9813	1.9948	0.7690	0.7453
289.1701	152.1421	388.894	406.0508	2.0034	0.7838	0.7506
289.3225	152.3936	396.7673	413.0037	2.0001	0.7682	0.7380
289.4749	152.3621	394.1979	412.9658	2.0005	0.7732	0.7381
289.6273	152.6291	391.7104	412.7042	1.9970	0.7781	0.7385
289.7797	152.8681	391.6532	412.6252	1.9939	0.7782	0.7387
289.9321	153.0561	391.812	412.7178	1.9914	0.7779	0.7385
290.0845	152.8058	391.7018	412.8293	1.9947	0.7781	0.7383
290.2369	152.092	391.4768	412.7503	2.0041	0.7786	0.7385
290.3893	152.0764	391.3687	412.6808	2.0043	0.7788	0.7386
290.5417	152.4803	390.1808	413.1401	1.9989	0.7812	0.7378
290.6941	153.0794	387.2665	413.7736	1.9911	0.7871	0.7366
290.8465	152.4211	384.0703	411.5843	1.9997	0.7936	0.7406
290.9989	152.2258	388.99	416.2414	2.0023	0.7836	0.7323
291.1513	151.6084	389.3177	420.4362	2.0104	0.7829	0.7250
291.3037	151.047	389.1912	419.2892	2.0179	0.7832	0.7269
291.4561	151.0732	389.1213	420.9865	2.0176	0.7833	0.7240
291.6085	152.6965	391.5862	422.7168	1.9961	0.7784	0.7211
291.7609	154.1646	397.0393	423.7226	1.9771	0.7677	0.7193
291.9133	154.7094	397.0683	424.2372	1.9701	0.7676	0.7185
292.0657	155.2546	396.701	426.4937	1.9632	0.7683	0.7147
292.2181	155.9599	395.8944	428.3023	1.9543	0.7699	0.7116
292.3705	156.5491	397.329	430.8276	1.9470	0.7671	0.7075
292.5229	156.3817	399.9666	433.2396	1.9491	0.7621	0.7035
292.6753	155.3914	402.222	435.7221	1.9615	0.7578	0.6995
292.8277	154.7475	404.0621	435.2549	1.9697	0.7543	0.7003
292.9801	154.2853	404.0627	435.4894	1.9756	0.7543	0.6999
293.1325	153.7105	405.2662	435.8426	1.9829	0.7521	0.6993
293.2849	153.1147	406.5321	434.3652	1.9907	0.7498	0.7017
293.4373	153.2477	406.4471	432.0468	1.9889	0.7499	0.7055
293.5897	153.5306	406.0132	431.298	1.9853	0.7507	0.7067
293.7421	153.5624	405.9666	430.9478	1.9849	0.7508	0.7073
293.8945	153.9208	405.292	430.2957	1.9802	0.7521	0.7084
294.0469	154.1821	403.4292	429.3589	1.9769	0.7555	0.7099
294.1993	154.0363	398.7229	425.9373	1.9788	0.7644	0.7156
294.3517	153.5714	394.6616	421.1599	1.9847	0.7723	0.7237
294.5041	153.4642	396.1399	425.7305	1.9861	0.7694	0.7159
294.6565	153.8692	399.876	431.8134	1.9809	0.7622	0.7059
294.8089	154.1675	402.0595	431.6894	1.9771	0.7581	0.7061
294.9613	153.6678	403.1808	432.2634	1.9835	0.7560	0.7051
295.1137	153.8341	405.2001	431.9841	1.9814	0.7522	0.7056
295.2661	154.588	405.1649	430.4449	1.9717	0.7523	0.7081
295.4185	154.4201	404.8819	427.9972	1.9738	0.7528	0.7122
295.5709	154.1687	404.9685	427.61	1.9771	0.7527	0.7128
295.7233	154.1878	403.6011	428.4396	1.9768	0.7552	0.7114
295.8757	153.405	400.1505	424.0697	1.9869	0.7617	0.7187
296.0281	151.6967	389.873	413.3661	2.0093	0.7818	0.7374
296.1805	151.2367	390.8506	411.8152	2.0154	0.7798	0.7401
296.3329	151.6473	399.6248	420.6106	2.0099	0.7627	0.7247
296.4853	152.7288	402.3672	424.7438	1.9957	0.7575	0.7176
296.6377	153.398	402.3694	424.5544	1.9870	0.7575	0.7179
296.7901	153.4187	402.5033	424.8114	1.9867	0.7573	0.7175
296.9425	153.9044	403.8414	427.5154	1.9805	0.7548	0.7130
297.0949	154.6701	407.8535	431.7955	1.9706	0.7473	0.7059
297.2473	154.851	409.7154	432.4048	1.9683	0.7439	0.7049
297.3997	154.2415	404.7962	426.4616	1.9761	0.7530	0.7147
297.5521	153.5973	397.5373	419.1947	1.9844	0.7667	0.7271
297.7045	153.4914	393.4567	414.6437	1.9858	0.7747	0.7351
297.8569	153.0721	390.6755	411.426	1.9912	0.7802	0.7408
298.0093	151.8006	384.7332	408.65	2.0079	0.7922	0.7459
298.1617	150.6228	378.1209	402.6914	2.0236	0.8061	0.7569
298.3141	150.3103	375.3218	398.1026	2.0278	0.8121	0.7656
298.4665	150.2575	376.8817	398.4885	2.0285	0.8087	0.7649
298.6189	150.2387	377.1371	398.7048	2.0288	0.8082	0.7645
298.7713	150.0172	376.8299	398.8531	2.0318	0.8089	0.7642
298.9237	149.3374	377.5775	400.0447	2.0410	0.8073	0.7619
299.0761	149.004	377.9726	406.8331	2.0456	0.8064	0.7492
299.2285	149.5823	380.6855	404.945	2.0377	0.8007	0.7527
299.3809	149.3266	380.1684	405.9283	2.0412	0.8017	0.7509
299.5333	150.6179	378.3824	406.7915	2.0237	0.8055	0.7493
299.6857	151.4458	379.087	406.7364	2.0126	0.8040	0.7494
299.8381	152.1565	392.5047	412.4469	2.0032	0.7766	0.7390
299.9905	153.1555	394.2707	413.4524	1.9901	0.7731	0.7372
300.1429	153.7384	395.1921	413.6416	1.9826	0.7713	0.7369
300.2953	153.5747	394.8378	413.3845	1.9847	0.7720	0.7373
300.4477	153.0668	394.7456	413.548	1.9913	0.7721	0.7370
300.6001	153.1501	398.5214	417.7132	1.9902	0.7648	0.7297
300.7525	153.0538	398.8245	419.4605	1.9915	0.7642	0.7266
300.9049	153.5404	397.4016	423.4581	1.9851	0.7670	0.7198
301.0573	154.1599	396.4748	426.4635	1.9772	0.7688	0.7147
301.2097	154.4329	396.6447	427.879	1.9737	0.7684	0.7124
301.3621	154.556	396.981	428.0945	1.9721	0.7678	0.7120
301.5145	153.8949	397.301	427.1511	1.9806	0.7672	0.7136
301.6669	153.3355	397.3762	427.2719	1.9878	0.7670	0.7134
301.8193	152.8564	397.821	429.0493	1.9940	0.7662	0.7104
301.9717	151.9881	399.183	429.7675	2.0054	0.7636	0.7092
302.1241	151.7388	400.509	430.119	2.0087	0.7610	0.7086
302.2765	152.1633	402.9401	431.0533	2.0031	0.7564	0.7071
302.4289	152.3458	405.8326	432.0896	2.0007	0.7510	0.7054
