Exp,Site,Hole,Core,Type,Sect,Top(cm),Depth CSF-A (m),Reflectance L*,Reflectance a*,Reflectance b*
317,U1351,A,1,H,1,4.9,0.049,41.7,-1.7,9.3
317,U1351,A,1,H,1,9.9,0.099,47.2,-1.5,7
317,U1351,A,1,H,1,14.9,0.149,44,-2.1,10
317,U1351,A,1,H,1,20,0.2,45.1,-2.3,9.5
317,U1351,A,1,H,1,25,0.25,43,-2.5,10.1
317,U1351,A,1,H,1,30,0.3,41.7,-1.9,8.9
317,U1351,A,1,H,1,35,0.35,48.9,-1.8,7
317,U1351,A,1,H,1,40,0.4,49.1,-2.1,7.1
317,U1351,A,1,H,1,45,0.45,40.1,-2.1,7.9
317,U1351,A,1,H,1,50,0.5,38.6,-2.3,8.3
317,U1351,A,1,H,1,55,0.55,41.7,-2.8,10.8
317,U1351,A,1,H,2,4.9,1.549,41.6,-2.5,8.7
317,U1351,A,1,H,2,9.9,1.599,45.6,-2.1,6
317,U1351,A,1,H,2,14.9,1.649,40.4,-2.6,8.3
317,U1351,A,1,H,2,19.9,1.699,42.5,-2.1,5.8
317,U1351,A,1,H,2,24.9,1.749,41.5,-2.6,8.1
317,U1351,A,1,H,2,29.9,1.799,40.9,-2.6,8.1
317,U1351,A,1,H,2,34.9,1.849,45.3,-1.8,5.3
317,U1351,A,1,H,2,39.9,1.899,46.1,-2.3,6.5
317,U1351,A,1,H,2,45,1.95,39.9,-2.8,8
317,U1351,A,1,H,2,50,2,41.1,-2.8,7.1
317,U1351,A,1,H,2,55,2.05,40.8,-2.9,7.8
317,U1351,A,1,H,2,60,2.1,41.4,-2.9,7.8
317,U1351,A,1,H,2,65,2.15,41.8,-2.9,7.3
317,U1351,A,1,H,2,70,2.2,38.2,-2.1,5.3
317,U1351,A,1,H,2,75,2.25,47.9,-2.1,5.5
317,U1351,A,1,H,2,80,2.3,42.5,-2.2,5.6
317,U1351,A,1,H,2,85,2.35,46.9,-2.3,6.1
317,U1351,A,1,H,CC,5,2.45,38,-2.2,5.3
317,U1351,A,1,H,CC,10,2.5,45.6,-2.4,5
317,U1351,A,1,H,CC,15,2.55,42.3,-1.7,3.9
317,U1351,A,2,H,1,4.9,2.749,44.1,-1.7,7.8
317,U1351,A,2,H,1,9.9,2.799,42.7,-1.6,7.8
317,U1351,A,2,H,1,14.9,2.849,44.7,-2.2,9.2
317,U1351,A,2,H,1,20,2.9,44.2,-2.5,5.8
317,U1351,A,2,H,1,25,2.95,41.7,-2.6,6.6
317,U1351,A,2,H,1,30,3,42.6,-2.8,6.1
317,U1351,A,2,H,1,35,3.05,42.3,-3,6.7
317,U1351,A,2,H,1,40,3.1,41.5,-2.7,6.4
317,U1351,A,2,H,1,45,3.15,45.9,-2.2,4.5
317,U1351,A,2,H,1,50,3.2,48.6,-2,4.4
317,U1351,A,2,H,1,55,3.25,43.2,-2.1,5.1
317,U1351,A,2,H,2,4.7,4.247,47.5,-1.4,1.5
317,U1351,A,2,H,2,9.7,4.297,50.2,-1.6,2.4
317,U1351,A,2,H,2,14.7,4.347,39.8,-1,0.6
317,U1351,A,2,H,2,19.7,4.397,42,-1.8,1.5
317,U1351,A,2,H,2,24.7,4.447,47.3,-1.5,1.8
317,U1351,A,2,H,2,29.7,4.497,40.5,-1.5,1.6
317,U1351,A,2,H,2,34.8,4.548,45.6,-1.4,1.6
317,U1351,A,2,H,2,39.8,4.598,47,-1.5,1.9
317,U1351,A,2,H,2,44.8,4.648,44.2,-1.5,1.8
317,U1351,A,2,H,2,49.8,4.698,40.9,-1.5,1.8
317,U1351,A,2,H,2,54.8,4.748,41,-1.4,2
317,U1351,A,2,H,2,59.8,4.798,33.8,-0.9,1
317,U1351,A,2,H,2,64.8,4.848,43.1,-0.7,0.7
317,U1351,A,2,H,2,69.9,4.899,41.6,-1.4,1.9
317,U1351,A,2,H,2,74.9,4.949,34.8,-1.2,0.6
317,U1351,A,2,H,2,79.9,4.999,39.6,-1.4,1.6
317,U1351,A,2,H,2,84.9,5.049,38.5,-0.4,0.9
317,U1351,A,2,H,2,89.9,5.099,41.6,-1.9,2.4
317,U1351,A,2,H,2,94.9,5.149,34.3,-1,0.9
317,U1351,A,2,H,2,99.9,5.199,38,-1,1.3
317,U1351,A,2,H,2,104.9,5.249,41,-1.6,1.9
317,U1351,A,2,H,2,109.9,5.299,46.8,-1.4,0.9
317,U1351,A,2,H,2,115,5.35,43.9,-1.4,0.5
317,U1351,A,2,H,2,120,5.4,41.1,-1.2,0.5
317,U1351,A,2,H,2,125,5.45,41.5,-1.5,0.3
317,U1351,A,2,H,2,130,5.5,43.1,-2,1.4
317,U1351,A,2,H,2,135,5.55,39.9,-1.5,0.8
