Exp,Site,Hole,Core,Type,Sect,Top(cm),Depth CSF-A (m),Porosity (vol%)
317,U1351,A,1,H,1,26.5,0.26,57
317,U1351,A,1,H,2,41,1.91,56.5
317,U1351,A,2,H,1,8.5,2.78,56.8
317,U1351,A,2,H,1,35.5,3.06,57.5
317,U1351,A,2,H,2,74.5,4.94,43.8
317,U1351,A,2,H,3,69.5,6.4,46.5
317,U1351,A,3,H,1,13,12.33,48.4
317,U1351,A,3,H,2,74.5,14.44,47.2
317,U1351,A,3,H,3,74,15.94,37
317,U1351,A,3,H,4,74,17.44,40.6
317,U1351,A,4,H,1,19.5,18.4,35.2
317,U1351,A,4,H,2,27.5,19.97,51.5
317,U1351,A,4,H,2,49.5,20.2,43.4
317,U1351,A,4,H,3,74.5,21.94,44.4
317,U1351,A,4,H,4,39.5,23.1,25.5
317,U1351,A,4,H,5,16.5,24.36,17.8
317,U1351,A,5,H,1,39.5,25.5,37.2
317,U1351,A,5,H,2,31.5,26.92,45.2
317,U1351,A,6,H,1,34.5,27.84,38.3
317,U1351,B,1,H,1,77.5,0.78,57
317,U1351,B,1,H,2,69.5,2.2,53.9
317,U1351,B,1,H,3,74.5,3.74,49.1
317,U1351,B,1,H,4,69.5,5.2,48.7
317,U1351,B,1,H,5,74.5,6.74,47.4
317,U1351,B,1,H,6,19.5,7.2,48.9
317,U1351,B,2,H,1,31.5,8.12,51.2
317,U1351,B,2,H,2,76.5,10.07,51.3
317,U1351,B,2,H,3,140,12.2,46.3
317,U1351,B,2,H,4,99.5,13.3,47.9
317,U1351,B,2,H,5,99.5,14.8,46
317,U1351,B,2,H,6,99.5,16.3,46.8
317,U1351,B,3,H,1,100,17.7,41.1
317,U1351,B,3,H,2,100,19.2,42.4
317,U1351,B,3,H,3,141,21.11,46.9
317,U1351,B,3,H,4,47,21.67,41.3
317,U1351,B,4,H,1,39.5,22.5,45.4
317,U1351,B,4,H,1,116,23.26,39.7
317,U1351,B,4,H,2,100,24.6,43
317,U1351,B,4,H,3,100,26.1,47.8
317,U1351,B,4,H,4,100,27.6,45.9
317,U1351,B,5,H,1,25,28.45,54.1
317,U1351,B,5,H,2,25,29.78,34.8
317,U1351,B,5,H,2,100,30.53,42.7
317,U1351,B,5,H,3,25,31.22,46.8
317,U1351,B,6,H,1,127.5,33.48,37.6
317,U1351,B,6,H,2,39.5,34.1,42
317,U1351,B,6,H,2,99.5,34.7,45.9
317,U1351,B,6,H,3,74.5,35.94,29.5
317,U1351,B,6,H,4,100.5,37.71,43.4
317,U1351,B,6,H,5,74.5,38.94,41.1
317,U1351,B,7,H,1,119.5,40.4,46.5
317,U1351,B,7,H,2,74.5,41.44,44.2
317,U1351,B,7,H,3,109.5,43.3,46.8
317,U1351,B,7,H,4,74.5,44.44,44.9
317,U1351,B,7,H,5,74.5,45.94,47.5
317,U1351,B,7,H,6,74.5,47.44,46.7
317,U1351,B,8,H,1,76.5,48.46,46.6
317,U1351,B,8,H,2,76.5,49.96,47.4
317,U1351,B,8,H,3,79.5,51.5,48
317,U1351,B,8,H,4,79.5,53,42
317,U1351,B,8,H,5,76.5,54.46,47.1
317,U1351,B,8,H,6,72.5,55.93,45.6
317,U1351,B,9,H,1,79.5,58,47.6
317,U1351,B,9,H,2,79.5,59.5,43.7
317,U1351,B,9,H,3,79.5,61,46
317,U1351,B,9,H,4,79.5,62.5,43.8
317,U1351,B,9,H,5,79.5,64,43.6
317,U1351,B,9,H,6,79.5,65.5,43.5
317,U1351,B,11,H,1,100,70.7,48.5
317,U1351,B,11,H,2,77,71.97,45.6
317,U1351,B,11,H,2,137,72.57,46.1
317,U1351,B,11,H,3,100,73.7,23.3
317,U1351,B,11,H,4,70,74.9,44.7
317,U1351,B,12,H,1,100,76.7,61.9
317,U1351,B,13,H,1,10,85.3,47.1
317,U1351,B,13,H,2,10,86.28,45.4
317,U1351,B,13,H,3,69,88.37,40.1
317,U1351,B,13,H,3,138,89.06,60.6
317,U1351,B,14,X,1,69,95.39,30.2
317,U1351,B,14,X,2,11,96.31,44.7
317,U1351,B,16,X,1,100,113.9,47.5
317,U1351,B,16,X,2,17,114.57,43.8
317,U1351,B,16,X,3,63,116.53,49
317,U1351,B,16,X,4,120,118.6,47.3
317,U1351,B,16,X,5,27,119.17,45.2
317,U1351,B,18,X,1,26,132.26,48.7
317,U1351,B,18,X,2,26,133.76,48.8
317,U1351,B,19,X,2,70,143.8,40.2
317,U1351,B,19,X,3,70,145.3,48.9
317,U1351,B,19,X,4,42,146.52,48.4
317,U1351,B,20,X,1,70,151.9,46.4
317,U1351,B,20,X,2,86,153.56,54.1
317,U1351,B,20,X,3,100,155.2,42.7
317,U1351,B,20,X,4,101,156.71,44.4
317,U1351,B,20,X,5,100,158.2,44.9
317,U1351,B,20,X,6,100,159.7,41.8
317,U1351,B,21,X,1,59.5,161.4,44.6
317,U1351,B,21,X,2,72.5,163.02,45.6
317,U1351,B,21,X,3,60.5,164.4,45.1
317,U1351,B,21,X,4,59.5,165.9,47.5
317,U1351,B,21,X,5,54.5,167.34,49.1
317,U1351,B,21,X,5,99.5,167.8,44.7
317,U1351,B,22,X,1,31.5,170.72,40.2
317,U1351,B,22,X,2,31.5,172.22,40.1
317,U1351,B,22,X,CC,11,175.01,15.2
