HOLE:	U1508C
EXPEDITION:	371
TOP:	580.1570
BOTTOM:	671.7493
DEPTH_WMSF	LCAL
m	in
627.8582	10.22974
628.0106	10.3489
628.1630	10.39018
628.3154	10.39167
628.4678	10.38962
628.6202	10.38519
628.7726	10.39526
628.9250	10.39551
629.0774	10.3697
629.2298	10.34898
629.3822	10.35288
629.5346	10.35319
629.6870	10.46537
629.8394	10.41678
629.9918	10.26658
630.1442	10.26658
630.2966	10.27592
630.4490	10.27345
630.6014	10.27399
630.7538	10.2764
630.9062	10.32156
631.0586	10.84159
631.2110	11.09209
631.3634	10.68289
631.5158	10.51889
631.6682	10.52588
631.8206	10.52259
631.9730	11.0535
632.1254	10.64647
632.2778	10.25815
632.4302	10.18745
632.5826	10.18418
632.7350	10.18418
632.8874	10.20138
633.0398	10.15917
633.1922	10.21907
633.3446	10.21494
633.4970	10.21487
633.6494	10.2132
633.8018	10.21302
633.9542	10.21692
634.1065	10.2201
634.2589	10.21721
634.4113	10.21305
634.5637	10.21725
634.7161	10.23883
634.8685	10.54906
635.0209	10.20958
635.1733	10.22081
635.3257	10.21707
635.4781	10.23522
635.6305	10.24193
635.7829	10.66818
635.9353	12.37065
636.0877	14.3468
636.2401	14.33341
636.3925	14.01268
636.5449	12.31205
636.6973	10.96277
636.8497	11.20673
637.0021	11.23586
637.1545	11.23549
637.3069	11.10525
637.4593	10.75256
637.6117	10.50977
637.7641	10.27203
637.9165	10.2695
638.0689	10.27367
638.2213	10.27292
638.3737	10.27647
638.5261	10.28929
638.6785	10.30321
638.8309	10.30864
638.9833	10.31218
639.1357	10.30976
639.2881	10.42744
639.4405	10.64069
639.5929	10.44282
639.7453	10.18642
639.8977	10.19176
640.0501	10.18856
640.2025	10.18418
640.3549	10.18418
640.5073	10.19188
640.6597	10.18865
640.8121	10.18687
640.9645	10.18554
641.1169	10.19124
641.2693	10.18725
641.4217	10.19008
641.5741	10.1894
641.7265	10.20064
641.8789	10.18905
642.0313	10.18418
642.1837	10.18418
642.3361	10.1942
642.4885	10.18636
642.6409	10.18418
642.7933	10.18418
642.9457	10.18956
643.0981	10.18753
643.2505	10.18418
643.4029	10.18223
643.5553	10.18175
643.7077	10.18418
643.8601	10.18418
644.0125	10.18606
644.1649	10.19034
644.3173	10.18095
644.4697	10.1883
644.6221	10.1883
644.7745	10.19402
644.9269	10.18913
645.0793	10.18498
645.2317	10.18418
645.3841	10.18981
645.5365	10.18729
645.6889	10.19864
645.8413	11.03211
645.9937	12.35319
646.1461	13.13609
646.2985	13.36764
646.4509	13.36376
646.6033	13.39596
646.7557	13.35203
646.9081	12.11346
647.0605	11.21313
647.2129	10.91921
647.3653	10.62855
647.5177	10.66835
647.6701	10.66041
647.8225	10.52469
647.9749	10.41208
648.1273	10.47118
648.2797	10.61952
648.4321	10.63116
648.5845	10.42246
648.7369	10.22107
648.8893	10.21658
649.0417	10.22257
649.1941	10.21509
649.3465	10.22494
649.4989	10.22107
649.6513	10.2172
649.8037	10.21714
649.9561	10.22425
650.1085	10.21296
650.2609	10.21833
650.4133	10.22126
650.5657	10.21614
650.7181	10.21763
650.8705	10.2192
651.0229	10.21849
651.1753	10.21906
651.3277	10.21583
651.4801	10.25008
651.6325	10.38637
651.7849	10.46794
651.9373	10.22614
652.0897	10.23553
652.2421	10.22585
652.3945	10.22905
652.5469	10.22607
652.6993	10.24764
652.8517	10.28936
653.0041	10.26279
653.1565	10.23658
653.3089	10.20967
653.4613	10.18627
653.6137	10.18815
653.7661	10.18847
653.9185	10.18418
654.0709	10.18612
654.2233	10.19023
654.3757	10.20203
654.5281	10.51246
654.6805	11.03885
654.8329	11.24695
654.9853	11.25792
655.1377	11.06905
655.2901	10.49755
655.4425	10.10178
655.5949	10.1054
655.7473	10.10643
655.8997	10.10889
656.0521	10.15184
656.2045	10.20663
656.3569	10.22066
656.5093	10.21953
656.6617	10.22055
656.8141	10.21859
656.9665	10.23458
657.1189	10.29644
657.2713	10.36763
657.4237	10.58815
657.5761	10.66418
657.7285	10.4195
657.8809	10.42665
658.0333	10.43061
658.1857	10.43215
658.3381	10.41049
658.4905	10.37097
658.6429	10.35567
658.7953	10.40398
658.9477	10.45519
659.1001	10.42231
659.2525	10.35199
659.4049	10.28022
659.5573	10.24933
659.7097	10.25087
659.8621	10.24598
660.0145	10.24598
660.1669	10.24765
660.3193	10.24842
660.4717	10.24598
660.6241	10.24598
660.7765	10.251
660.9289	10.25331
661.0813	10.24933
661.2337	10.25087
661.3861	10.24598
661.5385	10.24765
661.6909	10.24842
661.8433	10.2627
661.9957	10.29722
662.1481	10.31022
662.3005	10.30778
662.4529	10.30945
662.6053	10.31022
662.7577	10.3329
662.9101	10.37796
663.0625	10.41698
663.2149	10.39169
663.3673	10.29999
663.5197	10.30198
663.6721	10.29954
663.8245	10.29954
663.9769	10.30289
664.1293	10.30778
664.2817	10.33125
664.4341	10.33362
664.5865	10.29052
664.7389	10.29207
664.8913	10.31232
665.0437	10.24177
665.1961	10.0853
665.3485	10.08362
665.5009	10.08285
665.6533	10.08362
665.8057	10.08118
665.9581	10.08118
666.1105	10.08453
666.2629	10.04079
666.4153	9.90291
666.5677	9.802208
666.7201	9.804206
666.8725	9.810022
667.0249	9.80681
667.1773	9.817201
667.3297	9.879472
667.4821	9.946754
667.6345	9.942001
667.7869	9.942229
667.9393	9.960697
668.0917	9.731508
668.2441	9.474625
668.3965	9.701293
668.5489	9.732361
668.7013	9.730205
668.8537	9.733418
669.0061	9.730975
669.1585	9.729302
669.3109	9.724344
669.4633	9.723189
669.6157	9.730205
669.7681	9.73175
669.9205	9.728529
670.0729	9.730975
670.2253	9.732652
670.3777	9.736771
670.5301	9.739216
670.6825	9.735867
670.8349	9.726785
670.9873	9.724863
671.1397	9.732648
671.2921	9.734816
671.4445	9.733012
671.5969	9.728852
671.7493	9.727871

