HOLE:	U1508C
EXPEDITION:	371
TOP:	271.1869
BOTTOM:	671.2368
DEPTH_WMSF	LCAL
m	in
318.8881	9.943835
319.0405	9.933359
319.1929	9.93643
319.3453	9.932857
319.4977	9.934123
319.6501	9.940421
319.8025	9.937877
319.9549	9.941174
320.1073	9.935364
320.2597	9.930432
320.4121	9.936083
320.5645	9.935678
320.7169	9.942267
320.8693	9.9326
321.0217	9.934233
321.1741	9.937756
321.3265	9.932203
321.4789	9.938396
321.6313	9.930894
321.7837	9.928736
321.9361	9.928736
322.0885	9.934928
322.2409	9.94373
322.3933	9.93844
322.5457	9.936574
322.6981	9.929898
322.8505	9.935412
323.0029	9.937823
323.1553	9.936216
323.3077	9.935927
323.4601	9.930061
323.6125	9.93228
323.7649	9.932857
323.9173	9.932857
324.0697	9.930914
324.2221	9.935189
324.3745	9.937557
324.5269	9.932857
324.6793	9.937091
324.8317	9.938937
324.9841	9.934773
325.1365	9.928359
325.2889	9.925762
325.4413	9.925508
325.5937	9.929377
325.7461	9.940125
325.8985	9.964948
326.0509	10.06914
326.2033	10.13455
326.3557	10.17834
326.5081	10.20613
326.6605	10.20321
326.8129	10.20361
326.9653	10.19329
327.1177	10.20122
327.2701	10.34259
327.4225	10.63873
327.5749	11.03785
327.7273	11.17278
327.8797	10.87656
328.0321	10.85103
328.1845	10.84375
328.3369	10.86765
328.4893	10.86811
328.6417	10.86924
328.7941	10.87172
328.9465	10.86506
329.0989	10.87541
329.2513	10.87042
329.4037	10.882
329.5561	10.87132
329.7085	10.87865
329.8609	10.88338
330.0133	10.91979
330.1657	10.92578
330.3181	10.9325
330.4705	10.94638
330.6229	10.95731
330.7753	11.00195
330.9277	11.07806
331.0801	11.13088
331.2325	11.1359
331.3849	11.17169
331.5373	11.21037
331.6897	11.21128
331.8421	11.23884
331.9945	11.6026
332.1469	12.00137
332.2993	11.48558
332.4517	11.70646
332.6041	11.73866
332.7565	11.55446
332.9089	11.54441
333.0613	11.32717
333.2137	10.62664
333.3661	10.50375
333.5185	10.49465
333.6709	10.49692
